open,high,low,close,volume,date
53.72,55.36,53.72,55.36,140.0,2011-07-17 05:45:00
55.76,55.76,53.11,53.11,1880.0,2011-07-18 05:45:00
52.91,53.52,52.91,53.52,2220.0,2011-07-19 05:45:00
53.52,54.75,53.11,54.33,950.0,2011-07-20 05:45:00
54.14,54.53,53.31,53.31,620.0,2011-07-21 05:45:00
53.31,53.52,52.91,53.11,2150.0,2011-07-24 05:45:00
53.11,53.11,52.29,52.5,850.0,2011-07-25 05:45:00
52.5,53.31,52.5,53.31,1160.0,2011-07-26 05:45:00
53.31,53.92,53.11,53.31,2250.0,2011-07-27 05:45:00
53.11,53.31,52.7,53.11,7170.0,2011-07-28 05:45:00
52.91,53.31,52.5,52.7,3080.0,2011-07-31 05:45:00
52.7,52.7,52.09,52.29,8470.0,2011-08-01 05:45:00
52.29,52.91,52.29,52.5,5820.0,2011-08-02 05:45:00
52.5,53.31,52.5,53.31,8340.0,2011-08-03 05:45:00
53.31,53.52,52.5,53.11,9540.0,2011-08-04 05:45:00
52.7,53.11,52.29,52.7,8580.0,2011-08-07 05:45:00
52.29,52.5,52.29,52.5,960.0,2011-08-08 05:45:00
52.5,52.5,51.88,51.88,6380.0,2011-08-09 05:45:00
51.88,52.29,51.48,52.29,13110.0,2011-08-10 05:45:00
52.29,52.29,51.88,51.88,5030.0,2011-08-11 05:45:00
51.88,52.09,51.88,51.88,12520.0,2011-08-15 05:45:00
51.88,52.09,51.48,52.09,6100.0,2011-08-16 05:45:00
52.09,52.09,52.09,52.09,110.0,2011-08-17 05:45:00
51.88,53.92,51.88,53.92,1930.0,2011-08-18 05:45:00
53.52,53.52,51.88,51.88,3630.0,2011-08-22 05:45:00
51.88,52.5,51.68,52.09,7710.0,2011-08-23 05:45:00
52.09,52.5,51.48,52.09,5000.0,2011-08-24 05:45:00
51.88,52.29,51.68,52.09,1770.0,2011-08-25 05:45:00
52.29,52.29,51.68,51.68,1410.0,2011-08-28 05:45:00
51.68,51.88,51.48,51.88,1780.0,2011-08-29 05:45:00
52.09,52.09,51.68,52.09,960.0,2011-08-30 05:45:00
52.09,52.5,51.88,52.09,1160.0,2011-09-01 05:45:00
52.09,52.09,51.68,51.68,2370.0,2011-09-04 05:45:00
51.48,51.68,51.27,51.68,2770.0,2011-09-05 05:45:00
51.68,51.68,51.06,51.06,1730.0,2011-09-06 05:45:00
50.86,51.68,50.86,51.68,1500.0,2011-09-07 05:45:00
51.48,51.48,51.06,51.06,540.0,2011-09-08 05:45:00
51.27,51.27,50.86,51.27,1550.0,2011-09-12 05:45:00
51.27,51.27,50.45,51.06,2940.0,2011-09-13 05:45:00
50.86,51.27,50.86,51.06,1450.0,2011-09-14 05:45:00
51.06,51.06,50.86,51.06,1300.0,2011-09-15 05:45:00
51.06,51.06,50.86,51.06,980.0,2011-09-18 05:45:00
50.86,51.06,50.66,50.66,1750.0,2011-09-19 05:45:00
50.66,50.86,50.45,50.86,7910.0,2011-09-20 05:45:00
50.66,50.86,50.66,50.86,1300.0,2011-09-21 05:45:00
50.86,51.27,50.86,50.86,1410.0,2011-09-22 05:45:00
50.66,51.06,50.45,51.06,310.0,2011-09-25 05:45:00
51.06,51.06,50.86,51.06,750.0,2011-09-26 05:45:00
51.27,52.5,51.27,52.09,2280.0,2011-09-27 05:45:00
52.5,52.91,52.09,52.29,330.0,2011-09-29 05:45:00
52.5,52.5,51.68,52.09,920.0,2011-10-02 05:45:00
52.09,52.09,51.88,51.88,490.0,2011-10-09 05:45:00
51.88,52.29,51.88,52.29,2930.0,2011-10-10 05:45:00
52.29,52.91,51.88,52.29,920.0,2011-10-12 05:45:00
52.09,52.7,52.09,52.7,2890.0,2011-10-13 05:45:00
