open,high,low,close,volume,date
54.25,57.98,54.25,57.98,590.0,2015-12-10 05:45:00
58.77,62.0,58.77,62.0,100.0,2015-12-17 05:45:00
64.25,65.13,64.25,65.13,190.0,2016-03-23 05:45:00
67.48,69.93,67.48,69.93,440.0,2016-03-24 05:45:00
72.57,72.57,72.57,72.57,30.0,2016-03-27 05:45:00
75.32,75.32,75.32,75.32,50.0,2016-03-28 05:45:00
79.0,79.0,79.0,79.0,10.0,2016-03-31 05:45:00
80.17,80.17,80.17,80.17,10.0,2016-05-03 05:45:00
81.34,81.34,81.34,81.34,10.0,2016-05-10 05:45:00
82.52,82.52,82.52,82.52,10.0,2016-05-15 05:45:00
85.7,85.7,85.7,85.7,10.0,2016-05-18 05:45:00
86.99,88.29,86.99,88.29,20.0,2016-05-31 05:45:00
89.7,89.7,89.7,89.7,10.0,2016-06-09 05:45:00
93.23,93.23,93.23,93.23,10.0,2016-06-20 05:45:00
94.63,94.63,94.63,94.63,10.0,2016-06-26 05:45:00
98.51,98.51,98.51,98.51,10.0,2016-07-05 05:45:00
100.04,100.04,100.04,100.04,10.0,2016-07-14 05:45:00
101.69,108.27,101.69,108.27,1125.0,2016-07-17 05:45:00
110.03,110.03,110.03,110.03,10.0,2016-07-18 05:45:00
111.8,111.8,111.8,111.8,10.0,2016-07-19 05:45:00
116.5,116.5,116.5,116.5,10.0,2016-07-20 05:45:00
118.37,118.37,118.37,118.37,10.0,2016-07-27 05:45:00
123.43,123.43,123.43,123.43,10.0,2016-07-28 05:45:00
125.55,127.67,125.55,127.67,20.0,2016-08-07 05:45:00
133.19,135.43,133.19,135.43,20.0,2016-08-08 05:45:00
141.3,141.3,141.3,141.3,10.0,2016-08-09 05:45:00
147.42,147.42,147.42,147.42,20.0,2016-08-14 05:45:00
152.11,152.11,152.11,152.11,10.0,2016-08-16 05:45:00
154.83,154.83,154.83,154.83,10.0,2016-08-21 05:45:00
157.52,160.23,157.52,160.23,20.0,2016-08-28 05:45:00
163.04,165.86,163.04,165.86,20.0,2016-08-31 05:45:00
173.27,173.27,173.27,173.27,40.0,2016-09-04 05:45:00
176.33,176.33,176.33,176.33,10.0,2016-09-08 05:45:00
179.5,179.5,179.5,179.5,10.0,2016-09-11 05:45:00
