open,high,low,close,volume,date
70.86,71.69,70.37,70.37,3013.0,2011-07-18 05:45:00
71.19,71.86,69.55,71.69,2553.0,2011-07-19 05:45:00
71.69,73.0,70.21,71.53,5706.0,2011-07-20 05:45:00
70.86,71.86,70.7,71.19,3397.0,2011-07-21 05:45:00
70.37,70.37,68.73,68.9,823.0,2011-07-25 05:45:00
68.22,68.22,67.41,67.9,1020.0,2011-07-26 05:45:00
67.24,70.7,67.24,69.87,1971.0,2011-07-27 05:45:00
69.06,69.71,69.06,69.71,331.0,2011-07-28 05:45:00
68.9,68.9,68.9,68.9,132.0,2011-07-31 05:45:00
68.06,68.06,66.58,67.41,2050.0,2011-08-01 05:45:00
66.91,67.57,66.91,67.57,266.0,2011-08-02 05:45:00
67.41,69.06,67.08,69.06,2949.0,2011-08-03 05:45:00
69.06,69.06,67.41,67.41,600.0,2011-08-04 05:45:00
67.41,67.41,67.41,67.41,6.0,2011-08-05 05:45:00
67.41,67.57,67.41,67.41,767.0,2011-08-07 05:45:00
67.08,67.24,66.58,67.24,202.0,2011-08-08 05:45:00
66.58,66.58,65.75,65.75,1184.0,2011-08-09 05:45:00
66.42,67.08,66.42,67.08,866.0,2011-08-10 05:45:00
67.24,67.9,67.24,67.9,306.0,2011-08-11 05:45:00
67.9,69.39,67.9,69.39,354.0,2011-08-15 05:45:00
68.56,68.56,68.56,68.56,104.0,2011-08-16 05:45:00
67.73,67.73,66.91,67.24,212.0,2011-08-17 05:45:00
67.08,67.41,66.58,67.41,943.0,2011-08-18 05:45:00
66.58,66.58,66.58,66.58,500.0,2011-08-22 05:45:00
66.58,66.58,65.42,66.25,2363.0,2011-08-23 05:45:00
66.58,67.24,66.58,66.75,614.0,2011-08-24 05:45:00
66.08,66.25,65.92,66.25,322.0,2011-08-25 05:45:00
65.58,65.58,64.27,65.08,1071.0,2011-08-28 05:45:00
64.43,64.6,64.27,64.43,1027.0,2011-08-29 05:45:00
65.08,65.75,65.08,65.75,127.0,2011-08-30 05:45:00
65.92,66.42,65.92,66.42,461.0,2011-09-01 05:45:00
66.91,67.41,66.58,66.58,233.0,2011-09-04 05:45:00
66.08,66.08,64.92,64.92,391.0,2011-09-05 05:45:00
64.27,64.43,64.11,64.11,221.0,2011-09-06 05:45:00
63.61,63.61,63.44,63.44,177.0,2011-09-07 05:45:00
63.61,63.61,63.61,63.61,112.0,2011-09-08 05:45:00
63.61,63.61,63.27,63.27,61.0,2011-09-09 05:45:00
64.11,64.6,63.77,64.6,163.0,2011-09-12 05:45:00
63.94,63.94,62.62,62.62,518.0,2011-09-13 05:45:00
62.62,63.27,62.12,62.94,825.0,2011-09-14 05:45:00
62.29,62.45,61.79,61.79,920.0,2011-09-15 05:45:00
62.12,62.12,61.47,61.63,1467.0,2011-09-18 05:45:00
60.98,61.14,60.47,61.14,842.0,2011-09-19 05:45:00
61.79,61.79,60.81,61.47,1649.0,2011-09-20 05:45:00
60.81,61.3,60.81,61.3,30.0,2011-09-21 05:45:00
61.63,63.61,60.98,63.44,2566.0,2011-09-22 05:45:00
63.44,63.44,63.44,63.44,4.0,2011-09-23 05:45:00
63.44,63.44,62.78,62.78,574.0,2011-09-25 05:45:00
62.29,63.11,62.29,62.45,3464.0,2011-09-26 05:45:00
63.11,63.11,63.11,63.11,93.0,2011-09-27 05:45:00
63.77,63.77,63.77,63.77,23.0,2011-10-02 05:45:00
63.94,63.94,63.94,63.94,16.0,2011-10-09 05:45:00
63.27,63.94,63.27,63.94,245.0,2011-10-10 05:45:00
63.94,63.94,63.27,63.27,690.0,2011-10-12 05:45:00
63.27,63.27,62.62,62.62,1758.0,2011-10-13 05:45:00
61.96,62.12,61.96,62.12,230.0,2011-10-16 05:45:00
61.63,62.12,61.47,61.63,196.0,2011-10-17 05:45:00
61.47,61.79,61.14,61.79,357.0,2011-10-18 05:45:00
62.45,62.45,61.14,61.79,1110.0,2011-10-19 05:45:00
61.14,62.62,61.14,61.79,531.0,2011-10-20 05:45:00
61.96,61.96,60.47,60.47,1561.0,2011-10-24 05:45:00
61.14,63.44,61.14,63.44,2010.0,2011-10-25 05:45:00
63.44,63.44,63.44,63.44,561.0,2011-10-30 05:45:00
62.78,62.78,61.47,61.47,126.0,2011-10-31 05:45:00
62.12,64.92,62.12,64.11,4656.0,2011-11-03 05:45:00
64.11,64.11,64.11,64.11,7.0,2011-11-04 05:45:00
64.76,65.58,64.6,64.6,2159.0,2011-11-06 05:45:00
64.43,64.43,64.11,64.11,574.0,2011-11-08 05:45:00
63.44,63.44,62.45,63.11,3688.0,2011-11-09 05:45:00
62.62,63.77,62.62,63.77,698.0,2011-11-10 05:45:00
63.77,65.42,63.44,64.27,1314.0,2011-11-13 05:45:00
63.61,63.61,63.61,63.61,200.0,2011-11-14 05:45:00
63.44,64.27,63.27,64.27,108.0,2011-11-15 05:45:00
63.77,63.77,62.94,63.11,927.0,2011-11-17 05:45:00
62.45,62.45,62.45,62.45,14.0,2011-11-18 05:45:00
62.45,62.45,61.47,62.45,6400.0,2011-11-20 05:45:00
61.96,63.27,61.63,63.27,1081.0,2011-11-21 05:45:00
62.62,62.94,62.45,62.62,1456.0,2011-11-22 05:45:00
62.29,62.45,62.12,62.29,527.0,2011-11-23 05:45:00
62.94,62.94,62.45,62.45,407.0,2011-11-24 05:45:00
62.29,62.78,62.29,62.78,795.0,2011-11-27 05:45:00
62.45,62.78,62.12,62.78,1214.0,2011-11-28 05:45:00
62.45,62.45,61.79,61.96,3579.0,2011-11-29 05:45:00
61.79,62.12,61.63,62.12,3218.0,2011-11-30 05:45:00
62.12,62.12,61.47,61.47,767.0,2011-12-01 05:45:00
61.14,61.14,61.14,61.14,236.0,2011-12-04 05:45:00
61.63,61.63,61.63,61.63,20.0,2011-12-05 05:45:00
61.63,62.29,61.63,62.29,132.0,2011-12-06 05:45:00
61.63,61.96,61.63,61.96,632.0,2011-12-07 05:45:00
61.63,61.63,61.3,61.3,1102.0,2011-12-08 05:45:00
61.96,61.96,61.3,61.63,823.0,2011-12-11 05:45:00
60.98,61.47,60.64,60.64,498.0,2011-12-12 05:45:00
60.81,60.81,60.81,60.81,34.0,2011-12-13 05:45:00
60.81,60.81,60.14,60.14,1479.0,2011-12-14 05:45:00
60.81,60.81,60.3,60.47,1222.0,2011-12-15 05:45:00
60.81,61.14,60.81,61.14,126.0,2011-12-19 05:45:00
61.63,61.63,61.63,61.63,16.0,2011-12-20 05:45:00
60.98,61.14,60.64,60.98,871.0,2011-12-21 05:45:00
61.3,61.3,60.64,60.64,305.0,2011-12-22 05:45:00
60.64,60.64,60.14,60.47,1551.0,2011-12-26 05:45:00
60.47,62.12,60.47,61.47,810.0,2011-12-27 05:45:00
61.14,61.47,60.81,60.81,1538.0,2011-12-28 05:45:00
61.3,61.3,61.3,61.3,100.0,2011-12-29 05:45:00
61.96,61.96,61.96,61.96,99.0,2012-01-01 05:45:00
62.29,63.11,62.29,63.11,187.0,2012-01-02 05:45:00
63.77,64.6,61.79,62.45,1602.0,2012-01-03 05:45:00
62.12,62.78,62.12,62.78,100.0,2012-01-04 05:45:00
62.12,62.12,60.81,60.98,2247.0,2012-01-05 05:45:00
61.14,62.29,59.98,61.63,3488.0,2012-01-08 05:45:00
61.79,62.94,61.79,62.78,952.0,2012-01-09 05:45:00
63.27,63.27,61.14,61.3,871.0,2012-01-10 05:45:00
61.63,62.12,61.14,61.14,1832.0,2012-01-11 05:45:00
61.79,63.77,61.63,61.63,1043.0,2012-01-12 05:45:00
63.83,63.83,61.87,61.87,510.0,2012-01-17 05:45:00
61.52,62.58,61.52,62.58,400.0,2012-01-18 05:45:00
61.87,62.05,61.87,61.87,240.0,2012-01-22 05:45:00
61.52,61.69,60.98,61.69,610.0,2012-01-23 05:45:00
62.23,62.23,62.23,62.23,49.0,2012-01-25 05:45:00
62.23,62.23,60.98,61.15,466.0,2012-01-26 05:45:00
61.52,61.69,61.52,61.69,651.0,2012-01-29 05:45:00
61.87,61.87,60.98,60.98,228.0,2012-01-31 05:45:00
60.62,61.15,60.62,60.98,1409.0,2012-02-01 05:45:00
60.98,60.98,58.3,59.02,6590.0,2012-02-02 05:45:00
59.55,59.55,59.55,59.55,5.0,2012-02-03 05:45:00
58.84,59.19,58.84,59.19,1647.0,2012-02-05 05:45:00
58.84,59.02,58.47,58.84,1995.0,2012-02-06 05:45:00
58.66,59.02,58.3,59.02,1172.0,2012-02-07 05:45:00
59.55,60.44,59.37,60.08,745.0,2012-02-08 05:45:00
60.62,61.15,60.62,60.98,944.0,2012-02-09 05:45:00
60.98,61.33,59.91,60.98,1961.0,2012-02-12 05:45:00
60.62,61.15,60.44,60.8,542.0,2012-02-13 05:45:00
60.62,60.98,60.62,60.98,627.0,2012-02-14 05:45:00
60.44,60.44,59.91,59.91,146.0,2012-02-15 05:45:00
59.55,59.55,59.19,59.37,366.0,2012-02-16 05:45:00
59.19,59.19,59.19,59.19,47.0,2012-02-21 05:45:00
59.19,59.73,59.19,59.19,287.0,2012-02-23 05:45:00
59.19,59.19,59.02,59.19,1046.0,2012-02-26 05:45:00
59.19,60.62,59.19,59.55,605.0,2012-02-28 05:45:00
59.19,59.73,59.19,59.37,1119.0,2012-02-29 05:45:00
59.73,59.73,59.37,59.37,1529.0,2012-03-01 05:45:00
59.55,59.55,59.37,59.55,939.0,2012-03-04 05:45:00
60.08,60.08,60.08,60.08,40.0,2012-03-05 05:45:00
59.55,59.55,59.19,59.19,360.0,2012-03-06 05:45:00
59.02,59.02,58.3,58.3,1405.0,2012-03-11 05:45:00
57.94,57.94,56.88,57.58,1729.0,2012-03-12 05:45:00
58.12,58.12,57.41,57.94,2482.0,2012-03-13 05:45:00
57.41,57.41,56.52,57.24,1340.0,2012-03-14 05:45:00
56.88,56.88,55.44,56.16,1289.0,2012-03-18 05:45:00
56.7,57.24,56.7,57.24,548.0,2012-03-19 05:45:00
56.7,56.7,56.52,56.52,630.0,2012-03-20 05:45:00
56.88,56.88,56.34,56.34,532.0,2012-03-21 05:45:00
56.16,56.16,55.26,55.61,2866.0,2012-03-25 05:45:00
55.08,55.61,55.08,55.61,748.0,2012-03-26 05:45:00
55.61,55.61,55.26,55.26,795.0,2012-03-27 05:45:00
55.8,55.8,55.8,55.8,73.0,2012-03-29 05:45:00
55.8,56.34,55.61,56.16,771.0,2012-04-01 05:45:00
56.34,56.7,56.34,56.7,678.0,2012-04-02 05:45:00
57.24,57.24,56.52,56.52,417.0,2012-04-03 05:45:00
56.52,56.88,56.34,56.88,209.0,2012-04-04 05:45:00
56.88,56.88,56.34,56.7,510.0,2012-04-05 05:45:00
57.06,57.24,56.88,56.88,924.0,2012-04-09 05:45:00
56.52,57.94,56.52,57.41,1004.0,2012-04-10 05:45:00
57.94,59.55,57.58,58.66,1156.0,2012-04-11 05:45:00
59.19,60.8,59.19,59.91,4530.0,2012-04-12 05:45:00
60.44,63.11,60.44,63.11,230.0,2012-04-15 05:45:00
63.83,66.68,63.83,66.68,3085.0,2012-04-16 05:45:00
67.41,69.54,64.91,64.91,5925.0,2012-04-17 05:45:00
64.19,68.3,62.76,66.15,3687.0,2012-04-18 05:45:00
66.86,68.3,64.56,67.04,3239.0,2012-04-19 05:45:00
67.23,70.97,66.86,70.97,9337.0,2012-04-22 05:45:00
71.87,71.87,71.87,71.87,174.0,2012-04-24 05:45:00
72.75,72.75,72.75,72.75,15.0,2012-04-25 05:45:00
73.65,77.4,70.79,77.4,25597.0,2012-04-26 05:45:00
78.28,79.71,72.93,77.04,14147.0,2012-04-29 05:45:00
76.32,76.32,74.54,74.72,4435.0,2012-04-30 05:45:00
73.83,73.83,72.04,72.04,147.0,2012-05-02 05:45:00
