Open,High,Low,Close,Volume,Date
531.93,542.06,531.93,542.06,453,2020-09-07
552.18,595.79,552.18,595.79,50,2020-09-08
607.48,630.84,595.79,630.84,37,2020-09-09
661.99,688.47,661.99,688.47,35,2020-09-10
722.74,757.01,722.74,757.01,45,2020-09-13
794.39,832.55,794.39,832.55,325,2020-09-14
873.83,915.11,873.83,915.11,3175,2020-09-15
960.28,1006.23,960.28,1006.23,5452,2020-09-16
1056.07,1106.7,915.89,938.47,19872,2020-09-17
985.2,985.2,893.3,893.3,3708,2020-09-20
937.69,937.69,845.02,856.7,6121,2020-09-21
856.7,871.5,841.12,841.12,3189,2020-09-22
883.18,883.18,830.22,853.58,3398,2020-09-23
869.94,880.84,856.7,859.03,4074,2020-09-24
845.02,856.7,845.02,847.35,484,2020-09-27
834.11,838.01,833.33,833.33,1443,2020-09-28
827.88,833.33,811.53,816.98,2156,2020-09-29
809.97,809.97,799.07,805.3,928,2020-09-30
805.3,825.55,805.3,821.65,2046,2020-10-01
819.31,825.55,817.76,825.55,1017,2020-10-04
817.76,819.31,817.76,817.76,1396,2020-10-05
817.76,817.76,790.5,790.5,2100,2020-10-06
786.6,798.29,783.49,784.27,1261,2020-10-07
783.49,794.39,778.82,778.82,1563,2020-10-08
777.26,778.82,766.36,767.91,1163,2020-10-11
760.12,769.47,759.35,759.35,2077,2020-10-12
757.01,786.6,750.78,762.46,2457,2020-10-13
767.13,778.04,756.23,775.7,1340,2020-10-14
790.5,790.5,775.7,775.7,702,2020-10-15
790.5,790.5,774.92,774.92,623,2020-10-18
778.82,782.71,774.92,774.92,368,2020-10-19
782.71,799.07,782.71,792.06,1055,2020-10-20
802.18,802.18,781.15,792.83,840,2020-10-21
800.62,800.62,785.83,786.6,740,2020-10-22
786.6,786.6,776.48,779.6,141,2020-10-28
778.82,795.17,778.04,794.39,454,2020-10-29
785.05,794.39,778.82,790.5,618,2020-11-01
802.18,837.23,801.4,817.76,1958,2020-11-02
834.11,838.01,822.43,825.55,2826,2020-11-03
817.76,845.02,817.76,835.67,891,2020-11-04
847.35,847.35,819.31,836.45,274,2020-11-05
852.02,852.02,803.74,833.33,794,2020-11-08
849.69,860.59,833.33,852.8,3335,2020-11-09
848.13,848.13,833.33,843.46,765,2020-11-10
848.13,848.13,826.32,826.32,557,2020-11-11
817.76,819.31,817.76,817.76,383,2020-11-12
834.11,834.11,805.3,825.55,1170,2020-11-18
831.78,839.56,830.22,838.79,1418,2020-11-19
855.14,863.71,833.33,841.12,3369,2020-11-22
825.55,841.12,824.77,840.34,824,2020-11-23
855.14,855.14,834.11,840.34,1610,2020-11-24
856.7,856.7,832.55,833.33,2034,2020-11-25
863.71,866.82,840.34,840.34,1913,2020-11-26
827.1,856.7,827.1,840.34,1342,2020-11-29
856.7,856.7,831.0,834.89,876,2020-11-30
851.25,851.25,812.31,812.31,2648,2020-12-01
827.88,893.3,826.32,893.3,9646,2020-12-02
910.44,957.94,901.09,903.43,10277,2020-12-03
921.34,921.34,841.12,845.79,1748,2020-12-06
862.15,878.5,829.44,875.39,1992,2020-12-07
892.52,906.54,833.33,844.24,2095,2020-12-08
830.22,830.22,817.76,821.65,463,2020-12-09
809.19,833.33,809.19,825.55,480,2020-12-10
817.76,841.9,814.64,820.09,1328,2020-12-13
836.45,865.26,833.33,865.26,3267,2020-12-14
878.5,909.66,857.48,878.5,3056,2020-12-15
861.37,911.21,856.7,878.5,5297,2020-12-16
895.64,965.73,888.63,903.43,7775,2020-12-17
895.64,895.64,844.24,848.91,3886,2020-12-20
833.33,863.71,833.33,842.68,1138,2020-12-21
856.7,868.38,856.7,860.59,1058,2020-12-22
864.49,873.05,840.34,841.12,1714,2020-12-23
856.7,856.7,818.54,833.33,3090,2020-12-24
837.23,841.12,825.55,833.33,748,2020-12-27
825.55,838.79,822.43,826.32,1080,2020-12-28
827.1,845.02,822.43,828.66,1223,2020-12-29
821.65,856.7,821.65,856.7,2386,2020-12-30
872.27,873.05,841.9,855.92,317,2020-12-31
871.5,872.27,852.8,852.8,392,2021-01-03
856.7,937.69,856.7,933.8,10743,2021-01-04
979.75,979.75,922.12,930.69,5440,2021-01-05
930.69,930.69,913.55,922.9,813,2021-01-06
938.47,942.37,911.99,920.56,2118,2021-01-07
913.55,922.12,903.43,913.55,1257,2021-01-10
919.78,919.78,894.08,916.67,1618,2021-01-11
901.09,920.56,899.53,915.11,804,2021-01-12
933.02,946.26,919.0,923.68,2807,2021-01-13
969.63,1015.58,950.16,1015.58,13289,2021-01-17
1028.04,1098.13,1020.25,1082.55,5272,2021-01-18
1102.02,1102.02,1044.39,1051.4,3778,2021-01-19
1051.4,1051.4,1028.04,1034.27,4301,2021-01-20
1036.6,1090.34,1036.6,1059.19,6189,2021-01-21
1080.22,1094.24,1046.73,1051.4,6069,2021-01-24
1057.63,1058.41,1031.93,1031.93,3376,2021-01-25
1017.91,1056.85,1017.91,1031.93,5022,2021-01-26
1039.72,1076.32,1021.03,1076.32,5276,2021-01-27
1076.32,1183.02,1076.32,1132.4,7679,2021-01-28
1121.5,1144.86,1083.33,1083.33,5036,2021-01-31
1104.36,1125.39,1051.4,1066.98,6045,2021-02-01
