open,high,low,close,volume,date
111.59,118.15,111.59,118.15,40.0,2014-02-05 05:45:00
120.34,124.72,120.34,124.72,30.0,2014-02-06 05:45:00
124.72,124.72,124.72,124.72,10.0,2014-02-10 05:45:00
126.91,129.41,126.91,129.41,43.0,2014-02-11 05:45:00
131.91,142.23,131.91,142.23,80.0,2014-02-12 05:45:00
145.04,147.86,145.04,147.86,43.0,2014-02-13 05:45:00
150.66,162.54,150.66,162.54,276.0,2014-02-16 05:45:00
165.66,178.8,165.66,178.8,70.0,2014-02-17 05:45:00
182.24,196.61,182.24,196.61,90.0,2014-02-18 05:45:00
206.3,216.0,206.3,216.0,65.0,2014-02-20 05:45:00
220.06,237.56,220.06,237.56,854.0,2014-02-23 05:45:00
242.24,261.32,242.24,261.32,2829.0,2014-02-24 05:45:00
266.32,287.26,240.69,286.95,10245.0,2014-02-25 05:45:00
286.95,287.57,267.26,267.57,3820.0,2014-02-26 05:45:00
262.56,262.56,243.81,254.13,3330.0,2014-03-03 05:45:00
249.13,250.07,243.81,249.13,5326.0,2014-03-04 05:45:00
248.82,251.94,245.37,248.5,1518.0,2014-03-05 05:45:00
247.56,250.07,242.24,242.24,616.0,2014-03-06 05:45:00
242.24,243.81,236.31,243.81,1834.0,2014-03-09 05:45:00
242.24,242.24,228.18,239.13,2660.0,2014-03-10 05:45:00
237.56,237.56,231.32,234.44,1294.0,2014-03-11 05:45:00
232.87,232.87,226.62,230.68,1136.0,2014-03-12 05:45:00
229.76,234.44,228.18,234.44,1177.0,2014-03-13 05:45:00
232.87,232.87,219.12,220.38,1250.0,2014-03-17 05:45:00
220.38,221.62,212.87,212.87,2024.0,2014-03-18 05:45:00
215.68,215.68,208.5,212.87,1156.0,2014-03-19 05:45:00
210.99,215.68,209.43,215.68,800.0,2014-03-20 05:45:00
217.24,217.24,206.3,212.56,896.0,2014-03-23 05:45:00
208.5,210.37,204.43,208.18,392.0,2014-03-24 05:45:00
208.18,214.44,206.3,210.99,1075.0,2014-03-25 05:45:00
209.43,215.37,203.18,212.24,1839.0,2014-03-26 05:45:00
212.56,216.62,210.05,216.62,2719.0,2014-03-27 05:45:00
217.24,221.94,214.44,221.94,857.0,2014-03-31 05:45:00
221.94,225.06,221.94,221.94,756.0,2014-04-01 05:45:00
218.81,225.06,218.81,219.12,230.0,2014-04-02 05:45:00
219.12,219.12,212.56,212.56,492.0,2014-04-03 05:45:00
214.13,214.13,212.56,212.87,249.0,2014-04-06 05:45:00
216.31,221.94,213.81,218.81,2708.0,2014-04-07 05:45:00
214.74,220.38,214.74,220.38,834.0,2014-04-09 05:45:00
218.81,223.5,215.68,220.06,478.0,2014-04-10 05:45:00
218.81,220.38,218.81,219.12,274.0,2014-04-13 05:45:00
218.81,226.93,218.81,222.55,1348.0,2014-04-15 05:45:00
222.55,226.0,221.94,223.5,240.0,2014-04-16 05:45:00
221.62,223.5,221.62,221.94,731.0,2014-04-17 05:45:00
221.3,221.94,221.3,221.94,263.0,2014-04-20 05:45:00
218.81,221.94,214.13,214.13,1684.0,2014-04-21 05:45:00
210.05,218.18,205.99,218.18,308.0,2014-04-22 05:45:00
214.13,218.81,210.37,210.99,2295.0,2014-04-23 05:45:00
210.99,215.06,210.99,212.87,422.0,2014-04-27 05:45:00
214.13,226.62,214.13,219.43,517.0,2014-04-28 05:45:00
215.06,218.5,215.06,218.5,30.0,2014-04-29 05:45:00
214.44,214.44,212.24,214.13,783.0,2014-04-30 05:45:00
212.56,231.32,212.56,229.12,4493.0,2014-05-04 05:45:00
228.81,251.32,228.81,237.56,2079.0,2014-05-05 05:45:00
237.56,237.56,228.5,230.06,640.0,2014-05-06 05:45:00
225.69,228.81,225.69,228.5,452.0,2014-05-07 05:45:00
224.12,228.18,219.12,219.12,2847.0,2014-05-08 05:45:00
218.81,221.94,217.87,218.5,130.0,2014-05-11 05:45:00
217.24,225.06,217.24,225.06,957.0,2014-05-12 05:45:00
221.94,240.69,221.94,240.69,2680.0,2014-05-13 05:45:00
243.81,243.81,240.69,240.69,670.0,2014-05-15 05:45:00
236.0,236.0,220.99,221.3,493.0,2014-05-18 05:45:00
223.5,225.69,220.99,222.55,1023.0,2014-05-19 05:45:00
218.81,225.69,218.81,222.24,1484.0,2014-05-20 05:45:00
218.81,223.5,218.81,222.24,3508.0,2014-05-21 05:45:00
221.94,225.06,221.94,222.24,1060.0,2014-05-22 05:45:00
220.38,225.06,220.38,224.44,550.0,2014-05-25 05:45:00
225.69,236.0,225.69,228.18,1458.0,2014-05-26 05:45:00
226.62,227.87,222.24,224.44,1292.0,2014-05-27 05:45:00
224.75,226.62,222.87,225.06,200.0,2014-05-28 05:45:00
221.94,225.06,221.94,225.06,577.0,2014-06-01 05:45:00
223.5,223.5,221.94,221.94,190.0,2014-06-02 05:45:00
217.55,228.18,214.13,228.18,1235.0,2014-06-03 05:45:00
223.81,223.81,214.44,217.24,1458.0,2014-06-04 05:45:00
217.24,217.24,209.43,214.44,459.0,2014-06-05 05:45:00
212.56,212.56,212.56,212.56,10.0,2014-06-08 05:45:00
210.99,217.24,209.75,217.24,835.0,2014-06-09 05:45:00
218.81,221.3,215.68,216.93,1272.0,2014-06-10 05:45:00
215.68,218.81,215.68,218.81,962.0,2014-06-11 05:45:00
218.81,219.12,214.74,216.0,620.0,2014-06-12 05:45:00
215.68,219.75,215.68,219.75,174.0,2014-06-15 05:45:00
221.94,221.94,217.55,217.55,101.0,2014-06-16 05:45:00
217.55,221.3,217.55,221.3,100.0,2014-06-17 05:45:00
217.24,217.24,212.87,212.87,83.0,2014-06-18 05:45:00
212.87,212.87,210.99,211.92,267.0,2014-06-19 05:45:00
209.43,209.43,209.43,209.43,164.0,2014-06-23 05:45:00
205.99,230.06,205.99,230.06,309.0,2014-06-24 05:45:00
225.69,225.69,212.56,218.81,1932.0,2014-06-30 05:45:00
218.81,232.25,218.81,225.37,2062.0,2014-07-01 05:45:00
228.18,231.32,228.18,228.18,1655.0,2014-07-02 05:45:00
225.06,232.56,225.06,228.18,967.0,2014-07-03 05:45:00
228.18,232.87,226.62,232.87,976.0,2014-07-06 05:45:00
232.87,232.87,225.37,226.62,509.0,2014-07-07 05:45:00
222.24,225.06,218.81,221.94,718.0,2014-07-08 05:45:00
221.94,221.94,217.24,217.24,148.0,2014-07-09 05:45:00
217.55,227.56,217.55,227.56,853.0,2014-07-10 05:45:00
227.56,236.31,227.56,232.56,603.0,2014-07-13 05:45:00
228.18,228.18,219.43,222.55,1010.0,2014-07-14 05:45:00
218.81,228.18,218.81,225.06,3585.0,2014-07-15 05:45:00
225.06,233.82,225.06,231.32,476.0,2014-07-16 05:45:00
231.32,232.87,231.0,232.87,1016.0,2014-07-17 05:45:00
237.25,256.01,234.44,256.01,8950.0,2014-07-20 05:45:00
261.0,281.33,261.0,281.33,7496.0,2014-07-21 05:45:00
284.45,304.14,272.26,281.33,5325.0,2014-07-22 05:45:00
281.33,281.33,271.33,271.95,735.0,2014-07-23 05:45:00
