open,high,low,close,volume,date
1000.0,1000.0,980.0,980.0,60.0,2024-02-27 20:27:20
960.4,960.4,886.2,910.0,425.0,2024-03-03 20:36:16
892.0,906.0,880.0,906.0,595.0,2024-03-05 20:36:47
906.0,915.0,906.0,908.0,195.0,2024-03-06 19:57:57
910.0,915.0,910.0,915.0,230.0,2024-03-07 20:40:08
915.0,920.0,911.6,920.0,205.0,2024-03-10 20:06:27
912.2,913.0,912.2,913.0,125.0,2024-03-12 17:33:29
913.8,925.0,913.8,925.0,50.0,2024-03-13 20:28:16
913.0,913.0,912.2,912.4,125.0,2024-03-14 18:30:11
916.1,916.1,915.0,915.0,75.0,2024-03-17 19:10:37
917.1,930.0,917.1,930.0,150.0,2024-03-18 20:44:33
920.0,920.0,920.0,920.0,100.0,2024-03-19 19:33:50
906.2,913.2,906.2,913.2,100.0,2024-03-20 19:38:40
925.0,925.0,925.0,925.0,50.0,2024-03-21 18:59:35
930.0,930.0,926.0,926.0,50.0,2024-03-26 18:49:34
926.1,926.1,926.1,926.1,25.0,2024-03-27 19:06:58
935.0,935.0,935.0,935.0,200.0,2024-03-28 19:55:46
918.3,953.0,918.2,953.0,425.0,2024-03-31 19:18:35
953.0,969.2,953.0,953.0,285.0,2024-04-01 20:42:17
953.0,953.0,942.0,942.0,50.0,2024-04-02 20:14:28
960.0,980.0,960.0,980.0,230.0,2024-04-03 19:23:49
965.0,965.0,965.0,965.0,25.0,2024-04-10 20:36:18
984.3,984.3,984.3,984.3,25.0,2024-04-14 18:33:09
965.1,984.3,965.0,983.0,300.0,2024-04-15 20:18:25
985.0,1002.6,985.0,1002.6,140.0,2024-04-18 19:49:29
1000.0,1020.0,999.0,1020.0,285.0,2024-04-21 20:23:37
1005.0,1010.0,1000.0,1001.0,110.0,2024-04-22 18:49:06
999.0,1020.0,999.0,1002.1,125.0,2024-04-24 20:32:33
1000.0,1000.0,1000.0,1000.0,50.0,2024-04-25 19:38:25
1000.0,1000.0,1000.0,1000.0,100.0,2024-04-28 20:25:42
1020.0,1020.0,1020.0,1020.0,100.0,2024-04-29 18:21:12
1020.0,1020.0,1010.0,1010.0,150.0,2024-04-30 18:46:52
1010.0,1010.0,998.0,998.0,45.0,2024-05-02 20:43:18
1005.0,1005.0,1005.0,1005.0,50.0,2024-05-06 18:59:08
986.7,986.7,986.7,986.7,25.0,2024-05-08 20:08:56
986.2,989.0,986.1,989.0,60.0,2024-05-09 20:15:22
1006.0,1020.0,1006.0,1020.0,75.0,2024-05-13 19:10:55
1015.0,1015.0,1007.1,1007.1,150.0,2024-05-15 20:34:05
1006.0,1026.0,1006.0,1026.0,150.0,2024-05-20 20:13:00
1005.5,1005.5,1005.5,1005.5,25.0,2024-05-22 17:35:20
1000.0,1001.0,1000.0,1001.0,200.0,2024-05-27 19:36:30
988.3,988.3,988.3,988.3,25.0,2024-05-30 20:44:23
995.0,1000.0,995.0,1000.0,50.0,2024-06-02 19:25:59
987.2,987.2,985.1,985.1,55.0,2024-06-03 20:06:40
990.5,990.5,990.5,990.5,25.0,2024-06-05 20:39:30
984.0,984.0,984.0,984.0,50.0,2024-06-09 20:42:53
1001.0,1003.0,1001.0,1003.0,75.0,2024-06-10 19:45:44
986.9,986.9,986.9,986.9,100.0,2024-06-11 19:41:01
985.5,985.5,985.5,985.5,25.0,2024-06-12 20:16:46
1005.0,1005.0,998.0,998.0,140.0,2024-06-16 20:44:02
985.0,985.0,985.0,985.0,25.0,2024-06-19 17:24:29
1003.0,1004.7,1003.0,1004.7,85.0,2024-06-20 20:42:15
989.0,989.0,989.0,989.0,125.0,2024-06-24 17:42:19
991.0,996.1,991.0,996.1,100.0,2024-06-25 20:42:12
997.5,997.5,997.5,997.5,25.0,2024-06-26 20:44:39
999.0,1015.0,996.0,1015.0,250.0,2024-06-27 20:10:10
1015.0,1015.0,1015.0,1015.0,30.0,2024-06-30 18:15:03
1000.0,1020.0,1000.0,1020.0,50.0,2024-07-01 20:38:41
1000.0,1000.0,986.1,986.1,50.0,2024-07-07 20:44:36
993.0,993.0,993.0,993.0,25.0,2024-07-09 20:02:31
1008.0,1012.0,1008.0,1012.0,50.0,2024-07-10 19:55:11
1025.0,1025.0,1025.0,1025.0,50.0,2024-07-11 19:22:11
1005.0,1005.0,1005.0,1005.0,100.0,2024-07-16 18:45:13
985.0,985.0,980.0,980.0,200.0,2024-07-17 20:04:57
990.0,999.6,990.0,999.6,750.0,2024-07-18 19:35:05
990.0,1002.0,990.0,1002.0,125.0,2024-07-22 20:44:48
999.0,1000.0,999.0,1000.0,275.0,2024-07-23 19:03:56
985.0,997.0,985.0,985.0,155.0,2024-07-24 20:27:10
995.0,1010.0,991.0,1014.9,215.0,2024-07-25 19:54:30
995.0,995.1,995.0,995.1,250.0,2024-07-28 20:44:10
995.1,1000.0,990.0,1000.0,175.0,2024-07-29 20:29:23
990.0,995.0,990.0,995.0,75.0,2024-07-30 20:27:38
997.5,997.5,997.5,997.5,10.0,2024-07-31 20:25:46
1000.0,1000.1,1000.0,1000.1,150.0,2024-08-05 20:37:15
1000.0,1000.0,990.0,990.1,375.0,2024-08-06 20:45:00
1009.5,1009.5,1009.5,1009.5,55.0,2024-08-07 17:45:52
995.0,995.0,995.0,995.0,20.0,2024-08-08 20:34:38
995.0,995.0,995.0,995.0,85.0,2024-08-11 19:48:53
995.0,1014.8,995.0,1014.8,90.0,2024-08-12 20:43:26
1025.0,1045.5,1005.0,1045.5,7667.0,2024-08-13 20:20:12
1035.0,1061.0,1035.0,1061.0,7702.0,2024-08-21 20:29:52
1061.0,1061.0,1040.0,1040.0,7622.0,2024-08-25 20:06:13
1020.0,1020.0,983.5,983.5,500.0,2024-08-27 20:35:59
991.2,1011.0,991.2,1011.0,400.0,2024-08-28 20:27:32
1005.0,1005.0,1005.0,1005.0,25.0,2024-08-29 19:19:27
1003.0,1009.0,1003.0,1008.0,50.0,2024-09-01 19:16:42
1008.0,1060.0,1008.0,1060.0,325.0,2024-09-02 18:56:11
1039.0,1039.0,1039.0,1039.0,30.0,2024-09-03 19:55:36
1019.0,1019.0,1007.1,1007.1,150.0,2024-09-04 20:39:19
1006.2,1006.2,1006.2,1006.2,25.0,2024-09-05 20:30:28
1010.0,1030.2,1010.0,1030.2,125.0,2024-09-08 20:13:18
1016.0,1016.0,1016.0,1016.0,75.0,2024-09-09 20:36:47
1017.0,1017.0,1017.0,1017.0,50.0,2024-09-10 20:06:47
1020.0,1020.0,1020.0,1020.0,25.0,2024-09-11 19:12:14
1020.0,1072.0,1020.0,1030.0,474.0,2024-09-12 20:10:25
1025.0,1027.0,1025.0,1027.0,75.0,2024-09-15 20:26:18
1030.0,1047.5,1030.0,1047.5,250.0,2024-09-18 19:11:13
1031.0,1031.0,1031.0,1031.0,25.0,2024-09-22 19:12:14
1050.0,1069.9,1050.0,1069.9,915.0,2024-09-23 18:09:58
1049.0,1049.0,1049.0,1049.0,15.0,2024-09-24 20:19:39
1029.0,1029.0,1029.0,1029.0,25.0,2024-09-25 18:28:12
1035.0,1035.0,1035.0,1035.0,100.0,2024-09-29 19:46:20
1035.0,1072.0,1035.0,1072.0,465.0,2024-09-30 17:12:51
1050.7,1050.7,1031.0,1031.0,50.0,2024-10-01 20:35:39
1032.0,1052.0,1032.0,1052.0,150.0,2024-10-02 20:26:21
1040.0,1040.0,1040.0,1040.0,205.0,2024-10-09 17:29:34
1040.0,1040.0,1040.0,1040.0,205.0,2024-10-09 17:29:34
1040.0,1060.0,1040.0,1060.0,200.0,2024-10-15 20:01:44
1072.0,1072.0,1050.6,1050.6,125.0,2024-10-16 19:40:44
1040.0,1040.0,1040.0,1040.0,25.0,2024-10-17 17:36:44
1055.0,1060.8,1055.0,1060.8,630.0,2024-10-20 20:12:47
1072.0,1072.0,1072.0,1072.0,380.0,2024-10-21 19:07:18
1072.0,1075.0,1072.0,1075.0,100.0,2024-10-22 20:21:41
1093.4,1093.4,1093.4,1093.4,10.0,2024-10-23 17:04:25
1072.0,1072.0,1055.0,1055.0,655.0,2024-10-27 20:06:31
1075.0,1075.0,1065.0,1065.0,150.0,2024-10-28 20:43:12
1086.3,1100.0,1086.3,1100.0,9900.0,2024-10-29 18:34:37
1100.0,1100.0,1078.0,1078.0,45.0,2024-11-06 20:04:11
