open,high,low,close,volume,date
10.0,10.0,10.0,10.0,100.0,2024-05-05 16:30:00
9.9,9.9,9.71,9.71,200.0,2024-05-06 19:36:57
9.52,9.52,8.73,8.73,2910.0,2024-05-08 20:29:19
8.56,8.56,7.95,7.99,13315.0,2024-05-09 20:41:01
7.95,8.2,7.88,8.01,3900.0,2024-05-12 20:42:00
8.01,8.18,7.97,8.07,6610.0,2024-05-13 20:38:21
8.07,8.28,8.07,8.14,2800.0,2024-05-14 20:36:35
8.14,8.4,8.0,8.11,3762.0,2024-05-15 20:17:00
8.0,8.04,8.0,8.03,3100.0,2024-05-16 19:14:40
8.0,8.05,8.0,8.05,3400.0,2024-05-19 20:19:42
8.0,8.53,8.0,8.21,2400.0,2024-05-20 20:32:43
8.05,8.2,8.05,8.2,1400.0,2024-05-21 20:42:02
8.04,8.52,8.04,8.52,1400.0,2024-05-22 20:33:46
8.35,8.35,8.19,8.19,200.0,2024-05-26 20:11:13
8.19,8.67,8.19,8.67,2200.0,2024-05-27 20:41:01
8.5,8.5,8.34,8.34,500.0,2024-05-29 19:28:46
8.18,8.5,8.02,8.13,1700.0,2024-05-30 20:27:59
7.99,8.21,7.99,8.08,2800.0,2024-06-02 20:44:12
8.2,8.22,8.1,8.13,1250.0,2024-06-03 20:19:33
8.01,8.31,8.01,8.31,1200.0,2024-06-04 20:39:56
8.15,8.15,8.15,8.15,500.0,2024-06-05 20:17:04
8.15,8.34,7.99,8.34,2800.0,2024-06-06 20:39:10
8.5,8.5,8.02,8.18,1900.0,2024-06-09 20:38:11
8.02,8.2,7.86,8.2,7100.0,2024-06-10 20:43:15
8.11,8.36,8.11,8.36,720.0,2024-06-11 20:07:51
8.45,8.45,8.15,8.4,2410.0,2024-06-12 20:44:27
8.45,8.62,8.29,8.46,6400.0,2024-06-13 20:01:12
8.3,8.3,8.3,8.3,100.0,2024-06-16 20:18:35
8.14,8.16,8.0,8.16,1300.0,2024-06-18 20:44:14
8.0,8.0,7.91,7.91,300.0,2024-06-19 18:00:57
7.77,7.92,7.77,7.92,1300.0,2024-06-20 20:18:05
7.95,7.96,7.95,7.96,550.0,2024-06-23 18:34:00
7.95,8.16,7.95,8.03,1100.0,2024-06-24 20:25:21
7.98,8.35,7.96,8.06,1600.0,2024-06-25 19:37:16
8.0,8.22,8.0,8.06,1500.0,2024-06-26 20:23:49
8.0,8.64,8.0,8.33,10930.0,2024-06-27 20:27:43
8.17,8.33,8.17,8.33,200.0,2024-06-30 18:52:25
8.17,8.17,8.03,8.03,500.0,2024-07-01 19:12:50
7.87,8.0,7.87,7.95,500.0,2024-07-02 19:07:35
7.97,8.2,7.97,8.2,1000.0,2024-07-03 20:44:53
8.08,8.4,8.08,8.4,3000.0,2024-07-04 20:20:38
8.24,8.56,8.09,8.24,2520.0,2024-07-07 20:37:23
8.09,8.2,8.09,8.2,1100.0,2024-07-08 20:18:24
8.06,8.45,8.06,8.35,3700.0,2024-07-09 20:41:23
8.36,8.7,8.36,8.7,1300.0,2024-07-10 19:24:01
8.87,9.4,8.87,9.35,9800.0,2024-07-11 20:03:48
9.5,9.68,9.3,9.68,5020.0,2024-07-14 18:34:54
9.75,10.04,9.28,10.0,32780.0,2024-07-15 19:23:39
10.0,10.1,9.9,9.9,3200.0,2024-07-17 20:09:35
9.71,9.71,9.33,9.33,2750.0,2024-07-18 20:41:43
9.5,9.5,9.13,9.13,3450.0,2024-07-21 20:32:16
9.13,9.13,8.95,9.01,900.0,2024-07-22 20:29:53
8.83,9.3,8.83,9.01,900.0,2024-07-23 20:39:03
8.83,9.1,8.66,9.1,4900.0,2024-07-24 20:31:18
9.1,9.1,8.9,9.1,1200.0,2024-07-25 20:44:14
9.0,9.18,9.0,9.01,4190.0,2024-07-28 20:27:35
9.1,9.12,8.95,9.0,3250.0,2024-07-29 18:50:36
9.0,9.18,9.0,9.1,36320.0,2024-07-30 20:38:21
9.1,9.15,8.98,9.14,62480.0,2024-07-31 20:44:57
9.3,9.39,9.13,9.39,27710.0,2024-08-01 20:36:19
9.21,9.21,9.03,9.12,3850.0,2024-08-05 20:30:08
9.0,9.01,8.94,8.94,8400.0,2024-08-06 20:45:00
8.8,8.9,8.8,8.83,2400.0,2024-08-07 20:39:07
8.83,8.83,8.72,8.79,1300.0,2024-08-08 20:32:12
8.95,9.33,8.95,9.33,6700.0,2024-08-11 20:42:17
9.35,9.35,9.02,9.02,20900.0,2024-08-12 20:44:22
9.0,9.25,9.0,9.25,528750.0,2024-08-13 20:39:40
9.3,9.61,9.25,9.45,17900.0,2024-08-14 20:44:41
9.3,9.6,9.18,9.41,9220.0,2024-08-15 20:31:14
9.41,9.5,9.41,9.46,14100.0,2024-08-18 20:44:29
9.28,9.46,9.28,9.38,2350.0,2024-08-21 20:38:45
9.2,9.7,9.02,9.27,6800.0,2024-08-22 20:32:48
9.1,9.25,9.1,9.11,610.0,2024-08-25 20:39:40
8.93,9.28,8.93,9.28,2350.0,2024-08-27 20:40:36
9.28,9.28,9.1,9.28,3310.0,2024-08-28 20:32:53
9.1,9.28,9.1,9.28,5851.0,2024-08-29 20:44:09
9.3,9.3,9.2,9.25,3200.0,2024-09-01 20:29:07
9.25,9.58,9.25,9.58,8700.0,2024-09-02 20:42:44
9.39,9.39,9.39,9.39,2200.0,2024-09-03 20:26:10
9.21,9.21,9.04,9.04,2700.0,2024-09-04 20:26:17
9.03,9.18,9.0,9.18,2950.0,2024-09-05 19:23:29
9.18,9.3,8.92,8.92,9600.0,2024-09-08 20:29:36
8.75,8.78,8.46,8.6,4150.0,2024-09-09 20:34:22
8.77,8.95,8.77,8.95,1740.0,2024-09-10 19:07:33
8.78,8.78,8.51,8.6,700.0,2024-09-11 19:59:33
8.44,8.95,8.44,8.78,1201.0,2024-09-12 20:39:07
8.61,8.61,8.45,8.51,920.0,2024-09-15 20:28:43
8.5,8.58,8.42,8.58,900.0,2024-09-16 20:22:47
8.58,8.58,8.43,8.58,700.0,2024-09-18 19:57:15
8.58,8.75,8.5,8.75,801.0,2024-09-22 20:44:53
8.75,8.75,8.61,8.7,1650.0,2024-09-23 20:39:59
8.85,8.87,8.68,8.7,9600.0,2024-09-24 20:17:34
8.62,8.8,8.61,8.8,2601.0,2024-09-25 20:23:22
8.63,8.8,8.47,8.47,2700.0,2024-09-26 20:31:37
8.47,9.02,8.47,9.02,1100.0,2024-09-29 20:44:14
8.84,9.92,8.51,9.92,2400.0,2024-09-30 20:44:14
9.73,10.91,8.92,10.7,4550.0,2024-10-01 20:44:59
10.9,10.9,10.29,10.29,775.0,2024-10-02 20:29:46
10.09,10.09,9.32,9.32,1650.0,2024-10-06 19:36:09
9.14,9.14,8.62,8.63,19511.0,2024-10-07 19:43:01
8.8,8.8,8.7,8.7,900.0,2024-10-08 19:01:25
8.87,9.4,8.87,9.22,500.0,2024-10-09 19:01:23
8.87,9.4,8.87,9.22,500.0,2024-10-09 19:01:23
9.04,9.04,9.04,9.04,200.0,2024-10-15 18:44:37
9.2,9.2,9.04,9.04,600.0,2024-10-16 20:05:21
8.91,9.04,8.9,9.04,700.0,2024-10-17 19:46:12
8.86,9.22,8.86,9.06,7350.0,2024-10-20 20:11:28
9.2,9.2,9.02,9.2,2675.0,2024-10-21 20:29:44
9.02,9.41,8.67,9.41,7450.0,2024-10-22 20:42:25
9.58,9.58,9.22,9.22,3000.0,2024-10-23 20:37:45
9.05,9.05,8.87,8.92,2800.0,2024-10-24 20:27:27
8.96,8.96,8.78,8.78,5600.0,2024-10-27 19:30:04
8.95,9.29,8.94,9.29,26260.0,2024-10-28 20:38:15
9.47,9.47,9.16,9.16,700.0,2024-10-29 20:31:15
9.0,9.18,9.0,9.18,600.0,2024-10-30 19:29:16
9.01,9.18,9.0,9.18,1200.0,2024-11-05 20:26:41
9.11,9.2,9.11,9.2,3300.0,2024-11-06 20:34:39
