open,high,low,close,volume,date
70.03,70.83,70.03,70.83,50.0,2011-07-17 05:45:00
70.43,70.43,70.43,70.43,20.0,2011-07-19 05:45:00
70.83,72.17,70.83,72.17,220.0,2011-07-20 05:45:00
72.62,72.62,72.62,72.62,10.0,2011-07-24 05:45:00
72.62,73.07,72.62,73.07,30.0,2011-07-25 05:45:00
73.17,73.17,73.17,73.17,10.0,2011-07-26 05:45:00
72.92,72.92,72.92,72.92,50.0,2011-07-28 05:45:00
73.37,73.82,73.37,73.82,20.0,2011-08-01 05:45:00
74.27,75.26,74.27,75.26,70.0,2011-08-02 05:45:00
75.76,75.76,75.76,75.76,50.0,2011-08-03 05:45:00
75.76,76.26,75.76,76.26,520.0,2011-08-04 05:45:00
76.26,76.36,76.26,76.36,40.0,2011-08-07 05:45:00
76.36,76.91,76.36,76.85,650.0,2011-08-09 05:45:00
77.46,77.46,76.96,76.96,640.0,2011-08-10 05:45:00
77.11,77.11,77.11,77.11,70.0,2011-08-17 05:45:00
76.56,76.56,75.51,76.01,550.0,2011-08-22 05:45:00
76.01,76.01,76.01,76.01,40.0,2011-08-23 05:45:00
76.01,76.11,76.01,76.11,210.0,2011-08-28 05:45:00
76.11,76.11,76.11,76.11,10.0,2011-08-30 05:45:00
76.11,76.11,76.11,76.11,430.0,2011-09-01 05:45:00
75.61,75.61,75.12,75.12,70.0,2011-09-06 05:45:00
74.61,75.61,74.61,75.61,200.0,2011-09-29 05:45:00
75.61,75.61,75.61,75.61,60.0,2011-10-09 05:45:00
75.86,76.36,75.86,76.36,210.0,2011-10-12 05:45:00
76.85,76.85,76.85,76.85,150.0,2011-10-13 05:45:00
77.11,77.11,76.85,76.85,80.0,2011-10-17 05:45:00
76.85,77.36,76.85,76.85,180.0,2011-10-18 05:45:00
76.31,76.8,76.31,76.8,40.0,2011-10-19 05:45:00
77.11,77.11,77.11,77.11,100.0,2011-10-23 05:45:00
77.65,77.65,77.65,77.65,50.0,2011-10-24 05:45:00
77.11,77.65,77.11,77.65,120.0,2011-10-30 05:45:00
77.96,78.5,77.96,78.5,200.0,2011-10-31 05:45:00
78.5,78.85,78.5,78.85,250.0,2011-11-10 05:45:00
78.35,78.35,77.86,77.86,200.0,2011-11-17 05:45:00
77.86,77.86,77.86,77.86,130.0,2011-11-23 05:45:00
77.3,77.3,76.26,76.26,500.0,2011-12-07 05:45:00
76.11,76.11,76.11,76.11,10.0,2011-12-08 05:45:00
76.11,76.11,74.12,74.12,1430.0,2011-12-11 05:45:00
