open,high,low,close,volume,date
93.24,93.24,93.24,93.24,41.0,2014-10-14 05:45:00
94.59,99.95,94.59,99.95,320.0,2014-10-27 05:45:00
103.53,103.53,103.53,103.53,20.0,2014-11-02 05:45:00
105.1,106.66,105.1,106.66,30.0,2014-11-03 05:45:00
108.23,112.92,108.23,112.92,40.0,2014-11-11 05:45:00
115.16,115.16,115.16,115.16,10.0,2014-11-17 05:45:00
116.94,124.1,116.94,124.1,163.0,2014-11-18 05:45:00
125.89,133.94,125.89,133.94,51.0,2014-11-19 05:45:00
135.95,142.43,135.95,142.43,120.0,2014-11-20 05:45:00
144.67,154.06,144.67,154.06,51.0,2014-11-23 05:45:00
156.52,166.81,156.52,166.81,152.0,2014-11-24 05:45:00
169.5,180.9,169.5,180.9,3404.0,2014-11-25 05:45:00
183.8,187.82,167.25,171.95,8526.0,2014-11-30 05:45:00
170.83,170.83,162.77,163.9,3619.0,2014-12-01 05:45:00
163.23,163.23,157.19,157.85,1721.0,2014-12-02 05:45:00
156.97,158.76,155.4,155.4,1176.0,2014-12-03 05:45:00
156.52,160.32,156.3,156.52,938.0,2014-12-04 05:45:00
156.52,158.76,155.4,158.76,639.0,2014-12-07 05:45:00
158.53,160.99,154.29,154.5,672.0,2014-12-08 05:45:00
155.4,155.4,151.16,154.29,718.0,2014-12-09 05:45:00
156.52,157.63,153.84,154.29,1625.0,2014-12-10 05:45:00
156.3,156.52,153.84,156.52,824.0,2014-12-11 05:45:00
158.3,164.12,158.3,162.11,1044.0,2014-12-14 05:45:00
162.11,163.23,158.76,163.23,913.0,2014-12-15 05:45:00
162.11,163.23,154.73,158.3,567.0,2014-12-16 05:45:00
160.77,163.23,157.63,158.76,1116.0,2014-12-17 05:45:00
156.52,158.76,154.5,158.76,154.0,2014-12-18 05:45:00
156.52,160.55,156.3,160.55,605.0,2014-12-21 05:45:00
161.22,161.22,156.07,156.52,478.0,2014-12-22 05:45:00
156.3,156.3,152.05,153.17,1667.0,2014-12-23 05:45:00
152.05,154.29,152.05,154.29,1124.0,2014-12-24 05:45:00
152.5,158.97,152.5,158.76,1836.0,2014-12-28 05:45:00
158.76,158.76,156.52,156.74,414.0,2014-12-29 05:45:00
159.2,167.47,158.76,167.47,3374.0,2014-12-31 05:45:00
168.59,177.76,165.02,174.18,2297.0,2015-01-01 05:45:00
171.71,181.11,171.28,180.67,2597.0,2015-01-04 05:45:00
182.23,187.37,176.64,184.91,3742.0,2015-01-05 05:45:00
