open,high,low,close,volume,date
66.68,66.68,63.01,63.13,85563.0,2011-07-15 05:45:00
75.14,78.56,75.14,75.14,1674.0,2011-07-17 05:45:00
75.14,80.45,75.14,76.15,3032.0,2011-07-18 05:45:00
76.28,76.91,74.0,76.53,3824.0,2011-07-19 05:45:00
76.28,76.28,73.75,75.27,2115.0,2011-07-20 05:45:00
74.51,74.51,73.37,73.37,3379.0,2011-07-21 05:45:00
73.12,73.12,69.32,69.32,2463.0,2011-07-24 05:45:00
68.57,69.2,68.57,69.2,494.0,2011-07-25 05:45:00
68.57,69.32,68.19,68.82,1193.0,2011-07-26 05:45:00
69.2,70.59,69.2,70.21,3014.0,2011-07-27 05:45:00
69.45,70.71,68.69,70.59,6488.0,2011-07-28 05:45:00
69.83,69.83,68.57,68.95,3599.0,2011-07-31 05:45:00
68.31,68.82,67.93,68.44,1071.0,2011-08-01 05:45:00
68.69,68.69,67.93,68.19,1011.0,2011-08-02 05:45:00
67.55,67.55,66.8,67.18,1328.0,2011-08-03 05:45:00
67.18,67.93,66.92,67.93,2783.0,2011-08-04 05:45:00
67.3,67.3,65.28,66.8,23312.0,2011-08-07 05:45:00
67.43,67.43,66.8,66.8,1193.0,2011-08-08 05:45:00
66.67,67.3,66.67,67.05,389.0,2011-08-09 05:45:00
66.67,68.69,66.04,68.69,987.0,2011-08-10 05:45:00
68.06,68.06,66.8,67.3,935.0,2011-08-11 05:45:00
66.92,66.92,66.42,66.8,3459.0,2011-08-15 05:45:00
67.43,68.06,65.53,68.06,5214.0,2011-08-16 05:45:00
68.69,68.69,68.06,68.69,191.0,2011-08-17 05:45:00
68.69,68.69,66.8,66.8,2261.0,2011-08-18 05:45:00
67.43,68.06,67.43,68.06,73.0,2011-08-22 05:45:00
68.57,68.57,68.57,68.57,31.0,2011-08-23 05:45:00
69.2,69.2,68.69,68.69,149.0,2011-08-24 05:45:00
69.32,69.32,66.8,66.8,686.0,2011-08-25 05:45:00
66.8,66.92,65.66,65.66,1489.0,2011-08-28 05:45:00
66.29,68.19,66.29,68.19,165.0,2011-08-29 05:45:00
68.82,69.45,68.82,69.45,50.0,2011-08-30 05:45:00
68.69,68.69,66.16,66.16,10143.0,2011-09-01 05:45:00
66.54,68.06,66.16,68.06,2391.0,2011-09-04 05:45:00
67.43,67.43,65.53,65.53,2611.0,2011-09-05 05:45:00
64.9,64.9,64.27,64.9,542.0,2011-09-07 05:45:00
64.27,65.53,64.27,64.9,983.0,2011-09-08 05:45:00
64.27,64.27,64.27,64.27,46.0,2011-09-12 05:45:00
64.9,66.16,64.9,65.53,168.0,2011-09-13 05:45:00
65.03,65.41,64.27,65.41,4209.0,2011-09-14 05:45:00
66.04,66.04,63.26,65.28,26194.0,2011-09-15 05:45:00
65.91,65.91,65.91,65.91,46.0,2011-09-18 05:45:00
65.28,65.28,63.0,65.28,4154.0,2011-09-20 05:45:00
64.65,64.65,63.64,63.64,7316.0,2011-09-21 05:45:00
63.64,65.03,63.64,65.03,3417.0,2011-09-22 05:45:00
64.39,64.77,62.37,64.52,152646.0,2011-09-25 05:45:00
64.02,64.9,63.0,64.9,12706.0,2011-09-26 05:45:00
64.9,65.53,64.9,65.53,133.0,2011-09-27 05:45:00
64.9,64.9,64.27,64.27,1859.0,2011-09-29 05:45:00
64.27,64.27,64.27,64.27,3638.0,2011-10-12 05:45:00
64.27,66.04,64.27,66.04,939.0,2011-10-13 05:45:00
65.41,65.41,64.14,64.77,333.0,2011-10-17 05:45:00
64.27,64.27,64.27,64.27,161.0,2011-10-18 05:45:00
64.9,65.41,64.27,65.41,1682.0,2011-10-19 05:45:00
64.77,65.03,64.14,64.14,574.0,2011-10-20 05:45:00
64.27,64.27,64.02,64.27,289.0,2011-10-23 05:45:00
64.9,64.9,64.27,64.27,110.0,2011-10-25 05:45:00
64.9,64.9,64.9,64.9,252.0,2011-10-31 05:45:00
65.53,68.19,65.53,67.93,4129.0,2011-11-02 05:45:00
68.57,68.57,66.04,66.04,248.0,2011-11-03 05:45:00
65.53,65.53,64.9,65.41,576.0,2011-11-06 05:45:00
64.9,64.9,64.9,64.9,647.0,2011-11-08 05:45:00
64.9,64.9,64.14,64.14,475.0,2011-11-09 05:45:00
64.52,64.77,64.27,64.77,330.0,2011-11-10 05:45:00
64.77,64.9,64.77,64.9,309.0,2011-11-13 05:45:00
64.52,64.52,64.52,64.52,21.0,2011-11-14 05:45:00
64.14,64.14,63.64,63.64,1361.0,2011-11-16 05:45:00
64.02,65.53,64.02,65.53,954.0,2011-11-17 05:45:00
65.03,65.03,64.77,64.77,709.0,2011-11-20 05:45:00
65.41,65.53,64.27,65.53,1188.0,2011-11-21 05:45:00
65.53,65.53,64.14,64.14,889.0,2011-11-22 05:45:00
64.27,64.77,64.27,64.39,388.0,2011-11-23 05:45:00
64.27,64.27,63.64,63.89,553.0,2011-11-24 05:45:00
64.52,64.9,64.27,64.27,351.0,2011-11-28 05:45:00
64.9,64.9,64.9,64.9,55.0,2011-11-29 05:45:00
64.52,64.77,64.52,64.77,633.0,2011-11-30 05:45:00
64.14,64.14,64.14,64.14,24.0,2011-12-01 05:45:00
64.39,64.39,64.39,64.39,92.0,2011-12-04 05:45:00
63.76,64.02,63.26,64.02,1241.0,2011-12-05 05:45:00
63.64,63.64,63.64,63.64,161.0,2011-12-06 05:45:00
63.38,63.38,63.38,63.38,97.0,2011-12-07 05:45:00
63.38,63.64,63.0,63.0,3094.0,2011-12-08 05:45:00
63.13,63.26,62.5,63.0,1301.0,2011-12-11 05:45:00
62.63,62.63,62.5,62.5,183.0,2011-12-12 05:45:00
63.0,63.0,62.88,62.88,119.0,2011-12-13 05:45:00
62.63,63.89,62.63,63.89,459.0,2011-12-14 05:45:00
64.27,64.27,62.5,63.0,5348.0,2011-12-15 05:45:00
64.63,64.63,64.63,64.63,39.0,2011-12-22 05:45:00
64.08,64.91,64.08,64.63,2739.0,2011-12-27 05:45:00
65.19,65.19,64.08,64.08,2227.0,2011-12-28 05:45:00
63.8,63.8,63.52,63.52,862.0,2011-12-29 05:45:00
64.08,64.08,64.08,64.08,792.0,2012-01-01 05:45:00
64.63,65.74,64.08,64.08,1452.0,2012-01-02 05:45:00
64.36,65.46,64.36,65.05,1868.0,2012-01-03 05:45:00
64.49,64.49,63.94,64.08,780.0,2012-01-04 05:45:00
63.52,63.8,63.25,63.8,1111.0,2012-01-05 05:45:00
63.94,63.94,63.94,63.94,194.0,2012-01-08 05:45:00
63.52,63.52,63.39,63.39,242.0,2012-01-09 05:45:00
63.25,63.8,63.25,63.8,1725.0,2012-01-11 05:45:00
63.94,64.63,63.39,64.63,1422.0,2012-01-12 05:45:00
64.63,64.63,64.08,64.08,211.0,2012-01-17 05:45:00
63.66,63.66,63.39,63.52,651.0,2012-01-18 05:45:00
63.25,63.8,63.25,63.25,811.0,2012-01-22 05:45:00
63.52,63.52,63.25,63.25,220.0,2012-01-23 05:45:00
63.25,63.52,63.25,63.52,564.0,2012-01-25 05:45:00
63.39,63.39,63.25,63.25,1650.0,2012-01-26 05:45:00
62.97,63.52,62.97,63.25,130778.0,2012-01-31 05:45:00
