open,high,low,close,volume,date
51.62,51.62,46.62,46.62,476.0,2011-07-15 05:45:00
55.79,56.62,55.79,56.62,300.0,2011-07-17 05:45:00
57.03,57.87,56.62,56.83,1465.0,2011-07-18 05:45:00
57.03,57.46,56.83,57.46,3110.0,2011-07-19 05:45:00
57.46,57.46,56.62,56.62,2014.0,2011-07-20 05:45:00
56.83,56.83,56.2,56.2,934.0,2011-07-21 05:45:00
56.62,56.62,56.62,56.62,9.0,2011-07-22 05:45:00
55.79,55.79,55.79,55.79,80.0,2011-07-24 05:45:00
55.37,55.37,55.37,55.37,150.0,2011-07-26 05:45:00
55.16,55.37,54.95,55.37,462.0,2011-07-27 05:45:00
55.16,55.99,55.16,55.79,600.0,2011-07-28 05:45:00
55.37,55.37,54.95,54.95,170.0,2011-07-31 05:45:00
54.95,54.95,54.95,54.95,510.0,2011-08-01 05:45:00
55.16,55.16,53.7,53.7,1449.0,2011-08-02 05:45:00
53.7,53.91,53.07,53.5,1774.0,2011-08-03 05:45:00
53.07,53.07,52.46,53.07,2036.0,2011-08-04 05:45:00
53.28,53.28,53.28,53.28,6.0,2011-08-05 05:45:00
53.5,53.5,53.07,53.07,123.0,2011-08-07 05:45:00
52.87,52.87,52.87,52.87,232.0,2011-08-08 05:45:00
52.46,52.46,51.4,51.62,1419.0,2011-08-09 05:45:00
52.03,52.46,52.03,52.03,3256.0,2011-08-10 05:45:00
52.46,52.46,52.46,52.46,157.0,2011-08-11 05:45:00
52.66,52.66,52.66,52.66,305.0,2011-08-15 05:45:00
52.25,52.25,51.83,51.83,257.0,2011-08-16 05:45:00
51.83,51.83,51.62,51.62,1190.0,2011-08-17 05:45:00
52.03,52.46,51.62,52.46,650.0,2011-08-18 05:45:00
52.03,52.03,51.4,51.4,583.0,2011-08-24 05:45:00
51.0,51.0,50.16,50.16,4577.0,2011-08-25 05:45:00
50.16,50.16,50.16,50.16,360.0,2011-08-28 05:45:00
49.95,49.95,49.54,49.95,3273.0,2011-08-29 05:45:00
50.36,51.0,50.36,51.0,115.0,2011-08-30 05:45:00
51.4,51.83,51.4,51.62,968.0,2011-09-01 05:45:00
49.95,49.95,49.95,49.95,2000.0,2011-09-02 05:45:00
52.03,52.03,51.62,52.03,800.0,2011-09-04 05:45:00
51.2,51.2,49.95,49.95,1090.0,2011-09-05 05:45:00
49.54,49.54,48.48,48.91,14168.0,2011-09-06 05:45:00
49.33,50.16,49.33,49.95,1569.0,2011-09-12 05:45:00
50.36,50.79,49.95,50.36,1133.0,2011-09-13 05:45:00
49.95,50.58,49.95,49.95,2299.0,2011-09-14 05:45:00
49.54,49.54,49.54,49.54,435.0,2011-09-18 05:45:00
49.74,51.2,49.74,51.2,707.0,2011-09-20 05:45:00
51.4,51.4,50.79,50.79,969.0,2011-09-21 05:45:00
50.79,51.4,50.79,51.4,380.0,2011-09-22 05:45:00
51.4,51.83,51.4,51.83,667.0,2011-09-25 05:45:00
51.4,51.4,50.16,50.79,10533.0,2011-09-26 05:45:00
51.2,52.87,51.2,52.25,2829.0,2011-09-27 05:45:00
51.83,51.83,50.58,50.58,5575.0,2011-09-29 05:45:00
51.0,51.2,51.0,51.2,2074.0,2011-10-02 05:45:00
