open,high,low,close,volume,date
1000.0,1050.0,1000.0,1050.0,1325.0,2021-04-26 05:45:00
1046.0,1047.0,1046.0,1047.0,125.0,2021-04-27 05:45:00
1047.0,1047.0,1046.0,1046.0,150.0,2021-04-28 05:45:00
1066.0,1066.0,1045.0,1045.0,115.0,2021-05-02 20:45:00
1046.0,1046.0,1046.0,1046.0,60.0,2021-05-03 20:45:00
1030.0,1048.0,1030.0,1048.0,75.0,2021-05-04 20:45:00
1050.0,1050.0,1050.0,1050.0,25.0,2021-05-05 20:45:00
1052.0,1052.0,1052.0,1052.0,25.0,2021-05-09 20:45:00
1052.0,1052.0,1052.0,1052.0,25.0,2021-05-10 20:45:00
1065.0,1073.0,1065.0,1073.0,50.0,2021-05-13 20:45:00
1052.0,1052.0,1052.0,1052.0,100.0,2021-05-16 20:45:00
1060.0,1060.0,1060.0,1060.0,50.0,2021-05-18 20:45:00
1060.0,1060.0,1055.0,1055.0,100.0,2021-05-23 20:45:00
1055.0,1055.0,1055.0,1055.0,50.0,2021-05-24 20:45:00
1065.0,1065.0,1060.0,1060.0,175.0,2021-05-30 20:45:00
1058.0,1058.0,1058.0,1058.0,25.0,2021-06-07 20:45:00
1065.0,1065.0,1065.0,1065.0,525.0,2021-06-08 20:45:00
1061.0,1061.0,1061.0,1061.0,100.0,2021-06-09 20:45:00
1071.0,1082.0,1071.0,1082.0,75.0,2021-06-20 20:45:00
1082.0,1085.0,1082.0,1085.0,225.0,2021-06-22 20:45:00
1095.0,1095.0,1095.0,1095.0,240.0,2021-06-23 20:45:00
1116.0,1116.0,1116.0,1116.0,820.0,2021-06-27 20:45:00
1116.0,1116.0,1116.0,1116.0,10.0,2021-07-01 20:45:00
1094.0,1094.0,1056.0,1056.0,75.0,2021-07-04 20:45:00
1077.0,1077.0,1077.0,1077.0,10.0,2021-07-07 20:45:00
1098.0,1119.0,1098.0,1119.0,20.0,2021-07-15 20:45:00
1096.68,1097.0,1075.1,1075.1,200.0,2021-08-09 20:45:00
1076.0,1076.0,1076.0,1076.0,75.0,2021-09-26 20:45:00
1055.0,1055.0,1055.0,1055.0,50.0,2021-11-15 20:45:00
1054.0,1055.0,1054.0,1055.0,55.0,2021-11-24 20:45:00
1034.0,1034.0,1034.0,1034.0,10.0,2021-12-13 20:45:00
1020.0,1020.0,1020.0,1020.0,65.0,2021-12-15 20:45:00
1040.0,1040.0,1040.0,1040.0,25.0,2022-01-02 20:45:00
1040.0,1040.0,1040.0,1040.0,50.0,2022-01-04 20:45:00
1021.0,1021.0,1021.0,1021.0,25.0,2022-01-06 20:45:00
1025.0,1025.0,1025.0,1025.0,30.0,2022-01-13 20:45:00
1025.0,1004.5,1004.5,1004.5,25.0,2022-01-16 20:45:00
1000.0,1000.0,1000.0,1000.0,100.0,2022-01-23 20:45:00
980.0,980.0,980.0,980.0,300.0,2022-03-16 20:45:00
960.4,960.4,941.4,941.4,100.0,2022-04-12 20:45:00
943.5,943.5,943.5,943.5,25.0,2022-04-18 20:45:00
962.3,962.3,962.3,962.3,20.0,2022-07-04 20:45:00
981.5,1058.5,981.5,1058.5,65.0,2022-07-15 20:45:00
1037.4,1079.6,1037.4,1079.6,75.0,2022-08-25 20:45:00
1101.1,1101.1,1101.1,1101.1,25.0,2022-08-29 20:45:00
1079.1,1079.1,1015.8,1015.8,60.0,2023-04-09 20:45:00
999.0,999.0,999.0,999.0,500.0,2023-04-11 20:45:00
980.0,980.0,980.0,980.0,10.0,2023-04-16 20:45:00
975.0,975.0,956.0,956.0,28.0,2023-04-17 20:45:00
937.0,940.0,937.0,940.0,70.0,2023-04-18 20:45:00
932.0,932.0,932.0,932.0,130.0,2023-04-20 20:45:00
915.1,915.1,915.0,915.0,25.0,2023-05-02 20:45:00
910.0,910.0,910.0,910.0,25.0,2023-05-15 20:45:00
900.2,900.2,900.1,900.1,40.0,2023-06-06 20:45:00
918.1,919.0,918.1,919.0,65.0,2023-06-12 20:45:00
