open,high,low,close,volume,date
18.34,18.34,18.34,18.34,40.0,2011-07-25 05:45:00
18.34,18.34,18.34,18.34,40.0,2011-07-28 05:45:00
18.19,18.19,18.05,18.05,120.0,2011-08-01 05:45:00
18.05,18.05,17.91,17.91,270.0,2011-08-03 05:45:00
17.91,17.91,17.91,17.91,40.0,2011-08-04 05:45:00
18.05,18.05,18.05,18.05,220.0,2011-08-11 05:45:00
17.91,18.19,17.91,18.05,510.0,2011-08-16 05:45:00
17.91,17.91,17.34,17.34,270.0,2011-08-18 05:45:00
17.21,17.21,16.58,16.71,430.0,2011-08-22 05:45:00
16.58,16.58,16.43,16.43,310.0,2011-08-23 05:45:00
16.43,16.5,16.36,16.5,750.0,2011-08-24 05:45:00
16.5,16.65,16.5,16.58,80.0,2011-08-25 05:45:00
16.5,16.5,16.43,16.5,520.0,2011-08-28 05:45:00
16.58,16.65,16.58,16.65,80.0,2011-08-29 05:45:00
16.5,16.5,16.5,16.5,640.0,2011-08-30 05:45:00
16.43,16.78,16.43,16.78,110.0,2011-09-01 05:45:00
16.65,16.65,16.58,16.58,40.0,2011-09-04 05:45:00
16.5,16.58,16.5,16.58,130.0,2011-09-05 05:45:00
16.71,16.71,16.71,16.71,20.0,2011-09-06 05:45:00
16.86,16.86,16.65,16.65,530.0,2011-09-07 05:45:00
16.5,16.65,16.5,16.65,770.0,2011-09-08 05:45:00
16.58,16.65,16.5,16.65,360.0,2011-09-12 05:45:00
16.78,16.78,16.65,16.65,310.0,2011-09-13 05:45:00
16.78,16.92,16.78,16.78,130.0,2011-09-14 05:45:00
16.78,16.92,16.71,16.92,120.0,2011-09-15 05:45:00
16.92,16.92,16.65,16.71,400.0,2011-09-18 05:45:00
16.58,16.58,16.58,16.58,30.0,2011-09-19 05:45:00
16.5,16.5,16.5,16.5,20.0,2011-09-20 05:45:00
16.65,16.71,16.65,16.65,260.0,2011-09-21 05:45:00
16.65,16.65,16.58,16.58,110.0,2011-09-25 05:45:00
16.43,16.43,16.43,16.43,200.0,2011-10-02 05:45:00
16.36,16.36,16.36,16.36,40.0,2011-10-13 05:45:00
16.43,16.43,16.43,16.43,30.0,2011-10-16 05:45:00
16.43,16.5,16.43,16.5,120.0,2011-10-17 05:45:00
16.5,16.58,16.5,16.58,170.0,2011-10-18 05:45:00
16.58,16.58,16.58,16.58,80.0,2011-10-19 05:45:00
16.58,16.58,16.58,16.58,80.0,2011-10-20 05:45:00
16.58,16.58,16.58,16.58,40.0,2011-10-23 05:45:00
16.58,16.65,16.5,16.65,170.0,2011-10-24 05:45:00
16.71,16.71,16.71,16.71,40.0,2011-10-31 05:45:00
16.86,16.86,16.78,16.86,80.0,2011-11-02 05:45:00
17.0,17.0,16.92,16.92,90.0,2011-11-03 05:45:00
17.06,17.06,17.0,17.0,80.0,2011-11-06 05:45:00
16.86,16.86,16.86,16.86,60.0,2011-11-08 05:45:00
16.86,16.86,16.86,16.86,100.0,2011-11-09 05:45:00
16.86,17.0,16.65,16.65,240.0,2011-11-10 05:45:00
16.65,16.65,16.65,16.65,180.0,2011-11-13 05:45:00
16.78,16.92,16.78,16.92,70.0,2011-11-14 05:45:00
17.06,17.06,17.06,17.06,140.0,2011-11-15 05:45:00
17.0,17.0,17.0,17.0,60.0,2011-11-16 05:45:00
16.86,16.86,16.86,16.86,720.0,2011-11-17 05:45:00
16.86,16.86,16.78,16.78,940.0,2011-11-20 05:45:00
16.71,16.71,16.71,16.71,100.0,2011-11-21 05:45:00
16.86,16.86,16.71,16.71,120.0,2011-11-22 05:45:00
16.71,16.71,16.65,16.65,220.0,2011-11-23 05:45:00
16.65,16.65,16.65,16.65,150.0,2011-11-24 05:45:00
16.78,16.78,16.71,16.78,820.0,2011-11-27 05:45:00
16.71,16.71,16.71,16.71,190.0,2011-11-28 05:45:00
16.78,16.78,16.5,16.5,400.0,2011-11-29 05:45:00
16.65,16.65,16.5,16.5,270.0,2011-11-30 05:45:00
17.33,17.33,17.24,17.24,230.0,2011-12-01 05:45:00
17.24,17.24,17.16,17.16,300.0,2011-12-06 05:45:00
17.09,17.09,17.09,17.09,20.0,2011-12-08 05:45:00
17.0,17.0,16.93,16.93,140.0,2011-12-11 05:45:00
17.0,17.0,17.0,17.0,30.0,2011-12-18 05:45:00
17.09,17.09,16.69,16.69,280.0,2011-12-19 05:45:00
16.78,16.86,16.78,16.86,260.0,2011-12-20 05:45:00
16.93,17.09,16.93,17.09,180.0,2011-12-27 05:45:00
17.0,17.0,16.93,16.93,320.0,2011-12-29 05:45:00
16.86,16.86,16.86,16.86,300.0,2012-01-09 05:45:00
16.78,16.78,16.69,16.69,360.0,2012-01-11 05:45:00
16.62,16.62,16.54,16.54,330.0,2012-01-12 05:45:00
16.47,16.47,16.38,16.38,230.0,2012-01-16 05:45:00
16.47,16.62,16.47,16.62,270.0,2012-01-17 05:45:00
16.69,16.69,16.54,16.54,130.0,2012-01-18 05:45:00
16.47,16.47,16.47,16.47,80.0,2012-01-19 05:45:00
16.54,16.69,16.54,16.62,550.0,2012-01-22 05:45:00
16.69,16.69,16.69,16.69,20.0,2012-01-23 05:45:00
16.78,16.78,16.69,16.78,200.0,2012-01-25 05:45:00
16.86,16.86,16.78,16.78,160.0,2012-01-26 05:45:00
16.86,17.0,16.86,17.0,140.0,2012-01-29 05:45:00
16.93,17.0,16.86,17.0,170.0,2012-01-31 05:45:00
16.93,17.0,16.93,17.0,230.0,2012-02-01 05:45:00
16.93,17.09,16.93,17.09,550.0,2012-02-02 05:45:00
17.09,17.24,17.09,17.24,580.0,2012-02-05 05:45:00
17.16,17.16,17.16,17.16,170.0,2012-02-06 05:45:00
17.24,17.24,17.16,17.16,280.0,2012-02-07 05:45:00
17.24,17.24,17.09,17.09,250.0,2012-02-08 05:45:00
17.16,17.16,17.16,17.16,20.0,2012-02-09 05:45:00
17.16,17.24,17.09,17.09,340.0,2012-02-12 05:45:00
17.16,17.24,17.16,17.16,670.0,2012-02-13 05:45:00
17.24,17.33,17.24,17.33,80.0,2012-02-14 05:45:00
17.33,17.33,17.09,17.09,540.0,2012-02-15 05:45:00
17.16,17.24,17.16,17.24,440.0,2012-02-16 05:45:00
17.16,17.24,17.16,17.24,320.0,2012-02-21 05:45:00
17.24,17.24,17.09,17.09,200.0,2012-02-26 05:45:00
17.09,17.24,17.09,17.16,660.0,2012-02-27 05:45:00
17.09,17.16,17.0,17.0,960.0,2012-02-28 05:45:00
17.0,17.0,17.0,17.0,240.0,2012-02-29 05:45:00
17.09,17.09,17.09,17.09,120.0,2012-03-01 05:45:00
17.09,17.16,17.09,17.16,200.0,2012-03-04 05:45:00
17.16,17.24,17.16,17.16,100.0,2012-03-05 05:45:00
17.16,17.24,17.16,17.24,60.0,2012-03-06 05:45:00
17.39,17.56,17.39,17.39,120.0,2012-03-11 05:45:00
17.56,17.56,17.56,17.56,20.0,2012-03-12 05:45:00
17.56,17.56,17.56,17.56,40.0,2012-03-13 05:45:00
17.39,17.39,17.39,17.39,140.0,2012-03-14 05:45:00
17.24,17.24,17.24,17.24,140.0,2012-03-15 05:45:00
17.16,17.16,17.09,17.09,460.0,2012-03-18 05:45:00
17.0,17.0,16.86,16.86,110.0,2012-03-27 05:45:00
16.86,16.86,16.78,16.78,290.0,2012-03-28 05:45:00
16.86,17.0,16.86,16.93,160.0,2012-03-29 05:45:00
16.86,16.86,16.86,16.86,50.0,2012-04-01 05:45:00
16.86,16.86,16.86,16.86,140.0,2012-04-02 05:45:00
16.78,16.78,16.78,16.78,60.0,2012-04-03 05:45:00
16.86,16.86,16.78,16.78,210.0,2012-04-04 05:45:00
16.86,16.86,16.78,16.86,220.0,2012-04-08 05:45:00
16.78,16.86,16.78,16.86,40.0,2012-04-11 05:45:00
16.93,16.93,16.93,16.93,80.0,2012-04-17 05:45:00
17.0,17.0,17.0,17.0,60.0,2012-04-19 05:45:00
17.09,17.71,17.09,17.71,100.0,2012-04-30 05:45:00
17.86,18.34,17.86,18.17,570.0,2012-05-02 05:45:00
18.34,18.34,18.34,18.34,30.0,2012-05-03 05:45:00
18.48,18.96,18.48,18.96,40.0,2012-05-07 05:45:00
19.11,19.11,19.11,19.11,30.0,2012-05-08 05:45:00
18.96,19.26,18.96,19.26,430.0,2012-05-09 05:45:00
19.34,19.73,19.26,19.73,960.0,2012-05-10 05:45:00
19.58,20.05,19.42,19.89,870.0,2012-05-13 05:45:00
20.05,20.05,20.05,20.05,20.0,2012-05-15 05:45:00
20.2,20.36,20.2,20.2,600.0,2012-05-17 05:45:00
20.36,20.36,20.2,20.27,600.0,2012-05-20 05:45:00
20.05,20.82,20.05,20.82,560.0,2012-05-21 05:45:00
20.97,21.12,20.97,21.12,20.0,2012-05-22 05:45:00
20.89,20.89,20.89,20.89,50.0,2012-05-27 05:45:00
20.74,20.74,19.82,19.82,660.0,2012-06-11 05:45:00
19.64,19.64,18.79,18.79,970.0,2012-06-12 05:45:00
18.79,18.79,18.64,18.79,1090.0,2012-06-13 05:45:00
18.64,18.64,18.41,18.48,460.0,2012-06-14 05:45:00
18.64,18.64,18.41,18.41,260.0,2012-06-17 05:45:00
18.34,18.79,18.34,18.79,420.0,2012-06-18 05:45:00
18.88,18.88,18.79,18.88,210.0,2012-06-19 05:45:00
18.79,18.79,18.79,18.79,180.0,2012-06-20 05:45:00
18.64,18.64,18.64,18.64,60.0,2012-06-21 05:45:00
18.64,18.64,18.48,18.48,60.0,2012-06-25 05:45:00
18.57,18.57,18.57,18.57,40.0,2012-06-26 05:45:00
18.41,18.73,18.41,18.73,100.0,2012-06-27 05:45:00
18.88,18.88,18.79,18.79,60.0,2012-06-28 05:45:00
18.64,18.79,18.64,18.79,280.0,2012-07-01 05:45:00
18.64,18.64,18.64,18.64,80.0,2012-07-02 05:45:00
18.64,18.79,18.64,18.64,260.0,2012-07-03 05:45:00
18.79,18.96,18.79,18.96,30.0,2012-07-05 05:45:00
18.79,18.96,18.79,18.96,160.0,2012-07-09 05:45:00
18.96,18.96,18.79,18.79,160.0,2012-07-10 05:45:00
18.73,19.04,18.73,18.73,320.0,2012-07-12 05:45:00
18.57,18.57,18.57,18.57,20.0,2012-07-15 05:45:00
18.48,18.57,18.48,18.57,120.0,2012-07-16 05:45:00
18.48,18.48,18.48,18.48,30.0,2012-07-17 05:45:00
18.64,18.79,18.64,18.79,220.0,2012-07-18 05:45:00
18.96,18.96,18.79,18.96,80.0,2012-07-19 05:45:00
18.79,18.96,18.79,18.88,290.0,2012-07-22 05:45:00
18.88,19.04,18.88,19.04,550.0,2012-07-23 05:45:00
18.88,19.11,18.88,18.88,690.0,2012-07-24 05:45:00
18.96,19.11,18.96,18.96,150.0,2012-07-25 05:45:00
18.88,18.96,18.79,18.96,140.0,2012-07-26 05:45:00
18.79,19.11,18.79,19.11,180.0,2012-07-30 05:45:00
18.96,18.96,18.96,18.96,80.0,2012-07-31 05:45:00
19.11,19.11,19.11,19.11,40.0,2012-08-01 05:45:00
19.04,19.04,19.04,19.04,100.0,2012-08-05 05:45:00
18.88,18.88,18.88,18.88,80.0,2012-08-06 05:45:00
19.04,19.26,19.04,19.26,150.0,2012-08-07 05:45:00
19.26,19.42,19.26,19.34,100.0,2012-08-08 05:45:00
19.26,19.58,19.26,19.58,310.0,2012-08-12 05:45:00
19.73,19.96,19.73,19.82,1030.0,2012-08-13 05:45:00
19.89,19.89,19.82,19.82,270.0,2012-08-14 05:45:00
19.64,19.64,19.64,19.64,40.0,2012-08-15 05:45:00
19.82,19.82,19.64,19.73,260.0,2012-08-16 05:45:00
19.89,19.89,19.73,19.73,50.0,2012-08-19 05:45:00
19.58,19.58,19.11,19.19,620.0,2012-08-21 05:45:00
19.19,19.26,18.88,19.11,2390.0,2012-08-22 05:45:00
19.19,19.26,18.96,19.11,1140.0,2012-08-23 05:45:00
19.11,19.26,19.04,19.11,350.0,2012-08-26 05:45:00
19.26,19.26,19.26,19.26,60.0,2012-08-27 05:45:00
19.19,19.34,19.19,19.19,700.0,2012-08-28 05:45:00
19.34,19.34,19.34,19.34,250.0,2012-08-29 05:45:00
19.34,19.96,19.34,19.96,230.0,2012-08-30 05:45:00
19.96,19.96,19.96,19.96,40.0,2012-09-02 05:45:00
19.58,19.58,19.42,19.42,110.0,2012-09-03 05:45:00
19.58,19.58,19.42,19.42,100.0,2012-09-04 05:45:00
19.34,19.34,19.26,19.26,400.0,2012-09-05 05:45:00
19.34,19.64,19.26,19.64,1800.0,2012-09-06 05:45:00
19.82,19.82,19.82,19.82,20.0,2012-09-09 05:45:00
19.64,19.64,19.5,19.64,590.0,2012-09-10 05:45:00
19.58,19.64,19.58,19.64,80.0,2012-09-11 05:45:00
19.5,19.58,19.5,19.58,220.0,2012-09-12 05:45:00
19.58,20.12,19.58,19.96,760.0,2012-09-13 05:45:00
20.12,20.97,20.12,20.97,2870.0,2012-09-16 05:45:00
20.97,20.97,20.67,20.67,170.0,2012-09-17 05:45:00
20.82,21.12,20.67,20.67,900.0,2012-09-18 05:45:00
20.67,20.67,20.44,20.44,920.0,2012-09-19 05:45:00
20.51,20.51,20.36,20.51,250.0,2012-09-20 05:45:00
20.36,20.36,20.36,20.36,210.0,2012-09-23 05:45:00
20.27,20.27,20.27,20.27,180.0,2012-09-24 05:45:00
20.12,20.12,19.96,19.96,180.0,2012-09-26 05:45:00
20.05,20.12,20.05,20.12,500.0,2012-09-27 05:45:00
19.96,19.96,19.96,19.96,220.0,2012-09-30 05:45:00
20.05,20.12,20.05,20.12,100.0,2012-10-01 05:45:00
20.2,20.27,20.12,20.27,140.0,2012-10-03 05:45:00
20.27,20.27,20.27,20.27,50.0,2012-10-04 05:45:00
20.12,20.12,19.96,19.96,100.0,2012-10-08 05:45:00
19.89,19.89,19.73,19.89,200.0,2012-10-09 05:45:00
19.89,19.96,19.82,19.96,340.0,2012-10-10 05:45:00
19.82,19.82,19.82,19.82,40.0,2012-10-11 05:45:00
19.96,20.12,19.96,20.12,220.0,2012-10-14 05:45:00
20.2,20.2,19.96,19.96,270.0,2012-10-18 05:45:00
19.82,19.82,19.82,19.82,190.0,2012-10-30 05:45:00
19.96,19.96,19.96,19.96,190.0,2012-10-31 05:45:00
20.12,20.27,20.12,20.27,240.0,2012-11-04 05:45:00
20.36,20.36,20.2,20.2,90.0,2012-11-05 05:45:00
20.12,20.2,20.12,20.2,660.0,2012-11-06 05:45:00
20.36,20.36,20.36,20.36,30.0,2012-11-07 05:45:00
20.51,21.36,20.51,21.36,770.0,2012-11-08 05:45:00
21.36,21.36,21.12,21.12,510.0,2012-11-11 05:45:00
20.89,20.89,20.89,20.89,220.0,2012-11-12 05:45:00
21.05,21.05,20.97,20.97,160.0,2012-11-18 05:45:00
21.12,21.3,20.89,21.3,2150.0,2012-11-20 05:45:00
21.05,21.05,21.05,21.05,50.0,2012-11-22 05:45:00
20.89,20.89,20.89,20.89,30.0,2012-11-28 05:45:00
20.74,20.74,20.74,20.74,30.0,2012-12-05 05:45:00
21.69,21.69,21.69,21.69,60.0,2012-12-17 05:45:00
21.5,21.5,21.5,21.5,60.0,2012-12-19 05:45:00
21.31,21.31,21.31,21.31,40.0,2012-12-23 05:45:00
21.5,21.5,21.5,21.5,180.0,2012-12-24 05:45:00
21.31,21.31,21.31,21.31,200.0,2012-12-27 05:45:00
21.11,21.11,21.11,21.11,20.0,2012-12-31 05:45:00
21.11,21.11,21.11,21.11,40.0,2013-01-01 05:45:00
20.93,20.93,20.93,20.93,40.0,2013-01-02 05:45:00
21.11,21.11,21.11,21.11,180.0,2013-01-07 05:45:00
21.31,21.31,21.31,21.31,80.0,2013-01-13 05:45:00
21.11,21.31,21.11,21.31,40.0,2013-01-15 05:45:00
21.5,21.69,21.5,21.69,70.0,2013-01-16 05:45:00
21.87,22.35,21.87,22.35,790.0,2013-01-17 05:45:00
22.16,22.16,21.97,21.97,100.0,2013-01-20 05:45:00
22.16,22.53,22.16,22.53,160.0,2013-01-21 05:45:00
22.35,22.72,22.35,22.72,700.0,2013-01-22 05:45:00
22.53,22.53,22.16,22.16,160.0,2013-01-24 05:45:00
22.16,22.16,21.97,21.97,410.0,2013-01-27 05:45:00
21.97,21.97,21.97,21.97,60.0,2013-01-28 05:45:00
22.16,22.35,22.16,22.35,680.0,2013-02-03 05:45:00
22.16,22.16,22.16,22.16,48.0,2013-02-04 05:45:00
21.97,21.97,21.97,21.97,60.0,2013-02-05 05:45:00
21.6,21.69,21.6,21.69,3110.0,2013-02-10 05:45:00
21.87,22.26,21.87,22.26,190.0,2013-02-13 05:45:00
22.16,22.16,22.16,22.16,20.0,2013-02-14 05:45:00
22.16,22.35,22.16,22.35,80.0,2013-02-20 05:45:00
22.16,22.16,22.16,22.16,390.0,2013-02-27 05:45:00
22.35,22.35,22.35,22.35,30.0,2013-02-28 05:45:00
22.16,22.16,22.16,22.16,120.0,2013-03-03 05:45:00
22.35,22.35,22.35,22.35,270.0,2013-03-04 05:45:00
22.53,22.63,22.44,22.63,288.0,2013-03-05 05:45:00
22.81,22.81,22.26,22.26,90.0,2013-03-07 05:45:00
22.07,22.26,22.07,22.26,2024.0,2013-03-11 05:45:00
22.44,22.81,22.44,22.81,110.0,2013-03-17 05:45:00
22.63,22.81,22.63,22.81,620.0,2013-03-18 05:45:00
22.63,22.63,22.53,22.53,520.0,2013-03-20 05:45:00
22.63,22.63,22.63,22.63,20.0,2013-03-21 05:45:00
22.53,22.53,22.53,22.53,970.0,2013-03-28 05:45:00
22.35,22.35,22.16,22.16,290.0,2013-03-31 05:45:00
21.97,21.97,21.78,21.78,50.0,2013-04-02 05:45:00
21.69,21.69,21.69,21.69,12.0,2013-04-03 05:45:00
21.5,21.5,21.5,21.5,120.0,2013-04-07 05:45:00
21.6,21.6,21.6,21.6,10.0,2013-04-08 05:45:00
21.5,21.5,21.5,21.5,120.0,2013-04-09 05:45:00
21.31,21.31,20.93,21.31,160.0,2013-04-15 05:45:00
21.21,21.31,21.11,21.31,220.0,2013-04-16 05:45:00
21.41,21.41,21.41,21.41,30.0,2013-04-17 05:45:00
21.6,21.6,21.6,21.6,20.0,2013-04-21 05:45:00
21.41,21.41,21.21,21.21,2100.0,2013-04-22 05:45:00
21.41,21.6,21.41,21.6,180.0,2013-04-23 05:45:00
21.41,21.41,21.41,21.41,100.0,2013-04-25 05:45:00
21.6,21.6,21.6,21.6,20.0,2013-04-30 05:45:00
21.6,21.87,21.6,21.69,594.0,2013-05-02 05:45:00
21.87,21.87,21.87,21.87,100.0,2013-05-06 05:45:00
21.69,21.87,21.69,21.87,200.0,2013-05-07 05:45:00
22.07,22.07,21.87,21.97,380.0,2013-05-08 05:45:00
21.87,21.87,21.69,21.69,580.0,2013-05-12 05:45:00
21.6,21.6,21.6,21.6,48.0,2013-05-14 05:45:00
21.78,21.78,21.78,21.78,60.0,2013-05-15 05:45:00
21.97,22.63,21.97,22.63,1128.0,2013-05-20 05:45:00
22.44,22.63,22.44,22.44,552.0,2013-05-21 05:45:00
22.26,22.26,22.07,22.07,1060.0,2013-05-23 05:45:00
22.07,22.07,22.07,22.07,72.0,2013-05-26 05:45:00
22.07,22.26,22.07,22.26,84.0,2013-05-27 05:45:00
22.16,22.35,22.16,22.16,372.0,2013-05-28 05:45:00
22.16,22.16,22.16,22.16,72.0,2013-06-02 05:45:00
22.35,22.53,22.35,22.53,100.0,2013-06-03 05:45:00
22.44,22.44,22.44,22.44,96.0,2013-06-04 05:45:00
22.44,22.63,22.44,22.63,180.0,2013-06-05 05:45:00
22.63,22.63,22.63,22.63,48.0,2013-06-06 05:45:00
22.63,22.81,22.63,22.81,238.0,2013-06-09 05:45:00
22.81,22.81,22.81,22.81,24.0,2013-06-10 05:45:00
23.01,23.1,22.53,22.53,160.0,2013-06-11 05:45:00
22.63,22.91,22.63,22.72,760.0,2013-06-12 05:45:00
22.63,22.81,22.44,22.81,344.0,2013-06-13 05:45:00
22.63,22.63,22.53,22.53,296.0,2013-06-16 05:45:00
22.53,22.53,22.53,22.53,12.0,2013-06-17 05:45:00
22.44,22.44,22.35,22.44,140.0,2013-06-18 05:45:00
22.26,23.1,22.26,23.1,2414.0,2013-06-20 05:45:00
22.91,22.91,22.72,22.72,1252.0,2013-06-23 05:45:00
22.53,22.53,22.53,22.53,24.0,2013-06-24 05:45:00
22.35,22.35,22.26,22.35,232.0,2013-06-25 05:45:00
22.53,22.63,22.44,22.44,264.0,2013-06-26 05:45:00
22.63,22.63,22.63,22.63,114.0,2013-06-27 05:45:00
22.53,22.53,22.53,22.53,24.0,2013-06-30 05:45:00
22.53,22.72,22.53,22.72,1370.0,2013-07-01 05:45:00
22.81,22.81,22.81,22.81,72.0,2013-07-02 05:45:00
22.63,22.63,22.44,22.44,1478.0,2013-07-03 05:45:00
22.35,22.53,22.26,22.53,528.0,2013-07-04 05:45:00
22.44,22.44,22.44,22.44,188.0,2013-07-07 05:45:00
22.44,22.44,22.44,22.44,216.0,2013-07-08 05:45:00
22.26,22.44,22.26,22.44,60.0,2013-07-14 05:45:00
22.35,22.35,22.35,22.35,96.0,2013-07-15 05:45:00
22.44,22.63,22.44,22.44,264.0,2013-07-16 05:45:00
22.44,22.44,22.44,22.44,72.0,2013-07-17 05:45:00
22.63,22.81,22.63,22.81,352.0,2013-07-18 05:45:00
22.81,22.81,22.81,22.81,10.0,2013-07-19 05:45:00
23.01,23.01,23.01,23.01,290.0,2013-07-22 05:45:00
23.01,23.01,23.01,23.01,16.0,2013-07-24 05:45:00
23.1,23.1,22.91,22.91,152.0,2013-07-25 05:45:00
22.91,23.29,22.91,23.29,382.0,2013-07-28 05:45:00
23.48,23.56,23.48,23.56,2326.0,2013-07-29 05:45:00
23.84,23.84,23.84,23.84,24.0,2013-08-01 05:45:00
23.84,23.84,23.84,23.84,16.0,2013-08-02 05:45:00
24.13,24.13,23.84,23.84,1162.0,2013-08-04 05:45:00
23.56,23.56,23.56,23.56,48.0,2013-08-05 05:45:00
23.29,23.29,23.29,23.29,112.0,2013-08-07 05:45:00
23.48,23.56,23.48,23.48,264.0,2013-08-08 05:45:00
23.48,23.66,23.48,23.66,192.0,2013-08-11 05:45:00
23.94,24.23,23.84,24.23,360.0,2013-08-12 05:45:00
24.04,24.32,23.94,24.23,484.0,2013-08-13 05:45:00
