open,high,low,close,volume,date
82.84,82.84,82.84,82.84,10.0,2016-09-05 05:45:00
85.65,85.65,85.65,85.65,10.0,2016-09-08 05:45:00
86.83,86.83,86.83,86.83,10.0,2016-11-24 05:45:00
88.01,91.55,88.01,91.55,50.0,2016-12-06 05:45:00
92.88,95.55,92.88,95.55,92.0,2016-12-15 05:45:00
96.87,98.21,96.87,98.21,20.0,2016-12-18 05:45:00
101.19,105.66,101.19,105.66,40.0,2016-12-21 05:45:00
107.15,113.62,107.15,113.62,50.0,2016-12-26 05:45:00
115.28,115.28,115.28,115.28,10.0,2017-01-19 05:45:00
116.94,118.76,116.94,118.76,41.0,2017-01-23 05:45:00
120.58,120.58,120.58,120.58,10.0,2017-01-24 05:45:00
120.58,120.58,120.58,120.58,18.0,2017-02-06 05:45:00
122.41,126.05,122.41,126.05,30.0,2017-02-09 05:45:00
128.05,132.03,128.05,132.03,74.0,2017-02-12 05:45:00
134.02,136.17,134.02,136.17,20.0,2017-02-13 05:45:00
138.33,138.33,138.33,138.33,10.0,2017-02-14 05:45:00
140.48,142.64,140.48,142.64,20.0,2017-02-26 05:45:00
144.96,149.6,144.96,149.6,30.0,2017-03-01 05:45:00
152.09,154.57,152.09,154.57,41.0,2017-03-02 05:45:00
157.06,157.06,157.06,157.06,10.0,2017-03-14 05:45:00
159.55,159.55,159.55,159.55,4.0,2017-03-20 05:45:00
159.55,164.85,159.55,164.85,50.0,2017-03-21 05:45:00
167.51,170.33,167.51,170.33,27.0,2017-03-22 05:45:00
173.15,173.15,173.15,173.15,10.0,2017-03-26 05:45:00
180.44,186.57,180.44,186.57,61.0,2017-04-06 05:45:00
189.73,189.73,189.73,189.73,10.0,2017-04-09 05:45:00
189.73,196.19,189.73,196.19,35.0,2017-04-11 05:45:00
199.51,199.51,199.51,199.51,20.0,2017-04-12 05:45:00
202.99,202.99,202.99,202.99,10.0,2017-04-13 05:45:00
206.47,217.25,206.47,217.25,40.0,2017-04-20 05:45:00
221.06,221.06,221.06,221.06,20.0,2017-04-24 05:45:00
224.88,224.88,224.88,224.88,10.0,2017-04-26 05:45:00
228.85,244.77,228.85,244.77,312.0,2017-04-27 05:45:00
249.08,253.56,249.08,253.56,22.0,2017-04-30 05:45:00
258.04,262.68,258.04,262.68,28.0,2017-05-04 05:45:00
267.32,281.91,267.32,281.91,43.0,2017-05-07 05:45:00
287.05,307.62,287.05,307.62,75.0,2017-05-08 05:45:00
313.25,330.66,313.25,330.66,54.0,2017-05-09 05:45:00
336.77,336.77,336.77,336.77,10.0,2017-05-11 05:45:00
342.93,342.93,342.93,342.93,10.0,2017-05-15 05:45:00
349.23,374.6,349.23,374.6,72.0,2017-05-17 05:45:00
381.56,409.42,381.56,409.42,575.0,2017-05-18 05:45:00
417.05,447.86,417.05,447.71,478.0,2017-05-21 05:45:00
456.17,489.99,456.17,489.99,1780.0,2017-05-22 05:45:00
499.28,536.42,470.93,480.88,23569.0,2017-05-23 05:45:00
489.16,489.16,448.21,476.4,9195.0,2017-05-24 05:45:00
467.62,467.62,455.67,458.99,4617.0,2017-05-28 05:45:00
450.37,457.66,446.22,453.52,3110.0,2017-05-30 05:45:00
454.35,461.97,434.95,455.67,3194.0,2017-05-31 05:45:00
447.22,447.22,434.78,441.42,3711.0,2017-06-01 05:45:00
440.25,440.25,419.85,429.48,1476.0,2017-06-04 05:45:00
431.14,437.27,430.3,435.45,3213.0,2017-06-05 05:45:00
436.94,446.88,435.45,445.73,2535.0,2017-06-06 05:45:00
453.68,455.85,442.75,443.57,5278.0,2017-06-07 05:45:00
439.43,443.57,436.11,441.08,2104.0,2017-06-08 05:45:00
435.28,435.28,425.0,427.98,2170.0,2017-06-11 05:45:00
421.19,431.14,418.7,430.97,2655.0,2017-06-12 05:45:00
431.14,439.43,415.05,422.35,936.0,2017-06-13 05:45:00
422.35,425.99,416.38,425.99,900.0,2017-06-14 05:45:00
419.53,430.97,414.55,422.85,2083.0,2017-06-15 05:45:00
417.87,422.68,412.57,412.89,1179.0,2017-06-18 05:45:00
412.89,417.71,400.8,402.95,1495.0,2017-06-19 05:45:00
402.12,411.4,397.98,405.43,1178.0,2017-06-20 05:45:00
405.43,408.75,398.3,401.62,777.0,2017-06-21 05:45:00
398.97,404.61,398.97,404.61,597.0,2017-06-22 05:45:00
400.46,406.44,400.46,403.78,605.0,2017-06-25 05:45:00
406.26,411.24,401.29,402.45,1125.0,2017-06-27 05:45:00
394.99,401.62,394.99,397.98,1418.0,2017-06-28 05:45:00
396.32,404.61,392.34,392.66,925.0,2017-07-02 05:45:00
389.68,396.98,389.68,396.32,1136.0,2017-07-03 05:45:00
396.32,397.15,390.02,391.35,843.0,2017-07-04 05:45:00
391.35,402.95,388.03,402.95,1061.0,2017-07-05 05:45:00
406.26,414.55,402.95,410.41,859.0,2017-07-06 05:45:00
406.26,413.73,386.37,390.52,629.0,2017-07-09 05:45:00
390.68,397.65,390.68,391.35,1620.0,2017-07-10 05:45:00
391.17,396.32,389.68,391.85,701.0,2017-07-11 05:45:00
392.01,397.15,391.35,393.66,689.0,2017-07-12 05:45:00
393.66,394.49,389.68,390.35,734.0,2017-07-13 05:45:00
390.52,392.17,387.2,387.7,804.0,2017-07-16 05:45:00
387.7,397.98,382.39,397.98,1941.0,2017-07-17 05:45:00
399.63,409.58,393.83,407.09,3126.0,2017-07-18 05:45:00
404.61,409.58,392.17,399.63,2192.0,2017-07-19 05:45:00
395.48,401.95,393.83,399.63,879.0,2017-07-20 05:45:00
399.96,402.95,398.14,398.47,1704.0,2017-07-23 05:45:00
393.0,397.98,392.01,394.15,2418.0,2017-07-24 05:45:00
393.34,397.15,393.0,394.66,791.0,2017-07-25 05:45:00
397.98,398.14,389.03,389.03,779.0,2017-07-26 05:45:00
390.02,425.34,390.02,418.7,3123.0,2017-07-27 05:45:00
413.73,422.85,403.28,419.53,2077.0,2017-07-30 05:45:00
417.05,422.85,411.9,415.38,1418.0,2017-07-31 05:45:00
414.55,434.29,411.4,434.29,3586.0,2017-08-01 05:45:00
429.48,431.14,423.01,427.65,1858.0,2017-08-02 05:45:00
422.85,456.01,421.52,446.06,4828.0,2017-08-03 05:45:00
451.03,451.03,431.96,431.96,3983.0,2017-08-06 05:45:00
429.48,431.14,419.53,429.15,1563.0,2017-08-07 05:45:00
429.15,455.85,424.84,442.07,8108.0,2017-08-09 05:45:00
446.06,447.55,435.45,435.45,4364.0,2017-08-10 05:45:00
432.79,432.79,417.54,419.85,2800.0,2017-08-13 05:45:00
412.89,419.7,412.06,419.53,1035.0,2017-08-15 05:45:00
427.32,427.65,420.35,424.66,1354.0,2017-08-16 05:45:00
422.02,423.17,416.38,419.53,1310.0,2017-08-17 05:45:00
413.06,428.15,412.89,427.82,755.0,2017-08-20 05:45:00
420.35,421.19,414.72,415.05,619.0,2017-08-21 05:45:00
414.55,428.98,413.73,415.38,1149.0,2017-08-22 05:45:00
415.55,418.7,414.55,415.38,1360.0,2017-08-23 05:45:00
415.55,418.7,410.07,416.21,898.0,2017-08-24 05:45:00
410.41,420.35,410.41,420.35,746.0,2017-08-27 05:45:00
422.85,422.85,411.9,412.4,2066.0,2017-08-28 05:45:00
412.89,421.19,412.89,413.89,1752.0,2017-08-30 05:45:00
411.24,413.56,410.41,410.41,885.0,2017-08-31 05:45:00
410.25,410.25,399.8,406.26,1490.0,2017-09-04 05:45:00
409.58,422.68,409.58,412.4,1177.0,2017-09-06 05:45:00
414.55,420.69,411.24,420.69,1125.0,2017-09-07 05:45:00
421.19,429.48,406.26,418.53,6000.0,2017-09-10 05:45:00
418.53,420.85,412.24,415.38,1762.0,2017-09-11 05:45:00
415.38,415.38,407.09,407.09,1802.0,2017-09-12 05:45:00
399.63,412.89,399.63,408.75,1137.0,2017-09-13 05:45:00
414.39,414.39,402.95,405.94,1267.0,2017-09-14 05:45:00
406.26,414.55,406.26,410.41,3844.0,2017-09-17 05:45:00
419.9,426.84,412.32,412.32,1683.0,2017-09-18 05:45:00
409.5,409.5,404.08,405.39,404.0,2017-09-20 05:45:00
409.28,409.5,397.58,397.58,291.0,2017-09-24 05:45:00
397.36,397.36,392.16,393.25,288.0,2017-09-25 05:45:00
395.42,397.36,388.05,397.36,4029.0,2017-09-26 05:45:00
397.36,397.36,397.36,397.36,44.0,2017-10-03 05:45:00
393.25,393.25,391.08,391.08,79.0,2017-10-04 05:45:00
384.15,384.15,377.0,378.95,191.0,2017-10-08 05:45:00
372.45,373.75,367.68,368.34,385.0,2017-10-09 05:45:00
365.08,367.47,364.22,365.3,348.0,2017-10-10 05:45:00
360.75,365.3,360.75,365.3,287.0,2017-10-11 05:45:00
363.14,365.08,362.92,362.92,188.0,2017-10-12 05:45:00
362.92,362.92,358.58,362.92,219.0,2017-10-15 05:45:00
362.92,376.35,362.92,373.75,198.0,2017-10-16 05:45:00
374.84,388.92,374.84,380.25,820.0,2017-10-17 05:45:00
378.08,386.1,375.92,385.66,706.0,2017-10-18 05:45:00
386.75,392.16,385.66,385.66,152.0,2017-10-22 05:45:00
389.78,389.78,383.07,386.75,123.0,2017-10-23 05:45:00
386.75,386.75,382.64,382.64,145.0,2017-10-24 05:45:00
378.08,389.57,378.08,389.57,121.0,2017-10-25 05:45:00
389.57,389.57,370.5,377.0,567.0,2017-10-29 05:45:00
371.58,371.58,370.07,370.07,251.0,2017-10-30 05:45:00
367.25,371.58,367.25,367.47,55.0,2017-10-31 05:45:00
360.75,366.16,360.75,362.92,209.0,2017-11-01 05:45:00
362.92,364.0,356.42,356.42,574.0,2017-11-02 05:45:00
349.92,349.92,343.42,347.75,477.0,2017-11-05 05:45:00
344.5,350.14,344.5,349.92,437.0,2017-11-06 05:45:00
344.5,344.5,343.64,344.07,243.0,2017-11-07 05:45:00
337.78,337.78,331.5,331.5,682.0,2017-11-08 05:45:00
331.5,339.08,331.5,334.75,827.0,2017-11-09 05:45:00
331.5,337.14,330.42,337.14,187.0,2017-11-12 05:45:00
332.58,339.08,332.58,338.0,931.0,2017-11-13 05:45:00
331.94,347.75,340.39,347.53,1083.0,2017-11-14 05:45:00
347.53,353.16,346.66,346.66,648.0,2017-11-15 05:45:00
345.58,345.58,342.34,342.34,131.0,2017-11-16 05:45:00
342.34,342.34,332.8,333.66,129.0,2017-11-19 05:45:00
334.75,334.75,330.42,330.85,211.0,2017-11-20 05:45:00
330.42,342.34,330.42,331.5,808.0,2017-11-21 05:45:00
325.44,332.58,325.44,331.5,563.0,2017-11-22 05:45:00
330.85,335.84,329.76,335.84,180.0,2017-11-23 05:45:00
336.92,341.25,334.75,334.75,637.0,2017-11-26 05:45:00
340.6,344.5,338.44,338.44,815.0,2017-11-27 05:45:00
332.58,336.92,332.58,335.84,111.0,2017-11-28 05:45:00
