open,high,low,close,volume,date
100.0,108.0,100.0,101.0,2980.0,2019-04-17 05:45:00
99.0,99.0,95.0,95.0,1490.0,2019-04-18 05:45:00
95.0,96.0,93.0,96.0,420.0,2019-04-21 05:45:00
96.0,96.0,91.0,91.0,619.0,2019-04-22 05:45:00
91.0,92.0,90.0,90.0,500.0,2019-04-23 05:45:00
89.0,89.0,85.0,87.0,620.0,2019-04-24 05:45:00
86.0,87.0,85.0,87.0,521.0,2019-04-25 05:45:00
86.0,89.0,86.0,89.0,380.0,2019-04-28 05:45:00
90.0,90.0,89.0,89.0,190.0,2019-04-29 05:45:00
89.0,90.0,87.0,89.0,440.0,2019-04-30 20:45:00
88.0,92.0,88.0,92.0,330.0,2019-05-02 20:45:00
91.0,91.0,91.0,91.0,60.0,2019-05-05 20:45:00
90.0,92.0,90.0,91.0,655.0,2019-05-06 20:45:00
91.0,92.0,91.0,91.0,490.0,2019-05-07 20:45:00
91.0,92.0,90.0,91.0,830.0,2019-05-08 20:45:00
90.0,92.0,89.0,92.0,240.0,2019-05-09 20:45:00
91.0,91.0,88.0,88.0,200.0,2019-05-12 20:45:00
89.0,93.0,89.0,93.0,730.0,2019-05-13 20:45:00
94.0,94.0,90.0,90.0,300.0,2019-05-14 20:45:00
86.0,89.0,86.0,89.0,550.0,2019-05-15 20:45:00
90.0,92.0,90.0,92.0,360.0,2019-05-16 20:45:00
88.0,94.0,88.0,94.0,660.0,2019-05-19 20:45:00
95.0,98.0,92.0,97.0,1540.0,2019-05-20 20:45:00
96.0,100.0,96.0,99.0,1270.0,2019-05-21 20:45:00
100.0,108.0,100.0,104.0,18720.0,2019-05-22 20:45:00
106.0,109.0,97.0,99.0,5440.0,2019-05-23 20:45:00
100.0,105.0,100.0,102.0,5630.0,2019-05-26 20:45:00
100.0,107.0,99.0,105.0,1040.0,2019-05-27 20:45:00
102.0,102.0,98.0,98.0,2200.0,2019-05-28 20:45:00
99.0,107.0,99.0,105.0,7770.0,2019-05-29 20:45:00
107.0,113.0,104.0,104.0,4820.0,2019-05-30 20:45:00
102.0,112.0,102.0,110.0,790.0,2019-06-02 20:45:00
108.0,108.0,102.0,104.0,1850.0,2019-06-03 20:45:00
103.0,104.0,101.0,104.0,1510.0,2019-06-04 20:45:00
103.0,103.0,100.0,100.0,2140.0,2019-06-06 20:45:00
102.0,103.0,100.0,100.0,860.0,2019-06-10 20:44:59
102.0,108.0,101.0,107.0,5228.0,2019-06-11 20:45:00
107.0,107.0,104.0,104.0,1310.0,2019-06-12 20:45:00
102.0,108.0,102.0,103.0,2250.0,2019-06-13 20:45:00
105.0,105.0,100.0,100.0,4750.0,2019-06-16 20:45:00
102.0,102.0,101.0,101.0,1000.0,2019-06-17 20:45:00
102.0,107.0,101.0,105.0,3310.0,2019-06-18 20:45:00
103.0,107.0,103.0,106.0,3290.0,2019-06-19 20:45:00
104.0,109.0,102.0,107.0,2080.0,2019-06-20 20:45:00
