open,high,low,close,volume,date
70.57,70.57,70.57,70.57,123.0,2014-06-26 05:45:00
71.41,71.77,71.41,71.77,49.0,2014-07-03 05:45:00
71.77,71.77,71.77,71.77,20.0,2014-07-17 05:45:00
72.61,72.61,72.61,72.61,10.0,2014-07-23 05:45:00
73.44,73.44,73.44,73.44,10.0,2014-08-06 05:45:00
74.41,75.37,74.41,75.37,20.0,2014-08-18 05:45:00
76.44,78.37,76.44,78.37,30.0,2014-08-21 05:45:00
79.32,80.29,79.32,80.29,20.0,2014-08-24 05:45:00
81.37,81.37,81.37,81.37,38.0,2014-08-28 05:45:00
82.44,83.52,82.44,83.52,20.0,2014-08-31 05:45:00
86.4,86.4,86.4,86.4,10.0,2014-09-07 05:45:00
87.6,87.6,87.6,87.6,10.0,2014-09-09 05:45:00
90.6,93.71,90.6,93.71,50.0,2014-09-10 05:45:00
97.07,97.07,97.07,97.07,10.0,2014-09-11 05:45:00
100.55,102.0,100.55,102.0,20.0,2014-09-14 05:45:00
103.43,104.99,103.43,104.99,20.0,2014-09-15 05:45:00
108.95,112.9,108.95,112.9,40.0,2014-09-16 05:45:00
114.58,121.54,114.58,121.54,412.0,2014-09-17 05:45:00
123.46,131.13,123.46,131.13,183.0,2014-09-18 05:45:00
133.17,141.68,133.17,141.68,681.0,2014-09-21 05:45:00
143.96,146.23,130.17,130.17,2189.0,2014-09-22 05:45:00
128.14,128.14,121.54,122.01,959.0,2014-09-23 05:45:00
121.54,123.94,121.54,122.01,262.0,2014-09-24 05:45:00
122.01,122.01,118.66,120.23,288.0,2014-09-28 05:45:00
120.46,127.17,120.46,127.17,246.0,2014-09-29 05:45:00
126.81,129.09,126.21,126.81,519.0,2014-09-30 05:45:00
126.21,126.21,126.21,126.21,20.0,2014-10-08 05:45:00
127.41,128.14,126.21,126.81,94.0,2014-10-09 05:45:00
126.81,130.65,126.7,126.7,203.0,2014-10-12 05:45:00
126.7,128.61,126.7,127.9,266.0,2014-10-13 05:45:00
125.86,126.21,124.3,125.02,130.0,2014-10-14 05:45:00
123.81,126.34,123.81,125.02,113.0,2014-10-15 05:45:00
126.21,128.02,125.61,127.53,273.0,2014-10-16 05:45:00
128.61,128.61,127.41,127.41,124.0,2014-10-19 05:45:00
127.41,127.41,121.42,121.42,278.0,2014-10-20 05:45:00
123.33,123.33,121.54,121.77,208.0,2014-10-21 05:45:00
122.01,122.01,121.42,122.01,94.0,2014-10-22 05:45:00
121.42,131.62,121.42,131.62,89.0,2014-10-26 05:45:00
132.2,135.57,132.2,135.57,123.0,2014-10-27 05:45:00
133.53,134.0,131.97,134.0,264.0,2014-10-28 05:45:00
131.85,131.85,125.02,125.02,188.0,2014-10-30 05:45:00
126.81,126.94,124.9,126.81,252.0,2014-11-02 05:45:00
126.81,126.81,124.9,124.9,60.0,2014-11-03 05:45:00
125.02,125.02,125.02,125.02,40.0,2014-11-04 05:45:00
125.02,125.02,125.02,125.02,10.0,2014-11-05 05:45:00
125.02,128.61,125.02,128.61,126.0,2014-11-06 05:45:00
126.81,126.81,125.02,125.02,119.0,2014-11-10 05:45:00
125.61,125.61,119.85,120.33,66.0,2014-11-11 05:45:00
121.42,123.81,121.42,123.81,324.0,2014-11-12 05:45:00
123.81,124.41,121.9,121.9,171.0,2014-11-13 05:45:00
122.62,123.81,121.42,123.81,93.0,2014-11-16 05:45:00
122.25,123.81,122.01,123.81,51.0,2014-11-17 05:45:00
121.9,121.9,119.62,121.42,272.0,2014-11-18 05:45:00
123.33,125.25,121.42,124.78,329.0,2014-11-19 05:45:00
126.7,128.61,126.7,127.04,637.0,2014-11-20 05:45:00
129.22,129.22,127.21,127.21,120.0,2014-11-23 05:45:00
127.21,127.21,127.21,127.21,10.0,2014-12-03 05:45:00
127.77,127.77,126.35,126.35,29.0,2014-12-08 05:45:00
126.04,126.35,126.04,126.35,113.0,2014-12-09 05:45:00
127.05,127.05,127.05,127.05,20.0,2014-12-15 05:45:00
129.07,129.07,128.36,128.36,20.0,2014-12-16 05:45:00
128.92,128.92,128.92,128.92,10.0,2014-12-17 05:45:00
129.22,129.22,129.22,129.22,10.0,2014-12-18 05:45:00
131.24,131.24,131.24,131.24,10.0,2014-12-21 05:45:00
133.25,137.43,131.24,131.24,972.0,2014-12-22 05:45:00
129.22,131.67,129.22,131.67,227.0,2014-12-23 05:45:00
133.25,133.25,133.25,133.25,197.0,2014-12-28 05:45:00
133.54,141.48,133.54,141.48,1294.0,2014-12-29 05:45:00
143.77,152.99,143.77,152.99,1112.0,2014-12-31 05:45:00
155.3,163.8,155.3,163.8,1061.0,2015-01-01 05:45:00
166.39,177.63,166.39,177.63,686.0,2015-01-04 05:45:00
