open,high,low,close,volume,date
217.84,226.04,193.2,193.2,9577.0,2017-01-09 05:45:00
189.42,189.42,174.27,179.32,70481.0,2017-01-10 05:45:00
182.48,185.63,176.15,179.32,12035.0,2017-01-11 05:45:00
179.32,179.32,176.8,176.8,1685.0,2017-01-12 05:45:00
179.95,179.95,171.74,174.27,5691.0,2017-01-15 05:45:00
171.12,171.12,164.16,164.16,5861.0,2017-01-16 05:45:00
162.27,172.38,161.01,172.38,21098.0,2017-01-17 05:45:00
170.48,170.48,167.32,170.48,15196.0,2017-01-18 05:45:00
169.85,173.01,167.32,169.85,15912.0,2017-01-19 05:45:00
167.96,169.22,164.16,169.22,11336.0,2017-01-22 05:45:00
167.32,167.32,157.85,161.01,21929.0,2017-01-23 05:45:00
157.85,157.85,151.54,151.54,10304.0,2017-01-24 05:45:00
149.01,151.54,137.02,142.07,13164.0,2017-01-25 05:45:00
139.55,141.44,134.49,138.28,7305.0,2017-01-26 05:45:00
140.81,140.81,127.55,127.55,5572.0,2017-01-30 05:45:00
130.08,135.13,128.81,130.08,5814.0,2017-01-31 05:45:00
130.08,142.7,128.81,142.7,6666.0,2017-02-01 05:45:00
145.22,147.75,142.7,143.34,3069.0,2017-02-02 05:45:00
145.86,148.38,140.81,142.7,10333.0,2017-02-05 05:45:00
140.81,148.38,140.81,147.75,16214.0,2017-02-06 05:45:00
147.75,147.75,143.96,146.48,2431.0,2017-02-07 05:45:00
146.48,154.69,145.86,154.69,11204.0,2017-02-08 05:45:00
157.22,158.48,145.86,151.54,24264.0,2017-02-09 05:45:00
149.01,149.01,138.9,139.55,12830.0,2017-02-12 05:45:00
137.02,146.48,126.9,143.96,9848.0,2017-02-13 05:45:00
143.96,146.48,138.9,141.44,10215.0,2017-02-14 05:45:00
143.96,150.28,143.34,149.01,9269.0,2017-02-15 05:45:00
147.75,154.07,145.22,151.54,11339.0,2017-02-16 05:45:00
149.64,152.8,147.75,151.54,7194.0,2017-02-19 05:45:00
152.8,154.07,147.12,148.38,6048.0,2017-02-20 05:45:00
150.91,155.33,148.38,148.38,11285.0,2017-02-21 05:45:00
148.38,159.12,146.48,158.48,23669.0,2017-02-22 05:45:00
159.12,171.12,159.12,164.16,42316.0,2017-02-23 05:45:00
167.32,167.32,157.85,163.54,19321.0,2017-02-26 05:45:00
160.38,164.8,155.33,156.59,310966.0,2017-02-28 05:45:00
155.33,163.54,154.69,157.85,7707.0,2017-03-01 05:45:00
157.85,162.9,157.85,157.85,13144.0,2017-03-02 05:45:00
159.75,164.8,159.75,161.64,7909.0,2017-03-05 05:45:00
161.64,161.64,156.59,157.22,5126.0,2017-03-06 05:45:00
159.75,159.75,158.48,158.48,194.0,2017-03-07 05:45:00
156.59,156.59,156.59,156.59,122.0,2017-03-09 05:45:00
156.59,156.59,150.28,151.54,9135.0,2017-03-13 05:45:00
151.54,151.54,142.7,143.96,19713.0,2017-03-14 05:45:00
140.81,151.54,140.81,151.54,192.0,2017-08-13 05:45:00
154.07,166.68,154.07,166.68,112861.0,2017-08-15 05:45:00
169.85,173.01,157.85,159.75,61187.0,2017-08-16 05:45:00
159.75,162.9,157.85,161.01,18577.0,2017-08-17 05:45:00
161.01,161.64,154.69,157.22,12602.0,2017-08-20 05:45:00
157.85,158.48,152.17,155.33,4225.0,2017-08-21 05:45:00
157.22,161.01,154.07,156.59,8606.0,2017-08-22 05:45:00
154.69,159.12,154.07,154.69,6056.0,2017-08-23 05:45:00
157.22,157.22,154.69,156.59,14584.0,2017-08-24 05:45:00
156.59,159.12,152.8,154.69,25857.0,2017-08-27 05:45:00
154.07,154.69,147.75,150.28,20147.0,2017-08-28 05:45:00
152.8,152.8,144.6,147.75,32015.0,2017-08-30 05:45:00
147.75,150.28,143.96,145.22,32649.0,2017-08-31 05:45:00
142.7,150.91,142.07,145.22,124846.0,2017-09-04 05:45:00
