open,high,low,close,volume,date
201.32,205.0,201.32,205.0,300.0,2021-03-16 05:45:00
205.0,205.0,205.0,205.0,4.0,2021-03-17 05:45:00
205.0,205.0,205.0,205.0,1.0,2021-03-18 05:45:00
202.24,212.81,202.24,212.81,31.0,2021-03-22 20:45:00
216.95,225.22,216.95,225.22,30.0,2021-03-23 20:45:00
229.36,233.5,229.36,233.5,20.0,2021-03-24 20:45:00
238.09,247.29,238.09,247.29,30.0,2021-03-25 20:45:00
259.23,271.65,259.23,271.65,50.0,2021-03-29 20:45:00
276.71,276.71,276.71,276.71,10.0,2021-03-30 20:45:00
282.22,304.28,282.22,304.28,50.0,2021-03-31 20:45:00
319.45,325.42,319.45,325.42,20.0,2021-04-01 20:45:00
331.86,338.29,331.86,338.29,20.0,2021-04-04 20:45:00
330.02,351.62,330.02,351.62,32.0,2021-04-05 20:45:00
358.52,386.56,358.52,386.56,50.0,2021-04-06 20:45:00
393.91,425.17,393.91,425.17,60.0,2021-04-07 20:45:00
433.44,467.45,433.44,467.45,90.0,2021-04-12 20:45:00
476.64,505.14,476.64,505.14,50.0,2021-04-13 20:45:00
514.79,555.24,514.79,555.24,70.0,2021-04-15 20:45:00
566.27,610.4,566.27,610.4,80.0,2021-04-18 20:45:00
622.35,671.07,622.35,671.07,120.0,2021-04-19 20:45:00
684.4,738.18,684.4,738.18,120.0,2021-04-20 20:45:00
774.95,811.72,774.95,811.72,270.0,2021-04-21 20:45:00
827.81,892.62,827.81,892.62,370.0,2021-04-22 20:45:00
910.08,981.79,910.08,981.79,1025.0,2021-04-25 20:45:00
1001.09,1079.69,1001.09,1079.69,1231.0,2021-04-26 20:45:00
1133.46,1187.25,1133.46,1187.25,1390.0,2021-04-27 20:45:00
1271.36,1305.83,1271.36,1305.83,1260.0,2021-04-28 20:45:00
1369.26,1436.37,1369.26,1436.37,1850.0,2021-04-29 20:45:00
1508.07,1579.78,1508.07,1579.78,1810.0,2021-05-02 20:45:00
1658.37,1737.43,1658.37,1737.43,2420.0,2021-05-03 20:45:00
1824.31,1911.17,1824.31,1911.17,2430.0,2021-05-04 20:45:00
2006.32,2101.93,2006.32,2101.93,2245.0,2021-05-05 20:45:00
2206.73,2311.98,2206.73,2311.98,12843.0,2021-05-06 20:45:00
