open,high,low,close,volume,date
10.0,10.0,9.5,9.66,62154.0,2021-11-18 05:45:00
9.5,9.85,9.34,9.7,53970.0,2021-11-21 05:45:00
9.89,10.28,9.6,9.61,39350.0,2021-11-22 05:45:00
9.61,9.67,9.46,9.67,23150.0,2021-11-23 05:45:00
9.48,9.64,9.45,9.64,29960.0,2021-11-24 05:45:00
9.45,9.71,9.3,9.7,38910.0,2021-11-25 05:45:00
9.51,9.55,9.32,9.55,22700.0,2021-11-28 05:45:00
9.36,9.5,9.11,9.36,27571.0,2021-11-29 05:45:00
9.21,9.48,9.21,9.4,11700.0,2021-11-30 05:45:00
9.4,9.58,9.2,9.3,30549.0,2021-12-01 05:45:00
9.2,9.38,9.2,9.23,35100.0,2021-12-02 05:45:00
9.15,9.25,9.1,9.15,45600.0,2021-12-05 05:45:00
9.1,9.2,8.95,9.1,32950.0,2021-12-06 05:45:00
9.0,9.18,9.0,9.15,35030.0,2021-12-07 05:45:00
9.15,9.3,9.0,9.0,43700.0,2021-12-08 05:45:00
8.91,9.3,8.91,9.03,9600.0,2021-12-09 05:45:00
9.01,9.19,8.9,8.97,13610.0,2021-12-12 05:45:00
8.8,8.9,8.7,8.8,24361.0,2021-12-13 05:45:00
8.65,8.97,8.65,8.95,17650.0,2021-12-14 05:45:00
8.8,9.0,8.8,8.96,32200.0,2021-12-15 05:45:00
9.0,9.07,8.86,8.9,19009.0,2021-12-16 05:45:00
8.73,8.97,8.63,8.72,10550.0,2021-12-20 05:45:00
8.7,9.0,8.58,8.9,11900.0,2021-12-21 05:45:00
8.8,9.25,8.74,9.0,34235.0,2021-12-22 05:45:00
8.88,9.18,8.88,9.0,5950.0,2021-12-23 05:45:00
8.95,9.1,8.91,9.05,12690.0,2021-12-26 20:45:00
8.87,9.3,8.87,9.25,62440.0,2021-12-27 20:45:00
9.07,9.19,8.96,8.96,17300.0,2021-12-28 20:45:00
9.13,9.13,8.95,8.96,10600.0,2021-12-29 20:45:00
8.9,9.18,8.82,8.9,16500.0,2022-01-02 20:45:00
8.78,9.0,8.78,8.95,23650.0,2022-01-03 20:45:00
8.78,9.02,8.65,9.0,29449.0,2022-01-04 20:45:00
8.82,9.1,8.82,9.1,32350.0,2022-01-05 20:45:00
9.0,9.28,9.0,9.1,25700.0,2022-01-06 20:45:00
9.0,9.25,9.0,9.13,22215.0,2022-01-09 20:45:00
9.1,9.86,9.1,9.3,41630.0,2022-01-10 20:45:00
9.4,9.4,9.06,9.25,23500.0,2022-01-11 20:45:00
9.1,9.61,9.1,9.16,28430.0,2022-01-12 20:45:00
8.98,9.43,8.82,9.11,38890.0,2022-01-13 20:45:00
9.11,9.48,8.95,9.4,78520.0,2022-01-16 20:45:00
9.4,9.58,9.31,9.31,23761.0,2022-01-17 20:45:00
9.14,9.49,9.12,9.25,28128.0,2022-01-18 20:45:00
9.07,9.35,9.07,9.17,20800.0,2022-01-19 20:45:00
9.0,9.35,9.0,9.3,16520.0,2022-01-20 20:45:00
9.3,9.42,9.3,9.3,33090.0,2022-01-23 20:45:00
9.4,9.4,9.05,9.14,26700.0,2022-01-24 20:45:00
9.0,9.28,9.0,9.28,25450.0,2022-01-25 20:45:00
9.1,9.2,9.05,9.09,19051.0,2022-01-26 20:45:00
9.06,9.35,9.01,9.35,48386.0,2022-01-27 20:45:00
9.2,9.38,9.02,9.17,44130.0,2022-01-30 20:45:00
9.3,9.35,9.12,9.16,21710.0,2022-01-31 20:45:00
9.0,9.3,9.0,9.2,48870.0,2022-02-01 20:45:00
9.03,9.36,9.03,9.3,22120.0,2022-02-03 20:45:00
9.4,9.4,9.04,9.13,21150.0,2022-02-06 20:45:00
9.3,9.3,9.1,9.12,23321.0,2022-02-07 20:45:00
9.2,9.29,9.12,9.22,20860.0,2022-02-08 20:45:00
9.04,9.2,9.04,9.2,10175.0,2022-02-09 20:45:00
9.04,9.2,9.04,9.1,25600.0,2022-02-10 20:45:00
9.1,9.15,8.85,9.15,39500.0,2022-02-13 20:45:00
8.98,9.2,8.98,9.11,34600.0,2022-02-14 20:45:00
9.11,9.2,8.95,9.01,16600.0,2022-02-15 20:45:00
9.0,9.28,9.0,9.0,39650.0,2022-02-16 20:45:00
9.0,9.34,8.91,9.18,2205.0,2022-02-17 20:45:00
9.0,9.01,8.82,9.0,10475.0,2022-02-20 20:45:00
8.85,9.33,8.85,9.33,30825.0,2022-02-21 20:45:00
9.15,9.19,9.12,9.15,34500.0,2022-02-22 20:45:00
9.06,9.3,9.06,9.18,6800.0,2022-02-23 20:45:00
9.08,9.1,8.8,9.0,32300.0,2022-02-24 20:45:00
9.0,9.1,8.95,8.98,132390.0,2022-02-27 20:45:00
8.88,9.1,8.88,8.91,41610.0,2022-02-28 20:45:00
8.85,8.93,8.74,8.91,24239.0,2022-03-02 20:45:00
8.74,8.91,8.67,8.7,34794.0,2022-03-06 20:45:00
8.7,8.87,8.67,8.87,12072.0,2022-03-07 20:45:00
8.72,8.75,8.65,8.7,25330.0,2022-03-09 20:45:00
8.6,9.2,8.58,9.2,28934.0,2022-03-10 20:45:00
9.02,9.2,8.84,8.93,21355.0,2022-03-13 20:45:00
8.76,8.8,8.7,8.78,3800.0,2022-03-14 20:45:00
8.7,8.95,8.7,8.95,15071.0,2022-03-15 20:45:00
9.0,9.0,8.81,8.99,18786.0,2022-03-16 20:45:00
9.13,9.13,8.83,8.9,7500.0,2022-03-20 20:45:00
8.9,9.0,8.75,8.86,19247.0,2022-03-21 20:45:00
9.0,9.06,8.75,9.06,36675.0,2022-03-22 20:45:00
8.88,9.1,8.77,9.1,27200.0,2022-03-23 20:45:00
8.93,9.0,8.93,8.97,36680.0,2022-03-24 20:45:00
9.0,9.0,8.89,8.89,50440.0,2022-03-27 20:45:00
8.9,9.0,8.8,9.0,18290.0,2022-03-28 20:45:00
8.82,8.89,8.67,8.89,6350.0,2022-03-29 20:45:00
8.73,8.91,8.73,8.91,23542.0,2022-03-30 20:45:00
8.74,9.0,8.74,8.9,3240.0,2022-03-31 20:45:00
9.0,9.0,8.78,8.79,20950.0,2022-04-03 20:45:00
8.79,8.82,8.63,8.68,15240.0,2022-04-04 20:45:00
8.51,8.68,8.51,8.68,34000.0,2022-04-05 20:45:00
8.55,8.61,8.4,8.48,40330.0,2022-04-06 20:45:00
8.5,8.59,8.33,8.59,35625.0,2022-04-07 20:45:00
8.44,8.6,8.38,8.4,63213.0,2022-04-11 20:45:00
8.5,8.52,8.3,8.31,12600.0,2022-04-12 20:45:00
8.25,8.42,8.25,8.29,14001.0,2022-04-13 20:45:00
8.15,8.3,8.13,8.29,13200.0,2022-04-17 20:45:00
8.2,8.45,8.2,8.3,10825.0,2022-04-18 20:45:00
8.3,8.75,8.3,8.75,8976.0,2022-04-19 20:45:00
8.75,8.75,8.3,8.32,15380.0,2022-04-20 20:45:00
8.16,8.36,8.11,8.36,59010.0,2022-04-21 20:45:00
8.2,8.7,8.2,8.55,11350.0,2022-04-24 20:45:00
8.38,8.8,8.38,8.39,34152.0,2022-04-25 20:45:00
8.27,8.67,8.27,8.67,27250.0,2022-04-26 20:45:00
8.5,8.65,8.33,8.5,19797.0,2022-04-27 20:45:00
8.4,8.67,8.4,8.5,7663.0,2022-04-28 20:45:00
8.33,8.5,8.33,8.33,20425.0,2022-05-02 20:45:00
8.33,8.55,8.24,8.3,7708.0,2022-05-04 20:45:00
8.14,8.45,8.03,8.16,20450.0,2022-05-05 20:45:00
8.03,8.3,7.87,8.29,3750.0,2022-05-08 20:45:00
8.45,8.61,8.14,8.3,10500.0,2022-05-09 20:45:00
8.46,8.46,8.25,8.3,15600.0,2022-05-10 20:45:00
8.14,8.46,8.14,8.44,37700.0,2022-05-11 20:45:00
8.5,8.59,8.17,8.27,29244.0,2022-05-12 20:45:00
8.16,8.4,8.16,8.21,4400.0,2022-05-17 20:45:00
8.2,8.47,8.04,8.1,19375.0,2022-05-18 20:45:00
7.94,8.25,7.94,8.2,3050.0,2022-05-19 20:45:00
8.25,8.25,8.08,8.2,9280.0,2022-05-20 20:45:00
8.2,8.4,8.05,8.08,18090.0,2022-05-23 20:45:00
8.24,8.24,8.0,8.07,13930.0,2022-05-24 20:45:00
8.0,8.32,7.95,8.32,5650.0,2022-05-25 20:45:00
8.2,8.3,8.07,8.21,41325.0,2022-05-26 20:45:00
8.05,8.4,8.05,8.4,5635.0,2022-05-27 20:45:00
8.55,8.55,8.08,8.12,3600.0,2022-05-30 20:45:00
7.96,8.14,7.81,8.04,6000.0,2022-05-31 20:45:00
8.05,8.27,8.04,8.1,12960.0,2022-06-01 20:45:00
8.19,8.39,8.05,8.06,17850.0,2022-06-02 20:45:00
8.07,8.2,8.0,8.0,20640.0,2022-06-03 20:45:00
7.84,8.15,7.84,8.0,13000.0,2022-06-06 20:45:00
7.9,8.05,7.9,7.93,5800.0,2022-06-07 20:45:00
8.0,8.16,7.95,8.0,11075.0,2022-06-08 20:45:00
8.0,8.16,8.0,8.0,16300.0,2022-06-09 20:45:00
8.0,8.16,7.97,8.0,6175.0,2022-06-10 20:45:00
8.0,8.16,7.9,8.05,13270.0,2022-06-13 20:45:00
8.0,8.15,7.9,7.9,28550.0,2022-06-14 20:45:00
7.8,7.96,7.72,7.96,56500.0,2022-06-15 20:45:00
7.96,8.0,7.83,7.96,52900.0,2022-06-16 20:45:00
7.81,7.97,7.66,7.97,5900.0,2022-06-17 20:45:00
8.0,8.0,7.82,7.84,21100.0,2022-06-19 20:45:00
7.69,7.7,7.31,7.5,106930.0,2022-06-20 20:45:00
7.41,7.85,7.35,7.85,36975.0,2022-06-21 20:45:00
7.85,8.0,7.72,7.84,32810.0,2022-06-22 20:45:00
7.75,7.95,7.47,7.95,19875.0,2022-06-23 20:45:00
7.9,7.9,7.26,7.4,14680.0,2022-06-24 20:45:00
7.54,7.98,7.39,7.92,11500.0,2022-06-26 20:45:00
7.78,7.92,7.78,7.85,13000.0,2022-06-27 20:45:00
7.7,7.85,7.69,7.7,8517.0,2022-06-28 20:45:00
7.55,7.86,7.28,7.8,7910.0,2022-06-29 20:45:00
7.66,8.1,7.66,7.88,13650.0,2022-06-30 20:45:00
8.03,8.1,7.87,8.0,19802.0,2022-07-01 20:45:00
8.0,8.1,7.75,7.9,23900.0,2022-07-03 20:45:00
7.9,8.21,7.75,7.94,14735.0,2022-07-04 20:45:00
7.79,7.97,7.79,7.83,6640.0,2022-07-05 20:45:00
7.7,8.05,7.7,7.93,17330.0,2022-07-06 20:45:00
7.8,8.1,7.8,7.86,4650.0,2022-07-07 20:45:00
7.75,8.01,7.75,7.75,1800.0,2022-07-08 20:45:00
7.78,7.9,7.66,7.79,13100.0,2022-07-11 20:45:00
7.64,8.0,7.61,7.65,26000.0,2022-07-12 20:45:00
7.5,7.85,7.5,7.85,3000.0,2022-07-13 20:45:00
7.71,8.0,7.71,7.88,13600.0,2022-07-14 20:45:00
7.86,8.03,7.86,7.99,3500.0,2022-07-15 20:45:00
8.0,8.14,7.99,8.0,17945.0,2022-07-17 20:45:00
8.0,8.14,7.96,7.99,27550.0,2022-07-18 20:45:00
7.97,8.12,7.97,8.06,17590.0,2022-07-19 20:45:00
8.04,8.11,7.84,8.03,38450.0,2022-07-20 20:45:00
7.87,8.16,7.73,8.0,16982.0,2022-07-21 20:45:00
7.85,8.05,7.85,8.05,1350.0,2022-07-22 20:45:00
8.0,8.0,7.88,8.0,15600.0,2022-07-24 20:45:00
7.84,8.3,7.84,8.1,18100.0,2022-07-25 20:45:00
7.94,8.1,7.94,7.94,36650.0,2022-07-26 20:45:00
7.8,8.03,7.8,8.0,37550.0,2022-07-27 20:45:00
8.0,8.16,7.92,7.92,39740.0,2022-07-28 20:45:00
7.92,8.0,7.85,7.86,1900.0,2022-07-29 20:45:00
8.01,8.01,7.85,8.0,22500.0,2022-07-31 20:45:00
7.84,8.13,7.84,7.9,12580.0,2022-08-01 20:45:00
8.05,8.05,7.9,7.92,35975.0,2022-08-02 20:45:00
7.77,8.07,7.77,8.0,22385.0,2022-08-03 20:45:00
7.86,8.1,7.86,7.87,11200.0,2022-08-04 20:45:00
7.87,8.12,7.75,7.85,5260.0,2022-08-05 20:45:00
7.8,8.0,7.75,7.79,10100.0,2022-08-07 20:45:00
7.79,8.08,7.79,8.08,20545.0,2022-08-08 20:45:00
7.92,7.92,7.77,7.8,3900.0,2022-08-09 20:45:00
7.65,7.79,7.65,7.73,8875.0,2022-08-10 20:45:00
7.73,8.03,7.73,8.0,11450.0,2022-08-11 20:45:00
7.84,7.85,7.39,7.85,19011.0,2022-08-14 20:45:00
8.0,8.0,7.65,7.95,23250.0,2022-08-15 20:45:00
7.8,8.1,7.8,7.8,2800.0,2022-08-16 20:45:00
7.8,7.8,7.68,7.68,12200.0,2022-08-17 20:45:00
7.68,7.86,7.6,7.86,13950.0,2022-08-18 20:45:00
7.86,7.86,7.56,7.8,19400.0,2022-08-21 20:45:00
7.65,7.85,7.65,7.7,11250.0,2022-08-22 20:45:00
7.6,7.95,7.56,7.8,36400.0,2022-08-23 20:45:00
7.66,7.9,7.66,7.8,7560.0,2022-08-24 20:45:00
7.9,7.9,7.67,7.7,22300.0,2022-08-25 20:45:00
