open,high,low,close,volume,date
33.68,33.68,33.25,33.25,60.0,2011-11-03 05:45:00
33.1,33.1,32.7,32.7,70.0,2011-11-06 05:45:00
32.59,32.59,32.36,32.36,50.0,2011-11-08 05:45:00
32.24,32.24,31.76,31.76,90.0,2011-11-13 05:45:00
31.67,31.67,31.38,31.38,130.0,2011-11-14 05:45:00
31.28,31.28,30.83,30.83,150.0,2011-11-15 05:45:00
30.74,30.74,30.34,30.34,100.0,2011-11-16 05:45:00
30.27,30.27,29.9,29.9,90.0,2011-11-17 05:45:00
29.84,29.84,29.51,29.51,8140.0,2011-11-20 05:45:00
29.44,29.44,29.22,29.31,7170.0,2011-11-21 05:45:00
29.27,29.65,29.27,29.65,17060.0,2011-11-22 05:45:00
29.67,29.67,29.44,29.49,10630.0,2011-11-23 05:45:00
29.55,29.65,29.55,29.59,10850.0,2011-11-24 05:45:00
29.59,29.69,29.55,29.69,18790.0,2011-11-27 05:45:00
29.72,29.72,29.53,29.65,8150.0,2011-11-28 05:45:00
29.65,29.69,29.55,29.65,13200.0,2011-11-29 05:45:00
29.59,29.87,29.59,29.87,18900.0,2011-11-30 05:45:00
29.79,29.79,29.59,29.69,19450.0,2011-12-01 05:45:00
30.21,30.21,30.01,30.01,80.0,2011-12-04 05:45:00
29.94,29.94,29.59,29.59,100.0,2011-12-11 05:45:00
29.55,29.69,29.36,29.69,1370.0,2011-12-12 05:45:00
29.74,29.79,29.53,29.55,1600.0,2011-12-13 05:45:00
29.59,29.74,29.59,29.74,1000.0,2011-12-14 05:45:00
29.71,29.71,29.66,29.71,790.0,2011-12-15 05:45:00
29.77,29.83,29.77,29.83,60.0,2011-12-18 05:45:00
29.88,29.94,29.77,29.94,570.0,2011-12-19 05:45:00
29.94,29.99,29.94,29.99,220.0,2011-12-20 05:45:00
29.9,29.9,29.85,29.85,190.0,2011-12-21 05:45:00
29.9,29.9,29.85,29.85,130.0,2011-12-22 05:45:00
29.83,29.9,29.83,29.9,130.0,2011-12-26 05:45:00
29.88,29.9,29.85,29.85,380.0,2011-12-27 05:45:00
29.79,29.79,29.71,29.74,670.0,2011-12-28 05:45:00
29.79,29.79,29.77,29.79,1510.0,2011-12-29 05:45:00
29.9,29.96,29.85,29.85,1820.0,2012-01-01 05:45:00
29.79,29.96,29.74,29.9,450.0,2012-01-02 05:45:00
29.88,30.07,29.83,29.99,950.0,2012-01-03 05:45:00
29.9,29.96,29.9,29.96,1590.0,2012-01-04 05:45:00
30.01,30.01,29.99,30.01,940.0,2012-01-05 05:45:00
30.01,30.04,29.94,30.04,990.0,2012-01-08 05:45:00
30.04,30.19,30.04,30.13,970.0,2012-01-09 05:45:00
