open,high,low,close,volume,date
101.31,101.31,101.31,101.31,10.0,2012-02-12 05:45:00
100.71,100.71,100.39,100.39,30.0,2012-02-21 05:45:00
99.7,99.7,99.7,99.7,10.0,2012-03-06 05:45:00
99.02,99.02,98.74,98.74,20.0,2012-04-08 05:45:00
98.1,98.1,97.39,97.39,50.0,2012-04-11 05:45:00
97.14,97.14,97.14,97.14,10.0,2012-06-06 05:45:00
96.54,96.54,96.54,96.54,200.0,2012-06-17 05:45:00
95.99,95.99,95.99,95.99,10.0,2012-07-25 05:45:00
95.41,95.41,95.41,95.41,10.0,2012-08-16 05:45:00
94.9,94.9,94.9,94.9,10.0,2012-08-22 05:45:00
94.42,94.42,94.42,94.42,10.0,2012-08-27 05:45:00
93.93,93.93,93.61,93.61,40.0,2012-09-12 05:45:00
93.46,93.46,93.13,93.13,30.0,2012-09-13 05:45:00
92.73,92.73,92.33,92.33,70.0,2012-09-18 05:45:00
91.98,91.98,91.61,91.61,80.0,2012-09-20 05:45:00
91.49,91.49,91.25,91.25,50.0,2012-09-24 05:45:00
90.93,90.93,90.61,90.61,80.0,2012-09-30 05:45:00
90.33,90.33,90.06,90.06,100.0,2012-10-07 05:45:00
89.97,89.97,89.89,89.89,30.0,2012-10-08 05:45:00
89.65,89.65,89.57,89.57,40.0,2012-10-09 05:45:00
89.33,89.33,89.09,89.09,40.0,2012-10-11 05:45:00
89.01,89.01,88.65,88.65,620.0,2012-10-14 05:45:00
88.49,88.49,88.29,88.29,1260.0,2012-10-15 05:45:00
88.29,88.29,88.01,88.01,1020.0,2012-10-18 05:45:00
88.05,88.25,88.05,88.21,1480.0,2012-10-30 05:45:00
88.25,88.33,88.21,88.21,1030.0,2012-10-31 05:45:00
88.25,88.25,88.21,88.21,1500.0,2012-11-01 05:45:00
88.21,88.21,88.17,88.17,1280.0,2012-11-04 05:45:00
88.21,88.21,88.17,88.17,460.0,2012-11-05 05:45:00
88.13,88.17,88.13,88.17,1540.0,2012-11-06 05:45:00
88.17,88.17,88.17,88.17,800.0,2012-11-07 05:45:00
