open,high,low,close,volume,date
148.75,148.75,148.75,148.75,55.0,2020-12-03 05:45:00
150.0,150.0,150.0,150.0,4245.0,2020-12-06 05:45:00
151.5,157.5,151.5,157.5,75.0,2020-12-07 05:45:00
159.0,165.75,159.0,165.75,130.0,2020-12-08 05:45:00
167.5,174.75,167.5,174.75,80.0,2020-12-09 05:45:00
175.0,184.5,175.0,184.5,175.0,2020-12-10 05:45:00
186.5,195.25,186.5,195.25,2775.0,2020-12-13 05:45:00
197.5,207.25,197.5,207.25,385.0,2020-12-14 05:45:00
209.75,220.25,209.75,220.25,1770.0,2020-12-15 05:45:00
223.0,234.75,223.0,234.75,3801.0,2020-12-16 05:45:00
242.5,246.5,220.0,222.75,2398.0,2020-12-17 05:45:00
220.0,220.0,209.25,209.25,225.0,2020-12-20 05:45:00
206.75,206.75,196.0,196.0,2635.0,2020-12-21 05:45:00
193.75,193.75,184.0,184.0,358.0,2020-12-22 05:45:00
182.0,182.0,173.25,173.25,1782.0,2020-12-23 05:45:00
171.5,171.5,163.5,169.25,11880.0,2020-12-24 05:45:00
171.0,178.5,171.0,178.5,205.0,2020-12-27 05:45:00
180.5,188.75,180.5,188.75,943.0,2020-12-28 05:45:00
191.0,200.0,191.0,200.0,4869.0,2020-12-29 05:45:00
202.5,205.0,187.5,187.5,3042.0,2020-12-30 05:45:00
185.5,187.5,183.25,183.25,939.0,2020-12-31 05:45:00
183.25,187.5,172.5,185.25,10169.0,2021-01-03 05:45:00
187.25,196.25,183.75,194.0,1523.0,2021-01-04 05:45:00
196.25,205.75,196.25,205.75,3378.0,2021-01-05 05:45:00
208.25,218.75,208.25,218.75,183.0,2021-01-06 05:45:00
225.75,233.0,225.75,233.0,13144.0,2021-01-07 05:45:00
236.0,248.75,236.0,248.75,8003.0,2021-01-10 05:45:00
252.0,266.0,252.0,266.0,5457.0,2021-01-11 05:45:00
275.5,285.0,255.0,282.25,14542.0,2021-01-12 05:45:00
287.0,305.5,287.0,305.5,481.0,2021-01-13 05:45:00
310.5,331.0,310.5,331.0,7180.0,2021-01-17 05:45:00
336.5,359.0,336.5,359.0,5430.0,2021-01-18 05:45:00
365.0,389.5,365.0,389.5,29142.0,2021-01-19 05:45:00
396.0,423.0,396.0,423.0,10415.0,2021-01-20 05:45:00
441.5,441.5,386.0,398.0,11045.0,2021-01-21 05:45:00
398.0,398.0,363.5,363.5,6893.0,2021-01-24 05:45:00
348.0,394.5,332.5,380.0,12599.0,2021-01-25 05:45:00
385.0,393.5,368.5,374.0,4596.0,2021-01-26 05:45:00
377.5,377.5,362.5,370.0,6994.0,2021-01-27 05:45:00
375.0,387.5,370.0,370.0,2890.0,2021-01-28 05:45:00
386.0,402.0,370.0,388.5,13524.0,2021-01-31 05:45:00
394.5,395.0,381.5,388.5,3224.0,2021-02-01 05:45:00
395.0,395.0,378.5,380.5,1716.0,2021-02-02 05:45:00
374.5,376.0,362.5,366.0,6577.0,2021-02-03 05:45:00
381.5,381.5,362.5,372.5,2445.0,2021-02-04 05:45:00
366.5,372.5,362.5,363.5,4631.0,2021-02-07 05:45:00
362.5,362.5,358.0,359.0,4392.0,2021-02-08 05:45:00
353.5,359.0,352.5,355.0,4060.0,2021-02-09 05:45:00
355.0,359.0,348.0,353.0,4718.0,2021-02-10 05:45:00
347.0,352.5,346.5,349.5,3004.0,2021-02-11 20:45:00
347.5,347.5,334.0,340.0,2775.0,2021-02-14 20:45:00
345.5,368.5,334.0,355.5,5285.0,2021-02-15 20:45:00
357.5,357.5,349.5,351.5,1902.0,2021-02-16 20:45:00
357.5,358.0,345.0,351.0,2175.0,2021-02-17 20:45:00
351.0,361.0,345.0,346.5,1759.0,2021-02-18 20:45:00
345.0,353.5,343.0,353.5,880.0,2021-02-21 20:45:00
349.0,352.5,347.5,352.0,1719.0,2021-02-22 20:45:00
346.5,350.0,340.0,342.5,1200.0,2021-02-23 20:45:00
348.0,355.0,346.0,349.5,1385.0,2021-02-24 20:45:00
355.0,355.0,339.0,340.0,2166.0,2021-02-25 20:45:00
340.0,345.5,335.5,339.0,751.0,2021-02-28 20:45:00
340.0,354.0,335.0,345.5,1190.0,2021-03-01 20:45:00
341.5,341.5,331.0,337.5,1074.0,2021-03-02 20:45:00
340.0,340.0,322.5,325.0,2197.0,2021-03-03 20:45:00
325.0,330.5,325.0,327.5,1625.0,2021-03-04 20:45:00
333.0,333.0,322.0,324.5,776.0,2021-03-07 20:45:00
320.0,320.0,310.0,315.5,1235.0,2021-03-09 20:45:00
311.5,317.0,311.5,317.0,758.0,2021-03-10 20:45:00
320.0,320.0,300.5,301.5,1946.0,2021-03-14 20:45:00
301.0,306.5,297.0,306.5,1277.0,2021-03-15 20:45:00
311.0,316.0,311.0,314.0,1311.0,2021-03-16 20:45:00
309.0,313.5,309.0,312.5,218.0,2021-03-17 20:45:00
312.5,330.0,312.5,329.5,955.0,2021-03-18 20:45:00
329.5,334.5,319.0,329.0,1958.0,2021-03-21 20:45:00
325.0,325.0,318.5,322.5,1402.0,2021-03-22 20:45:00
327.5,335.5,317.5,320.0,1135.0,2021-03-23 20:45:00
320.0,325.0,319.5,319.5,316.0,2021-03-24 20:45:00
324.5,324.5,314.5,319.0,913.0,2021-03-25 20:45:00
314.0,320.5,311.0,316.0,495.0,2021-03-29 20:45:00
319.5,327.5,317.5,325.0,1746.0,2021-03-30 20:45:00
319.5,322.5,319.5,322.5,170.0,2021-03-31 20:45:00
327.5,327.5,318.5,325.0,2562.0,2021-04-01 20:45:00
320.0,320.0,317.5,318.0,213.0,2021-04-04 20:45:00
314.0,330.5,314.0,322.5,1780.0,2021-04-05 20:45:00
325.0,335.5,325.0,332.5,2615.0,2021-04-06 20:45:00
337.5,343.0,329.0,343.0,3140.0,2021-04-07 20:45:00
337.5,355.5,337.5,347.5,2265.0,2021-04-08 20:45:00
353.0,357.5,340.0,342.5,2144.0,2021-04-12 20:45:00
347.5,347.5,342.0,347.5,650.0,2021-04-13 20:45:00
342.5,351.5,338.0,347.5,1330.0,2021-04-15 20:45:00
346.0,346.0,338.0,338.5,408.0,2021-04-18 20:45:00
333.0,342.5,333.0,335.0,869.0,2021-04-19 20:45:00
335.0,346.0,331.5,346.0,1640.0,2021-04-20 20:45:00
340.5,349.5,330.5,335.0,2030.0,2021-04-21 20:45:00
330.0,346.0,330.0,337.0,1707.0,2021-04-22 20:45:00
331.5,331.5,309.0,313.5,24805.0,2021-04-25 20:45:00
309.0,309.0,295.0,300.0,17042.0,2021-04-26 20:45:00
295.0,313.0,295.0,306.5,11513.0,2021-04-27 20:45:00
306.5,326.5,306.5,319.0,9228.0,2021-04-28 20:45:00
320.0,320.5,304.5,315.0,11449.0,2021-04-29 20:45:00
310.0,312.5,305.0,312.0,7418.0,2021-05-02 20:45:00
308.0,330.0,308.0,312.5,4351.0,2021-05-03 20:45:00
310.0,312.5,309.0,311.0,2480.0,2021-05-04 20:45:00
308.5,311.5,308.0,309.5,2152.0,2021-05-05 20:45:00
307.5,315.0,305.5,315.0,10904.0,2021-05-06 20:45:00
314.0,314.5,306.0,308.0,5562.0,2021-05-09 20:45:00
308.0,315.0,307.0,312.0,7017.0,2021-05-10 20:45:00
312.0,335.0,309.5,334.5,24143.0,2021-05-11 20:45:00
337.5,363.5,334.5,363.5,37347.0,2021-05-12 20:45:00
363.5,394.5,355.0,374.5,20390.0,2021-05-13 20:45:00
374.5,378.5,355.0,362.0,27665.0,2021-05-16 20:45:00
362.0,393.0,355.5,368.0,28291.0,2021-05-17 20:45:00
374.0,380.0,365.5,379.5,6108.0,2021-05-18 20:45:00
380.0,380.0,362.0,365.0,5285.0,2021-05-19 20:45:00
361.0,368.5,358.0,365.0,7236.0,2021-05-20 20:45:00
360.5,396.5,360.5,392.5,42750.0,2021-05-23 20:45:00
401.0,401.0,386.5,390.5,30402.0,2021-05-24 20:45:00
392.5,420.0,390.5,412.5,30589.0,2021-05-25 20:45:00
407.5,432.5,393.5,423.0,23630.0,2021-05-27 20:45:00
423.0,425.0,410.5,413.5,17160.0,2021-05-30 20:45:00
431.5,449.5,420.0,440.5,59257.0,2021-05-31 20:45:00
440.5,463.5,440.5,455.5,32371.0,2021-06-01 20:45:00
475.5,475.5,440.5,452.5,12841.0,2021-06-02 20:45:00
472.5,472.5,421.5,435.0,36472.0,2021-06-03 20:45:00
454.0,465.5,412.0,412.0,51728.0,2021-06-06 20:45:00
412.0,412.0,391.5,401.5,20332.0,2021-06-07 20:45:00
418.5,418.5,395.0,397.5,13098.0,2021-06-08 20:45:00
391.0,415.5,391.0,405.0,14764.0,2021-06-09 20:45:00
412.0,412.0,405.0,405.0,6237.0,2021-06-10 20:45:00
422.5,422.5,389.0,395.5,15779.0,2021-06-13 20:45:00
402.0,416.0,389.0,395.0,11014.0,2021-06-14 20:45:00
401.5,408.5,380.0,383.5,13057.0,2021-06-15 20:45:00
377.0,380.0,364.5,367.5,9932.0,2021-06-16 20:45:00
367.5,380.5,367.5,375.5,8962.0,2021-06-17 20:45:00
375.5,377.0,354.0,376.0,10515.0,2021-06-20 20:45:00
392.0,408.5,377.0,408.5,42362.0,2021-06-21 20:45:00
426.0,432.0,408.0,412.0,21054.0,2021-06-22 20:45:00
417.5,417.5,395.5,396.5,4877.0,2021-06-23 20:45:00
396.5,399.5,389.0,396.5,6379.0,2021-06-24 20:45:00
390.5,396.0,384.5,385.0,6567.0,2021-06-27 20:45:00
391.5,391.5,380.5,385.0,1339.0,2021-06-28 20:45:00
391.5,391.5,375.5,376.0,2249.0,2021-06-29 20:45:00
370.5,375.0,364.0,374.0,4390.0,2021-06-30 20:45:00
380.0,384.0,363.5,377.0,4000.0,2021-07-01 20:45:00
375.0,381.5,366.5,370.0,4484.0,2021-07-04 20:45:00
370.0,385.5,370.0,380.0,7503.0,2021-07-05 20:45:00
380.0,386.0,375.0,375.0,3518.0,2021-07-06 20:45:00
381.0,382.0,375.0,382.0,2614.0,2021-07-07 20:45:00
398.5,398.5,377.5,382.0,2893.0,2021-07-08 20:45:00
388.5,402.0,386.0,399.0,8949.0,2021-07-11 20:45:00
400.0,400.0,388.0,390.0,6753.0,2021-07-12 20:45:00
390.0,417.5,384.0,400.0,6946.0,2021-07-13 20:45:00
400.0,400.0,387.5,398.5,2118.0,2021-07-14 20:45:00
392.5,401.0,392.5,398.5,4570.0,2021-07-15 20:45:00
398.5,400.0,392.5,395.6,3595.0,2021-07-18 20:45:00
402.5,402.5,393.0,393.0,3847.0,2021-07-19 20:45:00
397.5,397.5,388.5,389.5,5150.0,2021-07-20 20:45:00
385.0,398.0,385.0,393.5,5381.0,2021-07-22 20:45:00
400.0,405.0,393.0,405.0,12808.0,2021-07-25 20:45:00
405.0,416.5,400.0,409.55,18096.0,2021-07-26 20:45:00
410.0,418.0,407.5,415.0,12752.0,2021-07-27 20:45:00
412.5,451.5,412.5,451.5,39992.0,2021-07-28 20:45:00
455.0,491.5,452.5,462.5,29022.0,2021-07-29 20:45:00
470.0,470.25,437.0,449.5,16810.0,2021-08-01 20:45:00
442.05,450.5,442.0,448.5,12459.0,2021-08-02 20:45:00
455.95,455.95,441.0,448.2,11465.0,2021-08-03 20:45:00
456.15,488.0,436.0,487.5,44426.0,2021-08-04 20:45:00
494.0,494.0,468.0,482.0,15122.0,2021-08-05 20:45:00
490.0,490.0,466.5,480.0,21582.0,2021-08-08 20:45:00
480.0,487.5,470.0,470.0,16913.0,2021-08-09 20:45:00
470.0,512.0,470.0,500.0,67953.0,2021-08-10 20:45:00
507.5,509.0,491.5,493.0,15649.0,2021-08-11 20:45:00
493.0,526.0,487.5,515.0,28132.0,2021-08-12 20:45:00
506.0,506.0,479.5,491.0,15144.0,2021-08-15 20:45:00
499.5,504.95,484.5,496.5,12924.0,2021-08-16 20:45:00
493.0,537.5,493.0,524.0,28616.0,2021-08-17 20:45:00
525.0,532.5,510.5,522.5,14068.0,2021-08-18 20:45:00
513.5,522.5,505.2,508.5,8053.0,2021-08-19 20:45:00
499.5,523.5,482.5,519.0,25213.0,2021-08-24 20:45:00
527.0,527.0,500.0,520.0,15139.0,2021-08-25 20:45:00
