open,high,low,close,volume,date
229.58,229.58,229.58,229.58,10.0,2018-08-28 05:45:00
239.13,247.03,239.13,247.03,30.0,2018-08-30 05:45:00
251.32,251.32,251.32,251.32,10.0,2018-09-03 05:45:00
255.6,259.88,255.6,259.88,20.0,2018-09-04 05:45:00
264.17,264.17,264.17,264.17,10.0,2018-09-09 05:45:00
268.77,268.77,268.77,268.77,10.0,2018-09-13 05:45:00
273.38,273.38,273.38,273.38,10.0,2018-09-16 05:45:00
285.24,285.24,285.24,285.24,10.0,2018-09-18 05:45:00
290.18,295.13,290.18,295.13,20.0,2018-09-25 05:45:00
300.07,305.33,300.07,305.33,20.0,2018-09-27 05:45:00
310.61,310.61,310.61,310.61,10.0,2018-09-30 05:45:00
315.88,338.28,315.88,338.28,60.0,2018-10-01 05:45:00
344.2,368.58,344.2,368.58,110.0,2018-10-02 05:45:00
375.17,401.84,375.17,401.84,270.0,2018-10-03 05:45:00
409.09,438.73,409.09,438.73,120.0,2018-10-04 05:45:00
446.64,479.25,446.64,479.25,380.0,2018-10-07 05:45:00
488.14,523.72,488.14,523.72,2640.0,2018-10-08 05:45:00
533.27,572.79,533.27,540.84,24470.0,2018-10-09 05:45:00
540.18,540.18,523.72,524.7,5250.0,2018-10-10 05:45:00
515.15,522.4,507.25,521.41,3040.0,2018-10-11 05:45:00
523.72,543.48,523.72,543.48,3020.0,2018-10-14 05:45:00
544.13,556.65,533.6,545.13,3630.0,2018-10-15 05:45:00
535.24,540.18,535.24,537.55,1160.0,2018-10-21 05:45:00
536.89,543.48,536.56,537.88,1480.0,2018-10-22 05:45:00
536.89,537.88,524.04,525.69,3890.0,2018-10-23 05:45:00
525.69,530.3,520.43,522.73,2630.0,2018-10-24 05:45:00
516.47,530.3,516.47,522.07,1870.0,2018-10-25 05:45:00
523.72,527.01,513.83,513.83,2710.0,2018-10-28 05:45:00
504.28,513.83,501.65,510.54,1290.0,2018-10-29 05:45:00
510.54,515.48,502.63,508.89,1600.0,2018-10-30 05:45:00
502.97,508.89,502.97,505.93,770.0,2018-10-31 05:45:00
496.71,509.88,490.77,500.66,1110.0,2018-11-01 05:45:00
491.43,503.95,491.43,497.03,1500.0,2018-11-04 05:45:00
494.4,529.98,494.07,520.43,1120.0,2018-11-05 05:45:00
513.83,513.83,504.61,505.27,590.0,2018-11-11 05:45:00
496.05,505.27,494.07,494.07,940.0,2018-11-12 05:45:00
494.07,500.66,485.83,495.72,860.0,2018-11-13 05:45:00
496.38,499.01,487.82,494.07,1080.0,2018-11-14 05:45:00
495.72,499.34,494.73,494.73,1380.0,2018-11-15 05:45:00
495.72,504.94,490.77,491.43,1430.0,2018-11-18 05:45:00
491.43,492.43,482.54,484.19,1060.0,2018-11-19 05:45:00
485.18,487.48,477.6,478.26,3450.0,2018-11-20 05:45:00
479.25,480.9,471.02,478.26,3550.0,2018-11-21 05:45:00
478.26,484.19,477.6,478.26,6155.0,2018-11-22 05:45:00
487.48,487.48,471.68,480.9,1105.0,2018-11-25 05:45:00
480.9,503.95,480.9,499.34,1620.0,2018-11-26 05:45:00
499.34,503.95,490.12,497.37,2446.0,2018-11-27 05:45:00
497.37,500.66,474.97,478.92,550.0,2018-11-28 05:45:00
477.6,477.6,471.02,471.68,880.0,2018-11-29 05:45:00
480.9,493.41,468.38,471.02,5075.0,2018-12-02 05:45:00
471.02,480.23,451.25,451.25,3240.0,2018-12-04 05:45:00
459.82,459.82,438.08,438.08,920.0,2018-12-05 05:45:00
446.64,451.25,438.73,451.25,1300.0,2018-12-06 05:45:00
451.25,463.11,451.25,461.13,850.0,2018-12-09 05:45:00
470.36,487.48,463.77,478.26,1660.0,2018-12-10 05:45:00
472.99,480.9,471.68,472.99,1020.0,2018-12-11 05:45:00
464.42,474.31,464.42,474.31,190.0,2018-12-12 05:45:00
474.31,483.53,474.31,478.26,1146.0,2018-12-13 05:45:00
487.48,497.37,487.48,493.41,1550.0,2018-12-16 05:45:00
493.41,510.54,488.8,509.88,1770.0,2018-12-17 05:45:00
514.49,514.49,497.37,507.25,1700.0,2018-12-18 05:45:00
507.25,507.25,493.41,497.37,460.0,2018-12-19 05:45:00
497.37,512.52,488.8,495.39,1000.0,2018-12-20 05:45:00
505.27,525.03,500.66,510.54,1420.0,2018-12-23 05:45:00
510.54,513.83,500.66,501.98,640.0,2018-12-24 05:45:00
498.03,503.95,497.37,500.66,740.0,2018-12-25 05:45:00
494.07,520.43,494.07,520.43,2190.0,2018-12-26 05:45:00
527.01,543.48,508.57,508.57,3921.0,2018-12-27 05:45:00
518.44,533.6,513.83,521.74,1409.0,2018-12-30 05:45:00
521.74,521.74,515.15,517.13,1760.0,2018-12-31 05:45:00
507.25,520.43,507.25,515.15,500.0,2019-01-01 05:45:00
515.15,525.69,507.25,517.78,1814.0,2019-01-02 05:45:00
510.54,525.69,510.54,518.44,650.0,2019-01-03 05:45:00
518.44,527.01,510.54,523.72,1365.0,2019-01-06 05:45:00
514.49,523.72,514.49,523.72,310.0,2019-01-07 05:45:00
513.83,523.72,513.83,523.72,525.0,2019-01-08 05:45:00
527.01,527.67,524.38,525.69,1065.0,2019-01-09 05:45:00
518.44,530.3,518.44,524.38,520.0,2019-01-10 05:45:00
514.49,527.01,514.49,523.72,470.0,2019-01-13 05:45:00
518.44,527.01,518.44,527.01,420.0,2019-01-14 05:45:00
527.01,537.55,527.01,533.6,440.0,2019-01-15 05:45:00
