open,high,low,close,volume,date
10.0,10.08,9.69,9.88,113070.0,2021-11-22 05:45:00
9.69,10.07,9.69,10.05,66129.0,2021-11-23 05:45:00
9.85,10.03,9.68,10.0,32850.0,2021-11-24 05:45:00
9.81,10.06,9.76,10.0,40740.0,2021-11-25 05:45:00
9.9,9.99,9.77,9.88,33418.0,2021-11-28 05:45:00
9.69,10.08,9.69,9.8,33880.0,2021-11-29 05:45:00
9.7,9.92,9.62,9.92,26500.0,2021-11-30 05:45:00
9.93,9.93,9.7,9.89,50530.0,2021-12-01 05:45:00
9.7,9.92,9.57,9.66,52960.0,2021-12-02 05:45:00
9.55,9.68,9.4,9.66,28460.0,2021-12-05 20:45:00
9.5,9.78,9.4,9.7,73177.0,2021-12-06 20:45:00
9.75,9.8,9.6,9.63,18530.0,2021-12-07 20:45:00
9.5,9.79,9.45,9.6,70640.0,2021-12-08 20:45:00
9.43,9.79,9.42,9.52,24800.0,2021-12-09 20:45:00
9.34,9.6,9.34,9.51,23890.0,2021-12-12 20:45:00
9.51,9.6,9.4,9.43,42210.0,2021-12-13 20:45:00
9.32,9.49,9.32,9.41,10440.0,2021-12-14 20:45:00
9.44,9.6,9.28,9.35,32520.0,2021-12-15 20:45:00
9.32,9.5,9.28,9.31,18750.0,2021-12-16 20:45:00
9.14,9.49,9.13,9.49,28900.0,2021-12-20 20:45:00
9.31,9.51,9.31,9.51,36970.0,2021-12-21 20:45:00
9.32,9.53,9.32,9.53,30690.0,2021-12-22 20:45:00
9.5,9.72,9.17,9.41,10530.0,2021-12-23 20:45:00
9.25,9.5,9.25,9.45,36800.0,2021-12-26 20:45:00
9.48,9.58,9.42,9.5,44850.0,2021-12-27 20:45:00
9.4,9.6,9.33,9.57,47150.0,2021-12-28 20:45:00
9.5,9.63,9.15,9.47,35200.0,2021-12-29 20:45:00
9.29,9.5,9.14,9.5,60550.0,2022-01-02 20:45:00
9.4,9.54,9.17,9.37,48140.0,2022-01-03 20:45:00
9.19,9.55,9.19,9.44,44030.0,2022-01-04 20:45:00
9.35,9.65,9.26,9.46,33990.0,2022-01-05 20:45:00
9.32,9.75,9.32,9.6,48880.0,2022-01-06 20:45:00
9.42,9.9,9.42,9.67,68710.0,2022-01-09 20:45:00
9.6,9.94,9.5,9.84,63850.0,2022-01-10 20:45:00
9.8,10.03,9.55,9.83,51210.0,2022-01-11 20:45:00
9.65,10.02,9.51,9.57,36165.0,2022-01-12 20:45:00
9.38,9.89,9.3,9.8,36050.0,2022-01-13 20:45:00
9.8,9.83,9.8,9.8,60766.0,2022-01-16 20:45:00
9.98,9.99,9.65,9.7,23010.0,2022-01-17 20:45:00
9.6,9.76,9.55,9.62,28432.0,2022-01-18 20:45:00
9.55,9.8,9.51,9.66,21410.0,2022-01-19 20:45:00
9.51,9.67,9.47,9.65,44550.0,2022-01-20 20:45:00
9.5,9.68,9.49,9.6,28310.0,2022-01-23 20:45:00
9.45,9.75,9.45,9.5,61340.0,2022-01-24 20:45:00
