open,high,low,close,volume,date
73.34,73.34,73.34,73.34,2.0,2012-12-14 05:45:00
81.14,81.9,81.14,81.9,30.0,2012-12-17 05:45:00
82.88,82.88,82.88,82.88,10.0,2012-12-18 05:45:00
83.91,84.74,83.91,84.74,40.0,2012-12-19 05:45:00
85.86,86.78,85.86,86.78,31.0,2012-12-20 05:45:00
88.02,89.04,88.02,89.04,40.0,2012-12-23 05:45:00
89.55,92.89,89.55,92.89,1292.0,2012-12-24 05:45:00
92.32,94.73,92.32,94.73,91.0,2012-12-26 05:45:00
96.37,98.01,96.37,98.01,1260.0,2012-12-27 05:45:00
99.81,101.61,99.81,101.61,6361.0,2012-12-31 05:45:00
103.56,105.57,103.56,105.57,40.0,2013-01-01 05:45:00
107.73,109.92,107.73,109.92,8498.0,2013-01-02 05:45:00
110.85,114.75,110.85,114.75,1573.0,2013-01-03 05:45:00
117.36,120.03,117.36,120.03,4983.0,2013-01-06 05:45:00
122.91,125.83,122.91,125.83,11538.0,2013-01-07 05:45:00
127.31,129.43,125.83,128.1,8462.0,2013-01-08 05:45:00
126.81,126.81,121.46,121.46,5575.0,2013-01-09 05:45:00
120.28,120.28,115.51,115.51,2609.0,2013-01-10 05:45:00
114.48,114.48,114.48,114.48,7.0,2013-01-11 05:45:00
114.44,114.44,112.43,112.95,8816.0,2013-01-13 05:45:00
112.9,112.9,110.28,110.44,4209.0,2013-01-15 05:45:00
109.41,109.88,108.79,109.41,1956.0,2013-01-16 05:45:00
109.36,109.47,108.59,109.16,3713.0,2013-01-17 05:45:00
109.62,109.62,107.0,107.97,1931.0,2013-01-20 05:45:00
107.57,109.62,107.57,108.7,1308.0,2013-01-21 05:45:00
108.03,111.36,108.03,110.39,607.0,2013-01-22 05:45:00
109.62,111.67,109.62,111.41,1882.0,2013-01-23 05:45:00
112.39,112.39,109.11,110.39,1717.0,2013-01-24 05:45:00
109.88,109.88,109.88,109.88,8.0,2013-01-25 05:45:00
110.9,111.17,108.85,109.36,1613.0,2013-01-27 05:45:00
109.11,109.47,108.59,109.06,2067.0,2013-01-28 05:45:00
109.62,109.68,108.9,109.36,855.0,2013-01-30 05:45:00
109.88,109.88,109.11,109.36,1442.0,2013-01-31 05:45:00
109.36,109.88,108.79,108.79,2609.0,2013-02-03 05:45:00
107.93,109.36,107.93,108.85,1557.0,2013-02-04 05:45:00
109.36,109.36,108.33,108.9,1868.0,2013-02-05 05:45:00
108.65,108.7,108.09,108.18,1037.0,2013-02-06 05:45:00
108.28,108.85,107.41,108.85,1392.0,2013-02-07 05:45:00
107.93,108.09,107.81,107.81,618.0,2013-02-10 05:45:00
107.88,108.44,106.79,106.79,4393.0,2013-02-12 05:45:00
104.74,108.09,104.74,107.67,21258.0,2013-02-13 05:45:00
106.79,106.79,103.1,103.1,13260.0,2013-02-14 05:45:00
103.92,103.97,102.54,102.7,3313.0,2013-02-19 05:45:00
102.7,103.52,101.87,102.23,3091.0,2013-02-20 05:45:00
101.66,102.95,101.66,101.66,2252.0,2013-02-21 05:45:00
101.57,101.61,99.4,100.74,3195.0,2013-02-24 05:45:00
101.16,101.16,98.43,98.84,2420.0,2013-02-25 05:45:00
98.13,98.28,97.3,97.56,1765.0,2013-02-26 05:45:00
97.56,97.56,96.78,96.88,1607.0,2013-02-27 05:45:00
97.45,97.66,96.78,96.84,1121.0,2013-02-28 05:45:00
97.5,98.28,96.53,96.53,1388.0,2013-03-03 05:45:00
95.86,96.68,95.86,96.68,1069.0,2013-03-04 05:45:00
97.25,97.35,96.02,96.02,1618.0,2013-03-05 05:45:00
96.64,96.68,95.35,95.5,3071.0,2013-03-06 05:45:00
95.55,96.18,94.07,94.07,4218.0,2013-03-07 05:45:00
94.48,95.09,93.96,94.73,3483.0,2013-03-11 05:45:00
94.99,95.5,94.99,95.5,523.0,2013-03-13 05:45:00
95.55,96.53,95.14,96.53,2852.0,2013-03-14 05:45:00
96.18,96.94,96.18,96.53,1952.0,2013-03-17 05:45:00
96.02,96.53,96.02,96.53,819.0,2013-03-18 05:45:00
96.53,97.25,96.53,96.84,474.0,2013-03-19 05:45:00
96.18,96.18,96.18,96.18,781.0,2013-03-20 05:45:00
96.84,97.2,95.81,95.81,924.0,2013-03-21 05:45:00
95.76,96.02,94.48,95.09,1488.0,2013-03-24 05:45:00
95.5,95.76,94.84,95.76,520.0,2013-03-25 05:45:00
95.91,96.27,95.29,95.81,596.0,2013-03-27 05:45:00
95.09,96.27,95.09,95.09,1635.0,2013-03-28 05:45:00
94.99,95.45,94.88,94.99,597.0,2013-03-31 05:45:00
94.32,94.73,94.32,94.48,2200.0,2013-04-01 05:45:00
94.48,94.73,94.23,94.53,1725.0,2013-04-02 05:45:00
94.32,95.09,94.27,94.48,2128.0,2013-04-03 05:45:00
94.01,94.53,94.01,94.37,926.0,2013-04-04 05:45:00
94.37,94.73,94.27,94.42,1254.0,2013-04-07 05:45:00
94.73,94.99,94.37,94.53,963.0,2013-04-08 05:45:00
94.69,97.72,94.48,96.78,5896.0,2013-04-09 05:45:00
96.78,99.81,96.78,98.94,6685.0,2013-04-11 05:45:00
98.58,100.64,98.58,100.12,3605.0,2013-04-15 05:45:00
99.86,100.27,99.56,100.27,2554.0,2013-04-16 05:45:00
99.92,100.18,99.51,99.51,738.0,2013-04-17 05:45:00
98.89,99.25,97.61,98.08,1677.0,2013-04-18 05:45:00
98.08,98.08,97.4,97.81,741.0,2013-04-21 05:45:00
97.1,97.72,97.0,97.66,560.0,2013-04-22 05:45:00
97.56,98.32,96.84,97.56,7895.0,2013-04-23 05:45:00
97.81,97.86,96.84,97.81,2462.0,2013-04-25 05:45:00
98.53,98.53,97.3,97.5,1420.0,2013-04-28 05:45:00
96.84,97.97,96.42,97.3,2872.0,2013-04-29 05:45:00
96.64,97.3,93.75,93.75,13940.0,2013-04-30 05:45:00
93.14,93.2,90.58,90.58,8316.0,2013-05-02 05:45:00
90.58,90.58,90.58,90.58,10.0,2013-05-03 05:45:00
90.12,90.12,87.71,87.71,11463.0,2013-05-05 05:45:00
88.06,88.37,85.14,88.37,293777.0,2013-05-06 05:45:00
88.89,90.27,87.09,88.83,29919.0,2013-05-07 05:45:00
88.33,89.51,86.78,88.94,140540.0,2013-05-08 05:45:00
89.97,91.05,89.97,91.05,135.0,2013-05-09 05:45:00
94.83,98.61,94.83,98.61,40.0,2013-05-22 05:45:00
100.23,106.7,100.23,106.7,60.0,2013-05-23 05:45:00
108.32,115.86,108.32,115.86,120.0,2013-05-26 05:45:00
117.5,122.88,112.64,112.64,3065.0,2013-05-27 05:45:00
111.02,111.02,104.54,104.54,3812.0,2013-05-28 05:45:00
106.17,108.32,104.54,108.32,1153.0,2013-05-30 05:45:00
106.7,107.78,106.17,107.78,1170.0,2013-06-02 05:45:00
106.7,106.7,105.63,106.17,2302.0,2013-06-03 05:45:00
104.54,104.54,104.54,104.54,20.0,2013-06-04 05:45:00
106.17,106.17,103.46,103.46,937.0,2013-06-05 05:45:00
103.46,103.46,101.84,102.38,1250.0,2013-06-06 05:45:00
101.84,102.38,101.29,101.29,425.0,2013-06-09 05:45:00
101.29,103.46,100.76,103.46,3093.0,2013-06-10 05:45:00
101.84,101.84,101.84,101.84,240.0,2013-06-11 05:45:00
101.29,101.84,99.69,100.23,3937.0,2013-06-12 05:45:00
100.23,100.23,100.23,100.23,602.0,2013-06-13 05:45:00
100.23,100.23,98.61,100.23,252.0,2013-06-16 05:45:00
100.23,100.76,99.69,100.76,696.0,2013-06-18 05:45:00
101.84,101.84,100.23,100.23,271.0,2013-06-19 05:45:00
98.61,100.23,98.61,100.23,200.0,2013-06-20 05:45:00
98.61,98.61,96.99,96.99,200.0,2013-06-23 05:45:00
96.45,96.45,93.75,93.75,1088.0,2013-06-24 05:45:00
93.21,94.83,91.6,93.21,4291.0,2013-06-25 05:45:00
93.75,96.99,93.75,95.36,2618.0,2013-06-26 05:45:00
96.45,99.15,95.36,97.52,1660.0,2013-06-27 05:45:00
98.07,99.69,97.52,99.69,1507.0,2013-06-30 05:45:00
99.15,99.15,98.07,98.07,3204.0,2013-07-01 05:45:00
96.99,98.07,94.83,96.45,2012.0,2013-07-02 05:45:00
97.52,98.61,96.99,98.61,1080.0,2013-07-03 05:45:00
98.61,100.23,98.07,98.61,641.0,2013-07-04 05:45:00
97.52,97.52,97.52,97.52,15.0,2013-07-07 05:45:00
96.45,96.45,94.29,95.9,425.0,2013-07-08 05:45:00
97.52,98.61,97.52,97.52,940.0,2013-07-09 05:45:00
99.15,99.15,99.15,99.15,1169.0,2013-07-10 05:45:00
100.23,100.76,99.15,99.15,741.0,2013-07-11 05:45:00
98.61,105.63,98.61,105.63,239.0,2013-07-14 05:45:00
104.0,105.08,104.0,105.08,110.0,2013-07-15 05:45:00
103.46,103.46,101.84,101.84,95.0,2013-07-18 05:45:00
100.23,100.23,96.45,96.45,1141.0,2013-07-21 05:45:00
95.36,95.36,93.75,93.75,2360.0,2013-07-22 05:45:00
92.13,95.9,92.13,95.9,1246.0,2013-07-23 05:45:00
94.83,96.45,94.83,96.45,1423.0,2013-07-24 05:45:00
98.07,99.69,98.07,98.07,2518.0,2013-07-25 05:45:00
98.61,100.76,98.07,99.15,1824.0,2013-07-28 05:45:00
100.23,100.76,100.23,100.76,1196.0,2013-07-29 05:45:00
101.84,104.0,101.84,104.0,690.0,2013-07-30 05:45:00
102.92,105.08,102.92,105.08,1821.0,2013-07-31 05:45:00
106.7,109.93,106.7,107.25,4726.0,2013-08-01 05:45:00
108.86,111.02,108.86,109.93,653.0,2013-08-04 05:45:00
109.4,109.4,107.78,107.78,143.0,2013-08-05 05:45:00
107.25,107.25,105.63,105.63,391.0,2013-08-06 05:45:00
104.54,107.25,104.54,105.08,1481.0,2013-08-07 05:45:00
105.08,105.08,103.46,103.46,2231.0,2013-08-08 05:45:00
101.84,101.84,96.99,96.99,1563.0,2013-08-11 05:45:00
98.61,100.23,96.45,100.23,1832.0,2013-08-12 05:45:00
98.61,103.46,98.61,98.61,3641.0,2013-08-13 05:45:00
98.07,99.15,97.52,99.15,1093.0,2013-08-14 05:45:00
97.52,99.15,97.52,97.52,614.0,2013-08-15 05:45:00
98.07,100.76,98.07,98.61,3189.0,2013-08-18 05:45:00
98.07,100.76,98.07,100.76,713.0,2013-08-19 05:45:00
100.23,102.38,99.69,102.38,1102.0,2013-08-20 05:45:00
100.76,100.76,99.15,99.69,556.0,2013-08-25 05:45:00
99.15,102.92,98.61,102.92,1924.0,2013-08-26 05:45:00
101.84,102.92,101.84,102.92,767.0,2013-08-27 05:45:00
101.84,105.08,101.84,104.54,859.0,2013-08-29 05:45:00
102.92,104.0,102.92,104.0,156.0,2013-09-01 05:45:00
104.54,105.08,102.92,104.0,1333.0,2013-09-02 05:45:00
104.54,105.08,101.84,101.84,1851.0,2013-09-03 05:45:00
101.84,104.0,101.29,104.0,3643.0,2013-09-04 05:45:00
102.38,104.0,102.38,104.0,1176.0,2013-09-05 05:45:00
105.63,105.63,104.0,104.0,1231.0,2013-09-08 05:45:00
105.63,105.63,102.38,104.0,2047.0,2013-09-09 05:45:00
105.63,107.25,102.38,102.38,660.0,2013-09-10 05:45:00
102.38,103.46,100.76,100.76,1849.0,2013-09-11 05:45:00
100.23,100.23,99.15,99.15,600.0,2013-09-12 05:45:00
100.76,102.38,100.76,101.84,282.0,2013-09-15 05:45:00
100.76,100.76,97.52,97.52,329.0,2013-09-16 05:45:00
95.9,99.69,95.9,99.69,507.0,2013-09-17 05:45:00
99.15,100.23,97.52,99.15,1948.0,2013-09-19 05:45:00
99.15,99.15,97.52,98.07,560.0,2013-09-22 05:45:00
96.45,96.45,96.45,96.45,471.0,2013-09-23 05:45:00
96.45,97.52,94.83,97.52,1180.0,2013-09-24 05:45:00
97.52,102.38,96.99,99.69,6778.0,2013-09-25 05:45:00
101.29,106.17,100.23,101.29,10220.0,2013-09-26 05:45:00
100.76,101.84,100.76,100.76,3030.0,2013-09-29 05:45:00
