open,high,low,close,volume,date
1000.0,1000.0,1000.0,1000.0,25.0,2021-12-14 05:45:00
980.0,980.0,980.0,980.0,55.0,2021-12-21 20:45:00
961.0,961.0,917.0,935.0,105.0,2021-12-22 20:45:00
920.1,925.0,920.1,920.4,190.0,2021-12-23 20:45:00
918.0,920.3,917.1,920.3,145.0,2021-12-26 20:45:00
915.2,920.3,915.0,915.0,75.0,2021-12-27 20:45:00
915.0,915.0,914.1,914.1,75.0,2021-12-28 20:45:00
920.0,920.0,920.0,920.0,25.0,2021-12-29 20:45:00
910.3,911.4,893.2,893.2,125.0,2022-01-02 20:45:00
911.0,911.0,900.0,900.0,105.0,2022-01-03 20:45:00
918.0,918.0,918.0,918.0,300.0,2022-01-09 20:45:00
902.1,902.1,902.0,902.0,50.0,2022-01-10 20:45:00
905.0,920.0,905.0,920.0,175.0,2022-01-11 20:45:00
912.1,912.1,901.3,901.3,400.0,2022-01-13 20:45:00
901.3,900.0,900.0,900.0,55.0,2022-01-16 20:45:00
882.2,900.0,882.1,899.7,125.0,2022-01-18 20:45:00
885.0,899.4,881.8,899.4,50.0,2022-01-19 20:45:00
905.0,913.0,905.0,913.0,270.0,2022-01-20 20:45:00
900.0,900.0,896.0,896.0,75.0,2022-01-23 20:45:00
880.1,880.1,880.1,880.1,25.0,2022-01-24 20:45:00
865.5,870.0,865.0,870.0,125.0,2022-01-25 20:45:00
856.2,856.2,856.2,856.2,25.0,2022-01-27 20:45:00
873.0,873.0,862.0,862.0,60.0,2022-02-06 20:45:00
866.0,866.0,866.0,866.0,25.0,2022-02-08 20:45:00
880.0,880.0,880.0,880.0,10.0,2022-02-09 20:45:00
880.0,880.0,880.0,880.0,40.0,2022-02-10 20:45:00
870.0,870.0,865.1,865.1,150.0,2022-02-13 20:45:00
874.9,875.0,874.9,875.0,50.0,2022-02-14 20:45:00
875.0,875.0,875.0,875.0,50.0,2022-02-15 20:45:00
857.5,870.0,857.5,870.0,50.0,2022-02-16 20:45:00
874.0,874.0,874.0,874.0,100.0,2022-02-17 20:45:00
