open,high,low,close,volume,date
747.7,793.3,747.7,793.3,110.0,2022-03-28 20:45:01
793.3,872.6,793.3,872.6,104.0,2022-03-29 20:45:01
872.6,959.8,872.6,959.8,112.0,2022-03-30 20:45:01
959.8,1055.7,959.8,1055.7,96.0,2022-03-31 20:45:01
1047.7,1161.2,1047.7,1161.2,148.0,2022-04-03 20:45:01
1160.7,1277.3,1160.7,1277.3,146.0,2022-04-04 20:45:01
1277.3,1405.0,1277.3,1405.0,145.0,2022-04-05 20:45:01
1400.7,1545.5,1400.7,1545.5,204.0,2022-04-06 20:45:01
1545.5,1700.0,1545.5,1700.0,353.0,2022-04-07 20:45:01
1734.0,1870.0,1734.0,1870.0,471.0,2022-04-11 20:45:01
1849.7,2057.0,1849.7,2057.0,724.0,2022-04-12 20:45:01
2023.7,2262.7,2023.7,2262.7,765.0,2022-04-13 20:45:01
2307.9,2488.9,2307.9,2488.9,1300.0,2022-04-17 20:45:01
2538.6,2737.7,2538.6,2737.7,1428.0,2022-04-18 20:45:01
2792.4,3011.4,2792.4,3011.4,3871.0,2022-04-19 20:45:01
3071.6,3312.5,2710.3,2710.3,50565.0,2022-04-20 20:45:01
2656.1,2850.0,2452.0,2800.0,41189.0,2022-04-21 20:45:01
2800.0,2814.0,2695.0,2720.1,18523.0,2022-04-24 20:45:01
2700.0,2740.0,2642.0,2651.0,18085.0,2022-04-25 20:45:01
2620.0,2719.0,2610.1,2670.1,11409.0,2022-04-26 20:45:01
2648.0,2700.0,2648.0,2667.1,5666.0,2022-04-27 20:45:01
2665.0,2710.0,2650.0,2655.0,10171.0,2022-04-28 20:45:01
2630.0,2650.0,2550.0,2561.1,8862.0,2022-05-02 20:45:01
2522.0,2572.6,2512.0,2517.0,7040.0,2022-05-04 20:45:01
2500.0,2516.0,2480.0,2482.1,8502.0,2022-05-05 20:45:01
2450.0,2528.0,2450.0,2528.0,7185.0,2022-05-08 20:45:01
2528.0,2600.0,2525.0,2530.0,7140.0,2022-05-09 20:45:01
2538.0,2649.0,2530.1,2638.0,6983.0,2022-05-10 20:45:01
2650.0,2689.9,2587.0,2611.0,5825.0,2022-05-11 20:45:01
2611.0,2611.0,2560.0,2575.0,8371.0,2022-05-12 20:45:01
2599.0,2599.0,2499.0,2500.0,5327.0,2022-05-17 20:45:01
2550.0,2601.0,2431.0,2456.0,7601.0,2022-05-18 20:45:01
2450.0,2498.0,2425.0,2425.0,4008.0,2022-05-19 20:45:01
2400.1,2448.0,2400.0,2406.0,3249.0,2022-05-20 20:45:01
2383.0,2383.0,2325.0,2335.0,8576.0,2022-05-23 20:45:01
2302.0,2370.0,2301.0,2305.0,4027.0,2022-05-24 20:45:01
2305.0,2367.0,2305.0,2333.0,3154.0,2022-05-25 20:45:01
2301.2,2379.0,2301.2,2360.0,2585.0,2022-05-26 20:45:01
2360.0,2370.0,2327.0,2340.0,2306.0,2022-05-27 20:45:01
2330.0,2345.0,2290.0,2295.0,3059.0,2022-05-30 20:45:01
2255.0,2341.0,2230.0,2262.0,4393.0,2022-05-31 20:45:01
2251.1,2290.0,2251.1,2260.0,2840.0,2022-06-01 20:45:01
2280.0,2310.0,2205.0,2215.0,4530.0,2022-06-02 20:45:01
2201.0,2209.0,2186.0,2195.0,3050.0,2022-06-03 20:45:01
2220.0,2240.0,2196.0,2212.1,3164.0,2022-06-06 20:45:01
2192.0,2220.0,2160.0,2171.6,3883.0,2022-06-07 20:45:01
2180.0,2284.0,2160.0,2250.0,6880.0,2022-06-08 20:45:01
2250.0,2294.0,2210.0,2210.0,3993.0,2022-06-09 20:45:01
2210.0,2243.9,2190.0,2206.0,2718.0,2022-06-10 20:45:01
2191.0,2230.0,2190.0,2210.0,1665.0,2022-06-13 20:45:01
2180.0,2249.0,2172.0,2173.0,4952.0,2022-06-14 20:45:01
2151.0,2173.0,2106.0,2121.0,3833.0,2022-06-15 20:45:01
2120.0,2180.0,2110.0,2130.0,2641.0,2022-06-16 20:45:01
2172.0,2172.0,2116.0,2120.0,937.0,2022-06-17 20:45:01
2105.0,2130.0,2081.0,2090.0,3175.0,2022-06-19 20:45:01
2048.2,2080.0,2048.2,2058.1,3950.0,2022-06-20 20:45:01
2050.0,2099.0,2017.1,2046.0,2885.0,2022-06-21 20:45:01
2006.0,2051.0,2006.0,2014.1,2573.0,2022-06-22 20:45:01
2010.0,2015.0,1950.0,1958.0,2949.0,2022-06-23 20:45:01
1921.0,1997.1,1855.2,1964.0,9663.0,2022-06-24 20:45:01
1964.0,2069.9,1925.0,2068.0,6931.0,2022-06-26 20:45:01
2108.3,2108.3,1970.0,2010.0,2445.0,2022-06-27 20:45:01
1970.0,2010.0,1961.0,1989.0,2534.0,2022-06-28 20:45:01
1989.0,2065.0,1960.2,2050.0,4427.0,2022-06-29 20:45:01
2041.0,2194.0,2041.0,2145.0,5754.0,2022-06-30 20:45:01
2145.1,2160.0,2110.1,2143.0,3070.0,2022-07-01 20:45:01
2115.0,2357.3,2112.0,2357.3,10473.0,2022-07-03 20:45:01
2400.0,2500.0,2321.0,2374.0,13957.0,2022-07-04 20:45:01
2326.6,2453.0,2326.6,2355.0,9451.0,2022-07-05 20:45:01
2350.0,2420.0,2310.0,2420.0,5496.0,2022-07-06 20:45:01
2420.0,2468.0,2320.0,2340.0,9593.0,2022-07-07 20:45:01
2305.0,2320.0,2205.0,2265.0,3950.0,2022-07-08 20:45:01
2219.7,2249.0,2170.4,2174.0,3256.0,2022-07-11 20:45:01
2216.0,2217.0,2153.0,2153.1,3237.0,2022-07-12 20:45:01
2185.0,2260.3,2170.0,2244.9,3643.0,2022-07-13 20:45:01
2289.6,2323.0,2271.0,2290.0,3947.0,2022-07-14 20:45:01
2270.1,2300.0,2250.1,2280.0,1472.0,2022-07-15 20:45:01
2270.0,2310.0,2260.0,2300.0,2803.0,2022-07-17 20:45:01
2300.0,2356.0,2290.0,2340.0,4626.0,2022-07-18 20:45:01
2340.0,2435.7,2340.0,2418.0,9520.0,2022-07-19 20:45:01
2390.0,2420.0,2388.0,2395.0,4494.0,2022-07-20 20:45:01
2370.0,2415.0,2370.0,2390.0,3374.0,2022-07-21 20:45:01
2400.0,2400.0,2350.0,2350.0,3226.0,2022-07-22 20:45:01
2397.0,2425.0,2326.0,2422.0,6711.0,2022-07-24 20:45:01
2430.0,2589.9,2430.0,2580.0,14307.0,2022-07-25 20:45:01
2590.0,2689.0,2499.0,2586.2,19568.0,2022-07-26 20:45:01
2550.1,2844.8,2520.0,2844.0,31389.0,2022-07-27 20:45:01
2900.8,3000.0,2788.0,2870.0,15530.0,2022-07-28 20:45:01
2900.0,2955.0,2820.0,2910.0,9591.0,2022-07-29 20:45:01
2948.0,3039.0,2900.0,2997.0,17653.0,2022-07-31 20:45:01
2997.0,3111.0,2925.0,2930.0,15727.0,2022-08-01 20:45:01
2930.0,3223.0,2881.0,3130.0,24113.0,2022-08-02 20:45:01
3192.0,3250.0,3030.0,3060.0,9675.0,2022-08-03 20:45:01
3000.0,3250.0,3000.0,3185.0,22427.0,2022-08-04 20:45:01
3248.7,3248.7,3100.0,3115.0,15754.0,2022-08-05 20:45:01
3100.0,3175.0,3041.0,3090.0,13279.0,2022-08-07 20:45:01
3149.9,3173.2,3091.0,3120.0,20346.0,2022-08-08 20:45:01
3120.0,3215.0,3075.0,3077.1,15173.0,2022-08-09 20:45:01
3120.0,3150.0,3080.0,3125.0,9223.0,2022-08-10 20:45:01
3130.0,3230.0,3130.0,3209.0,17102.0,2022-08-11 20:45:01
3230.0,3270.0,3171.0,3202.0,10454.0,2022-08-14 20:45:01
3210.0,3290.0,3210.0,3280.0,15269.0,2022-08-15 20:45:01
3340.0,3344.0,3181.0,3195.0,15889.0,2022-08-16 20:45:01
3250.0,3250.0,3131.1,3190.0,9023.0,2022-08-17 20:45:01
3249.9,3300.0,3190.0,3207.0,14692.0,2022-08-18 20:45:01
3270.0,3270.0,3196.0,3240.0,23224.0,2022-08-21 20:45:01
3240.0,3300.0,3205.0,3250.0,14006.0,2022-08-22 20:45:01
3250.0,3315.0,3235.0,3258.1,6686.0,2022-08-23 20:45:01
3300.0,3320.0,3260.0,3281.0,8878.0,2022-08-24 20:45:01
3293.9,3350.0,3239.0,3349.0,24953.0,2022-08-25 20:45:01
3350.0,3390.0,3286.0,3326.0,5055.0,2022-08-26 20:45:01
3350.0,3389.0,3211.0,3240.0,9408.0,2022-08-28 20:45:01
3284.0,3284.0,3202.0,3218.5,9649.0,2022-08-29 20:45:01
3280.0,3280.0,3180.0,3217.0,6173.0,2022-08-30 20:45:01
3217.0,3280.0,3102.8,3133.0,10380.0,2022-08-31 20:45:01
3131.0,3195.0,3015.0,3100.0,15812.0,2022-09-01 20:33:01
3160.0,3200.0,3117.0,3130.0,4101.0,2022-09-02 20:45:01
3185.0,3190.0,3141.0,3158.0,7118.0,2022-09-04 20:45:01
3122.1,3210.0,3122.1,3160.0,9030.0,2022-09-05 20:45:01
3199.0,3199.0,3080.0,3080.0,2991.0,2022-09-06 20:45:01
3141.0,3141.0,3070.0,3081.1,8593.0,2022-09-07 20:45:01
3139.0,3139.0,3031.0,3092.0,2510.0,2022-09-08 20:45:01
3135.0,3135.0,3038.0,3040.0,2136.0,2022-09-11 20:45:01
3095.0,3095.0,3005.0,3059.9,6494.0,2022-09-12 20:45:01
3085.0,3085.0,3045.0,3066.5,4585.0,2022-09-13 20:45:01
3075.0,3127.0,3046.1,3104.8,10286.0,2022-09-14 20:45:01
3104.8,3160.0,2986.1,3005.0,9874.0,2022-09-15 20:45:01
2950.1,3000.0,2833.0,2945.0,2542.0,2022-09-16 20:45:01
2999.0,2999.0,2930.0,2930.0,7051.0,2022-09-18 20:45:01
2900.0,2987.0,2800.0,2801.0,7309.0,2022-09-20 20:45:01
2855.0,2950.0,2829.3,2850.0,3193.0,2022-09-21 20:45:01
2875.0,2903.0,2775.2,2785.0,5090.0,2022-09-22 20:45:01
2750.0,2800.0,2702.0,2710.0,2272.0,2022-09-25 20:45:01
2763.0,2873.0,2740.1,2775.0,7845.0,2022-09-27 20:45:01
2829.0,2830.0,2745.0,2745.1,3385.0,2022-09-28 20:45:01
2800.0,2850.0,2770.0,2830.0,4521.0,2022-09-29 20:45:01
2855.0,2897.9,2800.0,2878.0,2277.0,2022-10-09 20:45:01
2935.0,2993.0,2778.0,2778.0,5238.0,2022-10-10 20:45:01
2833.0,2833.0,2739.0,2740.0,1660.0,2022-10-11 20:45:01
2741.0,2810.0,2735.0,2790.0,1068.0,2022-10-12 20:45:01
2830.0,2943.0,2810.0,2878.0,5370.0,2022-10-13 20:45:01
2930.0,2930.0,2812.0,2832.0,1803.0,2022-10-16 20:45:01
2888.0,2888.0,2780.0,2800.0,3855.0,2022-10-17 20:45:01
2850.0,2907.0,2750.0,2750.0,1540.0,2022-10-19 20:45:01
2799.0,2844.0,2705.0,2755.0,925.0,2022-10-20 20:45:01
2755.0,2789.0,2745.0,2770.0,688.0,2022-10-23 20:45:01
2825.0,2900.0,2772.0,2820.0,2140.0,2022-10-31 20:45:01
2875.0,2875.0,2840.0,2872.5,4082.0,2022-11-01 20:45:01
2929.0,2981.0,2865.0,2910.0,5712.0,2022-11-02 20:45:01
2965.0,2965.0,2850.0,2885.0,1201.0,2022-11-03 20:45:01
2942.0,3173.5,2942.0,3173.5,32337.0,2022-11-06 20:45:01
3236.0,3330.0,3111.0,3267.0,32591.0,2022-11-07 20:45:01
3267.0,3318.0,3225.0,3279.0,10350.0,2022-11-08 20:45:01
3344.0,3344.0,3225.1,3244.0,20751.0,2022-11-09 20:45:01
3308.0,3308.0,3200.0,3230.0,7766.0,2022-11-10 20:45:01
3278.0,3280.0,3200.1,3220.0,6253.0,2022-11-13 20:45:01
