open,high,low,close,volume,date
106.28,109.41,105.75,109.41,865.0,2019-12-17 05:45:00
109.94,112.81,109.94,112.81,5155.0,2019-12-18 05:45:00
113.34,116.47,113.34,116.47,2934.0,2019-12-19 05:45:00
117.25,120.65,112.29,112.29,13863.0,2019-12-22 20:45:00
111.76,114.12,110.72,113.34,5514.0,2019-12-23 20:45:00
112.55,112.55,109.41,109.41,1210.0,2019-12-25 20:45:00
109.15,109.15,106.01,108.36,3835.0,2019-12-26 20:45:00
108.89,110.46,108.89,110.46,455.0,2019-12-29 20:45:00
110.98,111.51,107.84,111.51,5397.0,2019-12-31 20:45:00
112.02,112.02,110.46,110.46,1060.0,2020-01-01 20:45:00
110.98,111.51,110.98,110.98,1510.0,2020-01-02 20:45:00
110.46,110.46,107.84,108.89,815.0,2020-01-05 20:45:00
108.36,109.15,107.32,109.15,2220.0,2020-01-06 20:45:00
108.63,108.63,107.84,107.84,1005.0,2020-01-07 20:45:00
107.58,107.58,107.32,107.32,510.0,2020-01-08 20:45:00
107.32,107.32,106.8,106.8,940.0,2020-01-09 20:45:00
106.54,107.84,106.28,107.32,1398.0,2020-01-12 20:45:00
107.32,107.32,106.28,106.28,2930.0,2020-01-13 20:45:00
106.54,109.41,106.54,108.63,1875.0,2020-01-14 20:45:00
109.15,109.15,108.89,108.89,564.0,2020-01-15 20:45:00
109.41,110.98,109.41,110.72,740.0,2020-01-16 20:45:00
111.24,111.76,110.72,110.72,170.0,2020-01-19 20:45:00
111.24,111.24,111.24,111.24,135.0,2020-01-20 20:45:00
111.24,111.24,111.24,111.24,50.0,2020-01-21 20:45:00
111.76,111.76,111.24,111.24,3510.0,2020-01-26 20:45:00
111.76,112.29,111.76,112.29,20.0,2020-01-27 20:45:00
114.12,114.12,112.81,112.81,20.0,2020-01-28 20:45:00
114.64,114.64,113.86,113.86,110.0,2020-01-29 20:45:00
113.86,113.86,113.07,113.07,1500.0,2020-01-30 20:45:00
114.9,114.9,114.9,114.9,10.0,2020-02-04 20:45:00
114.12,114.12,110.98,110.98,2400.0,2020-02-06 20:45:00
110.46,110.46,107.58,108.89,3077.0,2020-02-09 20:45:00
108.89,109.15,108.89,109.15,990.0,2020-02-10 20:45:00
108.63,109.15,107.58,109.15,1585.0,2020-02-11 20:45:00
108.63,108.89,108.11,108.11,960.0,2020-02-12 20:45:00
108.36,109.67,108.36,109.67,2434.0,2020-02-13 20:45:00
109.41,109.41,109.15,109.15,330.0,2020-02-16 20:45:00
109.67,110.19,109.67,109.67,220.0,2020-02-17 20:45:00
109.15,109.15,108.36,108.36,1026.0,2020-02-18 20:45:00
108.36,108.36,108.11,108.36,830.0,2020-02-19 20:45:00
108.36,109.94,108.89,109.41,670.0,2020-02-20 20:45:00
109.41,109.41,109.41,109.41,130.0,2020-02-23 20:45:00
109.41,109.41,108.36,108.36,1200.0,2020-02-24 20:45:00
108.36,110.72,108.63,109.94,10925.0,2020-02-25 20:45:00
110.46,113.34,110.46,113.07,6537.0,2020-02-26 20:45:00
113.86,116.47,113.86,116.21,6148.0,2020-02-27 20:45:00
116.21,116.21,114.38,114.38,592.0,2020-03-01 20:45:00
115.16,115.16,112.81,112.81,2134.0,2020-03-02 20:45:00
112.81,114.12,112.02,114.12,2344.0,2020-03-03 20:45:00
113.34,113.34,113.34,113.34,500.0,2020-03-05 20:45:00
112.55,112.55,110.46,110.46,652.0,2020-03-11 20:45:00
110.72,110.72,107.84,107.84,1105.0,2020-03-12 20:45:00
107.32,107.32,106.28,106.8,1300.0,2020-03-15 21:45:00
107.32,107.32,106.8,107.06,993.0,2020-03-16 21:45:00
106.54,106.54,106.01,106.01,125.0,2020-03-17 21:45:00
105.49,105.49,104.96,105.49,3140.0,2020-03-18 21:45:00
104.96,105.49,104.96,104.96,420.0,2020-03-19 21:45:00
105.49,107.06,105.49,107.06,260.0,2020-07-06 20:45:00
107.58,109.15,107.58,109.15,1940.0,2020-07-07 20:45:00
109.15,110.19,109.15,110.19,120.0,2020-07-08 20:45:00
110.72,110.72,110.72,110.72,10.0,2020-07-09 20:45:00
110.19,110.19,109.67,109.67,120.0,2020-07-12 20:45:00
109.15,109.15,108.89,108.89,697.0,2020-07-13 20:45:00
109.41,109.41,107.84,107.84,595.0,2020-07-14 20:45:00
107.84,107.84,107.84,107.84,760.0,2020-07-15 20:45:00
107.58,108.36,107.58,108.36,420.0,2020-07-16 20:45:00
108.89,109.94,108.89,109.94,4015.0,2020-07-20 20:45:00
110.46,110.46,108.89,108.89,1689.0,2020-07-21 20:45:00
108.36,108.36,107.84,108.36,631.0,2020-07-22 20:45:00
108.89,109.41,107.84,107.84,1262.0,2020-07-23 20:45:00
107.84,107.84,107.32,107.84,227.0,2020-07-26 20:45:00
108.36,108.89,108.36,108.36,560.0,2020-07-27 20:45:00
108.11,108.63,107.84,108.63,1510.0,2020-07-28 20:45:00
108.63,108.63,108.63,108.63,200.0,2020-07-29 20:45:00
109.15,109.15,109.15,109.15,20.0,2020-07-30 20:45:00
109.67,112.55,109.67,112.55,6820.0,2020-08-02 20:45:00
113.07,116.21,113.07,116.21,2100.0,2020-08-03 20:45:00
118.3,120.39,118.3,120.39,25247.0,2020-08-05 20:45:00
121.18,124.84,121.18,124.84,26932.0,2020-08-06 20:45:00
127.19,129.81,124.84,125.1,17229.0,2020-08-09 20:45:00
125.1,129.81,120.13,127.19,5220.0,2020-08-10 20:45:00
126.14,126.14,121.96,121.96,560.0,2020-08-11 20:45:00
119.61,121.96,117.25,119.87,5336.0,2020-08-12 20:45:00
119.87,119.87,115.42,117.25,13888.0,2020-08-13 20:45:00
116.47,117.25,114.12,116.47,3025.0,2020-08-16 20:45:00
117.25,118.04,114.9,115.69,3081.0,2020-08-17 20:45:00
115.69,116.21,115.16,116.21,2685.0,2020-08-18 20:45:00
116.47,116.47,115.42,115.69,760.0,2020-08-19 20:45:00
116.47,116.47,115.42,116.21,1630.0,2020-08-20 20:45:00
116.73,117.25,116.47,117.25,3700.0,2020-08-23 20:45:00
117.78,119.35,117.78,119.35,7169.0,2020-08-24 20:45:00
120.13,123.79,119.35,119.35,9130.0,2020-08-25 20:45:00
120.13,123.01,120.13,122.75,6938.0,2020-08-26 20:45:00
123.53,124.05,121.44,121.44,6751.0,2020-08-27 20:45:00
121.44,121.18,120.65,120.65,250.0,2020-08-30 23:00:00
121.44,123.01,120.39,121.7,2475.0,2020-08-31 20:45:00
