open,high,low,close,volume,date
115.0,115.0,115.0,115.0,200.0,2016-09-07 05:45:00
115.64,118.53,115.64,118.53,70.0,2016-09-14 05:45:00
119.32,120.11,119.32,120.11,40.0,2016-09-18 05:45:00
120.89,124.17,120.89,124.17,744.0,2016-09-20 05:45:00
124.97,125.89,124.97,125.89,33.0,2016-09-21 05:45:00
126.8,126.8,126.8,126.8,10.0,2016-09-22 05:45:00
127.72,131.53,127.72,131.53,800.0,2016-09-25 05:45:00
132.58,136.78,132.58,136.78,2100.0,2016-09-26 05:45:00
137.83,142.55,132.06,132.44,15383.0,2016-09-27 05:45:00
132.44,136.38,131.79,136.38,4662.0,2016-09-28 05:45:00
136.65,142.16,136.65,140.06,7258.0,2016-09-29 05:45:00
138.88,138.88,134.02,135.21,1282.0,2016-10-02 05:45:00
135.59,137.69,135.33,136.38,1968.0,2016-10-03 05:45:00
135.33,136.51,135.33,135.73,732.0,2016-10-04 05:45:00
135.73,135.73,135.21,135.33,520.0,2016-10-05 05:45:00
134.28,137.43,134.28,136.38,511.0,2016-10-06 05:45:00
136.38,136.38,134.41,134.81,339.0,2016-10-16 05:45:00
133.75,135.07,133.5,133.89,1075.0,2016-10-17 05:45:00
133.89,133.89,132.18,132.18,1064.0,2016-10-18 05:45:00
132.44,135.99,131.4,132.58,2962.0,2016-10-19 05:45:00
132.84,135.73,132.84,135.07,2743.0,2016-10-20 05:45:00
135.07,135.07,132.31,133.5,7497.0,2016-10-23 05:45:00
133.75,133.75,130.88,131.92,3821.0,2016-10-24 05:45:00
132.06,133.1,130.35,131.79,2395.0,2016-10-25 05:45:00
132.84,132.84,130.09,130.09,6824.0,2016-10-26 05:45:00
131.0,131.92,129.82,131.13,2172.0,2016-10-27 05:45:00
131.0,131.0,129.16,129.16,160.0,2016-11-03 05:45:00
129.16,129.16,128.51,128.9,842.0,2016-11-07 05:45:00
129.16,129.16,126.02,126.02,1597.0,2016-11-08 05:45:00
126.54,126.54,123.0,123.26,1216.0,2016-11-09 05:45:00
123.26,124.05,121.69,124.05,160.0,2016-11-10 05:45:00
124.05,124.58,123.0,123.53,633.0,2016-11-13 05:45:00
123.53,123.92,123.26,123.78,1271.0,2016-11-14 05:45:00
123.26,123.39,122.6,122.73,1645.0,2016-11-15 05:45:00
122.6,122.6,121.29,121.29,218.0,2016-11-16 05:45:00
121.81,121.81,120.64,121.81,310.0,2016-11-17 05:45:00
121.29,121.29,119.32,119.32,234.0,2016-11-20 05:45:00
118.67,118.67,117.22,118.53,1703.0,2016-11-21 05:45:00
118.53,118.53,117.22,117.22,817.0,2016-11-22 05:45:00
116.69,117.88,116.57,116.83,1426.0,2016-11-23 05:45:00
116.83,117.75,116.83,117.75,102.0,2016-11-24 05:45:00
117.75,117.75,116.69,117.48,215.0,2016-11-27 05:45:00
116.83,118.01,116.83,118.01,103.0,2016-11-28 05:45:00
118.27,121.16,118.27,121.03,305.0,2016-11-29 05:45:00
121.29,122.73,121.29,121.29,420.0,2016-11-30 05:45:00
121.29,122.08,118.67,118.67,2042.0,2016-12-01 05:45:00
