open,high,low,close,volume,date
4.7,5.0,4.7,5.0,50000.0,2019-11-11 05:45:00
4.8,4.8,4.8,4.8,200.0,2019-11-17 05:45:00
4.6,4.6,4.6,4.6,2100.0,2019-11-28 05:45:00
4.41,4.41,4.41,4.41,500.0,2019-12-09 05:45:00
4.22,4.22,4.22,4.22,100.0,2019-12-10 05:45:00
4.2,4.2,4.2,4.2,500.0,2019-12-15 05:45:00
4.1,4.1,4.1,4.1,1000.0,2019-12-16 05:45:00
4.05,4.05,4.05,4.05,100.0,2019-12-19 05:45:00
3.9,3.9,3.9,3.9,200.0,2019-12-22 05:45:00
3.72,3.72,3.72,3.72,100.0,2019-12-24 05:45:00
3.6,3.6,3.6,3.6,100.0,2019-12-25 05:45:00
3.55,3.55,3.55,3.55,250.0,2019-12-26 05:45:00
3.54,3.54,3.54,3.54,500.0,2019-12-29 05:45:00
3.39,3.71,3.39,3.71,1300.0,2019-12-31 05:45:00
3.7,3.7,3.7,3.7,200.0,2020-01-08 05:45:00
3.55,3.55,3.55,3.55,2000.0,2020-01-14 05:45:00
3.7,3.72,3.7,3.7,500.0,2020-01-16 05:45:00
3.73,3.91,3.73,3.91,150500.0,2020-01-20 05:45:00
3.8,3.8,3.8,3.8,200.0,2020-01-21 05:45:00
3.7,3.7,3.7,3.7,1000.0,2020-01-30 05:45:00
3.64,3.8,3.64,3.8,1100.0,2020-02-02 05:45:00
3.9,3.9,3.9,3.9,2500.0,2020-02-03 05:45:00
3.75,3.75,3.75,3.75,1100.0,2020-02-05 05:45:00
3.62,3.7,3.62,3.63,1200.0,2020-02-06 05:45:00
3.7,3.7,3.7,3.7,2000.0,2020-02-09 05:45:00
3.88,3.88,3.88,3.88,400.0,2020-02-10 05:45:00
3.9,3.9,3.75,3.75,900.0,2020-02-11 05:45:00
3.76,3.76,3.76,3.76,200.0,2020-02-13 05:45:00
3.94,3.94,3.94,3.94,5000.0,2020-02-16 05:45:00
3.97,3.97,3.97,3.97,10000.0,2020-02-17 05:45:00
3.87,3.87,3.87,3.87,1100.0,2020-02-18 05:45:00
3.69,3.86,3.69,3.86,2400.0,2020-02-19 05:45:00
3.86,3.9,3.86,3.9,2700.0,2020-02-20 05:45:00
3.9,3.9,3.85,3.85,600.0,2020-02-23 05:45:00
3.71,3.89,3.71,3.89,20500.0,2020-02-24 05:45:00
3.75,3.95,3.75,3.95,700.0,2020-02-25 05:45:00
4.13,4.13,4.05,4.05,4400.0,2020-02-26 05:45:00
3.9,3.9,3.9,3.9,1000.0,2020-02-27 05:45:00
