open,high,low,close,volume,date
10.0,10.0,9.81,10.0,2100.0,2022-09-12 05:45:00
9.81,9.81,9.0,9.0,16900.0,2022-09-14 20:45:00
8.82,8.82,8.1,8.28,14670.0,2022-09-15 20:45:00
8.12,8.24,7.97,8.1,15500.0,2022-09-16 20:45:00
8.1,8.16,8.1,8.1,5160.0,2022-09-18 20:45:00
7.95,8.26,7.95,8.0,3300.0,2022-09-20 20:45:00
7.84,8.58,7.84,7.98,5400.0,2022-09-21 20:45:00
7.83,8.0,7.83,8.0,3020.0,2022-09-22 20:45:00
8.02,8.02,7.77,7.8,2800.0,2022-09-25 20:45:00
7.65,7.86,7.65,7.74,2975.0,2022-09-27 20:45:00
7.59,7.73,7.3,7.6,2100.0,2022-09-28 20:45:00
7.59,7.71,7.59,7.7,800.0,2022-09-29 20:45:00
7.59,7.77,7.59,7.65,3100.0,2022-10-09 20:45:00
7.65,7.9,7.65,7.9,1800.0,2022-10-10 20:45:00
7.76,8.21,7.76,8.19,3800.0,2022-10-11 20:45:00
8.03,8.19,7.89,8.0,6475.0,2022-10-12 20:45:00
7.85,8.22,7.85,8.06,2775.0,2022-10-13 20:45:00
7.9,7.91,7.9,7.91,750.0,2022-10-16 20:45:00
7.8,8.01,7.8,7.9,2900.0,2022-10-17 20:45:00
7.8,8.05,7.8,7.9,2600.0,2022-10-19 20:45:00
7.9,8.0,7.86,8.0,1700.0,2022-10-20 20:45:00
7.86,8.0,7.86,7.9,1300.0,2022-10-23 20:45:00
8.0,8.1,8.0,8.1,2900.0,2022-10-31 20:45:00
7.94,8.06,7.94,8.0,2200.0,2022-11-01 20:45:00
8.0,8.1,8.0,8.0,2000.0,2022-11-02 20:45:00
7.99,8.0,7.85,7.85,3775.0,2022-11-03 20:45:00
7.85,7.9,7.82,7.87,1700.0,2022-11-06 20:45:00
7.8,8.16,7.8,8.16,8475.0,2022-11-07 20:45:00
8.06,8.25,8.06,8.1,1000.0,2022-11-08 20:45:00
8.0,8.1,7.95,7.97,4600.0,2022-11-09 20:45:00
7.97,7.97,7.83,7.86,1800.0,2022-11-10 20:45:00
7.71,7.86,7.71,7.86,1950.0,2022-11-13 20:45:00
7.85,7.9,7.76,7.79,600.0,2022-11-14 20:45:00
7.67,7.9,7.67,7.9,1300.0,2022-11-15 20:45:00
7.9,8.0,7.9,8.0,500.0,2022-11-16 20:45:00
7.85,8.2,7.85,8.0,1825.0,2022-11-17 20:45:00
7.86,7.87,7.86,7.87,2900.0,2022-11-22 20:45:00
7.87,7.9,7.85,7.9,2855.0,2022-11-23 20:45:00
7.86,7.94,7.86,7.94,2300.0,2022-11-24 20:45:00
7.85,8.09,7.85,7.93,1500.0,2022-11-27 20:45:00
7.85,7.9,7.85,7.9,700.0,2022-11-28 20:45:00
7.86,7.88,7.86,7.88,1850.0,2022-11-29 20:45:00
7.85,7.9,7.85,7.88,1600.0,2022-11-30 20:45:00
7.88,8.03,7.87,8.03,3600.0,2022-12-01 20:45:00
7.89,8.03,7.89,8.03,1800.0,2022-12-04 20:45:00
7.87,8.02,7.77,7.9,2600.0,2022-12-05 20:45:00
7.75,7.9,7.75,7.8,1600.0,2022-12-06 20:45:00
7.7,7.95,7.7,7.86,2420.0,2022-12-07 20:45:00
7.75,7.93,7.75,7.78,52690.0,2022-12-11 20:45:00
7.75,7.81,7.75,7.79,1500.0,2022-12-12 20:45:00
7.67,7.82,7.67,7.75,1800.0,2022-12-13 20:45:00
7.71,7.73,7.71,7.73,4300.0,2022-12-14 20:45:00
7.73,7.73,7.65,7.68,1300.0,2022-12-15 20:45:00
7.67,7.69,7.66,7.69,1000.0,2022-12-18 20:45:00
7.69,7.75,7.63,7.63,1500.0,2022-12-19 20:45:00
7.63,7.7,7.63,7.7,6120.0,2022-12-20 20:45:00
7.63,7.8,7.63,7.8,2310.0,2022-12-21 20:45:00
7.66,7.82,7.66,7.82,1800.0,2022-12-22 20:45:00
7.82,7.9,7.68,7.9,4050.0,2022-12-26 20:45:00
7.9,8.06,7.9,7.9,2050.0,2022-12-27 20:45:00
8.0,8.0,7.77,8.0,3750.0,2022-12-28 20:45:00
7.84,8.1,7.6,8.01,3200.0,2022-12-29 20:45:00
8.0,8.1,8.0,8.1,4700.0,2023-01-01 20:45:00
7.94,8.06,7.9,8.05,1600.0,2023-01-02 20:45:00
8.0,8.01,7.8,7.95,4900.0,2023-01-03 20:45:00
7.9,8.26,7.9,8.25,4200.0,2023-01-04 20:45:00
8.41,8.57,8.25,8.57,5900.0,2023-01-05 20:45:00
8.74,8.9,8.27,8.38,2600.0,2023-01-08 20:45:00
8.22,8.83,8.2,8.67,6600.0,2023-01-09 20:45:00
8.5,9.01,8.5,9.01,26950.0,2023-01-10 20:45:00
8.83,8.83,8.49,8.49,1900.0,2023-01-12 20:45:00
8.33,8.57,8.2,8.57,6470.0,2023-01-17 20:45:00
8.57,8.73,8.41,8.73,6800.0,2023-01-18 20:45:00
8.9,8.9,8.27,8.43,7700.0,2023-01-19 20:45:00
8.27,8.5,8.17,8.5,2805.0,2023-01-23 20:45:00
8.33,8.67,8.18,8.5,10094.0,2023-01-24 20:45:00
8.33,8.65,8.29,8.65,4100.0,2023-01-25 20:45:00
8.48,8.62,8.35,8.5,7000.0,2023-01-26 20:45:00
8.33,8.42,8.25,8.42,3100.0,2023-01-29 20:45:00
8.26,8.42,8.21,8.42,5150.0,2023-01-30 20:45:00
8.4,8.4,8.24,8.24,11100.0,2023-01-31 20:45:00
8.09,8.73,8.09,8.2,6075.0,2023-02-01 20:45:00
8.06,8.22,8.06,8.09,1000.0,2023-02-02 20:45:00
7.93,8.0,7.81,7.93,3550.0,2023-02-05 20:45:00
7.9,8.0,7.9,7.91,3100.0,2023-02-06 20:45:00
7.8,8.04,7.8,8.04,2300.0,2023-02-07 20:45:00
8.2,8.54,8.06,8.23,9750.0,2023-02-08 20:45:00
8.11,8.13,8.11,8.13,2720.0,2023-02-09 20:45:00
8.0,8.15,8.0,8.1,2400.0,2023-02-12 20:45:00
8.0,8.06,8.0,8.06,1810.0,2023-02-14 20:45:00
8.06,8.26,8.06,8.06,12600.0,2023-02-15 20:45:00
7.97,8.16,7.97,8.01,2300.0,2023-02-16 20:45:00
8.01,8.12,7.97,8.0,2450.0,2023-02-20 20:45:00
7.97,8.11,7.97,8.0,2920.0,2023-02-22 20:45:00
7.97,8.15,7.7,8.0,1900.0,2023-02-23 20:45:00
7.9,7.9,7.81,7.82,1350.0,2023-02-26 20:45:00
7.82,7.82,7.67,7.8,2800.0,2023-02-27 20:45:00
7.8,7.9,7.68,7.9,1700.0,2023-02-28 20:45:00
7.75,8.0,7.75,7.77,1300.0,2023-03-01 20:45:00
7.65,7.8,7.65,7.77,900.0,2023-03-02 20:45:00
7.8,7.85,7.78,7.85,2500.0,2023-03-05 20:45:00
7.75,7.85,7.75,7.85,700.0,2023-03-07 20:45:00
7.8,8.0,7.8,8.0,2600.0,2023-03-09 20:45:00
7.95,7.95,7.85,7.85,1100.0,2023-03-12 20:45:00
7.85,7.85,7.85,7.85,2000.0,2023-03-13 20:45:00
7.81,7.85,7.81,7.84,3330.0,2023-03-14 20:45:00
7.8,7.95,7.8,7.8,1100.0,2023-03-15 20:45:00
7.77,7.9,7.77,7.85,1800.0,2023-03-16 20:45:00
7.8,7.8,7.66,7.68,6000.0,2023-03-19 20:45:00
7.66,7.88,7.66,7.8,2900.0,2023-03-20 20:45:00
7.66,7.96,7.66,7.81,2500.0,2023-03-22 20:45:00
7.81,7.89,7.71,7.74,2200.0,2023-03-23 20:45:00
7.66,7.82,7.66,7.7,3275.0,2023-03-26 20:45:00
7.67,7.7,7.52,7.6,5963.0,2023-03-27 20:45:00
7.5,7.75,7.5,7.63,2200.0,2023-03-28 20:45:00
7.63,7.78,7.63,7.63,1800.0,2023-03-29 20:45:00
7.51,7.57,7.51,7.56,800.0,2023-03-30 20:45:00
7.56,7.75,7.46,7.75,4700.0,2023-04-02 20:45:00
7.75,7.77,7.6,7.77,2500.0,2023-04-03 20:45:00
7.7,7.7,7.58,7.6,1000.0,2023-04-04 20:45:00
7.45,7.9,7.45,7.62,1950.0,2023-04-05 20:45:00
7.6,7.82,7.6,7.82,1600.0,2023-04-06 20:45:00
7.7,7.7,7.56,7.57,600.0,2023-04-09 20:45:00
7.57,7.75,7.57,7.61,2300.0,2023-04-10 20:45:00
7.5,7.8,7.5,7.8,3525.0,2023-04-11 20:45:00
7.8,7.9,7.66,7.9,2400.0,2023-04-12 20:45:00
7.81,8.05,7.81,7.91,2350.0,2023-04-13 20:45:00
7.76,7.91,7.76,7.82,1800.0,2023-04-16 20:45:00
7.67,7.8,7.55,7.74,2200.0,2023-04-17 20:45:00
7.71,7.83,7.7,7.83,2700.0,2023-04-18 20:45:00
7.85,7.9,7.81,7.82,1600.0,2023-04-19 20:45:00
7.71,8.2,7.71,7.88,1700.0,2023-04-20 20:45:00
7.73,8.0,7.73,8.0,4500.0,2023-04-23 20:45:00
7.84,7.84,7.54,7.71,1800.0,2023-04-24 20:45:00
7.57,7.86,7.57,7.74,2600.0,2023-04-25 20:45:00
7.74,7.8,7.69,7.77,2500.0,2023-04-26 20:45:00
7.77,8.07,7.66,8.0,4650.0,2023-04-27 20:45:00
7.85,8.1,7.85,8.1,2510.0,2023-04-30 20:45:00
