open,high,low,close,volume,date
4.46,4.46,4.45,4.45,1800.0,2018-04-29 05:45:00
4.25,4.25,4.15,4.15,1700.0,2018-05-02 05:45:00
4.05,4.15,4.05,4.15,1150.0,2018-05-03 05:45:00
4.15,4.15,4.15,4.15,900.0,2018-05-06 05:45:00
4.01,4.15,4.01,4.15,1600.0,2018-05-08 05:45:00
3.97,4.0,3.97,4.0,1000.0,2018-05-10 05:45:00
4.05,4.05,4.05,4.05,500.0,2018-05-16 05:45:00
3.88,3.88,3.88,3.88,1000.0,2018-05-21 05:45:00
3.88,3.88,3.88,3.88,140.0,2018-05-22 05:45:00
3.72,3.72,3.72,3.72,5000.0,2018-05-27 05:45:00
3.8,3.8,3.8,3.8,2000.0,2018-05-28 05:45:00
3.98,4.17,3.98,4.17,3700.0,2018-05-29 05:45:00
4.25,4.25,4.17,4.17,4600.0,2018-05-31 05:45:00
3.98,3.98,3.65,3.65,1600.0,2018-06-04 05:45:00
3.65,3.83,3.65,3.83,1100.0,2018-06-07 05:45:00
3.78,3.78,3.6,3.65,5600.0,2018-06-10 05:45:00
3.56,3.56,3.47,3.47,1100.0,2018-06-11 05:45:00
3.47,3.47,3.47,3.47,500.0,2018-06-13 05:45:00
3.65,3.65,3.65,3.65,500.0,2018-06-17 05:45:00
3.47,3.47,3.47,3.47,500.0,2018-06-18 05:45:00
3.55,3.55,3.55,3.55,1000.0,2018-06-27 05:45:00
3.7,3.7,3.65,3.65,1000.0,2018-06-28 05:45:00
3.68,3.75,3.68,3.75,3000.0,2018-07-01 05:45:00
3.68,3.68,3.6,3.6,1500.0,2018-07-04 05:45:00
3.78,3.78,3.65,3.65,400.0,2018-07-08 05:45:00
3.65,3.65,3.65,3.65,1000.0,2018-07-11 05:45:00
3.65,3.65,3.65,3.65,1825.0,2018-07-12 05:45:00
3.66,3.84,3.66,3.84,500.0,2018-07-16 05:45:00
4.02,4.02,3.83,3.83,3000.0,2018-07-18 05:45:00
3.83,4.2,3.83,4.2,1500.0,2018-07-19 05:45:00
4.01,4.2,4.01,4.2,1700.0,2018-07-22 05:45:00
4.01,4.2,4.01,4.2,10500.0,2018-07-25 05:45:00
4.05,4.05,4.05,4.05,1300.0,2018-07-26 05:45:00
4.05,4.05,3.86,3.86,2500.0,2018-07-29 05:45:00
3.7,3.85,3.7,3.85,5200.0,2018-07-30 05:45:00
3.7,3.73,3.7,3.73,1100.0,2018-07-31 05:45:00
3.58,3.58,3.54,3.54,15000.0,2018-08-01 05:45:00
3.72,3.72,3.72,3.72,2000.0,2018-08-02 05:45:00
3.72,3.72,3.66,3.66,5500.0,2018-08-05 05:45:00
3.65,3.65,3.65,3.65,100.0,2018-08-07 05:45:00
3.55,3.55,3.55,3.55,100.0,2018-08-08 05:45:00
3.37,3.37,3.37,3.37,200.0,2018-08-09 05:45:00
3.54,3.54,3.54,3.54,5000.0,2018-08-13 05:45:00
3.54,3.54,3.54,3.54,1000.0,2018-08-14 05:45:00
3.55,3.55,3.55,3.55,1000.0,2018-08-16 05:45:00
3.4,3.4,3.23,3.23,700.0,2018-08-20 05:45:00
3.25,3.25,3.25,3.25,1000.0,2018-08-23 05:45:00
3.25,3.25,3.25,3.25,2500.0,2018-08-28 05:45:00
3.22,3.22,3.22,3.22,100.0,2018-08-29 05:45:00
3.39,3.39,3.39,3.39,1000.0,2018-08-30 05:45:00
3.56,3.92,3.56,3.92,5700.0,2018-09-03 05:45:00
3.96,3.96,3.96,3.96,400.0,2018-09-04 05:45:00
3.95,3.95,3.95,3.95,1000.0,2018-09-05 05:45:00
4.14,4.2,4.14,4.2,10000.0,2018-09-06 05:45:00
4.15,4.2,4.15,4.2,4500.0,2018-09-09 05:45:00
4.05,4.15,4.05,4.15,3625.0,2018-09-10 05:45:00
4.15,4.15,4.15,4.15,1000.0,2018-09-12 05:45:00
4.34,4.35,4.34,4.35,10100.0,2018-09-13 05:45:00
4.25,4.35,4.25,4.35,3600.0,2018-09-16 05:45:00
4.35,4.35,4.35,4.35,5000.0,2018-09-17 05:45:00
4.35,4.35,4.35,4.35,2200.0,2018-09-18 05:45:00
4.35,4.35,4.35,4.35,300.0,2018-09-20 05:45:00
4.54,4.65,4.54,4.65,5500.0,2018-09-23 05:45:00
4.65,4.75,4.65,4.75,35900.0,2018-09-25 05:45:00
4.55,4.55,4.55,4.55,1100.0,2018-09-27 05:45:00
4.65,4.65,4.45,4.45,6500.0,2018-09-30 05:45:00
4.25,4.35,4.25,4.35,2600.0,2018-10-02 05:45:00
4.16,4.22,4.16,4.22,6700.0,2018-10-03 05:45:00
4.17,4.17,4.16,4.16,4000.0,2018-10-04 05:45:00
4.05,4.05,4.05,4.05,100.0,2018-10-07 05:45:00
4.1,4.11,4.1,4.11,1100.0,2018-10-08 05:45:00
4.15,4.15,4.15,4.15,500.0,2018-10-09 05:45:00
4.05,4.05,4.05,4.05,400.0,2018-10-10 05:45:00
4.05,4.05,4.05,4.05,2000.0,2018-10-11 05:45:00
4.05,4.2,4.05,4.2,2000.0,2018-10-14 05:45:00
4.07,4.07,4.07,4.07,100.0,2018-10-15 05:45:00
4.11,4.11,4.11,4.11,4500.0,2018-10-21 05:45:00
4.11,4.11,4.11,4.11,3000.0,2018-10-22 05:45:00
4.11,4.12,4.1,4.12,1300.0,2018-10-23 05:45:00
4.1,4.15,4.1,4.1,2150.0,2018-10-25 05:45:00
4.1,4.1,4.1,4.1,3400.0,2018-10-28 05:45:00
3.91,3.91,3.91,3.91,10000.0,2018-10-29 05:45:00
3.91,3.91,3.86,3.87,6300.0,2018-10-31 05:45:00
3.85,3.85,3.85,3.85,100.0,2018-11-05 05:45:00
3.65,3.75,3.65,3.65,6500.0,2018-11-13 05:45:00
3.65,3.83,3.65,3.83,1000.0,2018-11-14 05:45:00
2.65,2.65,2.65,2.65,400.0,2018-11-15 05:45:00
3.54,3.54,3.54,3.54,1000.0,2018-11-22 05:45:00
3.54,3.65,3.54,3.65,500.0,2018-11-25 05:45:00
3.65,3.65,3.54,3.54,1000.0,2018-11-27 05:45:00
3.65,3.65,3.58,3.58,8000.0,2018-11-28 05:45:00
3.65,3.65,3.65,3.65,100.0,2018-11-29 05:45:00
3.54,3.65,3.54,3.65,10000.0,2018-12-02 05:45:00
3.57,3.57,3.56,3.56,1100.0,2018-12-03 05:45:00
3.74,3.74,3.5,3.5,7000.0,2018-12-06 05:45:00
3.67,3.67,3.67,3.67,3000.0,2018-12-10 05:45:00
3.75,3.84,3.75,3.84,8400.0,2018-12-11 05:45:00
3.75,3.75,3.6,3.6,2000.0,2018-12-12 05:45:00
3.5,3.5,3.5,3.5,1000.0,2018-12-13 05:45:00
3.65,3.65,3.65,3.65,1000.0,2018-12-16 05:45:00
3.65,3.75,3.57,3.75,5100.0,2018-12-17 05:45:00
3.92,3.92,3.92,3.92,2500.0,2018-12-18 05:45:00
3.75,3.75,3.75,3.75,300.0,2018-12-23 05:45:00
3.75,3.75,3.65,3.65,200.0,2018-12-24 05:45:00
3.65,3.75,3.65,3.75,2300.0,2018-12-25 05:45:00
3.92,3.92,3.92,3.92,1000.0,2018-12-26 05:45:00
3.92,3.92,3.8,3.8,300.0,2018-12-31 05:45:00
3.65,3.7,3.65,3.7,1000.0,2019-01-01 05:45:00
3.7,3.71,3.7,3.71,100.0,2019-01-02 05:45:00
3.71,3.71,3.65,3.65,11000.0,2019-01-06 05:45:00
3.83,3.83,3.83,3.83,1000.0,2019-01-07 05:45:00
3.74,3.75,3.74,3.75,5600.0,2019-01-08 05:45:00
3.58,3.75,3.58,3.75,13400.0,2019-01-09 05:45:00
3.84,3.84,3.66,3.66,27500.0,2019-01-10 05:45:00
3.67,3.67,3.67,3.67,1000.0,2019-01-13 05:45:00
3.85,3.85,3.85,3.85,500.0,2019-01-14 05:45:00
3.75,3.75,3.75,3.75,500.0,2019-01-15 05:45:00
3.75,3.93,3.75,3.85,1200.0,2019-01-16 05:45:00
3.85,3.95,3.85,3.95,600.0,2019-01-17 05:45:00
3.95,3.95,3.95,3.95,2000.0,2019-01-20 05:45:00
4.05,4.05,3.95,3.95,6000.0,2019-01-21 05:45:00
3.95,3.95,3.95,3.95,3000.0,2019-01-30 05:45:00
3.95,3.95,3.9,3.9,300.0,2019-01-31 05:45:00
3.8,3.9,3.8,3.9,4450.0,2019-02-04 05:45:00
3.85,3.85,3.8,3.85,7000.0,2019-02-05 05:45:00
3.8,3.8,3.67,3.67,2200.0,2019-02-06 05:45:00
3.49,3.49,3.49,3.49,100.0,2019-02-07 05:45:00
3.33,3.42,3.33,3.42,3000.0,2019-02-10 05:45:00
3.27,3.32,3.27,3.32,1000.0,2019-02-11 05:45:00
3.49,3.5,3.49,3.5,1500.0,2019-02-13 05:45:00
3.35,3.35,3.35,3.35,100.0,2019-02-14 05:45:00
3.22,3.22,3.21,3.21,700.0,2019-02-17 05:45:00
3.37,3.37,3.37,3.37,1000.0,2019-02-18 05:45:00
3.45,3.45,3.35,3.35,1100.0,2019-02-24 05:45:00
3.2,3.2,3.2,3.2,200.0,2019-02-26 05:45:00
3.2,3.25,3.2,3.25,3100.0,2019-02-27 05:45:00
3.25,3.42,3.15,3.42,950.0,2019-03-03 05:45:00
3.26,3.26,3.26,3.26,300.0,2019-03-05 05:45:00
3.21,3.31,3.21,3.31,650.0,2019-03-06 05:45:00
3.17,3.17,3.17,3.17,500.0,2019-03-07 05:45:00
3.12,3.12,3.12,3.12,500.0,2019-03-10 05:45:00
3.28,3.28,3.28,3.28,1000.0,2019-03-11 05:45:00
3.35,3.35,3.35,3.35,500.0,2019-03-12 05:45:00
3.52,3.75,3.52,3.75,1800.0,2019-03-13 05:45:00
3.65,3.65,3.65,3.65,500.0,2019-03-14 05:45:00
3.65,3.65,3.65,3.65,1100.0,2019-03-17 05:45:00
3.65,3.65,3.65,3.65,1000.0,2019-03-19 05:45:00
3.83,3.83,3.51,3.51,3100.0,2019-03-21 05:45:00
3.65,3.65,3.55,3.55,1200.0,2019-03-24 05:45:00
3.56,3.56,3.56,3.56,100.0,2019-03-25 05:45:00
3.6,3.8,3.6,3.8,6950.0,2019-03-26 05:45:00
3.65,3.65,3.65,3.65,800.0,2019-03-27 05:45:00
3.83,3.83,3.7,3.7,3100.0,2019-03-28 05:45:00
3.55,3.65,3.55,3.65,10300.0,2019-03-31 05:45:00
3.51,3.51,3.48,3.48,15000.0,2019-04-01 05:45:00
3.46,3.47,3.46,3.47,4000.0,2019-04-02 05:45:00
3.85,3.85,3.85,3.85,100.0,2019-04-03 05:45:00
3.65,3.8,3.65,3.8,800.0,2019-04-07 05:45:00
4.25,4.44,4.15,4.2,13350.0,2019-04-08 05:45:00
4.01,4.05,4.01,4.01,8900.0,2019-04-10 05:45:00
4.01,4.01,4.01,4.01,100.0,2019-04-11 05:45:00
3.85,3.85,3.85,3.85,100.0,2019-04-15 05:45:00
