open,high,low,close,volume,date
112.88,112.88,112.88,112.88,117.0,2010-01-26 05:45:00
111.62,111.62,111.62,111.62,1012.0,2010-02-09 05:45:00
110.35,110.35,109.09,109.26,4129.0,2010-02-11 05:45:00
109.26,109.26,109.26,109.26,172.0,2010-02-18 05:45:00
108.01,108.01,108.01,108.01,2598.0,2010-03-28 05:45:00
107.46,107.46,107.46,107.46,500.0,2010-06-29 05:45:00
107.46,107.46,107.46,107.46,1112.0,2010-06-30 05:45:00
107.46,107.46,107.46,107.46,494.0,2010-07-06 05:45:00
107.46,107.46,107.46,107.46,330.0,2010-08-04 05:45:00
107.46,107.46,107.46,107.46,1486.0,2010-11-11 05:45:00
107.46,107.46,107.46,107.46,56.0,2011-02-22 05:45:00
107.46,107.46,107.46,107.46,40.0,2011-03-07 05:45:00
107.46,107.46,107.46,107.46,2009.0,2011-04-27 05:45:00
107.46,107.46,107.46,107.46,6466.0,2011-05-18 05:45:00
106.21,106.21,104.95,104.95,4070.0,2011-06-29 05:45:00
103.86,103.86,103.86,103.86,1375.0,2011-08-01 05:45:00
103.86,103.86,103.86,103.86,20.0,2011-09-25 05:45:00
102.78,102.78,102.78,102.78,120.0,2011-11-13 05:45:00
101.69,101.69,100.62,100.62,5439.0,2011-11-20 05:45:00
99.53,99.53,94.84,94.84,1126.0,2011-11-28 05:45:00
93.94,93.94,93.04,93.04,107.0,2011-11-29 05:45:00
92.14,92.14,87.99,87.99,1088.0,2012-01-18 05:45:00
87.64,87.64,87.64,87.64,75.0,2012-01-25 05:45:00
87.64,87.64,86.74,86.74,357.0,2012-01-29 05:45:00
86.01,86.01,86.01,86.01,27.0,2012-01-31 05:45:00
86.55,86.55,86.55,86.55,13.0,2012-02-01 05:45:00
86.19,86.19,85.1,85.46,10686.0,2012-02-06 05:45:00
84.75,84.75,84.75,84.75,54.0,2012-02-13 05:45:00
84.03,84.03,84.03,84.03,1201.0,2012-02-15 05:45:00
84.03,84.03,84.03,84.03,48.0,2012-02-28 05:45:00
83.47,83.47,83.3,83.47,270.0,2012-02-29 05:45:00
82.76,82.76,82.76,82.76,39.0,2012-03-01 05:45:00
82.05,82.05,81.31,81.31,163.0,2012-03-04 05:45:00
80.6,80.6,80.6,80.6,377.0,2012-03-06 05:45:00
80.6,80.6,80.6,80.6,13.0,2012-03-11 05:45:00
79.15,79.15,79.15,79.15,46.0,2012-03-19 05:45:00
78.44,78.44,77.89,77.89,375.0,2012-03-21 05:45:00
77.35,77.35,76.81,76.81,1948.0,2012-03-28 05:45:00
76.81,76.81,76.81,76.81,50.0,2012-04-09 05:45:00
77.35,80.24,77.35,80.24,6097.0,2012-04-30 05:45:00
80.96,82.4,80.96,82.4,8082.0,2012-05-07 05:45:00
82.58,82.58,82.58,82.58,3170.0,2012-05-29 05:45:00
78.97,78.97,78.25,78.62,557.0,2012-06-12 05:45:00
78.62,79.33,78.62,79.33,163.0,2012-06-13 05:45:00
80.05,80.05,80.05,80.05,116.0,2012-07-30 05:45:00
80.77,80.77,80.77,80.77,136.0,2012-08-14 05:45:00
80.24,80.24,80.24,80.24,246.0,2012-08-15 05:45:00
82.05,82.05,82.05,82.05,20.0,2012-09-09 05:45:00
83.84,83.84,83.84,83.84,20.0,2012-09-11 05:45:00
85.83,85.83,85.83,85.83,20.0,2012-09-12 05:45:00
87.99,87.99,87.99,87.99,20.0,2012-09-13 05:45:00
90.16,90.16,90.16,90.16,20.0,2012-09-16 05:45:00
92.5,93.4,92.5,93.4,184.0,2012-09-17 05:45:00
94.13,94.13,94.13,94.13,20.0,2012-09-18 05:45:00
95.56,96.65,95.56,95.56,3717.0,2012-09-19 05:45:00
98.09,100.8,98.09,100.8,56.0,2012-09-20 05:45:00
103.68,104.76,103.68,103.68,282.0,2012-09-23 05:45:00
102.78,102.78,100.44,100.44,135.0,2012-09-24 05:45:00
100.25,100.25,99.36,99.36,273.0,2012-11-25 05:45:00
98.63,98.63,94.84,94.84,127.0,2012-12-03 05:45:00
95.75,96.46,95.75,96.46,478.0,2012-12-05 05:45:00
95.75,95.75,95.56,95.56,512.0,2012-12-11 05:45:00
94.84,94.84,94.84,94.84,19.0,2012-12-12 05:45:00
94.84,94.84,94.84,94.84,13.0,2012-12-16 05:45:00
95.03,95.03,95.03,95.03,62.0,2012-12-20 05:45:00
95.03,95.03,95.03,95.03,624.0,2012-12-23 05:45:00
95.93,96.84,95.93,96.84,761.0,2012-12-24 05:45:00
97.91,97.91,97.91,97.91,624.0,2012-12-26 05:45:00
97.91,97.91,97.91,97.91,859.0,2012-12-31 05:45:00
88.71,88.71,88.71,88.71,5149.0,2013-02-05 05:45:00
87.81,87.81,86.9,86.9,205.0,2013-03-05 05:45:00
87.09,87.09,87.09,87.09,50.0,2013-04-03 05:45:00
86.9,86.9,86.9,86.9,50.0,2013-04-04 05:45:00
87.45,87.45,87.45,87.45,32.0,2013-04-29 05:45:00
86.74,86.74,86.74,86.74,100.0,2013-05-02 05:45:00
86.74,86.74,86.74,86.74,51.0,2013-05-09 05:45:00
86.74,86.74,86.74,86.74,317.0,2013-05-20 05:45:00
87.45,87.45,87.45,87.45,454.0,2013-06-03 05:45:00
88.17,88.17,88.17,88.17,2600.0,2013-06-10 05:45:00
88.17,88.17,86.74,88.17,11628.0,2013-06-27 05:45:00
87.64,87.64,87.64,87.64,11031.0,2013-07-09 05:45:00
86.74,86.74,84.56,84.56,617.0,2013-07-22 05:45:00
85.28,86.01,85.28,86.01,22.0,2013-07-30 05:45:00
86.74,87.45,86.74,87.45,595.0,2013-08-06 05:45:00
88.17,89.07,88.17,89.07,1354.0,2013-08-07 05:45:00
89.07,91.78,88.17,91.78,2754.0,2013-08-08 05:45:00
91.78,92.67,91.78,91.78,5333.0,2013-08-11 05:45:00
90.86,90.86,87.45,87.64,3487.0,2013-08-12 05:45:00
86.9,86.9,86.55,86.55,99.0,2013-08-15 05:45:00
87.27,87.27,87.27,87.27,716.0,2013-08-25 05:45:00
87.99,90.7,87.99,90.7,5000.0,2013-08-29 05:45:00
91.6,93.4,91.6,93.4,3879.0,2013-09-01 05:45:00
94.3,94.3,94.3,94.3,17.0,2013-09-02 05:45:00
93.4,93.4,91.6,91.6,716.0,2013-09-04 05:45:00
91.6,91.6,91.6,91.6,2021.0,2013-09-05 05:45:00
92.5,94.3,92.5,94.3,74.0,2013-09-08 05:45:00
95.21,97.01,95.21,97.01,1240.0,2013-09-10 05:45:00
98.09,101.69,98.09,100.06,5123.0,2013-09-11 05:45:00
98.99,98.99,98.99,98.99,287.0,2013-09-15 05:45:00
100.06,100.06,100.06,100.06,25.0,2013-09-24 05:45:00
100.25,105.66,100.25,105.66,3129.0,2013-10-03 05:45:00
106.93,111.99,106.93,111.99,150.0,2013-10-06 05:45:00
111.99,116.49,111.07,116.49,6097.0,2013-10-07 05:45:00
117.39,118.83,117.39,118.83,313.0,2013-10-08 05:45:00
120.09,122.98,120.09,122.98,177.0,2013-10-10 05:45:00
122.98,122.98,121.72,121.72,650.0,2013-10-21 05:45:00
121.72,121.89,121.54,121.89,1033.0,2013-10-22 05:45:00
