open,high,low,close,volume,date
8.6,8.61,8.41,8.59,32140.0,2021-09-07 05:45:00
8.6,8.6,8.43,8.58,68300.0,2021-09-08 05:45:00
8.59,8.6,8.42,8.42,56000.0,2021-09-09 05:45:00
8.3,8.7,8.3,8.51,23000.0,2021-09-12 20:45:00
8.5,8.5,8.36,8.5,39250.0,2021-09-13 20:45:00
8.5,8.59,8.34,8.4,14700.0,2021-09-14 20:45:00
8.3,8.59,8.3,8.35,35710.0,2021-09-15 20:45:00
8.2,8.39,8.2,8.27,37050.0,2021-09-16 20:45:00
8.09,8.27,7.91,7.94,48650.0,2021-09-20 20:45:00
7.78,8.03,7.61,7.89,31390.0,2021-09-21 20:45:00
8.0,8.18,7.97,8.17,26800.0,2021-09-22 20:45:00
7.99,8.2,7.99,8.2,41000.0,2021-09-23 20:45:00
8.2,8.39,8.03,8.05,30600.0,2021-09-26 20:45:00
8.05,8.1,8.0,8.1,64450.0,2021-09-27 20:45:00
7.91,8.1,7.91,7.92,55600.0,2021-09-28 20:45:00
7.92,8.2,7.92,8.2,8000.0,2021-09-29 20:45:00
8.01,8.3,8.01,8.06,19900.0,2021-09-30 20:45:00
7.88,8.35,7.88,8.19,32880.0,2021-10-03 20:45:00
8.15,8.15,8.02,8.02,7550.0,2021-10-04 20:45:00
8.01,8.29,8.01,8.02,15200.0,2021-10-05 20:45:00
8.02,8.39,8.02,8.2,6200.0,2021-10-06 20:45:00
8.39,8.5,8.2,8.4,14200.0,2021-10-10 20:45:00
8.4,8.7,8.23,8.23,17850.0,2021-10-11 20:45:00
8.1,8.2,8.04,8.2,14400.0,2021-10-17 20:45:00
8.39,8.39,8.05,8.35,15150.0,2021-10-18 20:45:00
8.16,8.16,7.64,7.98,20900.0,2021-10-19 20:45:00
7.82,8.16,7.82,8.0,5600.0,2021-10-20 20:45:00
7.9,8.0,7.82,7.95,10200.0,2021-10-21 20:45:00
7.9,8.1,7.77,7.78,32553.0,2021-10-24 20:45:00
7.8,8.13,7.8,8.13,6800.0,2021-10-25 20:45:00
8.32,8.32,8.16,8.17,5900.0,2021-10-26 20:45:00
7.98,8.3,7.87,8.1,8900.0,2021-10-27 20:45:00
8.12,8.39,7.98,8.39,18160.0,2021-10-28 20:45:00
8.2,8.49,8.2,8.31,21050.0,2021-10-31 20:45:00
8.3,8.4,8.21,8.3,21780.0,2021-11-01 20:45:00
8.49,8.6,8.3,8.4,17250.0,2021-11-02 20:45:00
8.22,8.59,8.22,8.22,30870.0,2021-11-03 20:45:00
8.2,8.54,8.2,8.34,11500.0,2021-11-08 20:45:00
8.25,8.55,8.2,8.2,7500.0,2021-11-09 20:45:00
8.2,8.4,8.2,8.2,23324.0,2021-11-11 20:45:00
8.05,8.3,8.05,8.11,4700.0,2021-11-14 20:45:00
7.95,8.37,7.92,8.18,12450.0,2021-11-15 20:45:00
8.1,8.3,8.04,8.3,11270.0,2021-11-16 20:45:00
8.13,8.3,8.11,8.15,5438.0,2021-11-17 20:45:00
7.96,8.28,7.96,8.28,13362.0,2021-11-18 20:45:00
8.15,8.15,8.09,8.09,5000.0,2021-11-21 20:45:00
8.1,8.29,8.09,8.09,9950.0,2021-11-22 20:45:00
7.99,8.1,7.98,8.01,17023.0,2021-11-23 20:45:00
7.91,8.19,7.86,7.89,10600.0,2021-11-24 20:45:00
7.89,8.08,7.89,7.91,21200.0,2021-11-25 20:45:00
7.85,8.04,7.85,7.87,4700.0,2021-11-28 20:45:00
7.75,7.98,7.75,7.8,15600.0,2021-11-29 20:45:00
7.8,7.98,7.8,7.98,17300.0,2021-11-30 20:45:00
7.99,8.1,7.82,8.1,10320.0,2021-12-01 20:45:00
7.92,7.92,7.8,7.85,4400.0,2021-12-02 20:45:00
7.9,7.9,7.67,7.67,36950.0,2021-12-05 20:45:00
7.85,7.85,7.6,7.66,16400.0,2021-12-06 20:45:00
7.49,7.8,7.49,7.65,5967.0,2021-12-07 20:45:00
7.5,7.7,7.5,7.63,8860.0,2021-12-08 20:45:00
7.6,7.7,7.48,7.6,8400.0,2021-12-09 20:45:00
7.55,7.7,7.51,7.51,24066.0,2021-12-12 20:45:00
7.51,7.68,7.35,7.4,40439.0,2021-12-13 20:45:00
7.4,7.88,7.36,7.88,4100.0,2021-12-14 20:45:00
7.7,7.87,7.53,7.87,23510.0,2021-12-15 20:45:00
7.95,8.04,7.95,8.04,430.0,2021-12-16 20:45:00
7.86,7.86,7.53,7.6,2100.0,2021-12-20 20:45:00
7.43,7.64,7.43,7.49,9900.0,2021-12-21 20:45:00
