open,high,low,close,volume,date
47.7,47.7,47.28,47.28,620.0,2012-08-28 05:45:00
47.39,47.88,47.39,47.88,896.0,2012-08-29 05:45:00
48.0,48.54,48.0,48.54,468.0,2012-08-30 05:45:00
48.66,48.9,48.37,48.37,1651.0,2012-09-02 05:45:00
48.23,48.23,48.12,48.12,46.0,2012-09-05 05:45:00
48.0,48.0,47.63,47.76,946.0,2012-09-06 05:45:00
47.88,47.88,47.88,47.88,167.0,2012-09-09 05:45:00
47.76,47.88,47.63,47.88,436.0,2012-09-11 05:45:00
48.0,48.0,48.0,48.0,46.0,2012-09-13 05:45:00
47.88,48.12,47.88,48.12,870.0,2012-09-16 05:45:00
48.12,48.23,48.12,48.23,740.0,2012-09-17 05:45:00
48.37,48.48,48.37,48.37,570.0,2012-09-18 05:45:00
48.23,48.23,48.12,48.23,136.0,2012-09-20 05:45:00
48.3,48.3,48.12,48.12,10758.0,2012-10-02 05:45:00
48.0,48.0,48.0,48.0,23.0,2012-10-03 05:45:00
47.88,47.88,47.88,47.88,254.0,2012-10-04 05:45:00
48.0,48.48,48.0,48.37,622.0,2012-10-07 05:45:00
48.23,48.42,48.23,48.42,531.0,2012-10-08 05:45:00
48.54,49.02,48.54,48.96,1479.0,2012-10-09 05:45:00
49.08,49.08,49.08,49.08,23.0,2012-10-10 05:45:00
48.96,48.96,48.72,48.72,185.0,2012-10-15 05:45:00
48.61,48.61,48.61,48.61,100.0,2012-10-30 05:45:00
48.48,48.48,48.48,48.48,39.0,2012-10-31 05:45:00
48.37,48.37,48.37,48.37,24.0,2012-11-06 05:45:00
48.23,48.23,48.23,48.23,13.0,2012-11-20 05:45:00
48.12,48.12,48.12,48.12,100.0,2012-11-27 05:45:00
48.0,48.0,48.0,48.0,400.0,2012-12-10 05:45:00
47.88,47.88,47.63,47.76,1038.0,2013-01-06 05:45:00
47.7,47.82,47.7,47.82,503.0,2013-01-07 05:45:00
47.7,47.7,47.57,47.57,154.0,2013-01-15 05:45:00
47.63,47.7,47.63,47.7,98.0,2013-01-17 05:45:00
47.82,48.06,47.82,48.06,743.0,2013-01-23 05:45:00
48.17,48.3,48.17,48.3,352.0,2013-01-24 05:45:00
48.17,48.3,48.17,48.3,244.0,2013-01-28 05:45:00
48.3,48.3,48.3,48.3,253.0,2013-01-31 05:45:00
48.42,48.42,48.42,48.42,24.0,2013-02-04 05:45:00
48.3,48.3,48.3,48.3,20.0,2013-02-28 05:45:00
48.42,48.54,48.42,48.54,54.0,2013-04-23 05:45:00
48.54,48.54,48.42,48.42,420.0,2013-04-25 05:45:00
48.37,48.37,48.37,48.37,72.0,2013-04-29 05:45:00
48.23,48.23,48.23,48.23,72.0,2013-04-30 05:45:00
48.37,48.9,48.37,48.9,495.0,2013-06-04 05:45:00
48.9,49.04,48.84,48.84,1575.0,2013-06-05 05:45:00
48.97,48.97,48.84,48.97,813.0,2013-06-06 05:45:00
49.1,49.1,48.97,48.97,132.0,2013-07-01 05:45:00
48.84,48.84,48.84,48.84,100.0,2013-07-04 05:45:00
48.97,48.97,48.97,48.97,142.0,2013-07-29 05:45:00
49.1,49.37,49.1,49.24,375.0,2013-07-30 05:45:00
49.37,49.51,49.37,49.51,33.0,2013-07-31 05:45:00
49.64,49.64,49.51,49.64,327.0,2013-08-01 05:45:00
49.51,49.51,49.51,49.51,160.0,2013-08-05 05:45:00
49.64,49.84,49.58,49.58,5020.0,2013-08-06 05:45:00
49.71,49.71,49.71,49.71,198.0,2013-08-12 05:45:00
49.78,50.24,49.78,50.24,740.0,2013-08-14 05:45:00
50.31,50.85,50.31,50.85,470.0,2013-08-15 05:45:00
50.98,51.79,50.85,51.79,787.0,2013-08-18 05:45:00
51.98,52.79,51.98,52.79,1124.0,2013-08-19 05:45:00
53.0,53.93,53.0,53.93,4380.0,2013-08-20 05:45:00
54.13,55.14,53.93,55.14,2102.0,2013-08-25 05:45:00
55.4,56.48,55.4,56.48,358.0,2013-08-26 05:45:00
56.75,57.29,56.35,56.35,4338.0,2013-08-27 05:45:00
56.61,56.61,56.27,56.27,462.0,2013-08-29 05:45:00
56.02,56.02,54.94,54.94,203.0,2013-09-03 05:45:00
54.67,54.67,54.67,54.67,54.0,2013-09-12 05:45:00
54.41,54.41,54.2,54.2,120.0,2013-10-06 05:45:00
54.0,54.0,53.19,53.19,50.0,2013-10-08 05:45:00
53.0,53.0,52.59,52.59,439.0,2013-10-09 05:45:00
52.39,52.39,52.39,52.39,27.0,2013-10-10 05:45:00
52.19,52.19,51.32,51.32,84.0,2013-10-20 05:45:00
51.11,51.11,50.38,50.52,1088.0,2013-10-21 05:45:00
50.58,50.92,50.58,50.92,1073.0,2013-10-22 05:45:00
51.05,51.05,51.05,51.05,13.0,2013-10-23 05:45:00
51.18,51.98,51.18,51.98,877.0,2013-10-27 05:45:00
51.79,52.32,51.32,52.32,8082.0,2013-10-28 05:45:00
52.46,53.0,52.46,52.67,735.0,2013-10-29 05:45:00
52.85,53.26,52.67,52.67,418.0,2013-10-30 05:45:00
52.85,52.85,52.67,52.67,557.0,2013-10-31 05:45:00
52.52,52.52,52.46,52.46,285.0,2013-11-06 05:45:00
52.67,53.06,52.67,53.06,1443.0,2013-11-07 05:45:00
52.85,52.85,52.67,52.85,305.0,2013-11-11 05:45:00
53.06,53.47,53.06,53.47,47.0,2013-11-14 05:45:00
53.66,53.87,53.66,53.87,791.0,2013-11-21 05:45:00
54.07,54.27,54.07,54.27,791.0,2013-11-24 05:45:00
54.46,54.94,54.46,54.46,2013.0,2013-11-25 05:45:00
54.67,55.0,54.67,55.0,856.0,2013-11-26 05:45:00
55.28,55.28,55.14,55.14,202.0,2013-11-27 05:45:00
55.4,55.68,55.4,55.4,8381.0,2013-11-28 05:45:00
55.68,56.75,55.68,56.75,120.0,2014-06-01 05:45:00
57.02,58.29,57.02,58.29,64.0,2014-06-02 05:45:00
58.63,59.97,58.63,59.97,50.0,2014-06-03 05:45:00
59.63,59.63,59.63,59.63,7536.0,2014-06-04 05:45:00
59.57,61.44,59.57,61.44,1987.0,2014-06-09 05:45:00
61.83,63.45,61.83,63.45,80.0,2014-06-10 05:45:00
63.85,65.66,63.85,65.66,90.0,2014-06-11 05:45:00
66.12,66.6,66.12,66.6,20.0,2014-06-12 05:45:00
67.07,69.08,67.07,69.08,60.0,2014-06-15 05:45:00
69.62,69.75,69.62,69.75,39005.0,2014-06-16 05:45:00
70.29,72.57,70.29,72.57,698.0,2014-06-17 05:45:00
73.17,75.64,73.17,75.64,522.0,2014-06-18 05:45:00
77.32,79.06,77.32,79.06,2485.0,2014-06-19 05:45:00
79.8,82.81,79.8,82.81,5709.0,2014-06-23 05:45:00
83.63,86.97,83.63,86.97,7282.0,2014-06-24 05:45:00
87.84,91.53,87.84,91.53,25100.0,2014-06-25 05:45:00
92.53,94.55,88.65,89.52,12212.0,2014-06-26 05:45:00
88.71,89.19,87.78,88.71,8474.0,2014-06-29 05:45:00
89.65,89.65,88.17,88.24,2044.0,2014-06-30 05:45:00
88.17,92.8,88.17,90.52,8166.0,2014-07-01 05:45:00
91.46,95.42,91.46,93.54,1404.0,2014-07-02 05:45:00
92.67,94.55,91.59,91.59,7706.0,2014-07-03 05:45:00
92.61,93.2,92.27,92.27,2790.0,2014-07-06 05:45:00
93.27,95.96,93.27,95.96,13608.0,2014-07-07 05:45:00
95.55,96.22,91.86,91.86,6761.0,2014-07-08 05:45:00
92.87,93.01,92.53,92.87,1272.0,2014-07-09 05:45:00
92.2,92.53,92.2,92.53,1084.0,2014-07-10 05:45:00
93.54,94.55,92.87,92.87,6249.0,2014-07-13 05:45:00
92.87,92.87,91.86,92.8,1090.0,2014-07-14 05:45:00
92.2,92.2,91.53,92.0,692.0,2014-07-15 05:45:00
91.53,93.6,90.59,92.87,6930.0,2014-07-16 05:45:00
93.88,94.21,93.2,94.21,3216.0,2014-07-17 05:45:00
95.22,95.22,94.55,94.55,272.0,2014-07-20 05:45:00
94.88,94.88,93.54,93.54,1834.0,2014-07-21 05:45:00
93.54,93.54,92.53,93.48,1126.0,2014-07-22 05:45:00
92.87,93.48,92.2,93.01,1700.0,2014-07-23 05:45:00
92.67,92.67,91.2,91.2,1111.0,2014-07-24 05:45:00
91.53,91.53,90.32,90.32,409.0,2014-07-27 05:45:00
90.18,90.86,90.18,90.18,335.0,2014-07-30 05:45:00
90.52,92.87,90.52,91.86,3396.0,2014-07-31 05:45:00
91.53,91.86,90.86,91.53,586.0,2014-08-03 05:45:00
90.86,90.86,90.86,90.86,44.0,2014-08-04 05:45:00
90.86,90.86,90.18,90.52,503.0,2014-08-05 05:45:00
89.72,89.72,89.65,89.65,95.0,2014-08-06 05:45:00
88.84,88.84,88.84,88.84,323.0,2014-08-07 05:45:00
88.84,88.84,88.84,88.84,14.0,2014-08-12 05:45:00
87.91,87.91,87.04,87.04,414.0,2014-08-13 05:45:00
86.3,86.83,86.3,86.83,605.0,2014-08-14 05:45:00
87.5,87.63,87.5,87.63,269.0,2014-08-18 05:45:00
86.77,87.84,85.03,87.84,5280.0,2014-08-19 05:45:00
88.71,88.71,86.97,86.97,1018.0,2014-08-20 05:45:00
87.5,87.5,85.43,85.43,672.0,2014-08-24 05:45:00
84.56,84.56,82.15,82.15,111.0,2014-08-25 05:45:00
81.35,83.09,81.35,82.48,1227.0,2014-08-26 05:45:00
83.29,83.49,83.29,83.49,2544.0,2014-08-27 05:45:00
84.29,84.29,82.81,82.81,236.0,2014-08-31 05:45:00
82.15,82.15,82.15,82.15,1037.0,2014-09-04 05:45:00
81.35,81.35,79.13,79.13,513.0,2014-09-07 05:45:00
79.87,79.87,78.46,78.46,1651.0,2014-09-10 05:45:00
78.12,78.12,78.12,78.12,167813.0,2014-09-14 05:45:00
77.39,81.41,77.39,81.41,425.0,2014-09-15 05:45:00
82.15,85.37,82.15,85.37,789.0,2014-09-16 05:45:00
86.23,87.1,86.23,86.83,213.0,2014-09-17 05:45:00
87.5,89.11,87.5,88.11,1686.0,2014-09-18 05:45:00
87.24,87.24,85.83,86.17,6243.0,2014-09-21 05:45:00
85.5,85.5,85.5,85.5,5027.0,2014-09-23 05:45:00
86.37,88.11,86.37,88.11,40.0,2014-09-24 05:45:00
88.17,89.11,88.17,88.17,275.0,2014-09-28 05:45:00
88.51,88.51,88.17,88.17,274.0,2014-09-29 05:45:00
88.17,88.17,88.17,88.17,163.0,2014-09-30 05:45:00
88.17,88.17,88.17,88.17,54.0,2014-10-08 05:45:00
87.24,88.17,87.24,88.17,4497.0,2014-10-09 05:45:00
88.84,89.11,88.84,89.11,41.0,2014-10-13 05:45:00
88.17,88.17,88.17,88.17,2532.0,2014-10-14 05:45:00
87.84,88.17,87.84,88.17,1877.0,2014-10-15 05:45:00
87.63,92.87,87.24,92.87,18355.0,2014-10-16 05:45:00
93.27,93.6,92.94,93.54,2769.0,2014-10-19 05:45:00
94.21,94.21,93.2,93.74,471.0,2014-10-20 05:45:00
93.2,93.2,93.2,93.2,211.0,2014-10-21 05:45:00
93.2,95.55,93.2,95.55,2761.0,2014-10-22 05:45:00
96.22,96.62,96.22,96.62,707.0,2014-10-26 05:45:00
96.15,96.15,96.15,96.15,54.0,2014-10-28 05:45:00
96.22,96.22,96.22,96.22,952.0,2014-10-30 05:45:00
95.16,95.16,95.16,95.16,300.0,2014-11-02 05:45:00
94.08,94.08,94.08,94.08,319.0,2014-11-03 05:45:00
93.07,93.2,92.87,93.2,2811.0,2014-11-05 05:45:00
93.54,93.54,93.54,93.54,500.0,2014-11-06 05:45:00
93.54,93.54,93.54,93.54,47.0,2014-11-09 05:45:00
92.53,92.53,92.53,92.53,151.0,2014-11-10 05:45:00
91.86,92.2,91.86,91.86,216.0,2014-11-11 05:45:00
92.13,94.88,92.13,92.87,661.0,2014-11-12 05:45:00
92.87,92.87,92.87,92.87,136.0,2014-11-13 05:45:00
91.86,91.86,91.86,91.86,155.0,2014-11-16 05:45:00
91.46,91.46,91.46,91.46,48.0,2014-11-17 05:45:00
90.52,91.46,90.52,91.46,6497.0,2014-11-19 05:45:00
91.53,91.53,91.05,91.05,151.0,2014-11-20 05:45:00
91.53,91.86,91.53,91.86,46.0,2014-11-23 05:45:00
92.87,92.87,91.86,92.8,882.0,2014-11-24 05:45:00
91.8,91.8,91.33,91.33,217.0,2014-11-25 05:45:00
90.86,90.86,90.79,90.79,53.0,2014-12-01 05:45:00
91.12,91.26,91.12,91.26,109.0,2014-12-02 05:45:00
91.53,91.53,90.52,90.52,148.0,2014-12-03 05:45:00
90.52,90.52,89.59,89.59,114.0,2014-12-07 05:45:00
88.91,88.91,87.78,88.24,5411.0,2014-12-08 05:45:00
88.84,88.84,88.84,88.84,27.0,2014-12-09 05:45:00
89.72,89.72,89.72,89.72,50.0,2014-12-10 05:45:00
88.84,88.84,87.57,87.57,335.0,2014-12-11 05:45:00
88.44,90.39,87.63,90.39,309.0,2014-12-14 05:45:00
