open,high,low,close,volume,date
1000.0,1020.0,1000.0,1020.0,30.0,2024-03-31 17:12:59
999.6,1005.0,999.6,1000.0,177.0,2024-04-01 20:31:26
1020.0,1065.0,1020.0,1030.0,56559.0,2024-04-02 19:02:06
1030.0,1050.6,1030.0,1050.6,130.0,2024-04-03 19:57:08
1050.6,1050.6,1050.0,1050.0,15.0,2024-04-07 20:23:19
1049.0,1049.0,1040.0,1040.0,35.0,2024-04-09 19:53:06
1020.0,1020.0,1019.2,1019.2,75.0,2024-04-10 19:35:28
1006.0,1006.0,1006.0,1006.0,25.0,2024-04-14 19:11:35
1020.0,1020.0,1015.5,1015.5,100.0,2024-04-15 19:42:50
1035.8,1040.2,1035.8,1040.2,37.0,2024-04-16 19:57:37
1057.0,1060.0,1051.0,1060.0,105.0,2024-04-18 18:11:39
1060.0,1060.0,1038.8,1060.0,133.0,2024-04-21 20:30:58
1040.0,1040.0,1030.0,1030.1,100.0,2024-04-24 20:36:12
1025.0,1025.5,1025.0,1025.5,150.0,2024-04-25 18:08:31
1025.5,1028.0,1025.5,1028.0,50.0,2024-04-28 20:13:30
1028.0,1028.0,1028.0,1034.0,2.0,2024-04-29 17:43:39
1054.6,1069.0,1030.0,1030.0,237.0,2024-04-30 19:41:40
1027.0,1050.6,1027.0,1050.6,150.0,2024-05-02 20:30:33
1050.6,1050.6,1050.6,1060.0,2.0,2024-05-05 20:01:40
1038.8,1038.8,1020.0,1020.0,200.0,2024-05-06 19:22:14
1025.0,1032.7,1025.0,1032.7,50.0,2024-05-07 20:22:18
1052.0,1053.3,1052.0,1052.0,64.0,2024-05-12 20:15:25
1052.0,1052.0,1052.0,1052.0,2.0,2024-05-13 18:04:09
1073.0,1073.0,1052.7,1060.0,76.0,2024-05-14 17:54:54
1060.0,1060.0,1060.0,1081.0,2.0,2024-05-15 17:50:45
1081.0,1081.0,1081.0,1065.0,4.0,2024-05-16 19:06:59
1065.0,1065.0,1064.6,1064.6,18.0,2024-05-19 17:05:18
1064.6,1064.6,1050.0,1050.0,57.0,2024-05-20 19:44:43
1050.0,1065.0,1030.1,1040.0,78.0,2024-05-21 20:04:19
1040.0,1040.0,1038.8,1038.8,27.0,2024-05-22 20:15:57
1038.8,1040.0,1038.8,1040.0,131.0,2024-05-26 20:35:15
1060.0,1060.8,1055.0,1055.0,69.0,2024-05-27 20:40:13
1055.0,1055.0,1045.0,1050.0,130.0,2024-05-29 20:06:04
1050.0,1050.0,1050.0,1050.0,4.0,2024-05-30 18:42:12
1060.0,1060.0,1050.0,1050.0,106.0,2024-06-02 20:43:29
1050.0,1050.0,1050.0,1040.0,56.0,2024-06-03 20:08:30
1025.3,1060.0,1025.3,1060.0,204.0,2024-06-04 20:43:54
1050.0,1060.0,1050.0,1051.0,75.0,2024-06-05 18:08:33
1051.0,1051.0,1051.0,1065.0,4.0,2024-06-06 20:31:34
1065.0,1065.0,1044.0,1044.0,29.0,2024-06-09 17:29:28
1044.0,1045.0,1044.0,1045.0,120.0,2024-06-12 17:28:30
1045.0,1045.0,1045.0,1060.0,6.0,2024-06-13 17:13:22
1060.0,1060.0,1060.0,1060.0,127.0,2024-06-16 19:01:08
1060.0,1060.0,1060.0,1060.0,73.0,2024-06-18 20:07:25
1060.0,1060.0,1045.0,1060.0,74.0,2024-06-19 20:13:39
1060.0,1060.0,1060.0,1061.0,2.0,2024-06-20 18:26:40
1061.0,1061.0,1039.8,1039.8,25.0,2024-06-23 19:25:54
1039.8,1039.8,1032.0,1032.0,173.0,2024-06-24 17:04:52
1050.0,1050.0,1050.0,1050.0,75.0,2024-06-25 19:13:35
1033.5,1055.0,1033.5,1052.0,135.0,2024-06-26 20:29:34
1035.2,1090.0,1035.2,1090.0,285.0,2024-06-27 20:20:35
1092.0,1095.0,1092.0,1103.0,98.0,2024-07-01 19:29:49
1103.0,1103.0,1103.0,1103.0,110.0,2024-07-02 19:31:52
1115.0,1115.0,1100.0,1105.0,60.0,2024-07-03 18:42:51
1105.0,1140.0,1096.7,1140.0,60.0,2024-07-10 20:07:28
1140.0,1140.0,1140.0,1117.2,8.0,2024-07-16 19:26:25
1117.2,1117.2,1031.0,1031.0,110.0,2024-07-17 20:41:54
1040.0,1040.0,1019.2,1019.2,244.0,2024-07-18 20:20:14
1020.0,1020.0,1020.0,1020.0,158.0,2024-07-21 19:11:11
1021.0,1021.0,1021.0,1021.0,30.0,2024-07-24 17:35:41
1041.0,1041.0,1041.0,1041.0,23.0,2024-07-25 19:12:14
1040.0,1041.0,1040.0,1041.0,62.0,2024-07-29 18:29:52
1035.0,1045.0,1035.0,1045.0,525.0,2024-07-30 18:34:04
1050.0,1050.0,1050.0,1050.0,81.0,2024-07-31 19:28:30
1040.0,1040.0,1040.0,1040.0,50.0,2024-08-01 17:47:44
1040.0,1060.8,1040.0,1040.0,100.0,2024-08-05 20:12:31
1040.0,1040.0,1040.0,1040.0,25.0,2024-08-07 19:15:12
1040.0,1040.0,1040.0,1040.0,25.0,2024-08-08 17:01:15
1060.0,1060.0,1040.0,1060.0,369.0,2024-08-11 20:22:04
1050.0,1072.0,1045.0,1072.0,400.0,2024-08-12 20:43:26
1072.0,1072.0,1072.0,1072.0,4.0,2024-08-13 20:05:12
1051.0,1051.0,1051.0,1051.0,15.0,2024-08-14 20:04:04
1040.0,1040.0,1031.0,1031.0,121.0,2024-08-15 17:13:15
1045.0,1045.0,1045.0,1045.0,25.0,2024-08-18 19:54:34
1054.0,1054.0,1054.0,1054.0,25.0,2024-08-21 18:28:16
1050.0,1051.0,1050.0,1050.0,125.0,2024-08-25 17:41:26
1051.0,1051.0,1050.0,1050.0,130.0,2024-08-27 17:03:57
1052.0,1052.0,1052.0,1052.0,100.0,2024-08-29 20:19:08
1055.0,1055.0,1055.0,1055.0,225.0,2024-09-01 19:24:00
1056.1,1056.1,1056.1,1056.1,25.0,2024-09-03 19:35:19
1075.0,1075.0,1060.0,1060.0,45.0,2024-09-04 20:39:25
1062.5,1062.5,1050.0,1060.0,340.0,2024-09-08 19:27:48
1061.5,1061.5,1061.5,1061.5,25.0,2024-09-09 17:50:15
1080.0,1080.0,1061.0,1061.0,90.0,2024-09-10 19:54:17
1082.2,1082.2,1082.2,1082.2,30.0,2024-09-16 17:52:06
1080.0,1080.0,1065.2,1065.2,75.0,2024-09-18 20:41:31
1065.19,1065.19,1065.19,1065.19,75.0,2024-09-22 20:44:32
1067.0,1067.0,1067.0,1067.0,30.0,2024-09-26 19:30:30
1088.0,1088.0,1075.0,1075.0,60.0,2024-09-29 20:40:33
1096.5,1096.5,1096.5,1096.5,500.0,2024-09-30 19:13:40
1075.0,1075.0,1075.0,1075.0,25.0,2024-10-06 19:09:30
1080.0,1080.0,1080.0,1080.0,125.0,2024-10-08 20:42:15
1080.0,1086.3,1065.0,1086.3,125.0,2024-10-09 18:52:28
1080.0,1086.3,1065.0,1086.3,125.0,2024-10-09 18:52:28
1086.3,1152.6,1086.3,1152.6,125.0,2024-10-16 17:24:41
1130.0,1130.0,1130.0,1125.0,30.0,2024-10-17 19:22:46
1105.0,1158.0,1105.0,1158.0,85.0,2024-10-21 17:12:53
1158.0,1158.0,1158.0,1158.0,51.0,2024-10-22 17:45:08
1135.0,1135.0,1135.0,1135.0,45.0,2024-10-24 19:32:33
1157.7,1157.7,1155.0,1155.0,50.0,2024-10-27 18:53:47
1135.0,1135.0,1135.0,1135.0,50.0,2024-11-11 20:26:53
1140.0,1145.0,1140.0,1145.0,55.0,2024-11-13 19:10:21
1157.0,1157.0,1157.0,1157.0,100.0,2024-11-14 17:09:24
1157.0,1157.0,1156.6,1156.6,156.0,2024-11-17 17:57:17
1134.0,1134.0,1122.0,1122.0,125.0,2024-11-19 19:50:18
