open,high,low,close,volume,date
83.37,89.82,83.37,89.06,1594.0,2013-07-17 05:45:00
83.9,86.27,83.9,86.27,1218.0,2013-07-18 05:45:00
86.91,89.49,86.91,89.49,1168.0,2013-07-21 05:45:00
90.14,93.03,90.14,93.03,2762.0,2013-07-22 05:45:00
93.79,96.91,93.79,96.91,3481.0,2013-07-23 05:45:00
97.76,101.19,97.76,101.19,9005.0,2013-07-24 05:45:00
102.06,104.85,98.73,100.55,27206.0,2013-07-25 05:45:00
100.55,101.41,100.02,101.09,10677.0,2013-07-28 05:45:00
101.52,104.85,101.41,104.74,7786.0,2013-07-29 05:45:00
104.31,104.31,103.24,103.77,2727.0,2013-07-30 05:45:00
102.81,103.02,102.38,102.49,6706.0,2013-07-31 05:45:00
101.52,101.52,100.23,100.87,2588.0,2013-08-01 05:45:00
101.09,101.52,100.77,101.09,4454.0,2013-08-04 05:45:00
100.23,101.09,99.91,100.02,3101.0,2013-08-05 05:45:00
99.16,100.87,99.16,100.55,2674.0,2013-08-06 05:45:00
100.55,100.66,99.91,100.55,1924.0,2013-08-07 05:45:00
99.69,100.02,99.69,99.91,1791.0,2013-08-08 05:45:00
100.02,100.33,100.02,100.33,380.0,2013-08-11 05:45:00
99.8,100.55,99.8,100.55,1664.0,2013-08-12 05:45:00
100.23,100.66,100.02,100.23,6482.0,2013-08-13 05:45:00
99.69,101.41,99.59,101.41,632.0,2013-08-14 05:45:00
100.55,103.77,100.55,103.24,10711.0,2013-08-15 05:45:00
103.99,108.18,103.77,108.18,9047.0,2013-08-18 05:45:00
108.18,108.5,104.42,107.54,9860.0,2013-08-19 05:45:00
107.54,108.29,106.45,106.89,6659.0,2013-08-20 05:45:00
107.32,107.32,106.24,106.56,2469.0,2013-08-25 05:45:00
106.89,107.54,105.92,106.45,2481.0,2013-08-26 05:45:00
106.45,106.45,105.39,106.14,2491.0,2013-08-27 05:45:00
106.89,106.99,105.39,105.92,4159.0,2013-08-29 05:45:00
105.39,105.39,104.42,105.06,1349.0,2013-09-01 05:45:00
104.31,104.85,104.31,104.31,2933.0,2013-09-02 05:45:00
104.31,104.31,102.38,103.88,4348.0,2013-09-03 05:45:00
104.31,104.63,103.88,103.88,1086.0,2013-09-04 05:45:00
104.2,104.74,104.2,104.74,2687.0,2013-09-05 05:45:00
103.77,103.77,103.77,103.77,107.0,2013-09-08 05:45:00
104.31,104.31,103.24,103.77,1003.0,2013-09-09 05:45:00
104.2,104.31,103.77,103.88,1883.0,2013-09-10 05:45:00
104.31,104.42,103.88,104.42,1510.0,2013-09-11 05:45:00
103.77,104.31,103.77,104.31,273.0,2013-09-12 05:45:00
104.31,105.39,104.31,104.31,3111.0,2013-09-15 05:45:00
105.28,105.28,104.42,104.96,200.0,2013-09-16 05:45:00
104.85,105.39,104.85,105.39,514.0,2013-09-17 05:45:00
104.85,106.45,104.85,105.17,3347.0,2013-09-19 05:45:00
105.92,105.92,104.85,104.85,1341.0,2013-09-22 05:45:00
104.31,104.31,102.38,103.35,1787.0,2013-09-23 05:45:00
103.02,103.99,102.38,103.24,1305.0,2013-09-24 05:45:00
103.24,103.77,103.24,103.77,200.0,2013-09-25 05:45:00
103.99,104.2,103.99,104.2,881.0,2013-09-26 05:45:00
104.2,104.31,104.2,104.31,2527.0,2013-09-29 05:45:00
104.31,104.31,101.96,101.96,3758.0,2013-09-30 05:45:00
102.17,103.24,102.17,103.24,2025.0,2013-10-01 05:45:00
103.77,103.77,103.02,103.24,1230.0,2013-10-02 05:45:00
103.24,104.31,103.24,104.31,890.0,2013-10-03 05:45:00
103.35,104.31,103.35,104.31,3193.0,2013-10-06 05:45:00
103.56,104.53,103.56,104.53,412.0,2013-10-09 05:45:00
105.17,105.17,104.31,104.31,320.0,2013-10-10 05:45:00
104.31,104.74,104.31,104.63,397.0,2013-10-17 05:45:00
105.28,105.71,104.74,104.74,1754.0,2013-10-20 05:45:00
105.39,105.6,104.85,105.49,2035.0,2013-10-21 05:45:00
105.49,105.49,105.49,105.49,24.0,2013-10-22 05:45:00
105.49,105.49,105.17,105.28,1989.0,2013-10-23 05:45:00
105.39,105.39,104.42,105.17,7520.0,2013-10-24 05:45:00
104.53,104.74,104.42,104.42,779.0,2013-10-27 05:45:00
104.42,104.42,104.42,104.42,50.0,2013-10-28 05:45:00
103.45,104.42,103.45,103.99,592.0,2013-10-29 05:45:00
104.85,104.96,104.85,104.96,118.0,2013-11-06 05:45:00
105.39,106.45,105.39,106.45,140.0,2013-11-07 05:45:00
106.45,106.45,105.92,106.45,2793.0,2013-11-10 05:45:00
105.92,105.92,105.92,105.92,1212.0,2013-11-11 05:45:00
105.92,106.03,105.92,106.03,295.0,2013-11-12 05:45:00
106.99,107.85,106.67,106.67,3108.0,2013-11-13 05:45:00
106.45,106.99,105.39,106.99,2957.0,2013-11-14 05:45:00
107.96,109.68,107.96,109.68,2600.0,2013-11-24 05:45:00
109.57,109.79,108.18,108.18,725.0,2013-11-25 05:45:00
109.25,112.8,108.61,112.8,4357.0,2013-11-26 05:45:00
113.87,115.59,113.87,113.97,1671.0,2013-11-27 05:45:00
113.97,116.66,113.97,116.12,2239.0,2013-11-28 05:45:00
117.3,122.35,117.3,122.35,5109.0,2013-12-01 05:45:00
122.56,128.8,122.56,128.8,13257.0,2013-12-02 05:45:00
130.19,136.2,130.19,136.2,8665.0,2013-12-03 05:45:00
137.81,142.76,137.81,142.76,1930.0,2013-12-04 05:45:00
141.89,141.89,139.32,139.32,1265.0,2013-12-05 05:45:00
137.71,137.71,134.49,134.49,40.0,2013-12-10 05:45:00
132.87,135.46,132.76,132.76,10388.0,2013-12-16 05:45:00
133.3,133.3,129.65,129.65,1888.0,2013-12-19 05:45:00
129.01,129.01,122.67,124.39,3537.0,2013-12-22 05:45:00
124.39,125.04,122.24,123.65,1232.0,2013-12-23 05:45:00
123.43,123.43,121.28,123.11,4894.0,2013-12-24 05:45:00
124.39,126.97,124.39,125.79,2443.0,2013-12-26 05:45:00
124.39,125.57,122.35,124.29,17249.0,2013-12-29 05:45:00
123.65,124.71,122.67,124.71,3747.0,2013-12-31 05:45:00
124.71,124.71,123.11,124.71,2353.0,2014-01-01 05:45:00
123.65,125.79,122.56,125.79,8757.0,2014-01-02 05:45:00
125.79,125.79,123.0,125.04,2576.0,2014-01-05 05:45:00
124.61,124.71,123.32,123.54,3457.0,2014-01-06 05:45:00
123.54,124.29,122.24,123.11,6630.0,2014-01-07 05:45:00
123.65,125.04,122.24,125.04,5818.0,2014-01-08 05:45:00
124.71,127.18,124.18,127.18,3053.0,2014-01-09 05:45:00
126.86,129.65,125.79,129.65,874.0,2014-01-12 05:45:00
129.01,132.23,128.9,131.16,1403.0,2014-01-13 05:45:00
130.62,131.27,127.4,130.08,10844.0,2014-01-14 05:45:00
130.08,133.84,128.57,133.3,8066.0,2014-01-16 05:45:00
132.23,132.76,129.12,131.81,7968.0,2014-01-19 05:45:00
