open,high,low,close,volume,date
1.89,1.89,1.89,1.89,100.0,2020-07-15 05:45:00
1.7,1.7,1.59,1.59,8050.0,2020-07-21 20:45:00
1.4,1.4,1.11,1.11,101300.0,2020-07-22 20:45:00
1.11,1.29,1.01,1.19,54800.0,2020-07-23 20:45:00
1.37,1.58,1.21,1.39,4350.0,2020-07-26 20:45:00
1.22,1.24,1.22,1.24,1600.0,2020-07-27 20:45:00
1.19,1.29,1.19,1.25,800.0,2020-07-28 20:45:00
1.29,1.43,1.29,1.43,980.0,2020-07-29 20:45:00
1.28,1.8,1.24,1.8,5600.0,2020-07-30 20:45:00
1.61,1.61,1.42,1.42,400.0,2020-08-02 20:45:00
1.24,1.25,1.24,1.25,2600.0,2020-08-03 20:45:00
1.07,1.27,1.07,1.27,15150.0,2020-08-05 20:45:00
1.07,1.09,1.07,1.09,2100.0,2020-08-06 20:45:00
1.09,1.64,1.09,1.64,6700.0,2020-08-09 20:45:00
1.45,1.46,1.29,1.45,1300.0,2020-08-10 20:45:00
1.28,1.28,1.27,1.27,300.0,2020-08-11 20:45:00
1.19,1.19,1.19,1.19,1200.0,2020-08-12 20:45:00
1.2,1.2,1.2,1.2,2400.0,2020-08-13 20:45:00
1.14,1.24,1.14,1.24,5850.0,2020-08-16 20:45:00
1.24,1.29,1.24,1.24,6700.0,2020-08-18 20:45:00
1.12,1.12,1.12,1.12,1400.0,2020-08-19 20:45:00
1.08,1.08,1.08,1.08,500.0,2020-08-20 20:45:00
0.99,1.03,0.99,1.03,800.0,2020-08-23 20:45:00
0.94,1.09,0.94,1.09,2250.0,2020-08-24 20:45:00
1.05,1.07,1.05,1.07,2200.0,2020-08-25 20:45:00
1.07,1.11,1.07,1.11,2100.0,2020-08-26 20:45:00
1.15,1.29,1.15,1.29,4500.0,2020-08-27 20:45:00
1.29,1.21,1.21,1.21,200.0,2020-08-30 23:00:00
1.03,1.24,1.03,1.24,155150.0,2020-08-31 20:45:00
1.89,1.89,1.89,1.89,1700.0,2020-09-02 20:45:00
1.2,1.39,1.2,1.25,3350.0,2020-09-03 20:45:00
1.17,1.23,1.17,1.23,1800.0,2020-09-06 20:45:00
1.05,1.25,1.05,1.19,7800.0,2020-09-07 20:45:00
1.19,1.24,1.19,1.19,5650.0,2020-09-08 20:45:00
1.11,1.11,1.11,1.11,1100.0,2020-09-09 20:45:00
0.99,1.29,0.99,1.29,6200.0,2020-09-13 23:00:00
1.2,1.3,1.2,1.3,3000.0,2020-09-14 20:45:00
1.48,1.48,1.3,1.33,1750.0,2020-09-15 20:45:00
1.33,1.39,1.33,1.39,6900.0,2020-09-16 20:45:00
1.58,1.58,1.32,1.58,4200.0,2020-09-17 20:45:00
1.39,1.57,1.39,1.57,3250.0,2020-09-20 20:45:00
1.38,1.4,1.38,1.4,1600.0,2020-09-21 20:45:00
1.21,1.21,1.14,1.14,700.0,2020-09-22 20:45:00
1.32,1.34,1.16,1.23,1800.0,2020-09-23 20:45:00
1.16,1.29,1.16,1.29,800.0,2020-09-24 20:45:00
1.15,1.15,1.14,1.14,1250.0,2020-09-27 20:45:00
1.14,1.14,1.11,1.14,2450.0,2020-09-28 20:45:00
1.14,1.2,1.14,1.19,2300.0,2020-09-29 20:45:00
1.24,1.37,1.15,1.37,5200.0,2020-09-30 20:45:00
1.55,1.55,1.36,1.36,950.0,2020-10-01 20:45:00
1.18,1.39,1.18,1.34,9760.0,2020-10-04 20:45:00
1.16,1.16,0.98,1.09,3000.0,2020-10-05 20:45:00
1.04,1.04,1.04,1.04,300.0,2020-10-06 20:45:00
1.19,1.19,1.1,1.17,2200.0,2020-10-07 20:45:00
1.04,1.17,1.04,1.14,500.0,2020-10-08 20:45:00
0.97,1.19,0.97,1.03,2900.0,2020-10-11 20:45:00
1.04,1.2,1.01,1.2,5900.0,2020-10-12 20:45:00
1.1,1.19,1.1,1.19,3100.0,2020-10-13 20:45:00
1.11,1.11,1.05,1.09,1800.0,2020-10-14 20:45:00
1.05,1.07,1.05,1.07,2000.0,2020-10-15 20:45:00
1.09,1.09,0.91,0.91,17100.0,2020-10-18 20:45:00
0.91,0.94,0.9,0.9,7000.0,2020-10-19 20:45:00
0.89,1.07,0.89,1.07,2250.0,2020-10-20 20:45:00
0.91,0.94,0.91,0.94,2800.0,2020-10-21 20:45:00
1.11,1.14,1.09,1.09,11370.0,2020-10-28 20:45:00
1.09,1.09,0.94,0.94,1100.0,2020-10-29 20:45:00
1.0,1.18,1.0,1.18,5300.0,2020-11-01 20:45:00
1.35,1.36,1.35,1.35,4900.0,2020-11-02 20:45:00
1.39,1.74,1.39,1.7,41100.0,2020-11-03 20:45:00
1.7,1.79,1.7,1.71,1100.0,2020-11-04 20:45:00
1.68,1.68,1.52,1.53,3000.0,2020-11-05 20:45:00
1.34,1.54,1.34,1.49,10000.0,2020-11-08 20:45:00
1.49,1.63,1.49,1.49,4500.0,2020-11-09 20:45:00
1.4,1.51,1.4,1.51,3000.0,2020-11-10 20:45:00
1.7,2.19,1.51,2.19,22400.0,2020-11-11 20:45:00
1.99,1.99,1.79,1.98,14600.0,2020-11-12 20:45:00
1.78,1.98,1.64,1.83,4500.0,2020-11-18 20:45:00
1.89,2.16,1.89,2.16,7550.0,2020-11-19 20:45:00
2.16,2.19,2.1,2.14,65700.0,2020-11-22 20:45:00
1.99,2.09,1.99,1.99,23550.0,2020-11-23 20:45:00
1.79,2.19,1.79,2.19,7000.0,2020-11-24 20:45:00
2.09,2.19,2.09,2.19,3550.0,2020-11-25 20:45:00
2.33,2.33,2.19,2.29,35550.0,2020-11-26 20:45:00
2.09,2.7,2.09,2.39,477940.0,2020-11-29 20:45:00
2.39,2.6,1.9,2.19,261020.0,2020-11-30 20:45:00
1.99,2.09,1.9,2.05,2475720.0,2020-12-01 20:45:00
2.04,2.25,1.86,1.89,383400.0,2020-12-02 20:45:00
1.91,1.99,1.89,1.89,1686100.0,2020-12-03 20:45:00
1.71,2.08,1.71,1.99,55500.0,2020-12-06 20:45:00
1.97,1.99,1.81,1.99,2600.0,2020-12-07 20:45:00
