open,high,low,close,volume,date
71.34,71.34,71.34,71.34,10.0,2017-02-08 05:45:00
72.75,72.75,72.75,72.75,10.0,2017-02-14 05:45:00
74.16,79.94,74.16,79.94,1000.0,2017-02-19 05:45:00
81.5,84.59,81.5,84.59,40.0,2017-02-23 05:45:00
86.28,86.28,86.28,86.28,10.0,2017-03-14 05:45:00
87.96,87.96,87.96,87.96,10.0,2017-03-20 05:45:00
89.66,91.36,89.66,91.36,30.0,2017-03-21 05:45:00
93.04,93.04,93.04,93.04,19.0,2017-04-09 05:45:00
95.87,95.87,95.87,95.87,29.0,2017-04-11 05:45:00
97.71,97.71,97.71,97.71,10.0,2017-04-13 05:45:00
99.53,99.53,99.53,99.53,10.0,2017-05-02 05:45:00
104.47,104.47,104.47,104.47,20.0,2017-05-18 05:45:00
106.44,114.9,106.44,114.9,70.0,2017-05-22 05:45:00
117.16,121.66,117.16,121.66,30.0,2017-05-24 05:45:00
124.07,128.87,124.07,128.87,30.0,2017-05-30 05:45:00
131.39,131.39,131.39,131.39,40.0,2017-06-06 05:45:00
131.39,131.39,131.39,131.39,10.0,2017-06-08 05:45:00
137.88,140.55,137.88,140.55,29.0,2017-06-12 05:45:00
143.25,146.06,143.25,146.06,20.0,2017-06-13 05:45:00
148.88,148.88,146.06,146.06,10.0,2017-06-14 05:45:00
148.88,157.75,148.88,157.75,58.0,2017-06-15 05:45:00
160.86,167.2,160.86,167.2,30.0,2017-06-20 05:45:00
170.44,173.83,170.44,173.83,30.0,2017-06-21 05:45:00
182.42,182.42,182.42,182.42,10.0,2017-06-27 05:45:00
185.95,189.62,185.95,189.62,39.0,2017-07-03 05:45:00
193.29,193.29,193.29,193.29,39.0,2017-07-04 05:45:00
197.09,200.9,197.09,200.9,20.0,2017-07-05 05:45:00
204.85,204.85,204.85,204.85,10.0,2017-07-06 05:45:00
208.94,213.03,208.94,213.03,20.0,2017-07-10 05:45:00
217.24,221.48,217.24,221.48,30.0,2017-07-12 05:45:00
232.47,241.64,232.47,241.64,50.0,2017-07-13 05:45:00
246.43,251.23,246.43,251.23,20.0,2017-07-16 05:45:00
256.17,271.67,256.17,271.67,140.0,2017-07-17 05:45:00
277.02,277.02,277.02,277.02,10.0,2017-07-19 05:45:00
282.53,282.53,282.53,282.53,20.0,2017-07-20 05:45:00
288.17,293.8,288.17,293.8,20.0,2017-07-25 05:45:00
299.58,305.51,299.58,305.51,30.0,2017-07-26 05:45:00
311.57,324.11,311.57,324.11,30.0,2017-07-27 05:45:00
330.45,356.39,330.45,356.39,123.0,2017-07-30 05:45:00
363.45,391.93,363.45,391.93,80.0,2017-07-31 05:45:00
411.53,431.12,411.53,431.12,152.0,2017-08-01 05:45:00
439.72,474.11,439.72,474.11,1369.0,2017-08-02 05:45:00
483.56,521.49,483.56,521.49,8523.0,2017-08-03 05:45:00
531.78,543.48,514.58,543.48,11155.0,2017-08-06 05:45:00
544.18,544.18,530.23,535.03,5405.0,2017-08-07 05:45:00
535.73,536.43,528.67,530.23,3152.0,2017-08-09 05:45:00
530.23,530.23,524.88,525.16,2559.0,2017-08-10 05:45:00
535.44,535.44,502.03,504.71,1769.0,2017-08-13 05:45:00
497.67,511.76,493.44,511.76,1928.0,2017-08-15 05:45:00
511.76,520.93,502.17,515.99,1838.0,2017-08-16 05:45:00
507.54,514.72,507.54,513.59,1551.0,2017-08-17 05:45:00
507.54,512.46,507.54,507.67,2129.0,2017-08-20 05:45:00
500.48,507.54,500.48,503.45,835.0,2017-08-21 05:45:00
503.3,507.54,494.84,503.3,1476.0,2017-08-22 05:45:00
495.12,503.3,495.12,502.6,542.0,2017-08-23 05:45:00
494.99,506.82,494.99,504.71,1072.0,2017-08-24 05:45:00
514.58,514.58,502.6,505.0,1155.0,2017-08-27 05:45:00
495.55,512.46,495.55,512.46,1980.0,2017-08-28 05:45:00
513.18,519.23,509.09,514.58,2153.0,2017-08-30 05:45:00
514.58,514.58,508.39,510.21,658.0,2017-08-31 05:45:00
508.25,511.76,506.82,509.23,1114.0,2017-09-04 05:45:00
501.18,517.4,501.18,511.76,645.0,2017-09-06 05:45:00
511.76,523.04,511.76,513.74,758.0,2017-09-07 05:45:00
510.35,510.35,504.85,505.7,2231.0,2017-09-10 05:45:00
496.26,515.99,496.26,515.99,1368.0,2017-09-11 05:45:00
505.7,515.99,505.7,514.58,1675.0,2017-09-12 05:45:00
520.22,520.22,505.0,505.0,1415.0,2017-09-13 05:45:00
501.89,501.89,454.52,454.52,1914.0,2017-09-14 05:45:00
445.51,462.42,436.62,459.61,3981.0,2017-09-17 05:45:00
465.23,478.07,459.74,472.28,1253.0,2017-09-18 05:45:00
475.11,475.11,456.07,465.37,253.0,2017-09-20 05:45:00
