Open,High,Low,Close,Volume,Date
315.89,321.86,284.6,284.6,9779,2020-06-29
270.45,270.45,256.29,256.29,20380,2020-06-30
243.63,281.62,234.69,281.62,41011,2020-07-01
295.03,309.19,274.17,285.35,152449,2020-07-02
283.11,309.19,275.66,298.01,384082,2020-07-05
298.01,327.82,298.01,327.82,337293,2020-07-06
344.21,360.6,337.5,360.6,189080,2020-07-07
378.48,396.36,357.62,378.48,501457,2020-07-08
383.69,384.44,362.09,375.5,302571,2020-07-09
375.5,398.59,373.26,379.22,279522,2020-07-12
381.46,385.18,373.26,378.48,202660,2020-07-13
376.24,379.97,370.28,372.52,221004,2020-07-14
372.52,379.97,372.52,375.5,193037,2020-07-15
394.12,394.12,374.75,388.16,182560,2020-07-16
407.53,426.91,407.53,424.67,44436,2020-07-19
445.53,460.43,400.08,420.94,309752,2020-07-20
420.94,422.43,409.77,414.98,223552,2020-07-21
417.22,417.96,393.38,398.59,301663,2020-07-22
398.59,407.53,387.42,406.04,212889,2020-07-23
387.42,411.26,387.42,409.02,373050,2020-07-26
416.47,428.4,412.0,415.73,256439,2020-07-27
418.71,423.92,413.49,421.69,183834,2020-07-28
422.43,438.08,414.98,435.1,272601,2020-07-29
443.3,458.2,429.14,446.28,382720,2020-07-30
454.47,454.47,435.1,436.59,382259,2020-08-02
439.57,442.55,428.4,438.83,171630,2020-08-03
438.08,439.57,429.14,432.87,194309,2020-08-05
428.4,435.85,420.94,428.4,206694,2020-08-06
428.4,432.12,419.45,426.16,156684,2020-08-09
426.16,444.79,421.69,440.32,210854,2020-08-10
439.57,446.28,435.85,437.34,204932,2020-08-11
458.94,458.94,435.1,438.08,102692,2020-08-12
438.08,438.08,432.12,432.12,123499,2020-08-13
428.4,435.1,425.42,428.4,133967,2020-08-16
424.67,439.57,424.67,438.08,112845,2020-08-17
438.83,443.3,435.85,439.57,108326,2020-08-18
435.85,437.34,430.63,431.38,117221,2020-08-19
431.38,435.85,428.4,434.36,39562,2020-08-20
434.36,446.28,432.87,444.04,113089,2020-08-23
444.04,464.9,444.04,464.9,351252,2020-08-24
464.9,505.88,464.16,500.66,443243,2020-08-25
501.41,540.9,499.92,530.46,492948,2020-08-26
528.97,537.92,523.76,528.23,325117,2020-08-27
528.23,577.4,516.31,573.68,476954,2020-08-30
577.4,631.04,577.4,631.04,346675,2020-08-31
662.34,693.63,660.85,671.28,732871,2020-09-02
685.43,685.43,637.75,662.34,466323,2020-09-03
695.12,695.12,640.73,648.93,455128,2020-09-06
648.93,655.63,636.26,637.75,329704,2020-09-07
637.75,648.18,623.59,639.99,324098,2020-09-08
644.46,669.79,638.5,663.83,253259,2020-09-09
670.53,683.94,663.83,666.81,191102,2020-09-10
689.16,689.16,666.81,669.04,267925,2020-09-13
701.82,701.82,657.12,657.12,223982,2020-09-14
676.49,676.49,651.16,656.38,127173,2020-09-15
655.63,663.08,650.42,658.61,109028,2020-09-16
659.36,668.3,650.42,652.65,150880,2020-09-17
670.53,670.53,639.24,639.24,188349,2020-09-20
670.53,670.53,629.55,642.22,172562,2020-09-21
642.22,648.18,637.0,642.22,144753,2020-09-22
610.18,648.18,610.18,647.44,101235,2020-09-23
648.18,648.18,641.48,643.71,108550,2020-09-24
648.18,651.91,640.73,640.73,104161,2020-09-27
633.28,645.95,633.28,637.75,74520,2020-09-28
637.75,637.75,634.02,635.51,91565,2020-09-29
640.73,640.73,630.3,634.02,132294,2020-09-30
633.28,648.18,633.28,642.97,97600,2020-10-01
642.97,669.04,642.97,663.83,219001,2020-10-04
663.83,676.49,659.36,660.85,166071,2020-10-05
659.36,666.81,651.91,653.4,66889,2020-10-06
685.43,685.43,648.18,650.42,78553,2020-10-07
644.46,660.85,644.46,646.69,72675,2020-10-08
646.69,653.4,637.75,641.48,66945,2020-10-11
639.24,644.46,638.5,640.73,61915,2020-10-12
640.73,644.46,637.0,637.75,73770,2020-10-13
637.0,639.24,634.02,634.77,62327,2020-10-14
637.0,647.44,633.28,636.26,86805,2020-10-15
636.26,636.26,631.79,633.28,56040,2020-10-18
633.28,639.24,631.79,636.26,31986,2020-10-19
667.55,667.55,633.28,637.75,25869,2020-10-20
637.0,642.97,634.77,638.5,29569,2020-10-21
644.46,644.46,635.51,637.75,38551,2020-10-22
634.02,647.44,633.28,645.95,52226,2020-10-28
651.91,656.38,641.48,644.46,51890,2020-10-29
644.46,647.44,639.24,639.24,38398,2020-11-01
639.24,646.69,633.28,641.48,68958,2020-11-02
642.22,647.44,638.5,642.97,47681,2020-11-03
642.22,642.97,639.24,641.48,38848,2020-11-04
639.99,644.46,637.75,639.24,81104,2020-11-05
639.24,674.26,639.24,666.06,291323,2020-11-08
673.51,724.92,670.53,721.94,583920,2020-11-09
745.04,745.04,708.53,715.98,292752,2020-11-10
715.98,727.9,708.53,718.21,156439,2020-11-11
718.21,738.33,715.23,732.37,292250,2020-11-12
732.37,777.82,715.98,772.6,337844,2020-11-18
772.6,832.95,772.6,826.99,377799,2020-11-19
856.79,894.79,825.5,847.85,503987,2020-11-22
856.79,858.28,836.67,839.65,258335,2020-11-23
841.89,867.97,834.44,863.5,224480,2020-11-24
864.24,949.17,856.79,949.17,238782,2020-11-25
996.11,1033.36,949.92,997.6,429237,2020-11-26
1016.97,1043.05,979.72,1021.44,378894,2020-11-29
1035.6,1102.65,1025.17,1083.28,261344,2020-11-30
1117.55,1191.31,1072.85,1191.31,430735,2020-12-01
1229.31,1309.77,1229.31,1309.77,82125,2020-12-02
1333.61,1367.88,1256.13,1292.64,635845,2020-12-03
1266.56,1266.56,1163.74,1163.74,714611,2020-12-06
1139.9,1244.21,1057.95,1214.41,686860,2020-12-07
1229.31,1257.62,1177.16,1195.78,278048,2020-12-08
1184.61,1194.29,1125.0,1147.35,274375,2020-12-09
1095.2,1175.67,1095.2,1154.06,228363,2020-12-10
1154.06,1170.45,1133.94,1153.31,232349,2020-12-13
1153.31,1233.03,1153.31,1230.05,286350,2020-12-14
