open,high,low,close,volume,date
250.4,275.4,250.4,275.4,62033.0,2023-08-06 05:45:00
280.8,302.9,275.0,302.9,277924.0,2023-08-07 20:45:00
308.9,333.1,308.9,333.1,61197.0,2023-08-08 20:45:00
339.7,354.7,299.8,306.7,241388.0,2023-08-09 20:45:00
307.0,310.0,295.0,297.0,133080.0,2023-08-10 20:45:00
297.0,299.0,278.6,282.0,108982.0,2023-08-13 20:45:00
276.5,305.0,276.5,296.0,82580.0,2023-08-14 20:45:00
291.0,293.0,284.0,285.0,42304.0,2023-08-15 20:45:00
280.0,285.0,277.0,278.0,45046.0,2023-08-16 20:45:00
278.0,285.6,275.0,278.0,46745.0,2023-08-17 20:45:00
273.0,278.0,267.5,267.5,40091.0,2023-08-20 20:45:00
265.0,279.7,261.0,264.8,33941.0,2023-08-21 20:45:00
261.0,270.0,261.0,267.5,37619.0,2023-08-22 20:45:00
269.7,275.0,264.5,272.8,35734.0,2023-08-23 20:45:00
270.0,274.0,259.7,263.0,57178.0,2023-08-24 20:45:00
263.0,263.0,250.5,255.0,42053.0,2023-08-27 20:44:00
260.0,265.0,249.6,251.1,36339.0,2023-08-28 20:45:00
251.0,255.0,248.8,251.5,22328.0,2023-08-29 20:45:00
251.5,252.0,245.0,245.0,28958.0,2023-08-30 20:45:00
241.0,243.0,233.7,234.0,37133.0,2023-09-03 20:45:00
230.2,244.0,227.4,237.0,40748.0,2023-09-04 20:45:00
237.0,241.5,230.7,233.0,12465.0,2023-09-05 20:45:00
237.0,237.6,225.2,230.0,22644.0,2023-09-07 20:45:00
226.1,234.0,225.3,229.5,24418.0,2023-09-10 20:45:00
227.0,243.0,227.0,241.0,27163.0,2023-09-11 20:44:00
238.0,245.0,230.7,234.9,27030.0,2023-09-12 20:45:00
238.0,244.0,231.6,240.2,26892.0,2023-09-13 20:45:00
236.2,237.0,230.6,233.0,20730.0,2023-09-17 20:45:00
228.4,244.0,228.4,234.2,11910.0,2023-09-18 20:45:00
231.0,239.8,231.0,237.4,14010.0,2023-09-19 20:45:00
242.0,255.0,240.0,249.0,83534.0,2023-09-21 20:45:00
244.5,261.5,244.2,255.0,68730.0,2023-09-24 20:45:00
