open,high,low,close,volume,date
283.35,311.13,283.35,311.13,62637.0,2020-08-26 05:45:00
325.95,341.69,325.95,341.69,28550.0,2020-08-27 05:45:00
393.54,412.07,393.54,412.07,75618.0,2020-08-31 20:45:00
432.44,452.81,432.44,452.81,26975.0,2020-09-02 20:45:00
475.03,497.26,475.03,497.26,44505.0,2020-09-03 20:45:00
521.33,546.33,448.18,448.18,49953.0,2020-09-06 20:45:00
425.95,425.95,403.73,403.73,7815.0,2020-09-07 20:45:00
384.29,384.29,363.91,363.91,10210.0,2020-09-08 20:45:00
346.32,346.32,327.8,327.8,14498.0,2020-09-09 20:45:00
312.06,360.21,295.39,360.21,82495.0,2020-09-10 22:45:00
377.8,395.4,377.8,395.4,71164.0,2020-09-13 23:00:00
414.85,422.25,370.4,385.21,111279.0,2020-09-14 20:45:00
403.73,403.73,370.4,377.8,35699.0,2020-09-15 20:45:00
377.8,381.5,370.4,375.95,28882.0,2020-09-16 20:45:00
371.32,375.03,368.54,371.32,32639.0,2020-09-17 20:45:00
365.76,366.7,356.5,358.36,37140.0,2020-09-20 20:45:00
342.62,351.88,342.62,343.54,45446.0,2020-09-21 20:45:00
338.91,339.84,331.5,337.06,42439.0,2020-09-22 20:45:00
331.5,357.43,328.72,347.25,26060.0,2020-09-23 20:45:00
347.25,351.88,341.69,347.25,19135.0,2020-09-24 20:45:00
343.54,346.32,337.06,340.76,16779.0,2020-09-27 20:45:00
325.02,341.69,325.02,337.99,17357.0,2020-09-28 20:45:00
334.29,338.91,331.5,332.43,31940.0,2020-09-29 20:45:00
328.72,333.35,328.72,330.58,24501.0,2020-09-30 20:45:00
325.95,349.1,325.95,332.43,30235.0,2020-10-01 20:45:00
332.43,340.76,329.66,335.21,23885.0,2020-10-04 20:45:00
330.58,336.13,330.58,331.5,15312.0,2020-10-05 20:45:00
337.99,337.99,328.72,330.58,14188.0,2020-10-06 20:45:00
325.95,343.54,325.95,343.54,25735.0,2020-10-07 20:45:00
337.06,343.54,332.43,333.35,15029.0,2020-10-08 20:45:00
337.99,342.62,325.02,330.58,9160.0,2020-10-11 20:45:00
327.8,330.58,326.88,327.8,12798.0,2020-10-12 20:45:00
324.1,331.5,324.1,327.8,10920.0,2020-10-13 20:45:00
325.95,326.88,319.47,324.1,17455.0,2020-10-14 20:45:00
324.1,328.72,321.31,324.1,10859.0,2020-10-15 20:45:00
318.54,324.1,316.69,320.39,7510.0,2020-10-18 20:45:00
316.69,334.29,316.69,321.31,7050.0,2020-10-19 20:45:00
317.62,333.35,317.62,326.88,5910.0,2020-10-20 20:45:00
333.35,337.06,324.1,326.88,14264.0,2020-10-21 20:45:00
320.39,333.35,320.39,325.95,7400.0,2020-10-22 20:45:00
319.47,326.88,319.47,325.02,8865.0,2020-10-28 20:45:00
314.84,326.88,314.84,324.1,16375.0,2020-10-29 20:45:00
324.1,327.8,315.76,322.25,11915.0,2020-11-01 20:45:00
316.69,324.1,316.69,321.31,11672.0,2020-11-02 20:45:00
315.76,324.1,315.76,319.47,9276.0,2020-11-03 20:45:00
324.1,324.1,317.62,321.31,10345.0,2020-11-04 20:45:00
328.72,328.72,316.69,316.69,12990.0,2020-11-05 20:45:00
314.84,319.47,314.84,316.69,20365.0,2020-11-08 20:45:00
319.47,338.91,316.69,326.88,31120.0,2020-11-09 20:45:00
328.72,333.35,324.1,326.88,13169.0,2020-11-10 20:45:00
321.31,357.43,321.31,346.32,47089.0,2020-11-11 20:45:00
351.88,351.88,332.43,335.21,36770.0,2020-11-12 20:45:00
335.21,344.47,333.35,337.06,16120.0,2020-11-18 20:45:00
342.62,370.4,334.29,370.4,91460.0,2020-11-19 20:45:00
379.66,400.03,366.7,379.66,131695.0,2020-11-22 20:45:00
378.73,381.5,370.4,370.4,53791.0,2020-11-23 20:45:00
370.4,396.32,366.7,383.36,60737.0,2020-11-24 20:45:00
386.13,387.99,374.1,376.88,26073.0,2020-11-25 20:45:00
379.66,382.44,371.32,371.32,36175.0,2020-11-26 20:45:00
371.32,376.88,362.07,366.7,35687.0,2020-11-29 20:45:00
365.76,375.95,361.13,366.7,29525.0,2020-11-30 20:45:00
361.13,383.36,360.21,361.13,53218.0,2020-12-01 20:45:00
358.36,383.36,358.36,375.95,42450.0,2020-12-02 20:45:00
375.95,381.5,364.84,364.84,25261.0,2020-12-03 20:45:00
359.29,368.54,348.17,348.17,27859.0,2020-12-06 20:45:00
348.17,360.21,334.29,356.5,27595.0,2020-12-07 20:45:00
350.03,359.29,348.17,349.1,20395.0,2020-12-08 20:45:00
351.88,355.58,340.76,341.69,23613.0,2020-12-09 20:45:00
337.06,350.03,336.13,347.25,25032.0,2020-12-10 20:45:00
347.25,350.03,340.76,346.32,12307.0,2020-12-13 20:45:00
343.54,371.32,343.54,359.29,35339.0,2020-12-14 20:45:00
369.47,369.47,352.8,354.66,14719.0,2020-12-15 20:45:00
354.66,366.7,350.03,356.5,27715.0,2020-12-16 20:45:00
351.88,354.66,347.25,351.88,21419.0,2020-12-17 20:45:00
351.88,351.88,335.21,335.21,22946.0,2020-12-20 20:45:00
324.1,350.95,317.62,333.35,26187.0,2020-12-21 20:45:00
333.35,344.47,333.35,337.99,17075.0,2020-12-22 20:45:00
333.35,341.69,333.35,334.29,14146.0,2020-12-23 20:45:00
331.5,337.99,331.5,337.99,13890.0,2020-12-24 20:45:00
331.5,344.47,329.66,336.13,13888.0,2020-12-27 20:45:00
333.35,337.06,327.8,330.58,13711.0,2020-12-28 20:45:00
324.1,330.58,324.1,327.8,21711.0,2020-12-29 20:45:00
324.1,327.8,321.31,325.95,12130.0,2020-12-30 20:45:00
324.1,336.13,322.25,331.5,22469.0,2020-12-31 20:45:00
333.35,333.35,326.88,330.58,12650.0,2021-01-03 20:45:00
327.8,333.35,326.88,326.88,17949.0,2021-01-04 20:45:00
325.02,350.95,325.02,336.13,15817.0,2021-01-05 20:45:00
336.13,342.62,330.58,333.35,11669.0,2021-01-06 20:45:00
337.99,337.99,329.66,332.43,16731.0,2021-01-07 20:45:00
316.69,339.84,316.69,333.35,17040.0,2021-01-10 20:45:00
329.66,337.99,329.66,333.35,10006.0,2021-01-11 20:45:00
327.8,337.06,327.8,330.58,12711.0,2021-01-12 20:45:00
330.58,342.62,330.58,336.13,20810.0,2021-01-13 20:45:00
336.13,342.62,336.13,340.76,14000.0,2021-01-17 20:45:00
344.47,346.32,338.91,339.84,15699.0,2021-01-18 20:45:00
351.88,351.88,335.21,337.99,11981.0,2021-01-19 20:45:00
333.35,338.91,331.5,336.13,12175.0,2021-01-20 20:45:00
335.21,337.99,333.35,336.13,22388.0,2021-01-21 20:45:00
320.39,356.5,320.39,351.88,57206.0,2021-01-24 20:45:00
368.57,385.71,361.9,378.1,104438.0,2021-01-25 20:45:00
385.71,385.71,366.67,371.43,36977.0,2021-01-26 20:45:00
378.1,378.1,366.67,371.43,27180.0,2021-01-27 20:45:00
366.67,368.57,358.1,359.05,30167.0,2021-01-28 20:45:00
361.9,361.9,348.57,349.52,13041.0,2021-01-31 20:45:00
347.62,356.19,347.62,353.33,18475.0,2021-02-01 20:45:00
353.33,375.24,347.62,364.76,21730.0,2021-02-02 20:45:00
363.81,367.62,353.33,355.24,24762.0,2021-02-03 20:45:00
350.48,370.48,350.48,352.38,25484.0,2021-02-04 20:45:00
352.38,371.43,352.38,365.71,46422.0,2021-02-07 20:45:00
383.81,383.81,370.48,374.29,54159.0,2021-02-08 20:45:00
392.38,392.38,366.67,368.57,14213.0,2021-02-09 20:45:00
372.38,373.33,363.81,364.76,20933.0,2021-02-10 20:45:00
363.81,395.24,363.81,373.33,75146.0,2021-02-11 20:45:00
380.0,389.52,373.33,382.86,54121.0,2021-02-14 20:45:00
401.9,409.52,383.81,389.52,66975.0,2021-02-15 20:45:00
408.57,408.57,380.95,384.76,33917.0,2021-02-16 20:45:00
367.62,395.24,367.62,384.76,34278.0,2021-02-17 20:45:00
390.48,390.48,378.1,382.86,27108.0,2021-02-18 20:45:00
382.86,383.81,377.14,380.95,35448.0,2021-02-21 20:45:00
400.0,400.0,373.33,375.24,17319.0,2021-02-22 20:45:00
380.95,380.95,365.71,372.38,17091.0,2021-02-23 20:45:00
390.48,390.48,368.57,376.19,16717.0,2021-02-24 20:45:00
369.52,376.19,366.67,369.52,19259.0,2021-02-25 20:45:00
387.62,387.62,353.33,359.05,21003.0,2021-02-28 20:45:00
355.24,380.0,354.29,366.67,18181.0,2021-03-01 20:45:00
371.43,378.1,357.14,360.0,10515.0,2021-03-02 20:45:00
357.14,361.9,351.43,356.19,15330.0,2021-03-03 20:45:00
355.24,376.19,351.43,369.52,17820.0,2021-03-04 20:45:00
380.95,386.67,360.0,373.33,55061.0,2021-03-07 20:45:00
366.67,388.57,366.67,387.62,102605.0,2021-03-09 20:45:00
390.48,425.71,384.76,421.9,186944.0,2021-03-10 20:45:00
419.05,426.67,398.1,401.9,69821.0,2021-03-14 20:45:00
381.9,404.76,381.9,394.29,43605.0,2021-03-15 20:45:00
394.29,399.05,384.76,388.57,23670.0,2021-03-16 20:45:00
396.19,408.57,381.9,407.62,27462.0,2021-03-17 20:45:00
407.62,408.57,396.19,397.14,42324.0,2021-03-18 20:45:00
409.52,411.43,388.57,408.57,73417.0,2021-03-21 20:45:00
404.76,416.19,397.14,412.38,63466.0,2021-03-22 20:45:00
411.43,417.14,400.0,406.67,32992.0,2021-03-23 20:45:00
403.81,441.9,403.81,440.0,100648.0,2021-03-24 20:45:00
445.71,460.95,431.43,457.14,112186.0,2021-03-25 20:45:00
452.38,465.71,440.0,446.67,76301.0,2021-03-29 20:45:00
439.05,466.67,439.05,448.57,52075.0,2021-03-30 20:45:00
452.38,460.95,441.9,442.86,67356.0,2021-03-31 20:45:00
457.14,457.14,429.52,433.33,85244.0,2021-04-01 20:45:00
433.33,447.62,428.57,441.9,35744.0,2021-04-04 20:45:00
463.81,463.81,439.05,448.57,50112.0,2021-04-05 20:45:00
444.76,449.52,436.19,442.86,62295.0,2021-04-06 20:45:00
447.62,459.05,441.9,441.9,49169.0,2021-04-07 20:45:00
441.9,478.1,437.14,471.43,189926.0,2021-04-08 20:45:00
478.1,515.24,473.33,508.57,165457.0,2021-04-12 20:45:00
514.29,514.29,485.71,490.48,146411.0,2021-04-13 20:45:00
490.48,504.76,480.95,503.81,67886.0,2021-04-15 20:45:00
504.76,545.71,503.81,533.33,240631.0,2021-04-18 20:45:00
549.52,582.86,523.81,560.0,130361.0,2021-04-19 20:45:00
587.62,587.62,540.95,551.43,75149.0,2021-04-20 20:45:00
554.29,557.14,530.48,531.43,98586.0,2021-04-21 20:45:00
533.33,580.95,523.81,560.0,123979.0,2021-04-22 20:45:00
585.71,585.71,528.57,540.95,109178.0,2021-04-25 20:45:00
530.48,563.81,520.0,530.48,55782.0,2021-04-26 20:45:00
528.57,562.86,528.57,548.57,63691.0,2021-04-27 20:45:00
552.38,561.9,539.05,547.62,28518.0,2021-04-28 20:45:00
524.76,590.48,524.76,587.62,134681.0,2021-04-29 20:45:00
587.62,619.05,576.19,600.0,108416.0,2021-05-02 20:45:00
600.0,604.76,579.05,587.62,92583.0,2021-05-03 20:45:00
590.48,598.1,571.43,590.48,75803.0,2021-05-04 20:45:00
590.48,640.95,581.9,624.76,110756.0,2021-05-05 20:45:00
624.76,635.24,606.67,607.62,75547.0,2021-05-06 20:45:00
637.14,637.14,588.57,591.43,104797.0,2021-05-09 20:45:00
600.0,609.52,580.95,596.19,59445.0,2021-05-10 20:45:00
625.71,649.52,590.48,647.62,213992.0,2021-05-11 20:45:00
647.62,712.38,642.86,710.48,191016.0,2021-05-12 20:45:00
733.33,780.95,712.38,752.38,123357.0,2021-05-13 20:45:00
761.9,761.9,696.19,726.67,282308.0,2021-05-16 20:45:00
726.67,768.57,719.05,761.9,147775.0,2021-05-17 20:45:00
