open,high,low,close,volume,date
10.0,10.0,9.9,10.0,1100.0,2023-04-03 05:45:00
9.85,9.85,9.85,9.85,500.0,2023-04-04 20:45:00
9.66,9.66,9.66,9.66,100.0,2023-04-19 20:45:00
9.47,9.47,8.69,8.69,4400.0,2023-04-20 20:45:00
8.52,8.52,7.87,8.06,8190.0,2023-04-23 20:45:00
7.9,7.9,7.31,7.66,2950.0,2023-04-24 20:45:00
7.7,7.95,7.7,7.84,2800.0,2023-04-25 20:45:00
7.69,7.85,7.69,7.79,5950.0,2023-04-26 20:45:00
7.64,7.86,7.64,7.8,4325.0,2023-04-27 20:45:00
7.95,8.1,7.8,8.06,5100.0,2023-04-30 20:45:00
8.06,8.23,8.06,8.08,3400.0,2023-05-02 20:45:00
7.99,8.01,7.94,8.01,6800.0,2023-05-03 20:45:00
7.86,8.48,7.85,8.32,10650.0,2023-05-04 20:45:00
8.32,8.32,8.16,8.16,2175.0,2023-05-07 20:45:00
8.0,8.29,7.87,8.29,5100.0,2023-05-08 20:45:00
8.13,8.13,8.13,8.13,400.0,2023-05-09 20:45:00
8.12,8.13,7.99,7.99,1800.0,2023-05-10 20:45:00
7.84,8.0,7.84,7.88,5575.0,2023-05-11 20:45:00
7.88,8.03,7.88,8.03,1000.0,2023-05-14 20:45:00
7.87,7.88,7.87,7.88,300.0,2023-05-15 20:45:00
7.8,7.82,7.8,7.82,700.0,2023-05-16 20:45:00
7.97,8.25,7.93,8.1,2525.0,2023-05-17 20:45:00
7.97,8.12,7.97,8.03,2800.0,2023-05-18 20:45:00
8.03,8.03,7.89,7.95,1600.0,2023-05-21 20:45:00
7.81,8.0,7.81,8.0,425.0,2023-05-22 20:45:00
8.16,8.79,8.16,8.5,2400.0,2023-05-23 20:45:00
8.33,8.33,8.21,8.22,1400.0,2023-05-24 20:45:00
8.22,8.22,8.12,8.21,3300.0,2023-05-28 20:45:00
8.37,8.56,8.15,8.25,6300.0,2023-05-30 20:45:00
8.3,8.3,8.15,8.21,1404.0,2023-05-31 20:45:00
