open,high,low,close,volume,date
14.69,14.69,14.69,14.69,20.0,2011-08-07 05:45:00
14.45,14.45,14.45,14.45,32.0,2011-08-10 05:45:00
14.19,14.19,14.19,14.19,151.0,2011-08-11 05:45:00
13.94,13.94,13.69,13.69,139.0,2011-08-15 05:45:00
13.44,13.44,13.44,13.44,17.0,2011-08-16 05:45:00
13.19,13.19,13.19,13.19,130.0,2011-08-17 05:45:00
13.19,13.19,13.19,13.19,154.0,2011-08-22 05:45:00
13.19,13.19,13.19,13.19,6.0,2011-08-26 05:45:00
12.94,12.94,12.94,12.94,74.0,2011-09-04 05:45:00
12.69,12.69,12.69,12.69,204.0,2011-09-27 05:45:00
12.44,12.44,12.44,12.44,230.0,2011-10-13 05:45:00
12.25,12.25,12.25,12.25,13.0,2011-10-24 05:45:00
12.19,12.19,12.19,12.19,1.0,2011-11-25 05:45:00
12.25,12.25,11.32,11.32,102.0,2011-12-01 05:45:00
12.45,12.45,12.45,12.45,20.0,2012-03-04 05:45:00
12.25,12.25,12.25,12.25,370.0,2012-04-03 05:45:00
12.04,12.04,12.04,12.04,20.0,2012-04-12 05:45:00
12.04,12.04,12.04,12.04,30.0,2012-04-16 05:45:00
12.25,12.25,12.25,12.25,363.0,2012-04-19 05:45:00
12.25,12.25,12.25,12.25,345.0,2012-04-29 05:45:00
12.45,12.45,12.45,12.45,58.0,2012-05-09 05:45:00
12.25,12.25,12.04,12.04,621.0,2012-05-24 05:45:00
11.84,11.84,11.84,11.84,47.0,2012-06-06 05:45:00
12.04,12.04,11.44,11.44,579.0,2012-06-14 05:45:00
11.44,11.44,11.44,11.44,29.0,2012-06-17 05:45:00
11.3,11.3,11.3,11.3,13.0,2012-06-19 05:45:00
11.09,11.09,11.09,11.09,21.0,2012-07-02 05:45:00
10.9,10.9,10.7,10.9,114.0,2012-07-17 05:45:00
10.83,10.83,10.83,10.83,212.0,2012-07-22 05:45:00
10.83,10.83,10.83,10.83,83.0,2012-07-26 05:45:00
10.62,10.62,10.62,10.62,14.0,2012-07-30 05:45:00
10.42,10.42,10.42,10.42,392.0,2012-08-12 05:45:00
