open,high,low,close,volume,date
37.7,37.7,37.7,37.7,10.0,2011-07-26 05:45:00
37.28,37.28,37.28,37.28,70.0,2011-07-28 05:45:00
37.28,37.28,37.28,37.28,680.0,2011-08-02 05:45:00
37.28,37.28,37.28,37.28,150.0,2011-08-03 05:45:00
36.87,37.28,35.62,35.62,5800.0,2011-08-07 05:45:00
35.21,35.21,35.21,35.21,100.0,2011-08-17 05:45:00
34.79,34.79,34.38,34.38,170.0,2011-08-22 05:45:00
33.96,33.96,33.55,33.55,120.0,2011-08-24 05:45:00
33.96,34.38,33.96,34.38,30.0,2011-08-25 05:45:00
34.79,34.79,33.96,33.96,100.0,2011-08-28 05:45:00
33.55,33.55,33.55,33.55,1350.0,2011-09-08 05:45:00
33.55,33.55,33.13,33.13,100.0,2011-09-14 05:45:00
33.55,33.55,33.55,33.55,640.0,2011-09-15 05:45:00
33.13,33.13,30.24,30.24,5970.0,2011-09-18 05:45:00
29.82,29.82,29.41,29.41,150.0,2011-09-21 05:45:00
29.41,29.41,29.41,29.41,40.0,2011-09-22 05:45:00
28.99,28.99,28.99,28.99,70.0,2011-09-26 05:45:00
29.41,29.41,29.41,29.41,630.0,2011-10-09 05:45:00
28.99,28.99,28.58,28.58,170.0,2011-10-10 05:45:00
28.58,28.58,28.16,28.16,910.0,2011-10-12 05:45:00
28.16,28.16,28.16,28.16,20.0,2011-10-16 05:45:00
27.75,27.75,27.75,27.75,210.0,2011-10-17 05:45:00
27.33,27.33,25.69,25.69,690.0,2011-10-19 05:45:00
26.1,26.1,26.1,26.1,20.0,2011-10-20 05:45:00
26.1,26.1,25.27,25.27,260.0,2011-10-23 05:45:00
25.69,26.5,25.69,26.1,290.0,2011-10-24 05:45:00
26.1,26.1,26.1,26.1,70.0,2011-10-30 05:45:00
26.5,26.5,26.5,26.5,20.0,2011-11-03 05:45:00
26.1,26.1,26.1,26.1,40.0,2011-11-08 05:45:00
26.5,28.58,26.5,28.16,470.0,2011-11-13 05:45:00
27.75,27.75,27.75,27.75,20.0,2011-11-17 05:45:00
28.16,28.16,28.16,28.16,70.0,2011-11-20 05:45:00
28.58,28.99,28.58,28.99,40.0,2011-11-21 05:45:00
29.41,29.41,28.99,28.99,990.0,2011-11-22 05:45:00
29.41,29.41,29.41,29.41,10.0,2011-11-23 05:45:00
29.82,29.82,29.82,29.82,90.0,2011-11-24 05:45:00
29.82,29.82,29.82,29.82,1150.0,2011-11-27 05:45:00
30.24,31.48,30.24,31.07,310.0,2011-11-29 05:45:00
30.65,30.65,30.65,30.65,370.0,2011-11-30 05:45:00
31.07,31.07,31.07,31.07,20.0,2011-12-01 05:45:00
30.65,30.65,30.24,30.24,230.0,2011-12-04 05:45:00
29.82,29.82,29.82,29.82,40.0,2011-12-05 05:45:00
30.24,30.24,30.24,30.24,90.0,2011-12-07 05:45:00
29.82,30.24,29.82,30.24,230.0,2011-12-12 05:45:00
30.65,31.07,30.65,31.07,60.0,2011-12-13 05:45:00
31.48,31.48,31.48,31.48,50.0,2011-12-14 05:45:00
31.9,31.9,31.9,31.9,20.0,2011-12-15 05:45:00
31.48,31.48,31.48,31.48,70.0,2011-12-21 05:45:00
31.9,31.9,31.9,31.9,10.0,2011-12-22 05:45:00
31.9,31.9,31.9,31.9,70.0,2011-12-26 05:45:00
32.3,32.3,32.3,32.3,90.0,2011-12-27 05:45:00
32.72,33.13,32.72,33.13,130.0,2011-12-28 05:45:00
32.72,33.13,32.72,33.13,250.0,2011-12-29 05:45:00
33.55,33.55,32.72,32.72,530.0,2012-01-01 05:45:00
32.3,32.72,31.9,31.9,1220.0,2012-01-02 05:45:00
31.48,32.3,31.07,32.3,100.0,2012-01-03 05:45:00
32.72,33.55,32.72,33.55,80.0,2012-01-04 05:45:00
33.96,34.79,33.96,34.79,390.0,2012-01-16 05:45:00
34.38,35.21,34.38,35.21,530.0,2012-01-17 05:45:00
34.79,34.79,34.38,34.38,80.0,2012-01-25 05:45:00
34.79,35.21,34.79,35.21,170.0,2012-01-26 05:45:00
35.21,35.21,35.21,35.21,130.0,2012-02-01 05:45:00
34.79,34.79,34.79,34.79,460.0,2012-02-07 05:45:00
34.38,34.38,34.38,34.38,10.0,2012-02-09 05:45:00
34.38,34.79,34.38,34.38,490.0,2012-02-23 05:45:00
33.96,33.96,33.13,33.13,2440.0,2012-02-26 05:45:00
33.13,33.13,32.72,32.72,1390.0,2012-02-27 05:45:00
32.3,32.3,32.3,32.3,10.0,2012-02-28 05:45:00
31.9,32.3,31.9,32.3,400.0,2012-02-29 05:45:00
31.9,31.9,31.9,31.9,80.0,2012-03-15 05:45:00
31.9,31.9,31.9,31.9,180.0,2012-03-25 05:45:00
31.48,31.48,31.48,31.48,150.0,2012-03-27 05:45:00
31.07,31.07,31.07,31.07,640.0,2012-03-28 05:45:00
31.07,31.07,30.65,30.65,390.0,2012-04-04 05:45:00
30.65,30.65,30.65,30.65,10.0,2012-04-19 05:45:00
30.24,30.24,30.24,30.24,90.0,2012-04-22 05:45:00
30.65,30.65,30.65,30.65,40.0,2012-05-07 05:45:00
31.07,31.07,31.07,31.07,80.0,2012-05-08 05:45:00
30.65,30.65,30.65,30.65,140.0,2012-05-10 05:45:00
30.24,30.24,30.24,30.24,210.0,2012-05-20 05:45:00
30.65,31.9,30.65,31.9,100.0,2012-05-21 05:45:00
32.3,33.55,32.3,33.55,150.0,2012-05-22 05:45:00
33.96,35.62,33.96,35.62,2060.0,2012-05-23 05:45:00
35.21,35.21,35.21,35.21,40.0,2012-05-24 05:45:00
34.79,36.04,34.79,35.62,1270.0,2012-05-29 05:45:00
36.04,38.52,36.04,38.52,1920.0,2012-05-30 05:45:00
38.1,38.1,38.1,38.1,890.0,2012-06-03 05:45:00
37.7,38.1,37.28,38.1,1380.0,2012-06-04 05:45:00
38.52,38.52,38.1,38.1,730.0,2012-06-05 05:45:00
38.52,38.93,38.1,38.52,1060.0,2012-06-06 05:45:00
38.52,38.93,38.52,38.52,1610.0,2012-06-07 05:45:00
38.52,38.93,38.1,38.52,3160.0,2012-06-10 05:45:00
38.52,38.52,38.1,38.52,100.0,2012-06-11 05:45:00
38.93,38.93,38.52,38.52,1140.0,2012-06-12 05:45:00
38.1,38.52,38.1,38.52,340.0,2012-06-13 05:45:00
38.52,38.52,38.52,38.52,760.0,2012-06-14 05:45:00
38.93,38.93,38.52,38.52,1080.0,2012-06-17 05:45:00
38.1,38.1,38.1,38.1,490.0,2012-06-18 05:45:00
38.1,38.1,38.1,38.1,80.0,2012-06-19 05:45:00
37.7,37.7,37.7,37.7,80.0,2012-06-21 05:45:00
37.28,37.28,36.87,36.87,760.0,2012-06-26 05:45:00
37.28,37.28,37.28,37.28,150.0,2012-06-27 05:45:00
36.87,36.87,36.87,36.87,70.0,2012-06-28 05:45:00
36.45,36.45,36.45,36.45,140.0,2012-07-01 05:45:00
36.04,36.04,36.04,36.04,1180.0,2012-07-04 05:45:00
35.62,35.62,35.62,35.62,80.0,2012-07-05 05:45:00
35.21,35.21,34.79,34.79,720.0,2012-07-08 05:45:00
34.38,34.38,34.38,34.38,40.0,2012-07-09 05:45:00
33.96,33.96,33.13,33.13,790.0,2012-07-11 05:45:00
32.72,32.72,32.72,32.72,680.0,2012-07-12 05:45:00
33.13,33.13,33.13,33.13,130.0,2012-07-17 05:45:00
33.13,33.13,33.13,33.13,60.0,2012-07-18 05:45:00
33.13,33.13,33.13,33.13,90.0,2012-07-22 05:45:00
32.72,33.13,32.72,33.13,410.0,2012-07-24 05:45:00
32.72,32.72,32.72,32.72,40.0,2012-07-30 05:45:00
32.3,32.72,32.3,32.3,260.0,2012-08-01 05:45:00
31.9,31.9,31.9,31.9,90.0,2012-08-05 05:45:00
31.48,31.48,31.48,31.48,10.0,2012-08-07 05:45:00
31.9,31.9,31.9,31.9,70.0,2012-08-08 05:45:00
31.48,31.48,31.48,31.48,30.0,2012-08-12 05:45:00
31.48,31.48,31.48,31.48,240.0,2012-08-13 05:45:00
31.9,31.9,31.9,31.9,40.0,2012-08-14 05:45:00
32.3,32.3,32.3,32.3,60.0,2012-08-15 05:45:00
31.9,31.9,31.9,31.9,140.0,2012-08-22 05:45:00
31.9,32.3,31.9,32.3,1240.0,2012-08-23 05:45:00
32.72,32.72,32.72,32.72,10.0,2012-08-26 05:45:00
32.72,33.13,32.72,33.13,170.0,2012-08-27 05:45:00
33.55,33.55,33.13,33.13,550.0,2012-08-28 05:45:00
33.55,34.38,33.55,34.38,300.0,2012-08-29 05:45:00
34.38,34.79,34.38,34.79,140.0,2012-08-30 05:45:00
34.38,34.79,34.38,34.38,170.0,2012-09-02 05:45:00
34.79,35.21,34.79,34.79,60.0,2012-09-04 05:45:00
35.21,35.21,35.21,35.21,30.0,2012-09-05 05:45:00
34.79,34.79,34.79,34.79,20.0,2012-09-09 05:45:00
35.21,35.21,35.21,35.21,40.0,2012-09-11 05:45:00
35.21,35.21,35.21,35.21,460.0,2012-09-12 05:45:00
35.62,35.62,35.62,35.62,40.0,2012-09-13 05:45:00
35.62,35.62,35.62,35.62,40.0,2012-09-16 05:45:00
36.04,36.87,36.04,36.87,160.0,2012-09-17 05:45:00
36.87,36.87,36.87,36.87,150.0,2012-09-18 05:45:00
37.28,37.28,37.28,37.28,20.0,2012-09-19 05:45:00
37.7,38.1,37.7,38.1,220.0,2012-09-20 05:45:00
38.1,38.1,38.1,38.1,30.0,2012-09-23 05:45:00
38.1,38.1,38.1,38.1,310.0,2012-09-24 05:45:00
38.52,38.52,38.52,38.52,210.0,2012-09-25 05:45:00
38.93,39.35,38.93,39.35,280.0,2012-09-26 05:45:00
39.76,40.18,39.76,40.18,80.0,2012-09-30 05:45:00
40.59,40.59,40.18,40.59,200.0,2012-10-01 05:45:00
40.18,40.18,40.18,40.18,280.0,2012-10-02 05:45:00
40.59,41.01,40.59,41.01,320.0,2012-10-03 05:45:00
41.01,41.01,41.01,41.01,70.0,2012-10-07 05:45:00
41.01,41.01,41.01,41.01,70.0,2012-10-08 05:45:00
40.59,40.59,40.59,40.59,20.0,2012-10-09 05:45:00
41.01,41.01,41.01,41.01,210.0,2012-10-10 05:45:00
41.01,41.01,41.01,41.01,40.0,2012-10-11 05:45:00
41.42,41.42,41.42,41.42,930.0,2012-10-14 05:45:00
41.42,42.25,41.42,41.84,450.0,2012-10-15 05:45:00
41.42,41.42,41.42,41.42,150.0,2012-10-17 05:45:00
41.42,41.42,41.42,41.42,150.0,2012-10-30 05:45:00
41.42,41.42,41.42,41.42,200.0,2012-10-31 05:45:00
41.84,41.84,41.84,41.84,20.0,2012-11-01 05:45:00
41.42,41.42,41.42,41.42,110.0,2012-11-04 05:45:00
41.84,42.25,41.84,42.25,540.0,2012-11-05 05:45:00
41.84,41.84,41.84,41.84,210.0,2012-11-06 05:45:00
42.67,42.67,42.67,42.67,40.0,2012-11-07 05:45:00
42.67,45.15,42.67,45.15,180.0,2012-11-08 05:45:00
45.15,46.81,45.15,46.81,160.0,2012-11-11 05:45:00
46.81,47.64,46.81,47.64,620.0,2012-11-18 05:45:00
48.47,48.47,48.47,48.47,120.0,2012-11-20 05:45:00
47.64,47.64,47.64,47.64,40.0,2012-11-21 05:45:00
47.64,48.05,47.64,47.64,470.0,2012-11-22 05:45:00
48.47,48.47,48.47,48.47,120.0,2012-11-25 05:45:00
47.64,48.47,47.64,48.05,450.0,2012-11-27 05:45:00
47.22,48.05,47.22,48.05,410.0,2012-11-28 05:45:00
47.22,48.88,47.22,48.05,570.0,2012-11-29 05:45:00
47.22,47.22,47.22,47.22,420.0,2012-12-04 05:45:00
46.81,46.81,46.39,46.39,40.0,2012-12-05 05:45:00
45.56,46.81,45.56,46.81,750.0,2012-12-06 05:45:00
45.98,45.98,45.98,45.98,130.0,2012-12-09 05:45:00
45.98,45.98,45.98,45.98,160.0,2012-12-10 05:45:00
46.39,47.64,46.39,46.81,1350.0,2012-12-11 05:45:00
45.98,45.98,45.98,45.98,300.0,2012-12-12 05:45:00
46.39,46.39,46.39,46.39,20.0,2012-12-13 05:45:00
45.98,46.81,45.98,45.98,140.0,2012-12-16 05:45:00
46.39,47.22,46.39,47.22,740.0,2012-12-17 05:45:00
46.39,47.22,46.39,46.81,1280.0,2012-12-18 05:45:00
46.81,46.81,45.98,45.98,540.0,2012-12-19 05:45:00
45.98,47.22,45.98,47.22,2040.0,2012-12-20 05:45:00
46.39,48.05,46.39,48.05,220.0,2012-12-23 05:45:00
48.88,49.7,48.88,48.88,2840.0,2012-12-26 05:45:00
48.88,48.88,48.05,48.47,160.0,2012-12-27 05:45:00
47.64,47.64,47.64,47.64,90.0,2012-12-31 05:45:00
46.81,46.81,46.81,46.81,20.0,2013-01-01 05:45:00
45.98,46.39,45.56,46.39,1460.0,2013-01-02 05:45:00
47.22,48.05,47.22,48.05,190.0,2013-01-03 05:45:00
47.64,47.64,47.64,47.64,130.0,2013-01-06 05:45:00
47.64,48.88,47.64,48.88,200.0,2013-01-07 05:45:00
48.88,48.88,48.05,48.05,660.0,2013-01-08 05:45:00
48.05,48.88,48.05,48.05,340.0,2013-01-09 05:45:00
48.05,49.7,48.05,49.3,680.0,2013-01-10 05:45:00
50.53,50.53,50.53,50.53,40.0,2013-01-13 05:45:00
50.12,50.53,50.12,50.53,450.0,2013-01-15 05:45:00
50.12,50.53,50.12,50.53,40.0,2013-01-16 05:45:00
50.95,50.95,50.95,50.95,70.0,2013-01-17 05:45:00
50.53,50.53,50.53,50.53,20.0,2013-01-20 05:45:00
50.95,52.19,50.95,51.36,3170.0,2013-01-21 05:45:00
51.77,51.77,51.77,51.77,210.0,2013-01-22 05:45:00
51.36,53.43,51.36,53.43,1810.0,2013-01-23 05:45:00
52.6,53.43,52.6,53.43,80.0,2013-01-24 05:45:00
54.26,56.74,53.85,56.74,390.0,2013-01-27 05:45:00
57.57,61.71,57.57,61.71,1340.0,2013-01-28 05:45:00
60.89,61.71,57.16,57.16,2430.0,2013-01-30 05:45:00
56.33,56.33,55.5,56.33,360.0,2013-01-31 05:45:00
55.5,55.5,54.68,54.68,1620.0,2013-02-03 05:45:00
54.68,54.68,54.26,54.26,710.0,2013-02-04 05:45:00
53.43,53.43,52.6,53.43,210.0,2013-02-05 05:45:00
52.6,52.6,52.19,52.19,110.0,2013-02-06 05:45:00
51.36,51.36,50.53,50.53,920.0,2013-02-07 05:45:00
49.7,49.7,49.7,49.7,120.0,2013-02-10 05:45:00
49.7,50.53,49.7,50.53,210.0,2013-02-12 05:45:00
50.53,53.02,50.53,53.02,400.0,2013-02-13 05:45:00
52.19,53.02,52.19,52.19,340.0,2013-02-14 05:45:00
53.02,53.02,52.19,52.19,670.0,2013-02-21 05:45:00
52.19,52.19,50.95,51.77,1130.0,2013-02-25 05:45:00
50.95,51.36,50.12,51.36,230.0,2013-02-27 05:45:00
50.53,50.53,46.39,46.39,810.0,2013-03-20 05:45:00
45.56,45.56,45.15,45.56,930.0,2013-03-21 05:45:00
44.73,44.73,44.73,44.73,80.0,2013-03-24 05:45:00
43.9,43.9,43.9,43.9,160.0,2013-03-25 05:45:00
43.9,43.9,43.9,43.9,20.0,2013-03-27 05:45:00
43.08,43.9,43.08,43.5,1210.0,2013-03-28 05:45:00
44.32,44.32,43.9,43.9,260.0,2013-03-31 05:45:00
44.73,44.73,43.9,43.9,350.0,2013-04-01 05:45:00
43.9,45.56,43.9,45.56,370.0,2013-04-02 05:45:00
45.56,47.22,45.56,47.22,950.0,2013-04-03 05:45:00
46.81,46.81,46.39,46.39,110.0,2013-04-04 05:45:00
46.39,46.81,45.98,46.81,180.0,2013-04-07 05:45:00
45.98,46.81,45.98,46.81,160.0,2013-04-08 05:45:00
47.22,47.64,47.22,47.22,290.0,2013-04-09 05:45:00
46.81,47.22,46.39,47.22,280.0,2013-04-11 05:45:00
48.05,48.05,48.05,48.05,60.0,2013-04-15 05:45:00
48.88,48.88,48.88,48.88,210.0,2013-04-16 05:45:00
48.05,48.88,48.05,48.88,40.0,2013-04-17 05:45:00
48.05,50.53,48.05,50.53,210.0,2013-04-18 05:45:00
51.36,51.77,50.95,51.77,190.0,2013-04-21 05:45:00
52.6,55.09,52.6,55.09,260.0,2013-04-22 05:45:00
54.26,54.26,54.26,54.26,500.0,2013-04-23 05:45:00
53.85,55.09,53.85,55.09,220.0,2013-04-25 05:45:00
55.09,55.09,55.09,55.09,480.0,2013-04-28 05:45:00
55.09,55.09,55.09,55.09,690.0,2013-04-29 05:45:00
55.5,59.23,55.5,55.91,2520.0,2013-04-30 05:45:00
