open,high,low,close,volume,date
1000.0,1000.0,1000.0,1000.0,10.0,2022-11-30 05:45:00
1000.0,980.0,904.0,904.0,50.0,2023-04-02 20:45:00
886.0,886.0,813.6,813.6,60.0,2023-04-03 20:45:00
797.4,797.4,732.3,738.0,5235.0,2023-04-04 20:45:00
734.0,740.0,734.0,740.0,165.0,2023-04-05 20:45:00
740.0,740.0,731.1,731.1,85.0,2023-04-06 20:45:00
731.0,740.0,731.0,740.0,110.0,2023-04-09 20:45:00
740.0,742.0,732.2,742.0,125.0,2023-04-10 20:45:00
748.3,748.3,748.3,748.3,50.0,2023-04-12 20:45:00
745.2,745.2,730.0,737.0,725.0,2023-04-13 20:45:00
751.0,751.0,751.0,751.0,200.0,2023-04-16 20:45:00
760.0,760.0,760.0,760.0,25.0,2023-04-17 20:45:00
773.0,775.0,773.0,775.0,85.0,2023-04-18 20:45:00
759.5,770.0,759.5,770.0,50.0,2023-04-19 20:45:00
770.0,770.0,770.0,770.0,50.0,2023-04-20 20:45:00
770.0,770.0,770.0,770.0,25.0,2023-04-23 20:45:00
783.0,785.0,783.0,785.0,50.0,2023-04-24 20:45:00
792.0,810.0,792.0,810.0,225.0,2023-04-30 20:45:00
795.0,795.0,795.0,795.0,10.0,2023-05-09 20:45:00
795.0,795.0,795.0,795.0,122.0,2023-05-10 20:45:00
790.0,790.0,790.0,790.0,25.0,2023-05-11 20:45:00
780.2,780.2,780.2,780.2,25.0,2023-05-14 20:45:00
775.0,775.0,766.1,766.1,125.0,2023-05-17 20:45:00
781.4,781.4,781.4,781.4,25.0,2023-05-18 20:45:00
771.0,771.0,771.0,771.0,200.0,2023-05-28 20:45:00
770.0,770.0,770.0,770.0,75.0,2023-05-31 20:45:00
770.0,770.0,770.0,770.0,25.0,2023-06-04 20:45:00
770.0,770.0,770.0,770.0,50.0,2023-06-05 20:45:00
775.0,775.0,775.0,775.0,25.0,2023-06-12 20:45:00
770.0,771.1,770.0,771.1,50.0,2023-06-18 20:45:00
786.5,786.5,786.5,786.5,25.0,2023-06-19 20:45:00
785.0,785.0,785.0,785.0,25.0,2023-06-22 20:45:00
800.0,811.0,800.0,811.0,100.0,2023-07-02 20:45:00
827.0,827.2,810.7,810.7,55.0,2023-07-03 20:45:00
795.0,810.9,795.0,810.9,35.0,2023-07-05 20:45:00
795.0,802.0,795.0,802.0,197.0,2023-07-06 20:45:00
818.0,818.0,818.0,818.0,10.0,2023-07-09 20:45:00
810.0,810.0,810.0,810.0,40.0,2023-07-10 20:45:00
810.0,810.0,810.0,810.0,15.0,2023-07-11 20:45:00
793.9,793.9,793.9,793.9,15.0,2023-07-13 20:45:00
809.7,809.7,809.7,809.7,25.0,2023-07-16 20:45:00
800.0,810.0,800.0,800.0,175.0,2023-07-18 20:45:00
809.9,810.0,800.0,800.0,350.0,2023-07-20 20:45:00
800.0,805.0,800.0,805.0,50.0,2023-07-23 20:45:00
801.0,801.0,801.0,801.0,50.0,2023-07-27 20:45:00
801.0,801.0,801.0,801.0,50.0,2023-07-30 20:45:00
800.0,800.0,800.0,800.0,99.0,2023-08-01 20:45:00
785.0,785.0,785.0,785.0,80.0,2023-08-06 20:45:00
785.0,785.0,785.0,785.0,50.0,2023-08-15 20:45:00
780.0,780.0,770.0,770.0,75.0,2023-08-16 20:45:00
761.0,775.0,761.0,775.0,50.0,2023-08-17 20:45:00
759.7,765.1,759.7,765.1,45.0,2023-09-04 20:45:00
768.7,768.7,768.7,768.7,25.0,2023-09-11 20:44:00
759.0,759.0,757.0,757.0,50.0,2023-09-13 20:45:00
765.2,765.2,765.0,765.0,128.0,2023-09-17 20:45:00
770.0,770.0,766.1,770.0,110.0,2023-09-24 20:45:00
757.5,760.2,757.5,760.2,48.0,2023-09-25 20:45:00
772.0,772.0,772.0,772.0,25.0,2023-10-04 20:45:00
787.4,802.0,787.4,802.0,70.0,2023-10-10 20:45:00
786.0,786.0,786.0,786.0,50.0,2023-10-18 20:45:00
786.0,786.0,786.0,786.0,25.0,2023-10-29 20:45:00
790.0,790.0,790.0,790.0,25.0,2023-10-30 20:45:00
790.0,790.0,790.0,790.0,60.0,2023-10-31 20:45:00
790.2,790.2,790.0,790.0,125.0,2023-11-05 20:45:00
805.8,805.8,790.0,790.0,35.0,2023-11-09 20:45:00
800.0,800.0,800.0,800.0,25.0,2023-11-20 20:45:00
815.0,816.0,815.0,816.0,190.0,2023-11-22 20:45:00
820.0,836.0,820.0,836.0,75.0,2023-11-27 20:45:00
851.0,852.7,851.0,852.7,50.0,2023-12-07 20:45:00
836.0,836.0,820.0,820.0,50.0,2023-12-19 20:45:00
836.4,836.4,836.4,836.4,25.0,2023-12-20 20:45:00
842.0,842.0,842.0,842.0,25.0,2024-01-01 20:45:00
858.8,858.8,858.8,858.8,10.0,2024-01-04 20:45:00
875.0,875.9,858.4,858.4,140.0,2024-01-07 20:45:00
869.0,875.0,869.0,875.0,150.0,2024-01-08 20:27:31
874.9,875.5,874.9,875.5,75.0,2024-01-10 20:31:29
889.0,889.0,889.0,889.0,100.0,2024-01-11 17:53:57
871.3,871.3,853.9,853.9,35.0,2024-01-17 19:24:52
836.9,836.9,836.9,836.9,75.0,2024-01-24 19:32:39
830.0,830.0,830.0,830.0,25.0,2024-01-29 20:19:24
830.0,830.0,830.0,830.0,25.0,2024-01-30 20:30:10
830.0,830.0,830.0,830.0,80.0,2024-02-01 17:31:07
846.6,846.6,846.6,846.6,50.0,2024-02-04 20:20:28
863.5,863.5,863.5,863.5,25.0,2024-02-07 18:57:18
855.1,855.1,855.1,855.1,25.0,2024-02-08 20:26:47
862.1,862.1,862.1,862.1,25.0,2024-02-13 20:02:41
876.9,876.9,876.9,876.9,50.0,2024-02-14 18:53:49
890.0,890.0,885.0,885.0,50.0,2024-02-18 20:44:44
902.7,902.7,884.7,884.7,39.0,2024-02-21 20:01:00
902.3,902.3,900.0,900.0,75.0,2024-02-25 19:40:59
900.0,900.0,900.0,900.0,55.0,2024-02-26 18:58:39
917.0,917.0,917.0,917.0,25.0,2024-02-27 18:25:05
902.0,902.0,902.0,902.0,25.0,2024-03-03 19:52:04
902.0,902.0,902.0,902.0,25.0,2024-03-05 20:33:36
905.0,905.0,905.0,905.0,110.0,2024-03-06 20:41:21
903.2,903.2,903.2,903.2,25.0,2024-03-17 18:51:48
900.8,900.8,900.8,900.8,25.0,2024-03-19 18:04:32
900.8,905.0,900.8,905.0,55.0,2024-03-25 20:35:17
904.2,904.2,904.2,904.2,25.0,2024-03-27 20:04:11
922.0,940.4,922.0,940.4,350.0,2024-03-31 20:35:52
958.0,1000.0,958.0,1000.0,15794.0,2024-04-01 20:00:00
1000.0,1000.0,999.0,1000.0,295.0,2024-04-02 20:07:33
1014.0,1014.0,1014.0,1014.0,100.0,2024-04-03 18:31:37
994.0,994.0,994.0,994.0,25.0,2024-04-10 18:27:03
999.0,1000.0,999.0,1000.0,75.0,2024-04-14 20:01:59
980.1,983.0,980.1,983.0,55.0,2024-04-15 19:18:57
970.0,980.0,964.1,976.0,1095.0,2024-04-16 20:40:44
995.5,1000.0,984.0,984.0,2075.0,2024-04-18 20:12:44
981.0,998.0,981.0,998.0,400.0,2024-04-21 20:30:50
1000.0,1000.0,1000.0,1000.0,2975.0,2024-04-22 18:14:13
987.1,990.3,987.1,990.3,50.0,2024-04-25 20:28:24
1000.0,1000.0,1000.0,1000.0,325.0,2024-04-29 18:07:40
988.0,988.0,988.0,988.0,25.0,2024-04-30 18:46:51
969.0,988.0,969.0,980.0,100.0,2024-05-08 18:58:57
970.0,980.0,970.0,978.5,75.0,2024-05-15 18:45:56
985.0,985.0,985.0,985.0,30.0,2024-05-16 19:25:02
1000.0,1000.0,1000.0,1000.0,50.0,2024-05-19 19:46:06
980.0,980.1,980.0,980.1,125.0,2024-05-22 19:44:46
970.0,980.0,970.0,980.0,80.0,2024-05-26 19:11:35
980.2,980.2,980.2,980.2,25.0,2024-06-03 17:55:37
980.1,980.1,980.1,980.1,100.0,2024-06-04 20:41:11
970.1,970.1,970.0,970.0,125.0,2024-06-05 20:28:59
982.0,982.0,982.0,982.0,25.0,2024-06-13 20:01:24
981.1,981.1,981.1,981.1,25.0,2024-06-16 18:23:55
982.0,983.2,982.0,983.2,55.0,2024-06-18 19:28:10
1000.0,1001.0,1000.0,1001.0,50.0,2024-06-19 18:15:55
1001.0,1001.0,1001.0,1001.0,25.0,2024-06-23 19:08:30
1002.0,1002.0,1002.0,1002.0,445.0,2024-06-27 19:49:46
982.0,982.0,982.0,982.0,25.0,2024-07-08 20:10:29
980.0,980.0,980.0,980.0,25.0,2024-07-10 18:14:29
980.0,999.6,980.0,999.6,50.0,2024-07-16 18:07:09
998.0,1000.0,998.0,1000.0,75.0,2024-07-21 20:30:02
980.0,980.0,961.0,961.0,55.0,2024-07-30 20:19:28
960.0,960.0,960.0,960.0,100.0,2024-07-31 18:41:09
961.0,963.3,961.0,963.3,90.0,2024-08-06 20:45:00
982.0,1015.0,982.0,1015.0,60580.0,2024-08-07 20:03:22
995.0,995.0,995.0,995.0,50.0,2024-08-11 19:30:05
1000.0,1000.0,986.0,986.0,155.0,2024-08-12 20:30:48
966.5,986.0,962.0,986.0,150.0,2024-08-13 19:54:34
987.0,987.0,987.0,987.0,100.0,2024-08-14 18:23:12
990.0,990.0,990.0,990.0,50.0,2024-08-15 20:31:21
990.0,990.0,990.0,990.0,50.0,2024-08-18 20:17:21
990.0,1005.0,990.0,1005.0,145.0,2024-08-21 19:32:54
994.0,994.0,994.0,994.0,50.0,2024-08-22 20:06:27
995.0,995.0,993.0,993.0,245.0,2024-08-25 17:58:22
994.1,994.1,994.0,994.0,200.0,2024-08-27 18:00:14
994.0,1000.0,994.0,1000.0,80.0,2024-08-28 20:01:43
1000.0,1000.0,990.0,999.0,235.0,2024-09-01 19:51:27
1014.9,1037.0,1014.9,1037.0,1000.0,2024-09-02 19:07:32
1017.0,1017.0,1005.0,1006.0,125.0,2024-09-03 19:45:12
1007.0,1007.0,1005.0,1005.0,300.0,2024-09-08 20:44:38
1025.0,1025.0,1010.0,1010.0,140.0,2024-09-11 19:39:36
1011.0,1011.0,1011.0,1011.0,50.0,2024-09-12 19:01:33
1031.1,1031.2,1031.1,1031.2,160.0,2024-09-16 18:08:26
1031.0,1031.0,1031.0,1031.0,125.0,2024-09-22 18:53:05
1044.0,1048.0,1044.0,1048.0,800.0,2024-09-23 18:16:04
1048.0,1048.0,1020.0,1020.0,175.0,2024-09-30 19:20:08
1021.0,1021.0,1021.0,1021.0,25.0,2024-10-07 19:55:35
1021.0,1021.0,1021.0,1021.0,100.0,2024-10-15 19:08:19
1021.0,1048.0,1021.0,1048.0,75.0,2024-10-16 17:27:05
1029.0,1029.0,1028.0,1028.0,190.0,2024-10-20 18:07:14
1048.0,1048.0,1030.0,1030.0,125.0,2024-10-21 18:04:05
1028.0,1028.0,1028.0,1028.0,50.0,2024-10-23 19:05:22
1045.0,1048.5,1045.0,1048.5,569.0,2024-10-27 17:05:46
1028.0,1028.0,1028.0,1028.0,25.0,2024-10-28 20:36:07
1028.0,1028.0,1028.0,1028.0,25.0,2024-11-05 19:26:05
