open,high,low,close,volume,date
42.66,42.66,34.16,34.16,592.0,2011-07-15 05:45:00
43.27,44.49,43.27,44.49,521.0,2011-07-17 05:45:00
45.1,47.67,42.66,42.66,8207.0,2011-07-18 05:45:00
43.27,44.62,43.27,44.62,5242.0,2011-07-19 05:45:00
44.49,45.39,44.34,44.93,12030.0,2011-07-20 05:45:00
44.49,45.85,44.49,45.1,9729.0,2011-07-21 05:45:00
45.1,45.7,45.1,45.7,6.0,2011-07-22 05:45:00
45.1,45.1,43.27,43.72,4680.0,2011-07-24 05:45:00
43.12,43.88,42.36,43.88,1165.0,2011-07-25 05:45:00
43.27,43.72,42.82,43.42,1626.0,2011-07-26 05:45:00
43.27,43.72,41.91,42.66,3276.0,2011-07-27 05:45:00
43.27,45.1,42.52,43.72,5216.0,2011-07-28 05:45:00
43.88,44.18,42.36,42.96,4540.0,2011-07-31 05:45:00
42.36,43.12,41.91,42.82,1887.0,2011-08-01 05:45:00
42.36,42.82,42.36,42.82,1677.0,2011-08-02 05:45:00
42.21,43.58,42.05,42.05,2997.0,2011-08-03 05:45:00
42.05,42.96,41.91,42.82,6859.0,2011-08-04 05:45:00
42.82,43.42,42.21,43.42,62.0,2011-08-05 05:45:00
43.42,43.42,41.45,41.61,5070.0,2011-08-07 05:45:00
41.61,42.21,40.54,40.84,6055.0,2011-08-08 05:45:00
40.23,42.36,39.63,41.14,6414.0,2011-08-09 05:45:00
41.45,42.36,41.45,42.36,2262.0,2011-08-10 05:45:00
42.36,42.96,41.91,42.82,2909.0,2011-08-11 05:45:00
42.21,42.21,42.21,42.21,2.0,2011-08-12 05:45:00
42.82,43.72,42.21,42.36,4878.0,2011-08-15 05:45:00
42.82,42.82,41.14,42.66,5053.0,2011-08-16 05:45:00
42.66,42.66,41.45,42.21,4535.0,2011-08-17 05:45:00
41.75,42.36,40.84,42.21,7780.0,2011-08-18 05:45:00
41.61,41.61,41.61,41.61,8.0,2011-08-19 05:45:00
41.61,42.52,41.14,42.52,1119.0,2011-08-22 05:45:00
41.91,43.27,41.75,42.05,4266.0,2011-08-23 05:45:00
42.21,42.52,41.61,41.61,3750.0,2011-08-24 05:45:00
