open,high,low,close,volume,date
75.4,75.4,75.4,75.4,20.0,2011-09-06 05:45:00
74.79,74.79,74.79,74.79,20.0,2011-12-05 05:45:00
76.59,76.59,75.29,75.29,90.0,2011-12-19 05:45:00
74.0,74.0,70.77,70.77,300.0,2012-01-31 05:45:00
69.8,69.8,64.95,64.95,200.0,2012-02-07 05:45:00
63.98,63.98,63.98,63.98,3120.0,2012-02-08 05:45:00
63.02,63.02,63.02,63.02,10.0,2012-02-23 05:45:00
62.04,62.04,58.17,58.17,60.0,2012-03-18 05:45:00
57.21,57.21,56.56,56.56,40.0,2012-03-19 05:45:00
55.91,55.91,55.91,55.91,20.0,2012-03-20 05:45:00
55.26,55.26,54.63,54.63,2000.0,2012-03-28 05:45:00
53.98,53.98,51.38,51.38,1520.0,2012-03-29 05:45:00
50.75,50.75,50.1,50.1,40.0,2012-04-03 05:45:00
49.45,49.45,46.22,46.22,120.0,2012-04-04 05:45:00
45.58,45.58,42.67,42.67,210.0,2012-04-05 05:45:00
42.03,42.03,40.41,40.41,1063.0,2012-04-08 05:45:00
40.73,40.73,40.73,40.73,60.0,2012-04-09 05:45:00
40.73,42.03,40.73,42.03,1976.0,2012-04-10 05:45:00
41.38,42.03,40.73,40.73,1200.0,2012-04-11 05:45:00
41.06,43.32,41.06,43.32,180.0,2012-04-15 05:45:00
43.97,43.97,43.97,43.97,130.0,2012-04-17 05:45:00
44.6,45.26,44.6,45.26,140.0,2012-04-19 05:45:00
45.9,47.2,45.9,47.2,100.0,2012-04-22 05:45:00
47.84,48.49,47.84,48.49,212.0,2012-04-26 05:45:00
48.49,49.78,48.49,49.78,740.0,2012-04-29 05:45:00
50.42,50.42,50.42,50.42,355.0,2012-04-30 05:45:00
50.42,50.42,50.42,50.42,182.0,2012-05-08 05:45:00
51.07,51.07,51.07,51.07,20.0,2012-05-17 05:45:00
50.42,50.42,49.78,49.78,282.0,2012-05-24 05:45:00
49.78,49.78,49.13,49.13,100.0,2012-07-02 05:45:00
48.49,48.49,48.49,48.49,26.0,2012-11-07 05:45:00
47.84,47.84,45.9,45.9,310.0,2012-11-20 05:45:00
45.26,45.26,43.97,43.97,462.0,2012-11-28 05:45:00
43.32,43.64,43.32,43.64,502.0,2012-11-29 05:45:00
42.99,42.99,42.35,42.35,256.0,2013-01-28 05:45:00
41.7,41.7,41.06,41.38,9172.0,2013-02-20 05:45:00
41.38,41.38,41.38,41.38,50.0,2013-04-11 05:45:00
40.73,40.73,40.73,40.73,60.0,2013-05-07 05:45:00
40.41,40.41,40.09,40.09,20.0,2013-06-18 05:45:00
39.77,39.77,38.8,38.8,132.0,2013-07-01 05:45:00
38.47,38.47,38.47,38.47,60.0,2013-07-17 05:45:00
38.8,38.8,38.8,38.8,50.0,2013-08-01 05:45:00
39.12,39.12,39.12,39.12,202.0,2013-08-07 05:45:00
39.44,39.44,39.44,39.44,30.0,2013-08-14 05:45:00
39.77,40.41,39.77,40.41,60.0,2013-09-09 05:45:00
40.73,41.38,40.73,41.38,86.0,2013-09-10 05:45:00
41.38,43.32,41.38,43.32,140.0,2013-09-11 05:45:00
43.97,43.97,43.97,43.97,20.0,2013-09-12 05:45:00
43.64,43.64,43.64,43.64,100.0,2013-09-15 05:45:00
44.29,44.29,43.64,43.64,190.0,2013-09-16 05:45:00
44.29,44.93,44.29,44.93,40.0,2013-09-17 05:45:00
45.58,45.58,45.58,45.58,20.0,2013-10-27 05:45:00
44.93,48.16,44.93,48.16,1984.0,2013-12-03 05:45:00
48.81,50.1,48.81,50.1,471.0,2013-12-04 05:45:00
50.75,50.75,50.1,50.75,3000.0,2013-12-05 05:45:00
50.1,50.1,49.45,49.45,2500.0,2013-12-08 05:45:00
48.81,48.81,48.16,48.16,312.0,2013-12-10 05:45:00
47.51,47.51,47.51,47.51,500.0,2014-01-05 05:45:00
46.88,46.88,46.88,46.88,52.0,2014-01-09 05:45:00
46.22,46.22,46.22,46.22,100.0,2014-01-14 05:45:00
