open,high,low,close,volume,date
10.0,10.0,9.81,9.81,200.0,2023-06-08 20:45:00
9.62,9.62,9.62,9.62,161.0,2023-06-11 20:45:00
9.43,9.43,8.65,8.65,2200.0,2023-06-12 20:45:00
8.65,8.65,7.78,8.31,21100.0,2023-06-13 20:45:00
8.45,8.47,8.31,8.31,7800.0,2023-06-14 20:45:00
8.15,8.15,8.05,8.05,2600.0,2023-06-15 20:45:00
7.9,8.35,7.9,8.25,8700.0,2023-06-18 20:45:00
8.11,8.37,8.11,8.25,2700.0,2023-06-19 20:45:00
8.25,8.25,8.22,8.25,600.0,2023-06-20 20:45:00
8.15,8.25,8.15,8.2,600.0,2023-06-21 20:45:00
8.2,8.2,8.06,8.19,900.0,2023-06-22 20:45:00
8.19,8.4,8.19,8.26,29900.0,2023-06-25 20:45:00
8.1,8.39,8.1,8.27,6400.0,2023-06-26 20:45:00
8.2,8.51,8.2,8.51,14200.0,2023-06-27 20:45:00
8.34,8.6,8.34,8.6,2200.0,2023-06-28 20:45:00
8.45,8.72,8.45,8.72,24400.0,2023-07-02 20:45:00
8.7,8.7,8.56,8.56,900.0,2023-07-03 20:45:00
8.42,8.55,8.4,8.55,6500.0,2023-07-04 20:45:00
8.4,8.55,8.4,8.55,6800.0,2023-07-05 20:45:00
8.4,8.5,8.4,8.5,1700.0,2023-07-06 20:45:00
8.35,8.5,8.35,8.5,1800.0,2023-07-09 20:45:00
8.4,8.45,8.4,8.4,61000.0,2023-07-10 20:45:00
8.4,8.56,8.15,8.15,119400.0,2023-07-11 20:45:00
8.3,8.76,8.16,8.59,126400.0,2023-07-12 20:45:00
8.76,9.44,8.59,9.15,34900.0,2023-07-13 20:45:00
9.33,10.06,8.97,9.9,102900.0,2023-07-16 20:45:00
9.71,9.9,9.71,9.71,312800.0,2023-07-17 20:45:00
9.52,9.52,9.52,9.52,1000.0,2023-07-19 20:45:00
9.33,9.33,9.12,9.3,11300.0,2023-07-23 20:45:00
9.12,9.12,8.37,8.37,8100.0,2023-08-02 20:45:00
8.21,8.37,8.21,8.34,2300.0,2023-08-03 20:45:00
8.2,8.26,8.15,8.15,4700.0,2023-08-06 20:45:00
8.15,8.15,8.1,8.12,1200.0,2023-08-07 20:45:00
7.98,8.16,7.91,7.93,36400.0,2023-08-08 20:45:00
7.89,8.05,7.89,8.05,1800.0,2023-08-09 20:45:00
7.91,8.11,7.91,8.11,5400.0,2023-08-10 20:45:00
8.02,8.11,8.02,8.11,2300.0,2023-08-13 20:45:00
8.1,8.27,8.1,8.27,4500.0,2023-08-14 20:45:00
8.11,8.43,8.11,8.43,10200.0,2023-08-15 20:45:00
8.27,8.27,7.97,8.0,1500.0,2023-08-16 20:45:00
7.86,8.0,7.85,7.85,1700.0,2023-08-17 20:45:00
7.7,8.0,7.7,7.82,3200.0,2023-08-20 20:45:00
7.68,7.84,7.68,7.84,900.0,2023-08-21 20:45:00
7.72,7.89,7.72,7.89,33100.0,2023-08-22 20:45:00
7.93,8.28,7.93,8.28,7600.0,2023-08-23 20:45:00
8.16,8.17,8.16,8.17,600.0,2023-08-24 20:45:00
8.17,8.2,8.05,8.09,6550.0,2023-08-27 20:44:00
7.94,8.21,7.77,8.11,5850.0,2023-08-28 20:45:00
8.11,8.11,7.96,7.96,1900.0,2023-08-29 20:45:00
7.82,8.07,7.82,8.07,1350.0,2023-08-30 20:45:00
8.0,8.0,7.74,7.9,1610.0,2023-09-03 20:45:00
7.8,7.83,7.8,7.82,2200.0,2023-09-04 20:45:00
7.83,7.9,7.83,7.9,800.0,2023-09-05 20:45:00
7.77,7.9,7.77,7.81,310.0,2023-09-07 20:45:00
7.8,8.1,7.8,7.95,1300.0,2023-09-10 20:45:00
7.82,8.1,7.82,7.94,800.0,2023-09-11 20:44:00
7.9,7.9,7.8,7.88,700.0,2023-09-12 20:45:00
8.03,8.03,7.83,8.0,500.0,2023-09-13 20:45:00
8.0,8.16,8.0,8.0,46700.0,2023-09-17 20:45:00
7.84,8.0,7.84,7.89,500.0,2023-09-18 20:45:00
7.77,7.81,7.77,7.81,300.0,2023-09-19 20:45:00
7.81,8.43,7.81,8.11,21100.0,2023-09-21 20:45:00
8.0,8.0,7.96,8.0,900.0,2023-09-24 20:45:00
8.16,8.2,8.04,8.09,12050.0,2023-09-25 20:45:00
7.98,8.03,7.98,8.03,2985.0,2023-09-26 20:45:00
7.93,8.04,7.93,8.04,5600.0,2023-09-27 20:45:00
