open,high,low,close,volume,date
91.22,94.01,91.22,94.01,2710.0,2018-03-27 05:45:00
94.72,97.99,94.72,97.99,1120.0,2018-03-28 05:45:00
98.68,102.2,98.68,102.2,3190.0,2018-03-29 05:45:00
103.12,106.86,97.99,100.09,21750.0,2018-04-01 05:45:00
100.79,101.02,97.05,98.22,6180.0,2018-04-02 05:45:00
97.52,99.62,96.82,98.22,2090.0,2018-04-03 20:45:00
98.68,99.62,97.29,99.62,850.0,2018-04-04 20:45:00
99.62,101.96,97.76,101.96,3630.0,2018-04-05 20:45:00
102.89,102.89,98.92,100.32,4070.0,2018-04-08 20:45:00
99.86,101.02,99.16,101.02,3250.0,2018-04-09 20:45:00
100.09,102.89,98.68,102.89,2540.0,2018-04-10 20:45:00
103.36,103.36,99.86,100.79,1560.0,2018-04-11 20:45:00
101.02,101.49,98.92,100.09,6020.0,2018-04-12 20:45:00
100.09,102.2,99.62,102.2,2980.0,2018-04-15 20:45:00
101.26,103.83,100.09,100.56,5310.0,2018-04-16 20:45:00
100.56,101.96,100.09,100.79,1635.0,2018-04-17 20:45:00
100.09,105.22,100.09,105.22,5500.0,2018-04-18 20:45:00
105.22,107.09,103.36,103.36,6566.0,2018-04-19 20:45:00
103.36,106.63,102.65,106.63,10737.0,2018-04-22 20:45:00
105.7,105.7,102.2,103.12,2670.0,2018-04-23 20:45:00
103.12,104.53,101.26,104.06,2230.0,2018-04-24 20:45:00
105.0,105.0,101.26,102.89,560.0,2018-04-25 20:45:00
101.96,102.2,101.73,101.73,1230.0,2018-04-26 20:45:00
100.79,102.65,100.79,101.73,4020.0,2018-04-29 20:45:00
101.73,103.36,101.02,103.36,6655.0,2018-05-02 20:45:00
104.3,104.3,102.2,102.65,1380.0,2018-05-03 20:45:00
102.42,105.22,101.73,104.53,5045.0,2018-05-06 20:45:00
105.22,106.17,103.36,103.83,2940.0,2018-05-07 20:45:00
104.06,104.3,102.89,103.12,2105.0,2018-05-08 20:45:00
103.12,104.3,102.2,103.12,4020.0,2018-05-09 20:45:00
103.12,103.36,102.65,102.65,2990.0,2018-05-10 20:45:00
103.6,105.0,102.65,102.89,3780.0,2018-05-14 20:45:00
102.2,106.17,102.2,104.06,5948.0,2018-05-15 20:45:00
104.53,106.63,104.53,105.93,3720.0,2018-05-16 20:45:00
105.93,108.74,105.7,107.8,8242.0,2018-05-17 20:45:00
108.74,109.2,106.86,108.96,3590.0,2018-05-20 20:45:00
109.2,111.06,108.03,108.96,5050.0,2018-05-21 20:45:00
109.9,109.9,108.03,108.5,1120.0,2018-05-22 20:45:00
107.57,109.9,107.09,107.33,1720.0,2018-05-23 20:45:00
107.33,108.74,106.86,108.74,3990.0,2018-05-24 20:45:00
108.03,108.26,106.17,108.03,3288.0,2018-05-27 20:45:00
108.03,109.66,106.4,108.74,1020.0,2018-05-28 20:45:00
107.8,109.43,107.8,108.74,1910.0,2018-05-29 20:45:00
107.8,109.2,107.57,109.2,1512.0,2018-05-30 20:45:00
109.9,109.9,106.86,108.26,1080.0,2018-05-31 20:45:00
108.03,108.03,106.63,106.86,2715.0,2018-06-03 20:45:00
105.93,107.09,105.93,106.63,780.0,2018-06-04 20:45:00
107.57,109.2,107.57,107.57,2170.0,2018-06-06 20:45:00
107.57,108.74,106.63,107.57,2640.0,2018-06-07 20:45:00
106.63,107.57,106.63,106.63,2600.0,2018-06-10 20:45:00
105.93,107.09,105.7,106.86,1040.0,2018-06-11 20:45:00
106.86,110.61,106.17,110.61,6212.0,2018-06-12 20:45:00
109.9,116.21,108.26,115.97,7795.0,2018-06-13 20:45:00
116.91,122.04,115.5,122.04,11583.0,2018-06-14 20:45:00
121.58,128.82,121.35,128.82,17041.0,2018-06-17 20:45:00
127.42,127.42,121.58,121.58,8600.0,2018-06-18 20:45:00
121.62,120.33,116.74,118.54,1830.0,2018-06-19 20:45:00
117.51,117.51,115.21,115.97,630.0,2018-06-20 20:45:00
114.94,114.94,113.4,113.92,510.0,2018-06-21 20:45:00
112.89,113.92,110.84,112.89,940.0,2018-06-24 20:45:00
112.11,113.4,111.09,112.37,3021.0,2018-06-25 20:45:00
112.37,112.89,111.35,112.11,3310.0,2018-06-26 20:45:00
110.84,111.86,110.84,111.61,167.0,2018-06-27 20:45:00
112.11,112.64,112.11,112.11,410.0,2018-06-28 20:45:00
111.09,112.37,110.06,112.11,410.0,2018-07-01 20:45:00
111.09,111.61,110.06,110.32,899.0,2018-07-02 20:45:00
111.35,111.35,109.29,110.06,340.0,2018-07-03 20:45:00
