open,high,low,close,volume,date
249.3,274.2,249.3,274.2,1610.0,2023-07-05 05:45:00
279.6,301.6,279.6,301.6,24638.0,2023-07-06 20:45:00
307.6,331.7,307.6,331.7,16525.0,2023-07-09 20:45:00
338.3,364.8,332.5,364.8,32047.0,2023-07-10 20:45:00
372.0,401.2,365.0,401.2,10100.0,2023-07-11 20:45:00
401.0,415.0,361.1,361.1,38727.0,2023-07-12 20:45:00
360.0,363.0,333.2,357.0,18418.0,2023-07-13 20:45:00
357.0,364.0,350.1,353.2,11229.0,2023-07-16 20:45:00
346.2,358.0,346.2,354.0,8094.0,2023-07-17 20:45:00
361.0,361.0,351.0,355.9,6348.0,2023-07-18 20:45:00
351.0,360.0,345.1,356.0,9470.0,2023-07-19 20:45:00
349.0,373.0,348.9,370.0,8862.0,2023-07-20 20:45:00
377.4,394.0,364.0,393.0,19522.0,2023-07-23 20:45:00
394.0,410.0,387.0,387.1,14517.0,2023-07-24 20:45:00
387.1,396.7,382.5,392.0,7470.0,2023-07-25 20:45:00
388.1,414.0,385.1,399.1,28481.0,2023-07-26 20:45:00
393.0,407.0,393.0,399.0,8170.0,2023-07-27 20:45:00
393.0,399.0,375.0,379.0,11435.0,2023-07-30 20:45:00
379.0,389.6,370.0,370.0,7720.0,2023-07-31 20:45:00
364.2,377.4,363.0,369.0,6236.0,2023-08-01 20:45:00
370.0,376.0,356.0,368.9,4650.0,2023-08-02 20:45:00
366.0,387.0,363.0,364.0,6635.0,2023-08-03 20:45:00
370.0,370.0,348.6,360.0,12912.0,2023-08-06 20:45:00
352.8,369.0,352.8,363.8,6726.0,2023-08-07 20:45:00
363.0,367.0,352.0,357.7,6007.0,2023-08-08 20:45:00
350.6,361.9,342.1,360.0,4207.0,2023-08-09 20:45:00
353.0,360.0,346.2,355.0,6112.0,2023-08-10 20:45:00
348.0,357.0,348.0,357.0,8525.0,2023-08-13 20:45:00
351.0,355.0,345.2,348.0,2112.0,2023-08-14 20:45:00
345.0,350.8,331.0,336.0,5590.0,2023-08-15 20:45:00
330.1,345.0,330.0,339.0,5525.0,2023-08-16 20:45:00
332.4,345.7,332.4,344.0,2902.0,2023-08-17 20:45:00
337.2,340.0,326.0,327.1,4500.0,2023-08-20 20:45:00
322.0,328.0,316.2,322.0,5200.0,2023-08-21 20:45:00
315.6,326.4,310.2,325.0,3427.0,2023-08-22 20:45:00
318.5,336.0,312.2,336.0,2529.0,2023-08-23 20:45:00
334.0,340.0,307.4,310.0,11928.0,2023-08-24 20:45:00
304.1,316.2,296.2,316.2,9355.0,2023-08-27 20:44:00
310.0,326.0,297.8,315.0,2010.0,2023-08-28 20:45:00
308.7,321.0,303.5,310.0,1425.0,2023-08-29 20:45:00
315.0,315.0,298.0,300.0,3166.0,2023-08-30 20:45:00
300.0,310.0,290.3,305.0,1730.0,2023-09-03 20:45:00
299.0,308.0,295.0,308.0,4992.0,2023-09-04 20:45:00
301.9,306.0,296.1,306.0,1680.0,2023-09-05 20:45:00
299.9,301.0,294.1,298.2,630.0,2023-09-07 20:45:00
298.2,312.0,295.1,305.0,1616.0,2023-09-10 20:45:00
305.0,316.2,303.5,312.3,4324.0,2023-09-11 20:44:00
312.2,314.2,302.0,310.0,1729.0,2023-09-12 20:45:00
303.8,324.0,303.8,324.0,4234.0,2023-09-13 20:45:00
317.6,319.0,306.0,312.0,4946.0,2023-09-17 20:45:00
305.9,318.4,305.9,317.9,1830.0,2023-09-18 20:45:00
324.0,333.0,308.3,329.9,2855.0,2023-09-19 20:45:00
336.4,358.0,324.0,344.9,6367.0,2023-09-21 20:45:00
345.0,364.0,332.1,349.0,9444.0,2023-09-24 20:45:00
342.1,371.0,338.0,367.0,12733.0,2023-09-25 20:45:00
374.0,380.0,360.4,374.8,9825.0,2023-09-26 20:45:00
372.0,378.0,347.2,365.0,5521.0,2023-09-27 20:45:00
365.0,371.9,342.0,349.0,8086.0,2023-10-01 20:45:00
342.2,360.0,330.1,356.0,6471.0,2023-10-02 20:45:00
354.0,379.0,343.0,369.9,17451.0,2023-10-03 20:45:00
366.0,386.9,366.0,384.6,15114.0,2023-10-04 20:45:00
391.9,392.2,372.9,375.0,4215.0,2023-10-05 20:45:00
382.0,382.0,358.0,360.0,7913.0,2023-10-08 20:45:00
353.2,371.7,353.2,363.0,7701.0,2023-10-09 20:45:00
370.0,376.9,342.4,343.1,11406.0,2023-10-10 20:45:00
344.0,357.5,336.5,350.0,6690.0,2023-10-11 20:45:00
357.0,363.8,335.0,339.0,5980.0,2023-10-12 20:45:00
332.3,338.6,329.3,335.0,6140.0,2023-10-16 20:45:00
335.0,345.9,330.0,334.2,2881.0,2023-10-17 20:45:00
328.1,349.7,328.1,345.8,5332.0,2023-10-18 20:45:00
338.9,344.4,332.1,344.4,2481.0,2023-10-19 20:45:00
337.6,340.0,328.0,337.9,2080.0,2023-10-29 20:45:00
332.0,339.0,326.6,333.0,1600.0,2023-10-30 20:45:00
326.4,331.5,321.0,329.0,1071.0,2023-10-31 20:45:00
324.0,353.9,316.6,353.9,4590.0,2023-11-01 20:45:00
346.9,346.9,322.2,327.5,3210.0,2023-11-02 20:45:00
324.0,327.0,318.2,327.0,1105.0,2023-11-05 20:45:00
333.0,333.9,321.0,333.9,1835.0,2023-11-06 20:45:00
340.5,340.5,324.1,333.0,783.0,2023-11-07 20:45:00
336.0,336.0,324.0,332.9,1240.0,2023-11-08 20:45:00
339.0,339.0,325.7,334.5,2161.0,2023-11-09 20:45:00
334.5,339.8,325.0,334.3,2256.0,2023-11-20 20:45:00
340.0,340.0,320.0,334.4,1210.0,2023-11-21 20:45:00
340.0,340.0,322.2,332.0,2760.0,2023-11-22 20:45:00
325.4,356.7,319.0,344.0,3996.0,2023-11-23 20:45:00
337.2,378.0,331.0,378.0,26925.0,2023-11-26 20:45:00
378.0,407.0,370.6,399.0,35925.0,2023-11-27 20:45:00
395.0,402.9,387.3,398.0,13436.0,2023-11-28 20:45:00
398.0,392.0,378.0,380.0,19349.0,2023-11-29 20:45:00
372.5,377.0,365.0,374.9,7610.0,2023-11-30 20:45:00
