open,high,low,close,volume,date
713.845,723.176,713.845,723.176,30.0,2011-07-19 05:45:00
737.173,737.173,737.173,737.173,22.0,2011-07-20 05:45:00
723.176,723.176,708.712,708.712,74.0,2011-08-30 05:45:00
701.714,711.512,701.714,711.512,2025.0,2011-10-16 05:45:00
701.714,701.714,701.714,701.714,750.0,2011-10-18 05:45:00
701.714,713.845,701.714,713.845,267.0,2011-11-14 05:45:00
713.845,713.845,713.845,713.845,38.0,2011-11-20 05:45:00
699.848,699.848,685.851,685.851,120.0,2011-11-21 05:45:00
672.32,672.32,672.32,672.32,591.0,2011-11-23 05:45:00
659.256,659.256,659.256,659.256,125.0,2011-11-24 05:45:00
650.858,650.858,650.392,650.392,1056.0,2011-11-27 05:45:00
638.261,638.261,613.533,613.533,292.0,2011-11-29 05:45:00
605.135,605.135,593.471,593.471,236.0,2011-11-30 05:45:00
599.536,599.536,599.536,599.536,63.0,2011-12-01 05:45:00
587.872,587.872,587.872,587.872,8.0,2011-12-02 05:45:00
599.536,599.536,599.536,599.536,1451.0,2011-12-21 05:45:00
599.536,605.135,599.536,605.135,181.0,2011-12-22 05:45:00
606.535,606.535,606.535,606.535,19.0,2012-01-05 05:45:00
606.535,606.535,606.535,606.535,34.0,2012-01-08 05:45:00
601.869,601.869,601.869,601.869,126.0,2012-01-17 05:45:00
604.202,604.202,604.202,604.202,30.0,2012-01-19 05:45:00
592.538,592.538,580.874,580.874,77.0,2012-02-28 05:45:00
569.676,569.676,569.676,569.676,152.0,2012-03-13 05:45:00
569.676,569.676,569.676,569.676,162.0,2012-03-28 05:45:00
559.878,559.878,527.219,527.219,162.0,2012-04-01 05:45:00
527.219,527.219,527.219,527.219,20.0,2012-04-02 05:45:00
537.483,537.483,537.483,537.483,63.0,2012-04-11 05:45:00
548.214,550.547,548.214,550.547,82.0,2012-05-29 05:45:00
550.547,550.547,550.547,550.547,50.0,2012-06-03 05:45:00
539.816,539.816,539.816,539.816,188.0,2012-06-06 05:45:00
550.547,583.673,550.547,583.673,40.0,2012-07-10 05:45:00
595.337,641.994,595.337,641.994,88.0,2012-07-11 05:45:00
654.591,694.249,654.591,694.249,232.0,2012-07-12 05:45:00
694.249,699.848,694.249,699.848,89.0,2012-07-16 05:45:00
709.179,709.179,709.179,709.179,73.0,2012-07-19 05:45:00
709.179,709.179,709.179,709.179,238.0,2012-07-31 05:45:00
709.179,709.179,709.179,709.179,45.0,2012-08-05 05:45:00
700.781,700.781,700.781,700.781,165.0,2012-08-13 05:45:00
714.778,728.775,714.778,728.775,117.0,2012-08-14 05:45:00
741.839,746.504,741.839,746.504,251.0,2012-08-16 05:45:00
731.574,731.574,731.574,731.574,51.0,2012-08-27 05:45:00
746.038,755.836,746.038,755.836,120.0,2012-08-30 05:45:00
755.836,765.167,755.836,765.167,76.0,2012-09-10 05:45:00
774.498,788.495,773.098,786.162,445.0,2012-09-12 05:45:00
770.766,771.232,756.302,771.232,85.0,2012-09-13 05:45:00
786.629,786.629,786.629,786.629,12.0,2012-09-16 05:45:00
802.026,834.219,802.026,834.219,192.0,2012-09-18 05:45:00
850.548,867.345,850.548,867.345,60.0,2012-09-19 05:45:00
884.607,953.659,884.607,953.659,457.0,2012-09-20 05:45:00
934.997,1048.84,934.997,1006.85,1140.0,2012-09-23 05:45:00
1003.11,1026.44,963.457,963.457,879.0,2012-09-24 05:45:00
982.586,982.586,979.787,979.787,444.0,2012-09-25 05:45:00
970.456,998.449,956.458,965.79,3195.0,2012-09-26 05:45:00
979.32,999.383,961.124,961.591,2419.0,2012-09-27 05:45:00
2427.07,2427.07,2427.07,2427.07,11.0,2015-06-22 05:45:00
2378.55,2378.55,2378.55,2378.55,214.0,2015-06-23 05:45:00
2378.55,2378.55,2378.55,2378.55,25.0,2015-06-24 05:45:00
2425.67,2425.67,2377.62,2377.62,285.0,2015-07-01 05:45:00
2330.49,2330.49,2330.49,2330.49,51.0,2015-07-02 05:45:00
2332.83,2332.83,2332.83,2332.83,103.0,2015-07-06 05:45:00
2379.48,2379.48,2379.48,2379.48,41.0,2015-07-12 05:45:00
2379.48,2379.48,2379.48,2379.48,20.0,2015-07-22 05:45:00
2426.14,2426.14,2426.14,2426.14,43.0,2015-07-27 05:45:00
2463.46,2463.46,2463.46,2463.46,37.0,2015-07-28 05:45:00
2474.66,2474.66,2416.81,2426.14,189.0,2015-07-29 05:45:00
2449.47,2449.47,2440.14,2440.14,140.0,2015-07-30 05:45:00
2425.67,2449.47,2425.67,2449.47,177.0,2015-08-06 05:45:00
2400.48,2448.07,2400.48,2448.07,226.0,2015-08-09 05:45:00
2472.8,2472.8,2472.8,2472.8,312.0,2015-08-10 05:45:00
2472.8,2472.8,2472.8,2472.8,38.0,2015-08-11 05:45:00
2472.8,2473.26,2472.8,2473.26,129.0,2015-08-12 05:45:00
2426.14,2426.14,2426.14,2426.14,35.0,2015-08-16 05:45:00
2472.8,2472.8,2472.8,2472.8,20.0,2015-08-17 05:45:00
2519.45,2519.45,2519.45,2519.45,183.0,2015-08-23 05:45:00
2566.11,2566.11,2566.11,2566.11,183.0,2015-08-25 05:45:00
2612.76,2612.76,2612.76,2612.76,15.0,2015-08-26 05:45:00
2612.76,2612.76,2612.76,2612.76,102.0,2015-08-27 05:45:00
2560.51,2560.51,2509.65,2542.78,322.0,2015-08-31 05:45:00
2519.45,2566.11,2519.45,2547.45,435.0,2015-09-01 05:45:00
2535.78,2538.11,2535.78,2538.11,204.0,2015-09-02 05:45:00
2584.77,2603.43,2584.77,2589.44,1167.0,2015-09-03 05:45:00
2612.76,2664.09,2612.76,2664.09,149.0,2015-09-06 05:45:00
2682.75,2682.75,2682.75,2682.75,214.0,2015-09-07 05:45:00
2729.41,2729.41,2729.41,2729.41,75.0,2015-09-08 05:45:00
2783.99,2783.99,2783.99,2783.99,10.0,2015-09-10 05:45:00
2839.52,2892.7,2839.52,2881.04,262.0,2015-09-13 05:45:00
2881.04,2881.04,2881.04,2881.04,196.0,2015-09-15 05:45:00
2890.37,2890.37,2890.37,2890.37,100.0,2015-09-17 05:45:00
2832.98,2832.98,2799.39,2799.39,124.0,2015-09-28 05:45:00
2752.73,2752.73,2752.73,2752.73,154.0,2015-10-01 05:45:00
2706.08,2706.08,2706.08,2706.08,11.0,2015-10-04 05:45:00
2706.08,2706.08,2706.08,2706.08,50.0,2015-10-05 05:45:00
2682.75,2682.75,2682.75,2682.75,14.0,2015-10-06 05:45:00
2659.42,2659.42,2612.76,2612.76,172.0,2015-10-07 05:45:00
2654.76,2654.76,2612.76,2612.76,167.0,2015-10-11 05:45:00
2612.76,2619.76,2612.76,2619.76,177.0,2015-10-14 05:45:00
2567.51,2567.51,2567.51,2567.51,10.0,2015-11-15 05:45:00
2519.45,2519.45,2519.45,2519.45,132.0,2015-12-08 05:45:00
2469.06,2469.06,2469.06,2469.06,110.0,2015-12-09 05:45:00
2518.05,2518.05,2518.05,2518.05,15.0,2015-12-10 05:45:00
2472.8,2477.46,2472.8,2477.46,110.0,2015-12-13 05:45:00
2472.8,2472.8,2472.8,2472.8,63.0,2015-12-15 05:45:00
2522.25,2522.25,2522.25,2522.25,85.0,2015-12-17 05:45:00
2572.64,2572.64,2572.64,2572.64,13.0,2015-12-24 05:45:00
2623.96,2676.22,2623.96,2676.22,30.0,2016-01-06 05:45:00
2729.41,2895.97,2729.41,2895.97,152.0,2016-01-10 05:45:00
2953.82,3185.24,2953.82,3185.24,896.0,2016-01-11 05:45:00
3248.69,3503.44,3248.69,3503.44,1236.0,2016-01-12 05:45:00
3503.44,3644.81,3503.44,3644.81,246.0,2016-01-13 05:45:00
3639.21,3644.81,3359.27,3474.04,507.0,2016-01-14 05:45:00
3543.1,3613.55,3543.1,3613.55,81.0,2016-06-21 05:45:00
3794.11,3794.11,3794.11,3794.11,10.0,2016-08-01 05:45:00
3869.69,4025.52,3869.69,4025.52,30.0,2016-08-07 05:45:00
4226.61,4226.61,4226.61,4226.61,10.0,2016-08-10 05:45:00
4311.06,4484.62,4311.06,4484.62,30.0,2016-08-11 05:45:00
4574.2,4932.99,4574.2,4932.99,68.0,2016-08-14 05:45:00
5031.44,5233.93,5031.44,5233.93,30.0,2016-08-16 05:45:00
5338.44,5553.52,5338.44,5553.52,30.0,2016-08-17 05:45:00
5664.57,5777.48,5664.57,5777.48,20.0,2016-08-21 05:45:00
5892.72,6010.29,5892.72,6010.29,20.0,2016-08-22 05:45:00
6130.2,6252.44,6130.2,6252.44,20.0,2016-08-23 05:45:00
6377.48,6767.06,6377.48,6767.06,40.0,2016-08-29 05:45:00
