open,high,low,close,volume,date
263.9,290.2,263.9,290.2,60760.0,2022-06-16 05:45:00
296.0,301.9,270.0,273.0,52534.0,2022-06-17 20:45:00
267.6,267.6,245.8,246.9,19420.0,2022-06-19 20:45:00
250.0,250.0,222.3,224.1,31226.0,2022-06-20 20:45:00
224.0,246.5,211.3,244.0,20128.0,2022-06-21 20:45:00
248.8,253.7,227.0,233.5,6830.0,2022-06-22 20:45:00
238.1,238.1,212.0,216.0,11649.0,2022-06-23 20:45:00
211.7,228.0,200.0,213.0,9612.0,2022-06-24 20:45:00
215.0,227.0,212.0,227.0,14916.0,2022-06-26 20:45:00
231.5,231.5,216.6,224.7,13680.0,2022-06-27 20:45:00
224.0,224.0,212.0,216.9,9230.0,2022-06-28 20:45:00
213.0,227.0,213.0,225.0,10181.0,2022-06-29 20:45:00
225.0,235.0,214.1,229.0,24919.0,2022-06-30 20:45:00
226.0,233.0,222.5,226.0,8939.0,2022-07-01 20:45:00
221.5,244.0,218.2,242.0,18191.0,2022-07-03 20:45:00
242.0,260.0,225.4,231.0,33149.0,2022-07-04 20:45:00
228.0,240.0,221.0,223.0,12329.0,2022-07-05 20:45:00
223.0,234.0,218.7,225.0,9290.0,2022-07-06 20:45:00
225.0,234.6,218.2,224.0,13889.0,2022-07-07 20:45:00
219.6,220.0,214.0,215.0,7726.0,2022-07-08 20:45:00
211.0,214.0,201.0,203.1,14254.0,2022-07-11 20:45:00
202.0,211.0,200.0,203.8,8467.0,2022-07-12 20:45:00
207.0,220.3,205.0,219.0,9792.0,2022-07-13 20:45:00
216.0,233.3,213.0,233.0,17479.0,2022-07-14 20:45:00
237.6,237.6,220.0,222.0,9792.0,2022-07-15 20:45:00
218.0,225.4,215.0,222.0,8151.0,2022-07-17 20:45:00
226.4,226.4,213.3,226.4,11432.0,2022-07-18 20:45:00
222.0,231.0,218.1,223.0,12170.0,2022-07-19 20:45:00
220.0,225.8,219.5,221.0,7531.0,2022-07-20 20:45:00
217.2,223.0,215.0,218.0,10772.0,2022-07-21 20:45:00
214.0,221.0,210.0,212.0,6494.0,2022-07-22 20:45:00
215.0,233.1,212.0,231.5,25996.0,2022-07-24 20:45:00
231.5,244.8,223.5,237.2,23825.0,2022-07-25 20:45:00
232.5,241.0,223.0,223.0,19600.0,2022-07-26 20:45:00
223.0,242.0,223.0,239.0,56227.0,2022-07-27 20:45:00
240.0,262.9,240.0,258.0,53624.0,2022-07-28 20:45:00
263.0,269.0,254.8,264.0,17567.0,2022-07-29 20:45:00
258.8,267.0,253.7,260.5,28364.0,2022-07-31 20:45:00
260.0,270.3,246.1,258.0,41098.0,2022-08-01 20:45:00
258.0,282.0,255.3,280.0,36730.0,2022-08-02 20:45:00
278.0,308.0,274.1,299.0,60118.0,2022-08-03 20:45:00
