open,high,low,close,volume,date
319.0,350.9,319.0,322.1,97653.0,2022-08-31 05:45:00
322.0,322.0,298.1,310.1,29723.0,2022-09-01 20:33:00
308.0,313.0,298.4,308.9,8910.0,2022-09-02 20:45:00
310.0,322.0,302.7,310.0,15867.0,2022-09-04 20:45:00
305.1,312.0,304.0,307.0,13743.0,2022-09-05 20:45:00
303.0,307.0,299.0,299.0,12826.0,2022-09-06 20:45:00
293.2,296.0,287.3,296.0,9955.0,2022-09-07 20:45:00
296.0,310.0,287.0,303.0,13203.0,2022-09-08 20:45:00
297.0,309.0,293.0,298.0,8300.0,2022-09-11 20:45:00
297.0,297.0,284.2,291.0,11426.0,2022-09-12 20:45:00
291.0,299.8,285.0,295.1,6500.0,2022-09-13 20:45:00
289.2,304.0,289.2,300.0,14405.0,2022-09-14 20:45:00
294.0,302.1,279.0,284.0,16379.0,2022-09-15 20:45:00
278.4,278.4,263.7,274.0,10641.0,2022-09-16 20:45:00
268.6,278.0,249.9,254.0,22806.0,2022-09-18 20:45:00
249.0,249.0,235.0,239.9,8516.0,2022-09-20 20:45:00
244.6,244.6,232.4,232.4,5731.0,2022-09-21 20:45:00
232.4,232.5,225.2,230.0,8612.0,2022-09-22 20:45:00
225.4,225.4,217.0,224.0,6236.0,2022-09-25 20:45:00
224.0,242.0,216.7,231.0,4490.0,2022-09-27 20:45:00
226.4,240.3,209.0,217.0,5269.0,2022-09-28 20:45:00
215.1,225.7,215.1,220.9,1820.0,2022-09-29 20:45:00
220.0,229.0,216.0,226.0,3347.0,2022-10-09 20:45:00
221.5,225.0,216.0,216.1,5525.0,2022-10-10 20:45:00
216.0,224.0,212.1,224.0,2855.0,2022-10-11 20:45:00
219.6,224.0,209.0,220.5,3706.0,2022-10-12 20:45:00
216.1,224.0,212.8,215.2,4501.0,2022-10-13 20:45:00
212.0,222.0,212.0,222.0,5782.0,2022-10-16 20:45:00
218.0,222.3,214.0,218.0,3480.0,2022-10-17 20:45:00
213.7,216.0,210.0,210.4,5745.0,2022-10-19 20:45:00
206.2,214.0,203.1,210.0,4795.0,2022-10-20 20:45:00
206.0,211.1,204.0,210.0,2980.0,2022-10-23 20:45:00
206.0,211.1,206.0,207.0,3090.0,2022-10-31 20:45:00
203.3,219.9,203.3,217.1,7940.0,2022-11-01 20:45:00
215.0,221.4,211.5,220.0,4035.0,2022-11-02 20:45:00
220.0,227.6,215.0,219.0,9907.0,2022-11-03 20:45:00
223.0,227.0,211.0,227.0,6887.0,2022-11-06 20:45:00
222.5,234.0,219.0,223.0,13987.0,2022-11-07 20:45:00
220.0,223.9,218.0,223.0,5053.0,2022-11-08 20:45:00
220.0,220.0,211.8,213.0,3187.0,2022-11-09 20:45:00
210.0,210.5,205.0,206.0,5084.0,2022-11-10 20:45:00
206.0,210.0,203.1,206.0,3170.0,2022-11-13 20:45:00
202.0,214.9,202.0,214.9,4634.0,2022-11-14 20:45:00
210.7,213.0,200.0,207.0,12238.0,2022-11-15 20:45:00
205.0,215.0,203.0,214.0,4122.0,2022-11-16 20:45:00
210.0,218.0,210.0,217.0,7249.0,2022-11-17 20:45:00
213.0,221.0,205.0,214.0,11898.0,2022-11-22 20:45:00
209.8,210.0,206.0,209.9,1615.0,2022-11-23 20:45:00
206.0,212.0,206.0,209.0,2511.0,2022-11-24 20:45:00
205.1,215.2,205.1,213.0,11132.0,2022-11-27 20:45:00
212.0,217.2,207.3,213.0,5350.0,2022-11-28 20:45:00
208.8,211.9,208.0,211.8,4270.0,2022-11-29 20:45:00
207.7,213.0,207.7,212.0,2200.0,2022-11-30 20:45:00
216.2,217.2,208.3,211.0,6485.0,2022-12-01 20:45:00
210.0,217.0,208.1,214.0,11536.0,2022-12-04 20:45:00
210.0,217.9,208.0,211.8,4759.0,2022-12-05 20:45:00
210.0,212.9,207.7,212.9,5597.0,2022-12-06 20:45:00
217.1,217.1,206.2,208.0,2910.0,2022-12-07 20:45:00
204.1,208.0,201.2,205.0,9442.0,2022-12-11 20:45:00
201.2,210.0,201.2,207.0,4140.0,2022-12-12 20:45:00
210.9,211.0,203.0,207.9,1130.0,2022-12-13 20:45:00
207.9,208.0,204.0,205.0,5389.0,2022-12-14 20:45:00
202.0,205.0,202.0,205.0,4137.0,2022-12-15 20:45:00
201.0,202.5,197.2,200.0,6020.0,2022-12-18 20:45:00
198.0,200.0,194.1,200.0,4260.0,2022-12-19 20:45:00
196.0,204.0,196.0,200.8,5670.0,2022-12-20 20:45:00
196.9,200.3,193.2,198.0,3170.0,2022-12-21 20:45:00
198.5,199.8,191.6,199.8,2490.0,2022-12-22 20:45:00
196.0,208.8,196.0,207.0,7353.0,2022-12-26 20:45:00
208.0,222.3,208.0,220.0,33037.0,2022-12-27 20:45:00
224.4,224.4,212.1,218.9,11505.0,2022-12-28 20:45:00
223.2,237.6,210.3,237.6,17926.0,2022-12-29 20:45:00
238.0,241.4,223.6,230.0,38315.0,2023-01-01 20:45:00
226.0,235.6,221.0,235.6,13861.0,2023-01-02 20:45:00
240.3,240.3,226.4,231.0,14031.0,2023-01-03 20:45:00
231.0,247.0,224.5,247.0,28218.0,2023-01-04 20:45:00
250.0,262.8,238.5,254.9,29875.0,2023-01-05 20:45:00
259.9,273.0,249.9,255.0,34356.0,2023-01-08 20:45:00
255.0,280.5,255.0,274.9,22850.0,2023-01-09 20:45:00
272.1,302.0,257.0,274.9,45311.0,2023-01-10 20:45:00
279.0,280.0,247.5,270.0,32776.0,2023-01-12 20:45:00
264.6,292.0,256.1,284.0,25994.0,2023-01-17 20:45:00
284.0,298.0,279.0,285.0,27024.0,2023-01-18 20:45:00
279.3,289.9,271.1,285.0,27546.0,2023-01-19 20:45:00
285.0,295.0,277.9,287.0,33360.0,2023-01-23 20:45:00
281.3,285.6,270.0,285.6,32363.0,2023-01-24 20:45:00
285.0,300.0,276.1,290.8,35292.0,2023-01-25 20:45:00
295.0,315.0,290.0,313.0,40662.0,2023-01-26 20:45:00
319.2,319.2,300.1,310.0,37323.0,2023-01-29 20:45:00
307.0,310.0,288.0,295.0,47991.0,2023-01-30 20:45:00
289.3,313.0,289.3,299.0,38093.0,2023-01-31 20:45:00
295.0,317.0,295.0,317.0,32470.0,2023-02-01 20:45:00
318.0,323.2,302.2,303.4,26506.0,2023-02-02 20:45:00
301.1,314.9,298.2,300.0,20402.0,2023-02-05 20:45:00
300.0,305.0,298.5,301.0,14081.0,2023-02-06 20:45:00
301.0,319.9,301.0,316.2,25863.0,2023-02-07 20:45:00
313.0,322.0,306.2,310.0,19304.0,2023-02-08 20:45:00
304.0,314.0,304.0,313.5,15393.0,2023-02-09 20:45:00
307.3,307.3,295.0,302.2,31789.0,2023-02-12 20:45:00
296.2,318.5,296.2,318.0,55503.0,2023-02-14 20:45:00
311.7,337.0,311.7,325.0,43382.0,2023-02-15 20:45:00
331.5,356.8,321.6,342.0,76794.0,2023-02-16 20:45:00
348.8,376.2,342.0,376.2,77662.0,2023-02-20 20:45:00
383.7,406.0,368.1,395.9,73373.0,2023-02-22 20:45:00
403.8,403.8,362.1,382.5,26080.0,2023-02-23 20:45:00
374.9,390.1,349.0,390.1,44049.0,2023-02-26 20:45:00
382.3,382.3,351.1,365.0,58922.0,2023-02-27 20:45:00
365.0,365.0,349.0,351.0,21605.0,2023-02-28 20:45:00
351.0,358.0,341.0,348.6,28192.0,2023-03-01 20:45:00
344.0,367.0,344.0,358.0,37675.0,2023-03-02 20:45:00
359.0,359.0,341.4,343.2,22495.0,2023-03-05 20:45:00
343.0,350.5,338.0,340.0,7255.0,2023-03-07 20:45:00
346.8,355.8,336.3,350.5,35269.0,2023-03-09 20:45:00
350.0,364.8,346.0,346.0,20952.0,2023-03-12 20:45:00
342.0,348.7,336.2,341.5,14970.0,2023-03-13 20:45:00
336.2,353.2,336.2,342.0,12033.0,2023-03-14 20:45:00
342.0,346.8,337.2,342.0,12958.0,2023-03-15 20:45:00
338.0,347.9,337.0,338.3,10473.0,2023-03-16 20:45:00
336.0,345.0,335.2,344.0,37457.0,2023-03-19 20:45:00
338.0,347.3,338.0,347.3,21798.0,2023-03-20 20:45:00
347.3,347.3,334.1,335.0,19138.0,2023-03-22 20:45:00
335.0,337.0,320.0,333.0,28747.0,2023-03-23 20:45:00
339.0,339.0,313.0,319.0,15825.0,2023-03-26 20:45:00
312.9,333.0,307.3,332.0,14232.0,2023-03-27 20:45:00
325.6,338.5,320.4,327.0,17780.0,2023-03-28 20:45:00
321.0,330.0,318.0,327.0,9306.0,2023-03-29 20:45:00
320.5,332.0,310.0,315.9,18365.0,2023-03-30 20:45:00
315.9,321.3,305.0,305.1,15789.0,2023-04-02 20:45:00
307.0,317.4,297.1,301.8,12220.0,2023-04-03 20:45:00
296.1,310.0,296.1,303.0,10155.0,2023-04-04 20:45:00
297.5,309.0,297.2,303.0,3646.0,2023-04-05 20:45:00
297.0,306.0,297.0,304.0,10335.0,2023-04-06 20:45:00
298.0,309.0,285.1,288.3,15305.0,2023-04-09 20:45:00
283.0,296.8,283.0,292.5,8452.0,2023-04-10 20:45:00
288.1,298.8,285.0,298.7,7922.0,2023-04-11 20:45:00
298.0,319.8,298.0,318.0,27509.0,2023-04-12 20:45:00
315.0,318.0,304.0,308.0,12740.0,2023-04-13 20:45:00
302.2,309.0,299.6,304.0,6594.0,2023-04-16 20:45:00
298.0,302.0,292.1,295.0,23220.0,2023-04-17 20:45:00
290.1,300.0,290.0,293.0,10864.0,2023-04-18 20:45:00
290.2,303.9,290.2,302.0,7055.0,2023-04-19 20:45:00
296.2,302.0,293.1,295.0,1710.0,2023-04-20 20:45:00
290.0,290.8,285.2,289.9,6451.0,2023-04-23 20:45:00
285.0,291.7,284.5,287.1,3931.0,2023-04-24 20:45:00
281.5,295.5,278.1,295.5,5175.0,2023-04-25 20:45:00
290.0,296.0,285.0,289.0,5808.0,2023-04-26 20:45:00
283.6,287.0,282.0,285.0,3958.0,2023-04-27 20:45:00
279.3,283.0,271.0,279.0,10860.0,2023-04-30 20:45:00
273.6,280.0,268.5,273.3,3383.0,2023-05-02 20:45:00
273.3,273.4,265.1,270.0,4080.0,2023-05-03 20:45:00
266.1,277.0,262.7,276.2,3230.0,2023-05-04 20:45:00
271.0,279.0,258.1,262.0,7025.0,2023-05-07 20:45:00
267.0,272.0,245.0,259.0,6570.0,2023-05-08 20:45:00
253.9,263.9,248.9,253.0,3666.0,2023-05-09 20:45:00
250.3,260.1,250.2,253.0,2050.0,2023-05-10 20:45:00
248.5,255.1,245.0,252.9,5840.0,2023-05-11 20:45:00
249.0,258.9,238.6,249.9,8295.0,2023-05-14 20:45:00
245.0,268.2,240.0,265.0,24921.0,2023-05-15 20:45:00
269.9,279.9,260.0,277.0,11752.0,2023-05-16 20:45:00
271.5,286.5,269.0,286.5,9360.0,2023-05-17 20:45:00
283.0,291.5,272.1,291.5,20428.0,2023-05-18 20:45:00
295.0,295.0,274.0,280.0,21168.0,2023-05-21 20:45:00
274.5,280.0,266.6,275.0,7915.0,2023-05-22 20:45:00
275.0,286.0,272.6,283.5,22883.0,2023-05-23 20:45:00
278.0,284.0,273.5,280.8,7417.0,2023-05-24 20:45:00
275.4,283.7,270.0,274.5,9406.0,2023-05-28 20:45:00
274.5,274.5,263.2,263.8,9710.0,2023-05-30 20:45:00
258.7,261.0,247.0,249.0,13639.0,2023-05-31 20:45:00
244.1,255.0,241.5,253.0,10411.0,2023-06-01 20:45:00
254.0,270.5,254.0,267.6,8325.0,2023-06-04 20:45:00
272.9,273.0,258.0,262.4,15314.0,2023-06-05 20:45:00
258.0,272.0,257.0,269.0,10294.0,2023-06-06 20:45:00
272.0,280.3,266.6,272.0,12331.0,2023-06-07 20:45:00
268.0,275.9,267.4,269.2,9211.0,2023-06-08 20:45:00
266.0,280.0,265.0,279.9,13017.0,2023-06-11 20:45:00
280.0,281.9,275.1,276.2,15457.0,2023-06-12 20:45:00
270.7,289.9,270.7,289.9,19718.0,2023-06-13 20:45:00
289.9,298.0,282.0,286.0,19436.0,2023-06-14 20:45:00
291.7,291.7,274.6,280.0,18787.0,2023-06-15 20:45:00
280.0,296.0,279.0,288.0,10382.0,2023-06-18 20:45:00
288.0,297.2,276.7,290.0,10120.0,2023-06-19 20:45:00
284.2,295.3,279.0,289.0,12727.0,2023-06-20 20:45:00
294.7,294.7,273.3,277.7,15010.0,2023-06-21 20:45:00
272.2,283.2,258.0,263.1,23887.0,2023-06-22 20:45:00
259.0,275.0,259.0,268.0,15360.0,2023-06-25 20:45:00
273.3,278.0,260.5,263.0,11593.0,2023-06-26 20:45:00
258.0,283.5,258.0,283.5,8240.0,2023-06-27 20:45:00
289.1,289.1,267.7,271.8,9558.0,2023-06-28 20:45:00
266.4,270.0,255.0,259.0,11239.0,2023-07-02 20:45:00
254.1,259.0,247.3,252.0,12959.0,2023-07-03 20:45:00
257.0,260.0,247.2,255.0,7820.0,2023-07-04 20:45:00
255.0,260.0,242.3,253.9,7579.0,2023-07-05 20:45:00
248.9,253.0,241.2,244.0,5565.0,2023-07-06 20:45:00
240.1,260.0,240.1,253.8,6860.0,2023-07-09 20:45:00
248.8,256.9,242.3,245.0,4917.0,2023-07-10 20:45:00
240.1,244.0,235.5,236.0,15865.0,2023-07-11 20:45:00
235.0,255.0,231.4,255.0,6450.0,2023-07-12 20:45:00
260.0,265.0,239.0,248.5,11486.0,2023-07-13 20:45:00
243.6,247.0,236.0,247.0,5602.0,2023-07-16 20:45:00
242.1,250.0,233.0,249.0,11362.0,2023-07-17 20:45:00
249.0,253.0,240.5,250.9,12420.0,2023-07-18 20:45:00
245.9,250.0,240.0,246.0,2573.0,2023-07-19 20:45:00
242.1,254.9,238.4,247.9,11850.0,2023-07-20 20:45:00
252.0,254.0,239.0,250.0,11814.0,2023-07-23 20:45:00
245.1,258.0,245.0,253.9,7267.0,2023-07-24 20:45:00
255.0,257.0,242.0,249.0,9075.0,2023-07-25 20:45:00
253.0,253.0,237.0,243.0,31835.0,2023-07-26 20:45:00
238.2,246.0,235.0,238.1,4469.0,2023-07-27 20:45:00
241.0,242.0,231.0,238.0,9279.0,2023-07-30 20:45:00
238.0,240.0,232.0,236.3,3974.0,2023-07-31 20:45:00
241.0,241.0,228.9,233.4,6693.0,2023-08-01 20:45:00
230.0,232.0,225.5,231.0,6260.0,2023-08-02 20:45:00
230.0,235.0,227.0,230.0,2280.0,2023-08-03 20:45:00
230.0,230.0,218.3,221.1,3040.0,2023-08-06 20:45:00
218.0,233.0,216.8,233.0,7774.0,2023-08-07 20:45:00
237.6,237.6,216.0,225.0,5491.0,2023-08-08 20:45:00
220.6,233.0,214.3,232.0,4435.0,2023-08-09 20:45:00
232.0,232.0,218.6,229.4,2380.0,2023-08-10 20:45:00
224.9,229.9,217.1,225.0,6427.0,2023-08-13 20:45:00
220.5,222.0,215.1,221.7,9307.0,2023-08-14 20:45:00
217.3,217.3,210.0,214.0,4072.0,2023-08-15 20:45:00
210.1,223.0,200.1,214.0,6150.0,2023-08-16 20:45:00
210.0,216.9,205.0,205.0,5012.0,2023-08-17 20:45:00
204.0,210.0,197.7,199.0,7478.0,2023-08-20 20:45:00
199.0,201.1,193.2,199.0,8322.0,2023-08-21 20:45:00
199.0,200.0,192.3,200.0,3613.0,2023-08-22 20:45:00
200.0,212.0,197.3,208.9,4952.0,2023-08-23 20:45:00
208.9,223.1,206.0,212.1,16251.0,2023-08-24 20:45:00
207.9,211.0,202.0,208.9,4775.0,2023-08-27 20:44:00
208.9,215.0,201.2,211.9,5470.0,2023-08-28 20:45:00
207.7,212.0,203.6,208.0,4451.0,2023-08-29 20:45:00
205.0,206.0,201.5,206.0,1728.0,2023-08-30 20:45:00
202.0,204.7,200.1,204.0,3812.0,2023-09-03 20:45:00
200.0,204.3,198.0,199.1,1990.0,2023-09-04 20:45:00
196.0,206.3,196.0,201.0,7293.0,2023-09-05 20:45:00
197.0,205.0,196.0,198.0,1990.0,2023-09-07 20:45:00
195.0,204.0,195.0,203.0,2850.0,2023-09-10 20:45:00
199.0,211.0,199.0,211.0,9892.0,2023-09-11 20:44:00
207.0,212.0,199.3,205.9,4490.0,2023-09-12 20:45:00
209.0,212.0,199.1,212.0,6705.0,2023-09-13 20:45:00
207.8,212.9,200.0,205.2,14737.0,2023-09-17 20:45:00
209.0,209.0,197.3,208.8,24367.0,2023-09-18 20:45:00
211.0,229.6,205.2,228.0,25285.0,2023-09-19 20:45:00
230.0,247.7,230.0,237.0,28329.0,2023-09-21 20:45:00
235.0,239.0,222.0,227.0,25828.0,2023-09-24 20:45:00
222.6,245.0,221.5,233.0,10110.0,2023-09-25 20:45:00
231.1,245.0,231.1,240.2,15287.0,2023-09-26 20:45:00
235.5,240.0,227.0,227.0,28784.0,2023-09-27 20:45:00
223.3,235.5,221.0,221.2,16661.0,2023-10-01 20:45:00
218.4,233.5,214.2,226.0,15757.0,2023-10-02 20:45:00
223.0,234.9,221.5,222.0,8121.0,2023-10-03 20:45:00
219.1,230.0,219.1,225.2,6168.0,2023-10-04 20:45:00
222.1,230.0,222.1,224.0,10050.0,2023-10-05 20:45:00
222.0,225.0,218.0,218.0,11520.0,2023-10-08 20:45:00
215.2,225.0,215.2,219.0,7439.0,2023-10-09 20:45:00
216.0,218.9,213.0,215.0,4554.0,2023-10-10 20:45:00
211.1,218.0,210.1,218.0,7226.0,2023-10-11 20:45:00
213.7,214.5,209.5,213.9,7329.0,2023-10-12 20:45:00
210.0,211.0,203.0,203.0,7176.0,2023-10-16 20:45:00
207.0,211.2,205.2,209.9,3881.0,2023-10-17 20:45:00
208.0,215.0,208.0,211.1,3211.0,2023-10-18 20:45:00
214.5,214.9,207.3,212.0,1450.0,2023-10-19 20:45:00
207.8,210.0,201.1,210.0,2249.0,2023-10-29 20:45:00
205.8,208.0,202.1,206.8,1284.0,2023-10-30 20:45:00
203.0,207.5,203.0,206.2,3870.0,2023-10-31 20:45:00
205.0,206.0,203.1,204.1,2720.0,2023-11-01 20:45:00
200.7,205.0,200.7,204.0,6645.0,2023-11-02 20:45:00
200.1,201.0,197.4,198.9,3233.0,2023-11-05 20:45:00
198.0,205.0,197.6,205.0,2833.0,2023-11-06 20:45:00
209.0,217.0,201.1,209.1,5547.0,2023-11-07 20:45:00
