open,high,low,close,volume,date
364.05,364.05,337.05,337.05,9881.0,2022-08-15 05:45:00
331.0,347.09,309.53,332.38,658249.0,2022-08-16 20:45:00
326.43,347.14,326.43,340.0,286860.0,2022-08-17 20:45:00
342.86,342.86,332.86,334.29,163459.0,2022-08-18 20:45:00
334.29,334.29,324.29,324.76,199022.0,2022-08-21 20:45:00
324.76,328.05,320.47,323.71,139622.0,2022-08-22 20:45:00
319.05,330.95,319.05,326.19,124029.0,2022-08-23 20:45:00
323.81,333.33,323.81,326.67,91124.0,2022-08-24 20:45:00
326.67,329.53,317.14,319.05,155520.0,2022-08-25 20:45:00
316.19,318.91,312.86,314.76,99335.0,2022-08-26 20:45:00
313.33,318.09,307.19,307.19,102012.0,2022-08-28 20:45:00
301.71,311.43,301.71,308.95,61415.0,2022-08-29 20:45:00
303.47,314.05,303.47,307.14,51489.0,2022-08-30 20:45:00
305.71,309.53,299.53,309.05,113471.0,2022-08-31 20:45:00
304.76,310.0,302.95,309.05,72644.0,2022-09-01 20:33:00
304.76,310.0,300.95,301.91,39637.0,2022-09-02 20:45:00
307.09,318.05,303.81,313.33,152736.0,2022-09-04 20:45:00
314.81,325.71,314.81,322.38,164610.0,2022-09-05 20:45:00
328.09,328.09,310.0,311.43,152914.0,2022-09-06 20:45:00
316.95,316.95,306.19,306.43,52789.0,2022-09-07 20:45:00
310.43,312.09,304.76,307.62,76993.0,2022-09-08 20:45:00
313.09,313.09,301.43,302.86,48347.0,2022-09-11 20:45:00
308.24,308.24,299.05,300.19,49812.0,2022-09-12 20:45:00
303.33,308.09,300.0,301.91,99180.0,2022-09-13 20:45:00
307.24,309.53,302.86,308.09,64873.0,2022-09-14 20:45:00
303.81,308.0,292.38,295.24,209781.0,2022-09-15 20:45:00
290.0,290.53,282.0,289.05,79516.0,2022-09-16 20:45:00
286.19,290.95,278.57,279.05,70375.0,2022-09-18 20:45:00
278.57,278.57,273.81,274.29,105117.0,2022-09-20 20:45:00
274.29,280.0,273.81,275.76,47176.0,2022-09-21 20:45:00
275.71,278.09,271.33,271.91,31428.0,2022-09-22 20:45:00
271.43,271.43,263.81,263.81,71307.0,2022-09-25 20:45:00
268.09,270.47,262.71,264.76,58438.0,2022-09-27 20:45:00
266.67,269.38,260.95,262.33,42076.0,2022-09-28 20:45:00
260.0,269.05,260.0,261.86,45853.0,2022-09-29 20:45:00
266.19,266.19,261.91,265.24,23702.0,2022-10-09 20:45:00
266.67,269.53,257.86,259.38,33002.0,2022-10-10 20:45:00
259.05,259.05,252.62,253.33,44518.0,2022-10-11 20:45:00
257.62,257.62,250.95,252.38,43841.0,2022-10-12 20:45:00
252.86,257.14,252.86,254.29,61098.0,2022-10-13 20:45:00
258.67,258.67,251.0,251.43,60380.0,2022-10-16 20:45:00
250.0,255.67,250.0,252.29,49256.0,2022-10-17 20:45:00
250.47,251.43,245.33,245.71,51769.0,2022-10-19 20:45:00
245.71,248.71,242.62,244.29,23599.0,2022-10-20 20:45:00
248.47,248.47,241.43,244.53,32802.0,2022-10-23 20:45:00
247.62,247.62,239.14,241.43,26273.0,2022-10-31 20:45:00
245.57,256.19,236.86,251.81,110101.0,2022-11-01 20:45:00
256.14,257.14,249.05,251.67,112547.0,2022-11-02 20:45:00
247.62,254.76,245.24,245.29,57287.0,2022-11-03 20:45:00
249.47,255.19,245.24,254.29,67835.0,2022-11-06 20:45:00
256.62,270.95,254.29,261.43,198293.0,2022-11-07 20:45:00
262.38,267.62,262.38,263.33,90122.0,2022-11-08 20:45:00
267.91,267.91,256.19,257.14,102291.0,2022-11-09 20:45:00
257.14,259.53,249.53,251.43,71691.0,2022-11-10 20:45:00
250.19,254.76,247.67,249.57,39744.0,2022-11-13 20:45:00
249.05,257.14,249.05,256.67,48455.0,2022-11-14 20:45:00
260.95,261.43,250.47,251.43,40267.0,2022-11-15 20:45:00
247.67,265.71,247.67,263.29,127015.0,2022-11-16 20:45:00
264.76,282.0,264.76,277.14,282016.0,2022-11-17 20:45:00
278.57,283.81,276.76,277.62,167496.0,2022-11-22 20:45:00
282.47,289.53,268.95,270.43,599465.0,2022-12-05 20:45:00
269.05,273.81,263.95,270.47,101349.0,2022-12-06 20:45:00
