open,high,low,close,volume,date
69.92,69.92,69.92,69.92,500.0,2014-08-28 05:45:00
70.91,74.2,70.91,74.2,2000.0,2014-08-31 05:45:00
75.18,77.15,75.18,77.15,1200.0,2014-09-01 05:45:00
78.15,78.15,78.15,78.15,500.0,2014-09-03 05:45:00
79.14,79.14,79.14,79.14,100.0,2014-09-17 05:45:00
79.14,79.14,79.14,79.14,500.0,2014-09-22 05:45:00
79.14,79.14,79.14,79.14,210.0,2014-10-13 05:45:00
79.14,79.14,79.14,79.14,3000.0,2014-10-14 05:45:00
78.15,78.15,73.54,73.54,60.0,2014-11-10 05:45:00
72.55,72.55,68.94,68.94,590.0,2014-11-11 05:45:00
68.27,68.27,68.27,68.27,110.0,2014-11-12 05:45:00
68.94,68.94,68.94,68.94,100.0,2014-11-17 05:45:00
68.27,68.27,66.96,66.96,510.0,2014-12-01 05:45:00
66.3,66.64,63.33,66.64,5760.0,2014-12-02 05:45:00
65.97,65.97,65.31,65.31,10880.0,2014-12-03 05:45:00
65.97,65.97,65.97,65.97,2000.0,2014-12-04 05:45:00
65.31,66.3,64.99,66.3,2740.0,2014-12-07 05:45:00
66.96,66.96,66.96,66.96,500.0,2014-12-08 05:45:00
67.62,68.94,67.62,68.94,150.0,2014-12-09 05:45:00
68.27,68.94,68.27,68.94,250.0,2014-12-10 05:45:00
69.6,69.92,68.27,68.27,2150.0,2014-12-15 05:45:00
67.62,68.27,67.62,67.62,600.0,2014-12-16 05:45:00
67.62,67.62,67.62,67.62,120.0,2014-12-22 05:45:00
67.29,67.29,66.64,66.64,130.0,2014-12-23 05:45:00
65.97,65.97,65.97,65.97,50.0,2015-01-05 05:45:00
65.31,65.31,64.66,64.66,650.0,2015-01-06 05:45:00
64.0,64.0,64.0,64.0,110.0,2015-01-12 05:45:00
63.33,63.33,63.33,63.33,60.0,2015-01-14 05:45:00
64.0,64.0,64.0,64.0,1000.0,2015-01-18 05:45:00
64.66,64.66,64.66,64.66,300.0,2015-01-19 05:45:00
65.31,65.31,65.31,65.31,300.0,2015-01-22 05:45:00
65.97,65.97,65.97,65.97,500.0,2015-01-25 05:45:00
66.64,68.61,66.64,68.61,440.0,2015-01-26 05:45:00
69.27,69.92,69.27,69.92,890.0,2015-01-27 05:45:00
70.91,73.54,70.91,73.54,1560.0,2015-01-29 05:45:00
74.53,76.51,74.53,74.53,4010.0,2015-02-02 05:45:00
73.54,73.54,73.54,73.54,550.0,2015-02-03 05:45:00
73.21,73.21,72.22,72.22,1500.0,2015-02-04 05:45:00
71.24,71.24,71.24,71.24,2000.0,2015-02-08 05:45:00
70.25,70.25,70.25,70.25,100.0,2015-02-09 05:45:00
69.6,69.6,68.94,68.94,6300.0,2015-02-10 05:45:00
69.6,69.6,69.6,69.6,350.0,2015-02-18 05:45:00
69.92,69.92,69.92,69.92,3000.0,2015-02-23 05:45:00
70.91,70.91,70.91,70.91,130.0,2015-02-25 05:45:00
71.9,71.9,71.9,71.9,120.0,2015-03-01 05:45:00
72.88,72.88,71.9,71.9,2940.0,2015-03-04 05:45:00
72.88,74.85,72.88,74.85,150.0,2015-03-09 05:45:00
73.87,74.2,73.87,74.2,12500.0,2015-03-10 05:45:00
75.18,75.18,75.18,75.18,540.0,2015-03-11 05:45:00
76.17,80.45,76.17,80.45,1000.0,2015-03-15 05:45:00
80.45,86.37,79.46,79.46,10500.0,2015-03-16 05:45:00
79.79,79.79,79.79,79.79,500.0,2015-03-17 05:45:00
78.81,78.81,78.81,78.81,1210.0,2015-03-18 05:45:00
77.82,77.82,77.82,77.82,500.0,2015-03-19 05:45:00
76.84,76.84,76.84,76.84,50.0,2015-03-25 05:45:00
75.84,75.84,74.85,74.85,100.0,2015-04-01 05:45:00
73.87,73.87,73.87,73.87,200.0,2015-04-08 05:45:00
74.85,74.85,73.87,73.87,520.0,2015-06-07 05:45:00
74.85,74.85,73.87,73.87,520.0,2015-06-08 05:45:00
74.85,74.85,74.85,74.85,20.0,2015-06-09 05:45:00
75.84,75.84,75.84,75.84,20.0,2015-06-18 05:45:00
76.84,76.84,76.84,76.84,20.0,2015-06-23 05:45:00
77.82,80.78,77.82,80.78,160.0,2015-07-26 05:45:00
79.79,79.79,79.79,79.79,1000.0,2015-07-27 05:45:00
79.79,79.79,79.79,79.79,5640.0,2015-07-28 05:45:00
80.45,80.45,80.45,80.45,100.0,2015-07-29 05:45:00
79.46,80.45,79.46,80.45,150.0,2015-08-16 05:45:00
79.46,79.46,78.47,78.47,40.0,2015-08-20 05:45:00
79.46,79.79,78.47,78.47,1600.0,2015-08-24 05:45:00
77.49,77.49,72.88,72.88,4139.0,2015-08-25 05:45:00
73.87,75.84,73.87,75.18,1020.0,2015-08-26 05:45:00
75.84,76.84,74.85,76.84,8810.0,2015-08-27 05:45:00
76.17,77.15,76.17,77.15,1700.0,2015-08-31 05:45:00
77.15,77.15,76.51,77.15,3600.0,2015-09-01 05:45:00
76.17,76.17,75.18,75.18,3360.0,2015-09-02 05:45:00
74.2,74.2,73.54,73.54,330.0,2015-09-06 05:45:00
72.55,73.54,72.55,73.54,330.0,2015-09-07 05:45:00
74.53,74.53,74.53,74.53,360.0,2015-09-08 05:45:00
75.52,76.84,75.52,76.84,620.0,2015-09-09 05:45:00
75.84,76.84,75.84,76.84,2000.0,2015-09-14 05:45:00
77.82,77.82,77.82,77.82,100.0,2015-09-15 05:45:00
