open,high,low,close,volume,date
10.0,10.0,9.85,9.85,200.0,2023-07-30 20:45:00
9.66,9.66,9.66,9.66,200.0,2023-07-31 20:45:00
9.85,9.85,9.85,9.85,100.0,2023-08-02 20:45:00
10.04,10.04,10.04,10.04,100.0,2023-08-03 20:45:00
10.24,10.24,10.24,10.24,100.0,2023-08-06 20:45:00
10.44,10.44,10.44,10.44,100.0,2023-08-07 20:45:00
10.64,10.64,10.64,10.64,100.0,2023-08-09 20:45:00
10.43,10.43,10.43,10.43,100.0,2023-08-13 20:45:00
10.23,10.23,10.23,10.23,100.0,2023-08-24 20:45:00
10.03,10.03,10.03,10.03,100.0,2023-09-03 20:45:00
9.83,9.83,9.45,9.45,300.0,2023-09-04 20:45:00
9.27,9.27,8.5,8.5,1000.0,2023-09-05 20:45:00
8.35,8.35,7.75,7.8,2225.0,2023-09-07 20:45:00
7.8,7.95,7.53,7.95,6025.0,2023-09-10 20:45:00
7.8,7.8,7.67,7.7,600.0,2023-09-11 20:44:00
7.57,7.7,7.56,7.61,1900.0,2023-09-12 20:45:00
7.46,7.61,7.33,7.61,750.0,2023-09-13 20:45:00
7.49,7.61,7.49,7.56,1000.0,2023-09-17 20:45:00
7.71,8.16,7.71,8.16,825.0,2023-09-18 20:45:00
8.0,8.0,7.54,7.7,700.0,2023-09-19 20:45:00
7.58,7.7,7.58,7.66,1100.0,2023-09-21 20:45:00
7.58,7.7,7.58,7.7,1100.0,2023-09-24 20:45:00
7.58,7.59,7.58,7.59,400.0,2023-09-25 20:45:00
7.59,7.75,7.57,7.6,1200.0,2023-09-26 20:45:00
7.58,7.61,7.58,7.61,1200.0,2023-09-27 20:45:00
7.57,7.61,7.57,7.61,1700.0,2023-10-01 20:45:00
7.57,7.75,7.57,7.63,1100.0,2023-10-02 20:45:00
7.59,7.6,7.59,7.6,1125.0,2023-10-03 20:45:00
7.58,7.62,7.58,7.62,200.0,2023-10-04 20:45:00
7.5,7.75,7.5,7.75,825.0,2023-10-05 20:45:00
7.61,7.63,7.61,7.63,600.0,2023-10-08 20:45:00
7.7,7.85,7.7,7.85,1700.0,2023-10-09 20:45:00
7.7,7.7,7.56,7.61,400.0,2023-10-10 20:45:00
7.66,7.71,7.66,7.71,680.0,2023-10-11 20:45:00
7.7,7.85,7.7,7.85,1000.0,2023-10-12 20:45:00
7.8,7.8,7.64,7.65,4925.0,2023-10-16 20:45:00
7.68,7.7,7.68,7.69,600.0,2023-10-17 20:45:00
7.6,7.85,7.6,7.7,3300.0,2023-10-18 20:45:00
7.7,7.7,7.55,7.55,700.0,2023-10-19 20:45:00
7.5,7.5,7.5,7.5,100.0,2023-10-29 20:45:00
7.37,7.45,7.37,7.45,1800.0,2023-10-30 20:45:00
7.5,7.5,7.5,7.5,200.0,2023-10-31 20:45:00
7.5,7.5,7.5,7.5,600.0,2023-11-01 20:45:00
7.37,7.37,7.37,7.37,100.0,2023-11-02 20:45:00
7.37,7.37,7.37,7.37,200.0,2023-11-05 20:45:00
7.37,7.37,7.37,7.37,200.0,2023-11-06 20:45:00
7.3,7.3,7.3,7.3,400.0,2023-11-08 20:45:00
7.31,7.45,7.31,7.32,400.0,2023-11-09 20:45:00
7.32,7.32,7.32,7.32,200.0,2023-11-20 20:45:00
7.24,7.32,7.24,7.32,300.0,2023-11-21 20:45:00
7.32,7.35,7.23,7.35,2363.0,2023-11-22 20:45:00
7.23,7.37,7.23,7.37,900.0,2023-11-23 20:45:00
7.3,7.4,7.3,7.4,300.0,2023-11-26 20:45:00
