open,high,low,close,volume,date
419.48,461.38,419.48,426.72,487186.0,2023-09-17 05:45:00
431.03,431.03,418.28,421.55,192130.0,2023-09-18 20:45:00
421.55,421.55,412.41,418.53,220056.0,2023-09-19 20:45:00
419.83,427.59,416.55,417.41,286708.0,2023-09-21 20:45:00
412.93,423.28,398.45,399.22,159725.0,2023-09-24 20:45:00
396.55,405.17,393.19,396.55,142761.0,2023-09-25 20:45:00
396.55,413.88,396.55,411.81,151068.0,2023-09-26 20:45:00
409.48,419.4,406.03,412.93,122887.0,2023-09-27 20:45:00
409.48,409.48,397.41,398.71,116239.0,2023-10-01 20:45:00
393.1,402.24,393.1,401.72,102400.0,2023-10-02 20:45:00
396.55,402.59,396.55,396.81,80679.0,2023-10-03 20:45:00
393.97,405.09,392.24,399.14,92751.0,2023-10-04 20:45:00
394.91,400.86,394.91,395.0,64915.0,2023-10-05 20:45:00
387.93,393.97,381.12,383.62,124649.0,2023-10-08 20:45:00
379.31,387.07,377.07,380.86,76160.0,2023-10-09 20:45:00
375.86,380.86,373.53,373.79,57185.0,2023-10-10 20:45:00
370.69,383.62,370.09,373.71,64213.0,2023-10-11 20:45:00
370.78,375.0,365.52,366.03,64409.0,2023-10-12 20:45:00
358.79,362.5,346.55,351.81,87805.0,2023-10-16 20:45:00
344.83,364.57,344.83,354.74,52689.0,2023-10-17 20:45:00
354.31,362.93,348.45,359.48,41100.0,2023-10-18 20:45:00
354.31,362.93,354.31,358.45,28922.0,2023-10-19 20:45:00
352.59,353.45,347.59,349.57,34681.0,2023-10-29 20:45:00
349.14,350.0,344.83,350.0,28848.0,2023-10-30 20:45:00
350.0,350.0,345.0,346.9,25757.0,2023-10-31 20:45:00
344.83,350.86,343.28,344.83,32091.0,2023-11-01 20:45:00
340.6,351.72,340.6,344.83,32962.0,2023-11-02 20:45:00
337.93,345.69,336.21,338.79,25038.0,2023-11-05 20:45:00
336.21,344.83,336.21,342.76,23181.0,2023-11-06 20:45:00
342.24,360.34,341.38,356.9,64744.0,2023-11-07 20:45:00
362.07,367.24,350.86,359.48,56829.0,2023-11-08 20:45:00
352.59,366.64,352.59,357.76,37056.0,2023-11-09 20:45:00
353.45,368.97,353.45,362.07,54125.0,2023-11-20 20:45:00
357.76,362.07,354.31,355.09,43777.0,2023-11-21 20:45:00
349.22,367.5,349.22,362.07,55426.0,2023-11-22 20:45:00
355.26,391.29,355.26,379.31,119970.0,2023-11-23 20:45:00
375.86,405.26,375.86,405.17,165042.0,2023-11-26 20:45:00
400.86,412.93,392.33,401.81,162875.0,2023-11-27 20:45:00
400.86,409.74,397.5,405.09,96760.0,2023-11-28 20:45:00
405.09,407.76,393.1,393.97,68544.0,2023-11-29 20:45:00
386.12,407.76,386.12,396.55,71157.0,2023-11-30 20:45:00
389.83,398.28,389.83,393.97,58396.0,2023-12-03 20:45:00
389.74,406.9,389.74,402.59,92194.0,2023-12-04 20:45:00
409.48,415.52,405.17,409.05,108588.0,2023-12-05 20:45:00
409.05,423.28,406.9,420.78,151676.0,2023-12-06 20:45:00
413.88,423.28,409.66,419.22,163473.0,2023-12-07 20:45:00
422.41,443.97,422.41,443.1,39065.0,2023-12-10 20:45:00
448.28,448.28,425.86,447.93,325267.0,2023-12-11 20:45:00
447.84,471.55,445.69,467.24,267573.0,2023-12-12 20:45:00
474.14,476.72,462.07,468.1,202768.0,2023-12-13 20:45:00
477.41,477.41,456.9,471.55,213185.0,2023-12-14 20:45:00
462.16,480.95,454.4,475.86,297715.0,2023-12-17 20:45:00
469.83,488.71,469.83,478.45,222876.0,2023-12-18 20:44:00
469.83,517.24,469.83,508.62,214105.0,2023-12-19 20:45:00
500.0,521.55,500.0,510.34,282935.0,2023-12-20 20:45:00
508.62,515.52,500.26,504.31,229637.0,2023-12-21 20:45:00
508.62,519.83,495.78,512.93,285552.0,2023-12-24 20:45:00
512.93,519.83,503.71,504.31,213685.0,2023-12-27 20:45:00
495.86,508.62,495.86,501.72,222384.0,2023-12-28 20:45:00
501.72,506.03,488.36,488.88,172131.0,2024-01-01 20:45:00
482.76,487.07,468.1,469.91,178303.0,2024-01-02 20:45:00
465.52,475.86,452.59,474.14,156218.0,2024-01-03 20:45:00
478.45,487.93,469.83,469.91,208839.0,2024-01-04 20:45:00
460.52,469.74,457.84,461.21,125364.0,2024-01-07 20:45:00
469.83,482.76,462.93,479.31,169677.0,2024-01-08 20:44:57
481.03,491.47,478.45,481.03,215326.0,2024-01-09 20:44:55
490.6,520.17,490.6,499.05,496040.0,2024-01-10 20:44:55
504.31,504.31,491.38,492.24,167643.0,2024-01-11 20:44:58
495.69,496.55,487.07,487.93,131023.0,2024-01-14 20:44:48
487.93,515.52,487.93,508.62,228431.0,2024-01-16 20:44:59
508.62,527.59,497.76,498.28,198057.0,2024-01-17 20:44:52
498.36,501.81,489.66,496.03,115513.0,2024-01-18 20:44:59
505.95,506.9,491.38,493.88,160835.0,2024-01-21 20:44:56
493.88,504.4,487.93,495.69,187913.0,2024-01-22 20:44:49
486.21,501.72,486.21,492.24,83789.0,2024-01-23 20:44:33
500.0,500.86,490.52,493.1,93152.0,2024-01-24 20:44:55
493.1,495.69,489.66,491.38,123970.0,2024-01-25 20:44:58
491.38,500.86,491.38,497.84,300619.0,2024-01-28 20:44:59
507.7,515.0,488.1,489.0,76971.0,2024-01-29 20:44:58
480.0,496.2,476.3,479.7,96510.0,2024-01-30 20:44:56
479.0,482.0,465.0,469.0,72717.0,2024-01-31 20:44:59
460.1,469.0,455.0,457.0,43310.0,2024-02-01 20:44:59
450.5,457.0,446.2,451.8,38471.0,2024-02-04 20:44:50
451.0,456.0,446.5,447.5,40906.0,2024-02-05 20:44:57
452.0,455.8,448.2,451.0,28363.0,2024-02-06 20:44:44
445.0,472.0,445.0,472.0,141965.0,2024-02-07 20:44:57
475.1,480.0,470.0,470.5,73145.0,2024-02-08 20:44:56
470.0,480.0,462.1,464.6,40826.0,2024-02-11 20:44:56
458.0,470.0,458.0,465.0,28273.0,2024-02-12 20:44:46
461.0,465.0,450.0,455.0,40983.0,2024-02-13 20:44:29
448.4,462.0,448.4,454.2,31667.0,2024-02-14 20:44:53
450.2,455.0,446.8,448.0,30523.0,2024-02-15 20:44:59
446.1,452.0,440.0,441.0,38354.0,2024-02-18 20:44:53
437.1,448.0,437.0,442.0,32611.0,2024-02-20 20:44:57
437.0,445.0,431.2,433.3,45804.0,2024-02-21 20:44:55
430.0,440.0,428.1,428.6,37209.0,2024-02-22 20:44:59
435.0,440.0,424.1,424.2,36823.0,2024-02-25 20:44:58
420.0,432.4,419.6,430.0,30389.0,2024-02-26 20:44:43
423.0,433.5,423.0,428.0,26847.0,2024-02-27 20:44:53
425.0,433.0,425.0,427.0,22610.0,2024-02-28 20:44:56
422.1,429.0,417.0,419.0,26819.0,2024-02-29 20:44:54
413.0,420.0,410.0,414.1,27869.0,2024-03-03 20:44:49
422.0,455.5,422.0,455.5,1815.0,2024-03-04 17:49:37
460.0,460.0,432.0,432.0,60069.0,2024-03-05 20:44:29
428.2,438.6,424.0,431.0,30085.0,2024-03-06 20:44:50
431.0,442.0,431.0,437.1,24279.0,2024-03-07 20:44:58
438.0,448.1,438.0,444.5,31290.0,2024-03-10 20:44:53
444.0,477.0,444.0,477.0,92829.0,2024-03-12 20:44:58
467.5,487.0,465.0,472.0,57914.0,2024-03-13 20:44:58
475.0,475.0,455.1,458.9,33317.0,2024-03-14 20:44:57
455.0,466.0,453.0,456.0,34984.0,2024-03-17 20:44:59
451.0,458.0,448.0,452.0,26652.0,2024-03-18 20:44:51
450.0,459.7,448.0,449.0,31244.0,2024-03-19 20:44:55
451.0,457.0,441.0,444.5,26062.0,2024-03-20 20:44:39
440.6,447.0,437.0,437.6,36131.0,2024-03-21 20:44:57
440.0,446.3,434.0,436.0,18747.0,2024-03-25 20:44:49
436.0,447.0,435.0,439.6,24843.0,2024-03-26 20:44:18
439.6,445.0,434.0,438.0,28505.0,2024-03-27 20:44:59
437.5,443.5,431.1,439.0,23561.0,2024-03-28 20:44:59
435.0,440.0,433.0,434.2,21106.0,2024-03-31 20:44:41
427.0,442.0,427.0,434.0,21306.0,2024-04-01 20:44:58
434.0,440.0,431.1,435.1,16426.0,2024-04-02 20:44:57
435.1,443.8,435.1,437.6,20330.0,2024-04-03 20:44:54
433.0,439.5,430.0,431.1,36531.0,2024-04-04 20:44:32
422.5,442.0,422.5,442.0,52195.0,2024-04-07 20:44:28
444.0,450.0,437.0,437.1,37439.0,2024-04-09 20:44:26
437.0,444.0,429.0,434.6,48902.0,2024-04-10 20:44:36
428.1,433.0,428.1,430.5,22339.0,2024-04-14 20:44:43
429.0,434.0,428.0,428.1,27603.0,2024-04-15 20:44:23
427.1,430.0,425.1,426.0,22954.0,2024-04-16 20:44:59
422.4,426.8,412.0,421.0,24011.0,2024-04-18 20:44:24
429.4,432.5,417.0,430.0,23437.0,2024-04-21 20:44:31
437.9,437.9,421.5,421.8,24994.0,2024-04-22 20:44:41
420.0,426.5,420.0,421.9,25213.0,2024-04-24 20:44:16
421.1,427.0,421.0,423.0,21457.0,2024-04-25 20:44:20
422.0,430.0,420.1,424.9,23477.0,2024-04-28 20:44:25
426.0,434.5,424.0,424.0,19162.0,2024-04-29 20:44:30
421.0,440.0,421.0,433.9,37022.0,2024-04-30 20:44:22
442.5,448.0,433.0,433.0,62417.0,2024-05-02 20:44:11
427.0,435.0,425.0,426.0,31963.0,2024-05-05 20:44:23
434.5,443.0,423.6,427.0,69367.0,2024-05-06 20:44:21
428.0,435.0,426.0,426.3,17579.0,2024-05-07 20:44:47
425.1,430.0,422.8,422.8,19298.0,2024-05-08 20:44:40
428.0,428.0,418.0,421.0,31430.0,2024-05-09 20:44:12
421.0,435.0,421.0,427.1,34083.0,2024-05-12 20:44:37
420.0,434.3,420.0,431.0,35680.0,2024-05-13 20:44:15
437.0,437.0,428.0,432.4,26837.0,2024-05-14 20:44:36
441.0,441.0,427.0,428.1,34483.0,2024-05-15 20:44:47
428.1,430.0,423.4,428.9,25913.0,2024-05-16 20:44:55
437.4,455.0,430.0,446.0,127768.0,2024-05-19 20:38:40
452.6,460.0,440.0,443.0,80491.0,2024-05-20 20:44:58
440.2,448.9,438.0,445.6,35980.0,2024-05-21 20:44:58
440.0,448.8,440.0,442.6,52775.0,2024-05-22 20:44:56
440.1,440.3,435.2,438.0,36164.0,2024-05-26 20:44:51
435.0,442.0,433.0,437.8,25304.0,2024-05-27 20:44:58
445.5,446.0,428.3,429.0,47692.0,2024-05-29 20:44:54
430.0,432.0,425.2,426.3,23961.0,2024-05-30 20:44:51
430.0,448.0,422.5,429.0,38368.0,2024-06-02 20:44:58
427.0,434.9,425.6,426.0,29460.0,2024-06-03 20:44:58
426.0,436.0,425.1,430.0,45938.0,2024-06-04 20:44:54
430.0,436.0,428.1,430.0,21627.0,2024-06-05 20:44:55
425.0,431.0,424.5,425.0,33192.0,2024-06-06 20:44:54
426.0,430.0,423.0,425.5,27450.0,2024-06-09 20:44:59
424.0,429.0,424.0,424.5,31273.0,2024-06-10 20:44:58
423.2,443.0,423.2,438.0,38621.0,2024-06-11 20:44:59
438.0,444.2,434.0,434.0,26088.0,2024-06-12 20:44:58
442.6,442.6,429.2,431.6,27863.0,2024-06-13 20:44:59
431.6,434.9,427.5,428.0,40074.0,2024-06-16 20:44:55
425.1,430.0,424.5,426.5,30691.0,2024-06-18 20:44:55
426.5,429.0,425.5,426.3,20615.0,2024-06-19 20:44:27
425.4,428.0,423.1,423.1,22044.0,2024-06-20 20:44:57
420.2,424.0,420.0,420.1,33979.0,2024-06-23 20:44:50
420.0,426.0,419.5,421.1,23432.0,2024-06-24 20:44:39
421.1,426.0,421.1,424.1,19270.0,2024-06-25 20:44:53
425.0,425.0,420.0,420.1,19674.0,2024-06-26 20:44:56
415.1,423.0,415.1,418.5,21651.0,2024-06-27 20:44:31
419.5,421.0,415.0,418.5,29396.0,2024-06-30 20:43:59
420.0,423.5,417.0,421.1,23766.0,2024-07-01 20:44:55
