open,high,low,close,volume,date
82.55,83.82,82.55,83.82,30.0,2017-02-08 05:45:00
84.45,84.45,84.45,84.45,10.0,2017-02-21 05:45:00
85.19,87.42,85.19,87.42,50.0,2017-02-23 05:45:00
88.15,89.63,88.15,89.63,30.0,2017-02-26 05:45:00
90.48,93.87,90.48,93.87,72.0,2017-03-01 05:45:00
94.71,98.42,94.71,98.42,58.0,2017-03-02 05:45:00
99.37,103.49,99.37,103.49,90.0,2017-03-05 05:45:00
104.55,107.93,104.55,107.93,54.0,2017-03-06 05:45:00
109.09,113.96,109.09,113.96,236.0,2017-03-07 05:45:00
115.23,120.62,115.23,120.62,58.0,2017-03-09 05:45:00
124.23,127.94,124.23,127.94,182.0,2017-03-13 05:45:00
129.54,131.11,129.54,131.11,50.0,2017-03-21 05:45:00
132.7,132.7,132.7,132.7,14.0,2017-03-22 05:45:00
136.96,136.96,136.96,136.96,14.0,2017-03-29 05:45:00
138.66,138.66,138.66,138.66,14.0,2017-04-04 05:45:00
138.66,138.66,138.66,138.66,10.0,2017-04-10 05:45:00
140.49,140.49,140.49,140.49,10.0,2017-04-13 05:45:00
142.32,144.14,142.32,144.14,20.0,2017-04-18 05:45:00
145.97,145.97,145.97,145.97,10.0,2017-04-24 05:45:00
147.91,151.8,147.91,151.8,38.0,2017-04-25 05:45:00
153.88,155.96,153.88,155.96,28.0,2017-04-26 05:45:00
158.03,158.03,158.03,158.03,10.0,2017-04-27 05:45:00
158.03,158.03,158.03,158.03,20.0,2017-04-30 05:45:00
160.22,166.92,160.22,166.92,44.0,2017-05-02 05:45:00
169.23,169.23,169.23,169.23,10.0,2017-05-04 05:45:00
171.67,171.67,171.67,171.67,10.0,2017-05-08 05:45:00
174.09,174.09,174.09,174.09,10.0,2017-05-09 05:45:00
177.88,180.42,177.88,180.42,24.0,2017-05-11 05:45:00
180.42,180.42,180.42,180.42,10.0,2017-05-16 05:45:00
182.98,188.34,182.98,188.34,30.0,2017-05-21 05:45:00
191.14,193.94,191.14,193.94,20.0,2017-05-22 05:45:00
196.87,202.84,196.87,202.84,38.0,2017-05-23 05:45:00
205.87,218.29,205.87,218.29,80.0,2017-05-24 05:45:00
221.71,232.17,221.71,232.17,40.0,2017-05-28 05:45:00
235.83,239.48,235.83,239.48,20.0,2017-05-30 05:45:00
243.26,255.06,243.26,255.06,54.0,2017-05-31 05:45:00
259.21,263.34,259.21,263.34,20.0,2017-06-01 05:45:00
267.61,284.9,267.61,284.9,58.0,2017-06-04 05:45:00
289.65,308.65,289.65,308.65,60.0,2017-06-05 05:45:00
313.76,334.7,313.76,334.7,60.0,2017-06-06 05:45:00
340.41,363.43,340.41,363.43,68.0,2017-06-07 05:45:00
369.65,394.97,369.65,394.97,178.0,2017-06-08 05:45:00
401.91,429.67,401.91,429.67,4040.0,2017-06-11 05:45:00
437.21,467.9,407.15,421.02,17573.0,2017-06-12 05:45:00
413.73,416.77,406.41,412.5,6005.0,2017-06-13 05:45:00
412.26,412.26,398.13,399.48,2670.0,2017-06-14 05:45:00
395.45,413.6,393.01,400.44,3317.0,2017-06-15 05:45:00
400.44,399.12,394.24,395.57,1279.0,2017-06-18 05:45:00
394.24,395.94,391.8,392.9,910.0,2017-06-19 05:45:00
390.59,397.89,389.98,393.01,1464.0,2017-06-20 05:45:00
393.01,403.6,390.71,394.97,702.0,2017-06-21 05:45:00
395.08,399.12,390.71,399.12,1405.0,2017-06-22 05:45:00
392.16,411.28,392.16,407.63,1034.0,2017-06-25 05:45:00
407.63,411.28,400.33,400.33,1136.0,2017-06-27 05:45:00
400.33,407.03,400.33,403.49,1203.0,2017-06-28 05:45:00
400.33,407.03,400.33,403.98,898.0,2017-07-02 05:45:00
400.33,402.76,400.33,402.15,522.0,2017-07-03 05:45:00
402.15,403.98,399.35,401.54,358.0,2017-07-04 05:45:00
402.76,414.82,401.54,414.82,617.0,2017-07-05 05:45:00
416.15,416.15,408.86,415.55,1798.0,2017-07-06 05:45:00
418.59,422.85,400.94,404.59,1222.0,2017-07-09 05:45:00
402.76,410.06,404.47,406.41,861.0,2017-07-10 05:45:00
406.41,412.5,405.68,410.06,1698.0,2017-07-11 05:45:00
410.06,410.06,406.41,409.47,993.0,2017-07-12 05:45:00
405.2,406.41,398.5,406.41,898.0,2017-07-13 05:45:00
406.41,403.13,400.68,402.76,1030.0,2017-07-16 05:45:00
403.98,410.06,400.44,405.32,1115.0,2017-07-17 05:45:00
405.32,412.5,406.41,412.5,1985.0,2017-07-18 05:45:00
407.63,413.73,405.2,412.5,2010.0,2017-07-19 05:45:00
411.28,434.43,405.2,429.55,6474.0,2017-07-20 05:45:00
433.2,440.87,424.07,425.9,5689.0,2017-07-23 05:45:00
429.55,430.76,393.38,417.62,1723.0,2017-07-24 05:45:00
424.92,424.92,417.38,422.37,1914.0,2017-07-25 05:45:00
422.48,427.11,418.59,423.59,1592.0,2017-07-26 05:45:00
431.0,438.44,416.77,423.45,1750.0,2017-07-27 05:45:00
430.76,428.46,416.15,423.45,2152.0,2017-07-30 05:45:00
424.68,427.11,422.37,424.68,2068.0,2017-07-31 05:45:00
424.8,439.9,424.68,438.56,3326.0,2017-08-01 05:45:00
438.07,441.72,430.76,433.44,2762.0,2017-08-02 05:45:00
433.44,441.11,431.37,433.68,2575.0,2017-08-03 05:45:00
434.43,437.95,430.76,430.88,2167.0,2017-08-06 05:45:00
430.88,433.81,427.11,430.76,1874.0,2017-08-07 05:45:00
424.68,434.29,424.68,431.5,1613.0,2017-08-09 05:45:00
424.8,435.64,424.8,430.88,2598.0,2017-08-10 05:45:00
430.88,430.88,423.45,424.68,1314.0,2017-08-13 05:45:00
424.68,430.76,413.73,415.55,1269.0,2017-08-15 05:45:00
412.5,424.68,412.5,413.96,1433.0,2017-08-16 05:45:00
414.94,417.38,412.5,414.94,902.0,2017-08-17 05:45:00
415.42,415.55,410.67,414.32,1137.0,2017-08-20 05:45:00
414.32,414.82,407.87,407.87,680.0,2017-08-21 05:45:00
407.63,419.81,407.63,413.11,1045.0,2017-08-22 05:45:00
413.11,436.85,413.11,419.81,2601.0,2017-08-23 05:45:00
412.5,430.76,421.64,430.16,4736.0,2017-08-24 05:45:00
430.16,436.85,430.76,436.85,7842.0,2017-08-27 05:45:00
442.95,442.95,431.37,434.43,4654.0,2017-08-28 05:45:00
434.43,436.85,428.32,430.76,4061.0,2017-08-30 05:45:00
430.76,432.96,427.23,427.23,12169.0,2017-08-31 05:45:00
435.27,467.42,435.27,467.42,1741.0,2017-09-04 05:45:00
476.19,511.6,476.19,511.6,1051.0,2017-09-06 05:45:00
521.11,560.2,521.11,537.92,19724.0,2017-09-07 05:45:00
534.25,536.82,505.04,509.8,4520.0,2017-09-10 05:45:00
509.8,509.8,490.42,492.25,2356.0,2017-09-11 05:45:00
490.06,501.38,484.95,495.54,1650.0,2017-09-12 05:45:00
503.21,507.6,484.95,499.56,1649.0,2017-09-13 05:45:00
499.2,510.52,495.91,510.52,1407.0,2017-09-14 05:45:00
501.02,519.65,497.73,505.04,1330.0,2017-09-17 05:45:00
505.04,515.99,505.04,506.86,1706.0,2017-09-18 05:45:00
498.1,506.86,490.42,490.42,1123.0,2017-09-20 05:45:00
499.56,521.84,499.56,505.04,1188.0,2017-09-24 05:45:00
512.35,515.99,512.35,512.35,190.0,2017-09-25 05:45:00
512.35,530.62,512.35,515.64,960.0,2017-09-26 05:45:00
508.69,509.42,508.69,508.69,171.0,2017-10-03 05:45:00
501.38,502.48,497.73,498.1,537.0,2017-10-04 05:45:00
492.25,492.25,484.95,484.95,548.0,2017-10-08 05:45:00
486.78,486.78,476.19,486.41,520.0,2017-10-09 05:45:00
477.27,490.42,483.13,483.13,383.0,2017-10-10 05:45:00
486.78,495.91,480.2,480.57,515.0,2017-10-11 05:45:00
480.57,480.57,474.0,475.81,238.0,2017-10-12 05:45:00
484.58,484.58,479.47,481.3,194.0,2017-10-15 05:45:00
479.47,495.91,479.47,495.91,589.0,2017-10-16 05:45:00
494.08,494.45,488.97,490.42,456.0,2017-10-17 05:45:00
483.48,509.42,475.81,508.69,601.0,2017-10-18 05:45:00
505.04,510.52,505.04,506.86,338.0,2017-10-22 05:45:00
499.56,506.86,497.73,497.73,751.0,2017-10-23 05:45:00
488.6,489.7,484.95,489.7,63.0,2017-10-24 05:45:00
481.66,490.42,481.66,490.42,680.0,2017-10-25 05:45:00
486.78,486.78,472.53,481.3,502.0,2017-10-29 05:45:00
481.3,482.03,475.45,481.3,752.0,2017-10-30 05:45:00
481.3,499.56,479.47,499.56,182.0,2017-10-31 05:45:00
490.06,497.73,480.94,497.37,663.0,2017-11-01 05:45:00
494.08,494.08,488.24,488.6,523.0,2017-11-02 05:45:00
497.73,514.17,497.73,509.42,3723.0,2017-11-05 05:45:00
506.14,516.36,506.14,514.17,2075.0,2017-11-06 05:45:00
514.17,517.83,512.35,512.72,1028.0,2017-11-07 05:45:00
507.6,512.35,503.21,506.86,880.0,2017-11-08 05:45:00
507.23,515.27,505.04,515.27,3311.0,2017-11-09 05:45:00
507.71,507.71,495.51,497.03,738.0,2017-11-12 05:45:00
505.04,505.04,499.71,501.61,324.0,2017-11-13 05:45:00
510.76,515.33,503.14,504.28,631.0,2017-11-14 05:45:00
507.32,510.76,499.33,499.33,1057.0,2017-11-15 05:45:00
499.71,503.14,499.33,500.08,750.0,2017-11-16 05:45:00
500.08,499.33,493.98,493.98,627.0,2017-11-19 05:45:00
494.37,499.33,493.61,495.51,216.0,2017-11-20 05:45:00
