open,high,low,close,volume,date
1.2,1.25,1.2,1.25,5500.0,2018-02-28 05:45:00
1.05,1.2,1.05,1.2,10900.0,2018-03-04 05:45:00
1.0,1.0,0.8,0.99,8600.0,2018-03-05 05:45:00
0.8,1.2,0.8,1.2,15000.0,2018-03-06 05:45:00
1.2,1.2,1.2,1.2,1000.0,2018-03-07 05:45:00
1.02,1.02,0.96,1.0,7000.0,2018-03-11 05:45:00
1.0,1.2,1.0,1.02,12500.0,2018-03-12 05:45:00
1.2,1.2,1.05,1.1,3500.0,2018-03-14 05:45:00
0.91,0.91,0.91,0.91,500.0,2018-03-15 05:45:00
0.85,1.4,0.85,1.4,32500.0,2018-03-19 05:45:00
1.2,1.2,1.0,1.0,4500.0,2018-03-22 05:45:00
0.8,0.8,0.8,0.8,3000.0,2018-03-26 05:45:00
0.7,0.7,0.7,0.7,5000.0,2018-03-27 05:45:00
0.75,0.75,0.7,0.71,5000.0,2018-03-28 05:45:00
0.52,0.71,0.52,0.65,24000.0,2018-03-29 05:45:00
0.65,0.65,0.65,0.65,1000.0,2018-04-03 05:45:00
0.84,0.84,0.71,0.71,13000.0,2018-04-04 05:45:00
0.52,0.71,0.52,0.71,12000.0,2018-04-05 05:45:00
0.9,0.9,0.9,0.9,11500.0,2018-04-08 05:45:00
0.92,1.1,0.92,1.1,10900.0,2018-04-09 05:45:00
1.0,1.25,1.0,1.25,16000.0,2018-04-10 05:45:00
1.2,1.2,1.15,1.2,18200.0,2018-04-11 05:45:00
1.0,1.0,1.0,1.0,2900.0,2018-04-15 05:45:00
0.9,0.9,0.85,0.85,11000.0,2018-04-16 05:45:00
0.7,0.7,0.55,0.55,2000.0,2018-04-18 05:45:00
0.4,0.73,0.4,0.73,4230.0,2018-04-19 05:45:00
0.54,1.09,0.54,1.09,7500.0,2018-04-22 05:45:00
1.2,1.2,1.0,1.2,91890.0,2018-04-24 05:45:00
1.2,1.21,1.2,1.21,4000.0,2018-04-25 05:45:00
1.02,1.1,1.0,1.1,23000.0,2018-04-29 05:45:00
0.95,0.95,0.77,0.77,5000.0,2018-05-02 05:45:00
0.96,0.96,0.96,0.96,1000.0,2018-05-03 05:45:00
0.77,0.85,0.77,0.85,4000.0,2018-05-06 05:45:00
0.66,0.66,0.66,0.66,23300.0,2018-05-07 05:45:00
0.85,1.0,0.84,1.0,2850.0,2018-05-08 05:45:00
1.0,1.0,1.0,1.0,800.0,2018-05-09 05:45:00
1.2,1.2,1.2,1.2,200.0,2018-05-10 05:45:00
1.0,1.0,0.8,0.8,8000.0,2018-05-14 05:45:00
0.61,0.61,0.61,0.61,500.0,2018-05-15 05:45:00
0.6,0.6,0.6,0.6,2100.0,2018-05-16 05:45:00
0.79,0.79,0.7,0.79,200.0,2018-05-17 05:45:00
0.7,0.7,0.7,0.7,2000.0,2018-05-20 05:45:00
0.8,0.8,0.65,0.65,3000.0,2018-05-21 05:45:00
0.71,1.0,0.71,1.0,25200.0,2018-05-22 05:45:00
1.2,1.2,1.0,1.0,1500.0,2018-05-23 05:45:00
0.8,0.8,0.8,0.8,1500.0,2018-05-24 05:45:00
0.8,0.8,0.8,0.8,3000.0,2018-05-29 05:45:00
0.61,0.8,0.61,0.7,2500.0,2018-05-30 05:45:00
0.51,0.51,0.51,0.51,2000.0,2018-06-04 05:45:00
0.33,0.51,0.33,0.5,2000.0,2018-06-07 05:45:00
0.69,0.69,0.69,0.69,5000.0,2018-06-10 05:45:00
0.5,0.6,0.45,0.5,7000.0,2018-06-11 05:45:00
0.69,0.7,0.51,0.51,16700.0,2018-06-12 05:45:00
0.48,0.48,0.48,0.48,5000.0,2018-06-13 05:45:00
0.48,0.48,0.3,0.3,1000.0,2018-06-14 05:45:00
0.29,0.3,0.29,0.3,1100.0,2018-06-17 05:45:00
0.3,0.3,0.3,0.3,5000.0,2018-06-18 05:45:00
0.48,0.67,0.48,0.67,25000.0,2018-06-19 05:45:00
0.5,0.5,0.5,0.5,50000.0,2018-06-20 05:45:00
0.32,0.4,0.32,0.4,3000.0,2018-06-27 05:45:00
0.58,0.58,0.58,0.58,1000.0,2018-06-28 05:45:00
0.39,0.39,0.21,0.25,6500.0,2018-07-01 05:45:00
0.25,0.2,0.2,0.2,1000.0,2018-07-02 05:45:00
0.2,0.32,0.2,0.32,41000.0,2018-07-03 05:45:00
0.3,0.3,0.2,0.3,5000.0,2018-07-04 05:45:00
0.2,0.2,0.2,0.2,500.0,2018-07-05 05:45:00
0.02,0.2,0.02,0.17,2100.0,2018-07-11 05:45:00
0.21,0.21,0.21,0.21,1625.0,2018-07-12 05:45:00
0.39,0.57,0.39,0.57,3000.0,2018-07-15 05:45:00
0.4,0.76,0.4,0.76,2800.0,2018-07-16 05:45:00
0.57,0.57,0.57,0.57,900.0,2018-07-18 05:45:00
0.57,0.76,0.57,0.76,1500.0,2018-07-19 05:45:00
0.57,0.57,0.57,0.57,1000.0,2018-07-23 05:45:00
0.38,0.56,0.38,0.47,1100.0,2018-07-24 05:45:00
0.28,0.45,0.28,0.28,14200.0,2018-07-26 05:45:00
0.21,0.21,0.21,0.21,550.0,2018-07-29 05:45:00
0.35,0.35,0.35,0.35,500.0,2018-07-30 05:45:00
0.32,0.32,0.32,0.32,500.0,2018-07-31 05:45:00
0.4,0.4,0.4,0.4,5000.0,2018-08-01 05:45:00
0.25,0.31,0.25,0.31,1000.0,2018-08-05 05:45:00
0.21,0.39,0.21,0.39,6400.0,2018-08-08 05:45:00
0.3,0.45,0.3,0.36,30000.0,2018-08-09 05:45:00
0.4,0.45,0.35,0.45,19000.0,2018-08-12 05:45:00
0.45,0.5,0.45,0.5,6950.0,2018-08-13 05:45:00
0.5,0.5,0.5,0.5,2000.0,2018-08-15 05:45:00
0.31,0.31,0.2,0.2,2500.0,2018-08-21 05:45:00
0.2,0.2,0.2,0.2,8200.0,2018-08-22 05:45:00
0.2,0.2,0.2,0.2,1500.0,2018-08-28 05:45:00
0.06,0.08,0.06,0.08,1000.0,2018-08-29 05:45:00
0.15,0.15,0.15,0.15,1000.0,2018-08-30 05:45:00
0.2,0.5,0.2,0.5,7300.0,2018-09-03 05:45:00
0.69,0.8,0.69,0.78,13200.0,2018-09-04 05:45:00
0.59,0.59,0.59,0.59,2500.0,2018-09-06 05:45:00
0.59,0.78,0.59,0.78,9110.0,2018-09-09 05:45:00
