open,high,low,close,volume,date
10.0,10.0,10.0,10.0,200.0,2023-03-15 20:45:00
9.81,9.81,9.58,9.58,3840.0,2023-03-16 20:45:00
9.39,9.39,8.76,8.76,5100.0,2023-03-19 20:45:00
8.75,8.75,8.33,8.37,8275.0,2023-03-20 20:45:00
8.21,8.21,7.86,7.88,5175.0,2023-03-22 20:45:00
7.75,7.9,7.6,7.77,3200.0,2023-03-23 20:45:00
7.62,7.65,7.32,7.44,6900.0,2023-03-26 20:45:00
7.3,7.65,7.3,7.5,4185.0,2023-03-27 20:45:00
7.41,7.7,7.41,7.63,1100.0,2023-03-28 20:45:00
7.5,7.63,7.5,7.57,700.0,2023-03-29 20:45:00
7.42,7.5,7.2,7.39,2550.0,2023-03-30 20:45:00
7.39,7.54,7.3,7.42,2780.0,2023-04-02 20:45:00
7.4,7.4,7.31,7.39,550.0,2023-04-03 20:45:00
7.53,8.05,7.53,8.05,2375.0,2023-04-04 20:45:00
7.89,8.73,7.89,8.7,13090.0,2023-04-05 20:45:00
8.87,8.87,8.2,8.2,7175.0,2023-04-06 20:45:00
8.36,8.8,8.36,8.73,725.0,2023-04-09 20:45:00
8.56,8.56,8.56,8.56,100.0,2023-04-10 20:45:00
8.5,9.2,8.45,9.1,1210.0,2023-04-11 20:45:00
8.92,9.27,8.92,9.2,7125.0,2023-04-12 20:45:00
9.2,9.2,9.02,9.2,1900.0,2023-04-13 20:45:00
9.2,9.2,9.02,9.02,1525.0,2023-04-16 20:45:00
8.84,8.84,8.5,8.67,1300.0,2023-04-17 20:45:00
8.5,8.66,8.5,8.66,1200.0,2023-04-18 20:45:00
8.66,8.7,8.66,8.7,1800.0,2023-04-19 20:45:00
8.55,8.77,8.55,8.7,2300.0,2023-04-20 20:45:00
8.54,8.56,8.4,8.55,900.0,2023-04-23 20:45:00
8.38,8.38,8.23,8.23,300.0,2023-04-24 20:45:00
8.07,8.35,8.07,8.15,1230.0,2023-04-25 20:45:00
