open,high,low,close,volume,date
124.05,124.05,124.05,124.05,10.0,2016-04-05 05:45:00
126.74,129.61,126.74,129.61,137.0,2016-04-18 05:45:00
130.69,135.72,130.69,135.72,170.0,2016-04-19 05:45:00
136.98,142.54,136.98,142.54,180.0,2016-04-20 05:45:00
143.98,149.91,143.98,149.91,1312.0,2016-04-21 05:45:00
151.52,158.17,151.52,158.17,15080.0,2016-04-24 05:45:00
159.96,167.14,158.88,167.14,2104.0,2016-04-25 05:45:00
169.12,177.02,169.12,177.02,3337.0,2016-04-26 05:45:00
175.05,177.02,166.07,166.07,4149.0,2016-04-27 05:45:00
166.07,166.07,158.17,161.58,4239.0,2016-04-28 05:45:00
161.58,163.37,159.96,159.96,642.0,2016-05-02 05:45:00
158.17,160.68,152.96,157.81,2969.0,2016-05-03 05:45:00
156.01,157.09,154.75,157.09,1168.0,2016-05-04 05:45:00
155.29,156.91,154.4,156.91,820.0,2016-05-05 05:45:00
155.29,155.29,153.5,154.93,402.0,2016-05-08 05:45:00
153.86,153.86,148.11,150.08,1819.0,2016-05-09 05:45:00
149.91,151.7,146.85,151.7,1737.0,2016-05-10 05:45:00
150.27,150.27,149.01,149.19,118.0,2016-05-11 05:45:00
147.93,148.11,147.75,148.11,1314.0,2016-05-12 05:45:00
148.11,148.11,147.21,147.21,211.0,2016-05-15 05:45:00
147.21,149.37,146.49,149.37,330.0,2016-05-16 05:45:00
149.91,152.42,149.91,151.7,795.0,2016-05-17 05:45:00
150.08,153.14,150.08,151.16,272.0,2016-05-18 05:45:00
151.7,156.01,149.91,156.01,1267.0,2016-05-19 05:45:00
157.63,157.63,155.83,155.83,1856.0,2016-05-22 05:45:00
157.45,164.63,155.65,164.63,2187.0,2016-05-23 05:45:00
162.83,162.83,157.81,160.86,2336.0,2016-05-24 05:45:00
159.06,159.06,152.24,152.78,695.0,2016-05-25 05:45:00
153.5,155.11,152.78,155.11,6318.0,2016-05-26 05:45:00
153.5,155.29,153.5,155.29,72.0,2016-05-29 05:45:00
153.86,156.91,153.86,156.91,385.0,2016-05-30 05:45:00
155.29,156.19,154.75,156.19,237.0,2016-05-31 05:45:00
156.19,158.88,155.65,157.99,2124.0,2016-06-01 05:45:00
156.55,158.17,154.93,157.09,589.0,2016-06-02 05:45:00
155.29,155.29,152.96,154.4,724.0,2016-06-05 05:45:00
154.4,156.55,154.4,155.65,302.0,2016-06-06 05:45:00
