open,high,low,close,volume,date
1000.0,1005.0,995.0,995.0,380.0,2021-06-02 05:45:00
1000.0,1000.0,998.0,998.0,205.0,2021-06-03 20:45:00
995.0,1000.0,990.0,1000.0,175.0,2021-06-06 20:45:00
1002.0,1005.0,990.0,1000.0,425.0,2021-06-07 20:45:00
995.0,1001.0,995.0,1001.0,470.0,2021-06-08 20:45:00
995.0,1001.0,995.0,996.0,450.0,2021-06-09 20:45:00
996.0,996.0,996.0,996.0,225.0,2021-06-10 20:45:00
990.0,1005.0,990.0,1000.0,590.0,2021-06-13 20:45:00
1000.0,1008.0,996.0,1008.0,260.0,2021-06-14 20:45:00
995.0,1005.0,995.0,999.0,925.0,2021-06-15 20:45:00
996.0,1001.0,996.0,1001.0,120.0,2021-06-16 20:45:00
1001.0,1001.0,1000.0,1000.0,300.0,2021-06-17 20:45:00
997.0,1000.0,997.0,1000.0,290.0,2021-06-20 20:45:00
1003.0,1003.0,1001.0,1001.0,75.0,2021-06-21 20:45:00
1000.0,1005.0,1000.0,1002.0,140.0,2021-06-22 20:45:00
1000.0,1002.0,1000.0,1002.0,75.0,2021-06-23 20:45:00
1002.0,1010.0,1000.0,1010.0,355.0,2021-06-24 20:45:00
1002.0,1005.0,1002.0,1005.0,210.0,2021-06-27 20:45:00
1005.0,1005.0,1005.0,1005.0,220.0,2021-06-28 20:45:00
1003.0,1007.0,1003.0,1007.0,100.0,2021-06-29 20:45:00
1005.0,1005.0,1004.0,1004.0,45.0,2021-07-01 20:45:00
1001.0,1005.0,1001.0,1005.0,230.0,2021-07-04 20:45:00
1004.0,1004.0,1002.0,1002.0,275.0,2021-07-05 20:45:00
1005.0,1005.0,1004.0,1004.0,80.0,2021-07-06 20:45:00
1003.0,1005.0,1003.0,1005.0,65.0,2021-07-07 20:45:00
1005.0,1008.0,1005.0,1008.0,325.0,2021-07-11 20:45:00
1007.0,1007.0,1006.0,1006.0,147.0,2021-07-12 20:45:00
1004.0,1009.0,1004.0,1009.0,50.0,2021-07-13 20:45:00
1004.0,1004.0,1004.0,1004.0,25.0,2021-07-15 20:45:00
984.3,995.0,984.3,995.0,95.0,2021-07-18 20:45:00
995.0,995.0,995.0,995.0,450.0,2021-07-19 20:45:00
995.0,1000.0,995.0,995.0,75.0,2021-07-20 20:45:00
995.0,996.0,994.0,996.0,130.0,2021-07-22 20:45:00
995.0,995.0,995.0,995.0,450.0,2021-07-25 20:45:00
