open,high,low,close,volume,date
302.59,326.33,302.59,326.33,655.0,2011-07-17 05:45:00
332.75,332.75,296.66,304.25,1273.0,2011-07-18 05:45:00
304.9,312.32,303.58,310.67,1716.0,2011-07-19 05:45:00
309.85,323.03,309.85,321.05,2432.0,2011-07-20 05:45:00
322.37,328.64,313.96,322.21,1729.0,2011-07-21 05:45:00
322.05,322.05,299.95,309.19,883.0,2011-07-24 05:45:00
303.09,303.09,296.66,298.15,427.0,2011-07-25 05:45:00
295.84,296.83,295.84,296.66,1638.0,2011-07-26 05:45:00
296.83,309.19,296.66,303.09,854.0,2011-07-27 05:45:00
304.9,306.55,299.14,303.25,569.0,2011-07-28 05:45:00
303.42,303.42,296.66,301.94,331.0,2011-07-31 05:45:00
301.44,301.44,294.19,300.78,429.0,2011-08-01 05:45:00
296.66,301.61,295.01,301.61,540.0,2011-08-02 05:45:00
296.66,299.63,295.01,296.66,435.0,2011-08-03 05:45:00
295.67,297.48,295.01,296.0,585.0,2011-08-04 05:45:00
297.48,297.48,297.48,297.48,30.0,2011-08-07 05:45:00
293.36,299.14,293.36,293.36,121.0,2011-08-08 05:45:00
287.6,287.6,273.42,276.88,1468.0,2011-08-09 05:45:00
278.54,292.87,278.54,286.77,312.0,2011-08-10 05:45:00
288.42,288.42,279.35,280.51,1013.0,2011-08-11 05:45:00
281.83,286.77,279.85,285.78,1356.0,2011-08-15 05:45:00
285.78,287.6,285.78,286.61,395.0,2011-08-16 05:45:00
286.61,287.26,274.41,278.54,1746.0,2011-08-17 05:45:00
280.18,283.64,280.18,283.64,1061.0,2011-08-18 05:45:00
283.64,283.64,283.64,283.64,8.0,2011-08-19 05:45:00
282.65,282.65,276.88,278.7,404.0,2011-08-22 05:45:00
278.7,281.83,278.7,280.18,586.0,2011-08-23 05:45:00
280.18,280.67,275.4,280.18,263.0,2011-08-24 05:45:00
280.18,281.0,280.18,280.84,618.0,2011-08-25 05:45:00
275.4,275.4,252.82,255.45,3311.0,2011-08-28 05:45:00
250.68,265.51,250.51,265.51,687.0,2011-08-29 05:45:00
265.51,265.51,258.43,263.7,1331.0,2011-08-30 05:45:00
268.31,268.48,258.75,262.05,1761.0,2011-09-01 05:45:00
260.4,263.7,258.75,262.38,653.0,2011-09-04 05:45:00
260.4,261.06,256.28,256.28,1579.0,2011-09-05 05:45:00
254.64,255.29,251.17,251.34,1371.0,2011-09-06 05:45:00
252.65,252.98,245.9,248.86,1132.0,2011-09-07 05:45:00
247.22,248.05,243.92,243.92,670.0,2011-09-08 05:45:00
240.63,244.58,239.8,240.63,724.0,2011-09-12 05:45:00
